        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.41000000e+00,        +1.414213562373e-01,        +2.828088190224e-01,        -1.017721359024e-03
 2.41000500e+00,        +1.414213562373e-01,        +2.828088133544e-01,        -1.018408400025e-03
 2.41001000e+00,        +1.414213562373e-01,        +2.828088076820e-01,        -1.019095539539e-03
 2.41001500e+00,        +1.414213562373e-01,        +2.828088020053e-01,        -1.019782777603e-03
 2.41002000e+00,        +1.414213562373e-01,        +2.828087963242e-01,        -1.020470114251e-03
 2.41002500e+00,        +1.414213562373e-01,        +2.828087906387e-01,        -1.021157549519e-03
 2.41003000e+00,        +1.414213562373e-01,        +2.828087849487e-01,        -1.021845083443e-03
 2.41003500e+00,        +1.414213562373e-01,        +2.828087792544e-01,        -1.022532716058e-03
 2.41004000e+00,        +1.414213562373e-01,        +2.828087735557e-01,        -1.023220447400e-03
 2.41004500e+00,        +1.414213562373e-01,        +2.828087678526e-01,        -1.023908277504e-03
 2.41005000e+00,        +1.414213562373e-01,        +2.828087621451e-01,        -1.024596206407e-03
 2.41005500e+00,        +1.414213562373e-01,        +2.828087564332e-01,        -1.025284234144e-03
 2.41006000e+00,        +1.414213562373e-01,        +2.828087507169e-01,        -1.025972360750e-03
 2.41006500e+00,        +1.414213562373e-01,        +2.828087449962e-01,        -1.026660586262e-03
 2.41007000e+00,        +1.414213562373e-01,        +2.828087392710e-01,        -1.027348910715e-03
 2.41007500e+00,        +1.414213562373e-01,        +2.828087335415e-01,        -1.028037334144e-03
 2.41008000e+00,        +1.414213562373e-01,        +2.828087278075e-01,        -1.028725856587e-03
 2.41008500e+00,        +1.414213562373e-01,        +2.828087220692e-01,        -1.029414478077e-03
 2.41009000e+00,        +1.414213562373e-01,        +2.828087163264e-01,        -1.030103198652e-03
 2.41009500e+00,        +1.414213562373e-01,        +2.828087105792e-01,        -1.030792018347e-03
 2.41010000e+00,        +1.414213562373e-01,        +2.828087048275e-01,        -1.031480937198e-03
 2.41010500e+00,        +1.414213562373e-01,        +2.828086990715e-01,        -1.032169955240e-03
 2.41011000e+00,        +1.414213562373e-01,        +2.828086933110e-01,        -1.032859072510e-03
 2.41011500e+00,        +1.414213562373e-01,        +2.828086875461e-01,        -1.033548289044e-03
 2.41012000e+00,        +1.414213562373e-01,        +2.828086817768e-01,        -1.034237604877e-03
 2.41012500e+00,        +1.414213562373e-01,        +2.828086760030e-01,        -1.034927020045e-03
 2.41013000e+00,        +1.414213562373e-01,        +2.828086702249e-01,        -1.035616534585e-03
 2.41013500e+00,        +1.414213562373e-01,        +2.828086644422e-01,        -1.036306148532e-03
 2.41014000e+00,        +1.414213562373e-01,        +2.828086586552e-01,        -1.036995861922e-03
 2.41014500e+00,        +1.414213562373e-01,        +2.828086528637e-01,        -1.037685674792e-03
 2.41015000e+00,        +1.414213562373e-01,        +2.828086470678e-01,        -1.038375587177e-03
 2.41015500e+00,        +1.414213562373e-01,        +2.828086412674e-01,        -1.039065599114e-03
 2.41016000e+00,        +1.414213562373e-01,        +2.828086354626e-01,        -1.039755710638e-03
 2.41016500e+00,        +1.414213562373e-01,        +2.828086296533e-01,        -1.040445921786e-03
 2.41017000e+00,        +1.414213562373e-01,        +2.828086238396e-01,        -1.041136232593e-03
 2.41017500e+00,        +1.414213562373e-01,        +2.828086180214e-01,        -1.041826643097e-03
 2.41018000e+00,        +1.414213562373e-01,        +2.828086121988e-01,        -1.042517153332e-03
 2.41018500e+00,        +1.414213562373e-01,        +2.828086063718e-01,        -1.043207763336e-03
 2.41019000e+00,        +1.414213562373e-01,        +2.828086005402e-01,        -1.043898473143e-03
 2.41019500e+00,        +1.414213562373e-01,        +2.828085947043e-01,        -1.044589282792e-03
 2.41020000e+00,        +1.414213562373e-01,        +2.828085888638e-01,        -1.045280192317e-03
 2.41020500e+00,        +1.414213562373e-01,        +2.828085830189e-01,        -1.045971201755e-03
 2.41021000e+00,        +1.414213562373e-01,        +2.828085771696e-01,        -1.046662311143e-03
 2.41021500e+00,        +1.414213562373e-01,        +2.828085713158e-01,        -1.047353520516e-03
 2.41022000e+00,        +1.414213562373e-01,        +2.828085654575e-01,        -1.048044829911e-03
 2.41022500e+00,        +1.414213562373e-01,        +2.828085595947e-01,        -1.048736239364e-03
 2.41023000e+00,        +1.414213562373e-01,        +2.828085537275e-01,        -1.049427748911e-03
 2.41023500e+00,        +1.414213562373e-01,        +2.828085478558e-01,        -1.050119358590e-03
 2.41024000e+00,        +1.414213562373e-01,        +2.828085419796e-01,        -1.050811068436e-03
 2.41024500e+00,        +1.414213562373e-01,        +2.828085360990e-01,        -1.051502878485e-03
 2.41025000e+00,        +1.414213562373e-01,        +2.828085302138e-01,        -1.052194788775e-03
 2.41025500e+00,        +1.414213562373e-01,        +2.828085243242e-01,        -1.052886799341e-03
 2.41026000e+00,        +1.414213562373e-01,        +2.828085184301e-01,        -1.053578910220e-03
 2.41026500e+00,        +1.414213562373e-01,        +2.828085125316e-01,        -1.054271121449e-03
 2.41027000e+00,        +1.414213562373e-01,        +2.828085066285e-01,        -1.054963433063e-03
 2.41027500e+00,        +1.414213562373e-01,        +2.828085007210e-01,        -1.055655845100e-03
 2.41028000e+00,        +1.414213562373e-01,        +2.828084948089e-01,        -1.056348357596e-03
 2.41028500e+00,        +1.414213562373e-01,        +2.828084888924e-01,        -1.057040970588e-03
 2.41029000e+00,        +1.414213562373e-01,        +2.828084829714e-01,        -1.057733684111e-03
 2.41029500e+00,        +1.414213562373e-01,        +2.828084770459e-01,        -1.058426498203e-03
 2.41030000e+00,        +1.414213562373e-01,        +2.828084711158e-01,        -1.059119412901e-03
 2.41030500e+00,        +1.414213562373e-01,        +2.828084651813e-01,        -1.059812428241e-03
 2.41031000e+00,        +1.414213562373e-01,        +2.828084592423e-01,        -1.060505544259e-03
 2.41031500e+00,        +1.414213562373e-01,        +2.828084532988e-01,        -1.061198760992e-03
 2.41032000e+00,        +1.414213562373e-01,        +2.828084473508e-01,        -1.061892078477e-03
 2.41032500e+00,        +1.414213562373e-01,        +2.828084413982e-01,        -1.062585496751e-03
 2.41033000e+00,        +1.414213562373e-01,        +2.828084354412e-01,        -1.063279015850e-03
 2.41033500e+00,        +1.414213562373e-01,        +2.828084294796e-01,        -1.063972635812e-03
 2.41034000e+00,        +1.414213562373e-01,        +2.828084235136e-01,        -1.064666356672e-03
 2.41034500e+00,        +1.414213562373e-01,        +2.828084175430e-01,        -1.065360178468e-03
 2.41035000e+00,        +1.414213562373e-01,        +2.828084115679e-01,        -1.066054101237e-03
 2.41035500e+00,        +1.414213562373e-01,        +2.828084055883e-01,        -1.066748125014e-03
 2.41036000e+00,        +1.414213562373e-01,        +2.828083996041e-01,        -1.067442249838e-03
 2.41036500e+00,        +1.414213562373e-01,        +2.828083936155e-01,        -1.068136475745e-03
