        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.41000000e+00,        +7.071067811865e+00,        +1.414029723328e+01,        -7.013608115047e-02
 2.41000500e+00,        +7.071067811865e+00,        +1.414029686165e+01,        -7.017008284961e-02
 2.41001000e+00,        +7.071067811865e+00,        +1.414029648980e+01,        -7.020408933560e-02
 2.41001500e+00,        +7.071067811865e+00,        +1.414029611772e+01,        -7.023810061009e-02
 2.41002000e+00,        +7.071067811865e+00,        +1.414029574542e+01,        -7.027211667475e-02
 2.41002500e+00,        +7.071067811865e+00,        +1.414029537289e+01,        -7.030613753122e-02
 2.41003000e+00,        +7.071067811865e+00,        +1.414029500013e+01,        -7.034016318118e-02
 2.41003500e+00,        +7.071067811865e+00,        +1.414029462714e+01,        -7.037419362628e-02
 2.41004000e+00,        +7.071067811865e+00,        +1.414029425393e+01,        -7.040822886818e-02
 2.41004500e+00,        +7.071067811865e+00,        +1.414029388049e+01,        -7.044226890856e-02
 2.41005000e+00,        +7.071067811865e+00,        +1.414029350683e+01,        -7.047631374906e-02
 2.41005500e+00,        +7.071067811865e+00,        +1.414029313294e+01,        -7.051036339136e-02
 2.41006000e+00,        +7.071067811865e+00,        +1.414029275882e+01,        -7.054441783711e-02
 2.41006500e+00,        +7.071067811865e+00,        +1.414029238447e+01,        -7.057847708800e-02
 2.41007000e+00,        +7.071067811865e+00,        +1.414029200989e+01,        -7.061254114567e-02
 2.41007500e+00,        +7.071067811865e+00,        +1.414029163509e+01,        -7.064661001180e-02
 2.41008000e+00,        +7.071067811865e+00,        +1.414029126006e+01,        -7.068068368806e-02
 2.41008500e+00,        +7.071067811865e+00,        +1.414029088480e+01,        -7.071476217611e-02
 2.41009000e+00,        +7.071067811865e+00,        +1.414029050932e+01,        -7.074884547762e-02
 2.41009500e+00,        +7.071067811865e+00,        +1.414029013360e+01,        -7.078293359427e-02
 2.41010000e+00,        +7.071067811865e+00,        +1.414028975766e+01,        -7.081702652773e-02
 2.41010500e+00,        +7.071067811865e+00,        +1.414028938149e+01,        -7.085112427966e-02
 2.41011000e+00,        +7.071067811865e+00,        +1.414028900510e+01,        -7.088522685175e-02
 2.41011500e+00,        +7.071067811865e+00,        +1.414028862847e+01,        -7.091933424565e-02
 2.41012000e+00,        +7.071067811865e+00,        +1.414028825162e+01,        -7.095344646305e-02
 2.41012500e+00,        +7.071067811865e+00,        +1.414028787453e+01,        -7.098756350562e-02
