        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.41000000e+00,        +1.414213562373e-01,        +2.665051603541e-01,        -6.363739358412e-02
 2.41000500e+00,        +1.414213562373e-01,        +2.665048088191e-01,        -6.363808556570e-02
 2.41001000e+00,        +1.414213562373e-01,        +2.665044572354e-01,        -6.363877763316e-02
 2.41001500e+00,        +1.414213562373e-01,        +2.665041056030e-01,        -6.363946978654e-02
 2.41002000e+00,        +1.414213562373e-01,        +2.665037539219e-01,        -6.364016202586e-02
 2.41002500e+00,        +1.414213562373e-01,        +2.665034021921e-01,        -6.364085435115e-02
 2.41003000e+00,        +1.414213562373e-01,        +2.665030504135e-01,        -6.364154676244e-02
 2.41003500e+00,        +1.414213562373e-01,        +2.665026985862e-01,        -6.364223925976e-02
 2.41004000e+00,        +1.414213562373e-01,        +2.665023467101e-01,        -6.364293184313e-02
 2.41004500e+00,        +1.414213562373e-01,        +2.665019947852e-01,        -6.364362451257e-02
 2.41005000e+00,        +1.414213562373e-01,        +2.665016428115e-01,        -6.364431726813e-02
 2.41005500e+00,        +1.414213562373e-01,        +2.665012907889e-01,        -6.364501010981e-02
 2.41006000e+00,        +1.414213562373e-01,        +2.665009387176e-01,        -6.364570303766e-02
 2.41006500e+00,        +1.414213562373e-01,        +2.665005865973e-01,        -6.364639605170e-02
 2.41007000e+00,        +1.414213562373e-01,        +2.665002344282e-01,        -6.364708915195e-02
 2.41007500e+00,        +1.414213562373e-01,        +2.664998822102e-01,        -6.364778233845e-02
 2.41008000e+00,        +1.414213562373e-01,        +2.664995299433e-01,        -6.364847561122e-02
 2.41008500e+00,        +1.414213562373e-01,        +2.664991776275e-01,        -6.364916897029e-02
 2.41009000e+00,        +1.414213562373e-01,        +2.664988252628e-01,        -6.364986241568e-02
 2.41009500e+00,        +1.414213562373e-01,        +2.664984728491e-01,        -6.365055594742e-02
 2.41010000e+00,        +1.414213562373e-01,        +2.664981203864e-01,        -6.365124956555e-02
 2.41010500e+00,        +1.414213562373e-01,        +2.664977678748e-01,        -6.365194327008e-02
 2.41011000e+00,        +1.414213562373e-01,        +2.664974153141e-01,        -6.365263706105e-02
 2.41011500e+00,        +1.414213562373e-01,        +2.664970627045e-01,        -6.365333093849e-02
 2.41012000e+00,        +1.414213562373e-01,        +2.664967100458e-01,        -6.365402490241e-02
 2.41012500e+00,        +1.414213562373e-01,        +2.664963573381e-01,        -6.365471895285e-02
 2.41013000e+00,        +1.414213562373e-01,        +2.664960045813e-01,        -6.365541308984e-02
 2.41013500e+00,        +1.414213562373e-01,        +2.664956517754e-01,        -6.365610731339e-02
 2.41014000e+00,        +1.414213562373e-01,        +2.664952989204e-01,        -6.365680162355e-02
 2.41014500e+00,        +1.414213562373e-01,        +2.664949460163e-01,        -6.365749602034e-02
 2.41015000e+00,        +1.414213562373e-01,        +2.664945930631e-01,        -6.365819050378e-02
 2.41015500e+00,        +1.414213562373e-01,        +2.664942400608e-01,        -6.365888507391e-02
 2.41016000e+00,        +1.414213562373e-01,        +2.664938870093e-01,        -6.365957973075e-02
 2.41016500e+00,        +1.414213562373e-01,        +2.664935339086e-01,        -6.366027447432e-02
 2.41017000e+00,        +1.414213562373e-01,        +2.664931807587e-01,        -6.366096930466e-02
 2.41017500e+00,        +1.414213562373e-01,        +2.664928275597e-01,        -6.366166422179e-02
 2.41018000e+00,        +1.414213562373e-01,        +2.664924743114e-01,        -6.366235922575e-02
 2.41018500e+00,        +1.414213562373e-01,        +2.664921210138e-01,        -6.366305431655e-02
 2.41019000e+00,        +1.414213562373e-01,        +2.664917676670e-01,        -6.366374949423e-02
 2.41019500e+00,        +1.414213562373e-01,        +2.664914142710e-01,        -6.366444475881e-02
 2.41020000e+00,        +1.414213562373e-01,        +2.664910608256e-01,        -6.366514011033e-02
 2.41020500e+00,        +1.414213562373e-01,        +2.664907073310e-01,        -6.366583554880e-02
 2.41021000e+00,        +1.414213562373e-01,        +2.664903537870e-01,        -6.366653107426e-02
 2.41021500e+00,        +1.414213562373e-01,        +2.664900001937e-01,        -6.366722668674e-02
 2.41022000e+00,        +1.414213562373e-01,        +2.664896465511e-01,        -6.366792238626e-02
 2.41022500e+00,        +1.414213562373e-01,        +2.664892928591e-01,        -6.366861817285e-02
 2.41023000e+00,        +1.414213562373e-01,        +2.664889391177e-01,        -6.366931404653e-02
 2.41023500e+00,        +1.414213562373e-01,        +2.664885853269e-01,        -6.367001000734e-02
 2.41024000e+00,        +1.414213562373e-01,        +2.664882314866e-01,        -6.367070605531e-02
