        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.41000000e+00,        +1.414213562373e-01,        +2.801059733377e-01,        +2.660517166531e-02
 2.41000500e+00,        +1.414213562373e-01,        +2.801061094183e-01,        +2.660445976412e-02
 2.41001000e+00,        +1.414213562373e-01,        +2.801062455101e-01,        +2.660374778284e-02
 2.41001500e+00,        +1.414213562373e-01,        +2.801063816133e-01,        +2.660303572143e-02
 2.41002000e+00,        +1.414213562373e-01,        +2.801065177278e-01,        +2.660232357987e-02
 2.41002500e+00,        +1.414213562373e-01,        +2.801066538536e-01,        +2.660161135812e-02
 2.41003000e+00,        +1.414213562373e-01,        +2.801067899908e-01,        +2.660089905617e-02
 2.41003500e+00,        +1.414213562373e-01,        +2.801069261392e-01,        +2.660018667398e-02
 2.41004000e+00,        +1.414213562373e-01,        +2.801070622991e-01,        +2.659947421152e-02
 2.41004500e+00,        +1.414213562373e-01,        +2.801071984702e-01,        +2.659876166876e-02
 2.41005000e+00,        +1.414213562373e-01,        +2.801073346528e-01,        +2.659804904567e-02
 2.41005500e+00,        +1.414213562373e-01,        +2.801074708466e-01,        +2.659733634223e-02
 2.41006000e+00,        +1.414213562373e-01,        +2.801076070518e-01,        +2.659662355841e-02
 2.41006500e+00,        +1.414213562373e-01,        +2.801077432684e-01,        +2.659591069417e-02
 2.41007000e+00,        +1.414213562373e-01,        +2.801078794964e-01,        +2.659519774948e-02
 2.41007500e+00,        +1.414213562373e-01,        +2.801080157357e-01,        +2.659448472433e-02
 2.41008000e+00,        +1.414213562373e-01,        +2.801081519864e-01,        +2.659377161867e-02
 2.41008500e+00,        +1.414213562373e-01,        +2.801082882485e-01,        +2.659305843248e-02
 2.41009000e+00,        +1.414213562373e-01,        +2.801084245219e-01,        +2.659234516573e-02
 2.41009500e+00,        +1.414213562373e-01,        +2.801085608068e-01,        +2.659163181839e-02
 2.41010000e+00,        +1.414213562373e-01,        +2.801086971030e-01,        +2.659091839043e-02
 2.41010500e+00,        +1.414213562373e-01,        +2.801088334106e-01,        +2.659020488182e-02
 2.41011000e+00,        +1.414213562373e-01,        +2.801089697296e-01,        +2.658949129254e-02
