        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.41000000e+00,        +7.071067811865e+00,        +1.400529866689e+01,        +1.330258583266e+00
 2.41000500e+00,        +7.071067811865e+00,        +1.400530547091e+01,        +1.330222988206e+00
 2.41001000e+00,        +7.071067811865e+00,        +1.400531227551e+01,        +1.330187389142e+00
 2.41001500e+00,        +7.071067811865e+00,        +1.400531908066e+01,        +1.330151786071e+00
 2.41002000e+00,        +7.071067811865e+00,        +1.400532588639e+01,        +1.330116178993e+00
 2.41002500e+00,        +7.071067811865e+00,        +1.400533269268e+01,        +1.330080567906e+00
 2.41003000e+00,        +7.071067811865e+00,        +1.400533949954e+01,        +1.330044952809e+00
 2.41003500e+00,        +7.071067811865e+00,        +1.400534630696e+01,        +1.330009333699e+00
 2.41004000e+00,        +7.071067811865e+00,        +1.400535311495e+01,        +1.329973710576e+00
 2.41004500e+00,        +7.071067811865e+00,        +1.400535992351e+01,        +1.329938083438e+00
 2.41005000e+00,        +7.071067811865e+00,        +1.400536673264e+01,        +1.329902452284e+00
 2.41005500e+00,        +7.071067811865e+00,        +1.400537354233e+01,        +1.329866817112e+00
 2.41006000e+00,        +7.071067811865e+00,        +1.400538035259e+01,        +1.329831177920e+00
 2.41006500e+00,        +7.071067811865e+00,        +1.400538716342e+01,        +1.329795534708e+00
 2.41007000e+00,        +7.071067811865e+00,        +1.400539397482e+01,        +1.329759887474e+00
 2.41007500e+00,        +7.071067811865e+00,        +1.400540078679e+01,        +1.329724236216e+00
 2.41008000e+00,        +7.071067811865e+00,        +1.400540759932e+01,        +1.329688580933e+00
 2.41008500e+00,        +7.071067811865e+00,        +1.400541441242e+01,        +1.329652921624e+00
 2.41009000e+00,        +7.071067811865e+00,        +1.400542122610e+01,        +1.329617258286e+00
 2.41009500e+00,        +7.071067811865e+00,        +1.400542804034e+01,        +1.329581590919e+00
 2.41010000e+00,        +7.071067811865e+00,        +1.400543485515e+01,        +1.329545919521e+00
 2.41010500e+00,        +7.071067811865e+00,        +1.400544167053e+01,        +1.329510244091e+00
 2.41011000e+00,        +7.071067811865e+00,        +1.400544848648e+01,        +1.329474564627e+00
 2.41011500e+00,        +7.071067811865e+00,        +1.400545530300e+01,        +1.329438881127e+00
 2.41012000e+00,        +7.071067811865e+00,        +1.400546212010e+01,        +1.329403193591e+00
 2.41012500e+00,        +7.071067811865e+00,        +1.400546893776e+01,        +1.329367502016e+00
 2.41013000e+00,        +7.071067811865e+00,        +1.400547575599e+01,        +1.329331806402e+00
 2.41013500e+00,        +7.071067811865e+00,        +1.400548257479e+01,        +1.329296106746e+00
 2.41014000e+00,        +7.071067811865e+00,        +1.400548939417e+01,        +1.329260403048e+00
 2.41014500e+00,        +7.071067811865e+00,        +1.400549621412e+01,        +1.329224695305e+00
 2.41015000e+00,        +7.071067811865e+00,        +1.400550303463e+01,        +1.329188983517e+00
 2.41015500e+00,        +7.071067811865e+00,        +1.400550985572e+01,        +1.329153267682e+00
 2.41016000e+00,        +7.071067811865e+00,        +1.400551667739e+01,        +1.329117547798e+00
 2.41016500e+00,        +7.071067811865e+00,        +1.400552349962e+01,        +1.329081823864e+00
 2.41017000e+00,        +7.071067811865e+00,        +1.400553032243e+01,        +1.329046095879e+00
 2.41017500e+00,        +7.071067811865e+00,        +1.400553714581e+01,        +1.329010363841e+00
 2.41018000e+00,        +7.071067811865e+00,        +1.400554396976e+01,        +1.328974627748e+00
 2.41018500e+00,        +7.071067811865e+00,        +1.400555079428e+01,        +1.328938887599e+00
 2.41019000e+00,        +7.071067811865e+00,        +1.400555761938e+01,        +1.328903143393e+00
 2.41019500e+00,        +7.071067811865e+00,        +1.400556444505e+01,        +1.328867395128e+00
 2.41020000e+00,        +7.071067811865e+00,        +1.400557127130e+01,        +1.328831642802e+00
 2.41020500e+00,        +7.071067811865e+00,        +1.400557809812e+01,        +1.328795886415e+00
 2.41021000e+00,        +7.071067811865e+00,        +1.400558492551e+01,        +1.328760125964e+00
 2.41021500e+00,        +7.071067811865e+00,        +1.400559175348e+01,        +1.328724361449e+00
 2.41022000e+00,        +7.071067811865e+00,        +1.400559858203e+01,        +1.328688592867e+00
 2.41022500e+00,        +7.071067811865e+00,        +1.400560541114e+01,        +1.328652820217e+00
 2.41023000e+00,        +7.071067811865e+00,        +1.400561224084e+01,        +1.328617043499e+00
 2.41023500e+00,        +7.071067811865e+00,        +1.400561907110e+01,        +1.328581262709e+00
 2.41024000e+00,        +7.071067811865e+00,        +1.400562590195e+01,        +1.328545477847e+00
 2.41024500e+00,        +7.071067811865e+00,        +1.400563273337e+01,        +1.328509688912e+00
 2.41025000e+00,        +7.071067811865e+00,        +1.400563956536e+01,        +1.328473895901e+00
 2.41025500e+00,        +7.071067811865e+00,        +1.400564639793e+01,        +1.328438098814e+00
 2.41026000e+00,        +7.071067811865e+00,        +1.400565323108e+01,        +1.328402297648e+00
 2.41026500e+00,        +7.071067811865e+00,        +1.400566006480e+01,        +1.328366492403e+00
 2.41027000e+00,        +7.071067811865e+00,        +1.400566689910e+01,        +1.328330683076e+00
 2.41027500e+00,        +7.071067811865e+00,        +1.400567373398e+01,        +1.328294869667e+00
 2.41028000e+00,        +7.071067811865e+00,        +1.400568056944e+01,        +1.328259052174e+00
 2.41028500e+00,        +7.071067811865e+00,        +1.400568740547e+01,        +1.328223230595e+00
 2.41029000e+00,        +7.071067811865e+00,        +1.400569424208e+01,        +1.328187404929e+00
 2.41029500e+00,        +7.071067811865e+00,        +1.400570107926e+01,        +1.328151575175e+00
 2.41030000e+00,        +7.071067811865e+00,        +1.400570791703e+01,        +1.328115741330e+00
 2.41030500e+00,        +7.071067811865e+00,        +1.400571475537e+01,        +1.328079903394e+00
 2.41031000e+00,        +7.071067811865e+00,        +1.400572159430e+01,        +1.328044061365e+00
 2.41031500e+00,        +7.071067811865e+00,        +1.400572843380e+01,        +1.328008215241e+00
 2.41032000e+00,        +7.071067811865e+00,        +1.400573527388e+01,        +1.327972365021e+00
 2.41032500e+00,        +7.071067811865e+00,        +1.400574211453e+01,        +1.327936510703e+00
 2.41033000e+00,        +7.071067811865e+00,        +1.400574895577e+01,        +1.327900652287e+00
 2.41033500e+00,        +7.071067811865e+00,        +1.400575579759e+01,        +1.327864789770e+00
 2.41034000e+00,        +7.071067811865e+00,        +1.400576263999e+01,        +1.327828923150e+00
 2.41034500e+00,        +7.071067811865e+00,        +1.400576948296e+01,        +1.327793052428e+00
 2.41035000e+00,        +7.071067811865e+00,        +1.400577632652e+01,        +1.327757177600e+00
 2.41035500e+00,        +7.071067811865e+00,        +1.400578317066e+01,        +1.327721298665e+00
 2.41036000e+00,        +7.071067811865e+00,        +1.400579001537e+01,        +1.327685415623e+00
 2.41036500e+00,        +7.071067811865e+00,        +1.400579686067e+01,        +1.327649528471e+00
 2.41037000e+00,        +7.071067811865e+00,        +1.400580370655e+01,        +1.327613637208e+00
 2.41037500e+00,        +7.071067811865e+00,        +1.400581055301e+01,        +1.327577741832e+00
 2.41038000e+00,        +7.071067811865e+00,        +1.400581740005e+01,        +1.327541842342e+00
 2.41038500e+00,        +7.071067811865e+00,        +1.400582424768e+01,        +1.327505938737e+00
 2.41039000e+00,        +7.071067811865e+00,        +1.400583109588e+01,        +1.327470031015e+00
 2.41039500e+00,        +7.071067811865e+00,        +1.400583794467e+01,        +1.327434119174e+00
 2.41040000e+00,        +7.071067811865e+00,        +1.400584479404e+01,        +1.327398203212e+00
 2.41040500e+00,        +7.071067811865e+00,        +1.400585164400e+01,        +1.327362283130e+00
 2.41041000e+00,        +7.071067811865e+00,        +1.400585849453e+01,        +1.327326358924e+00
 2.41041500e+00,        +7.071067811865e+00,        +1.400586534565e+01,        +1.327290430593e+00
 2.41042000e+00,        +7.071067811865e+00,        +1.400587219735e+01,        +1.327254498137e+00
 2.41042500e+00,        +7.071067811865e+00,        +1.400587904963e+01,        +1.327218561552e+00
 2.41043000e+00,        +7.071067811865e+00,        +1.400588590250e+01,        +1.327182620839e+00
 2.41043500e+00,        +7.071067811865e+00,        +1.400589275596e+01,        +1.327146675995e+00
 2.41044000e+00,        +7.071067811865e+00,        +1.400589960999e+01,        +1.327110727019e+00
 2.41044500e+00,        +7.071067811865e+00,        +1.400590646461e+01,        +1.327074773909e+00
 2.41045000e+00,        +7.071067811865e+00,        +1.400591331982e+01,        +1.327038816663e+00
 2.41045500e+00,        +7.071067811865e+00,        +1.400592017561e+01,        +1.327002855282e+00
 2.41046000e+00,        +7.071067811865e+00,        +1.400592703198e+01,        +1.326966889761e+00
 2.41046500e+00,        +7.071067811865e+00,        +1.400593388894e+01,        +1.326930920101e+00
 2.41047000e+00,        +7.071067811865e+00,        +1.400594074649e+01,        +1.326894946300e+00
