        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.43000000e+00,        +1.414213562373e-01,        +9.655411496646e-02,        -1.327611910993e-01
 2.43002000e+00,        +1.414213562373e-01,        +9.600771992149e-02,        -1.325594297000e-01
 2.43004000e+00,        +1.414213562373e-01,        +9.545622811737e-02,        -1.323530942520e-01
 2.43006000e+00,        +1.414213562373e-01,        +9.489958527010e-02,        -1.321420757523e-01
 2.43008000e+00,        +1.414213562373e-01,        +9.433773685650e-02,        -1.319262623052e-01
 2.43010000e+00,        +1.414213562373e-01,        +9.377062813969e-02,        -1.317055390382e-01
 2.43012000e+00,        +1.414213562373e-01,        +9.319820419686e-02,        -1.314797880175e-01
 2.43014000e+00,        +1.414213562373e-01,        +9.262040994886e-02,        -1.312488881590e-01
 2.43016000e+00,        +1.414213562373e-01,        +9.203719019233e-02,        -1.310127151381e-01
 2.43018000e+00,        +1.414213562373e-01,        +9.144848963386e-02,        -1.307711412967e-01
 2.43020000e+00,        +1.414213562373e-01,        +9.085425292686e-02,        -1.305240355463e-01
 2.43022000e+00,        +1.414213562373e-01,        +9.025442471109e-02,        -1.302712632705e-01
 2.43024000e+00,        +1.414213562373e-01,        +8.964894965475e-02,        -1.300126862223e-01
 2.43026000e+00,        +1.414213562373e-01,        +8.903777249976e-02,        -1.297481624204e-01
 2.43028000e+00,        +1.414213562373e-01,        +8.842083811013e-02,        -1.294775460413e-01
 2.43030000e+00,        +1.414213562373e-01,        +8.779809152348e-02,        -1.292006873093e-01
 2.43032000e+00,        +1.414213562373e-01,        +8.716947800622e-02,        -1.289174323824e-01
 2.43034000e+00,        +1.414213562373e-01,        +8.653494311232e-02,        -1.286276232357e-01
 2.43036000e+00,        +1.414213562373e-01,        +8.589443274605e-02,        -1.283310975420e-01
 2.43038000e+00,        +1.414213562373e-01,        +8.524789322881e-02,        -1.280276885476e-01
 2.43040000e+00,        +1.414213562373e-01,        +8.459527137026e-02,        -1.277172249466e-01
 2.43042000e+00,        +1.414213562373e-01,        +8.393651454422e-02,        -1.273995307501e-01
 2.43044000e+00,        +1.414213562373e-01,        +8.327157076924e-02,        -1.270744251536e-01
 2.43046000e+00,        +1.414213562373e-01,        +8.260038879443e-02,        -1.267417223990e-01
 2.43048000e+00,        +1.414213562373e-01,        +8.192291819061e-02,        -1.264012316349e-01
 2.43050000e+00,        +1.414213562373e-01,        +8.123910944735e-02,        -1.260527567719e-01
 2.43052000e+00,        +1.414213562373e-01,        +8.054891407589e-02,        -1.256960963349e-01
 2.43054000e+00,        +1.414213562373e-01,        +7.985228471847e-02,        -1.253310433118e-01
 2.43056000e+00,        +1.414213562373e-01,        +7.914917526446e-02,        -1.249573849978e-01
 2.43058000e+00,        +1.414213562373e-01,        +7.843954097362e-02,        -1.245749028367e-01
 2.43060000e+00,        +1.414213562373e-01,        +7.772333860667e-02,        -1.241833722582e-01
 2.43062000e+00,        +1.414213562373e-01,        +7.700052656393e-02,        -1.237825625111e-01
 2.43064000e+00,        +1.414213562373e-01,        +7.627106503225e-02,        -1.233722364932e-01
 2.43066000e+00,        +1.414213562373e-01,        +7.553491614076e-02,        -1.229521505772e-01
 2.43068000e+00,        +1.414213562373e-01,        +7.479204412570e-02,        -1.225220544332e-01
 2.43070000e+00,        +1.414213562373e-01,        +7.404241550535e-02,        -1.220816908467e-01
 2.43072000e+00,        +1.414213562373e-01,        +7.328599926496e-02,        -1.216307955341e-01
 2.43074000e+00,        +1.414213562373e-01,        +7.252276705253e-02,        -1.211690969536e-01
 2.43076000e+00,        +1.414213562373e-01,        +7.175269338622e-02,        -1.206963161137e-01
 2.43078000e+00,        +1.414213562373e-01,        +7.097575587355e-02,        -1.202121663770e-01
 2.43080000e+00,        +1.414213562373e-01,        +7.019193544339e-02,        -1.197163532622e-01
 2.43082000e+00,        +1.414213562373e-01,        +6.940121659114e-02,        -1.192085742420e-01
 2.43084000e+00,        +1.414213562373e-01,        +6.860358763811e-02,        -1.186885185386e-01
 2.43086000e+00,        +1.414213562373e-01,        +6.779904100539e-02,        -1.181558669164e-01
 2.43088000e+00,        +1.414213562373e-01,        +6.698757350337e-02,        -1.176102914721e-01
 2.43090000e+00,        +1.414213562373e-01,        +6.616918663755e-02,        -1.170514554234e-01
 2.43092000e+00,        +1.414213562373e-01,        +6.534388693138e-02,        -1.164790128945e-01
 2.43094000e+00,        +1.414213562373e-01,        +6.451168626709e-02,        -1.158926087017e-01
 2.43096000e+00,        +1.414213562373e-01,        +6.367260224552e-02,        -1.152918781369e-01
 2.43098000e+00,        +1.414213562373e-01,        +6.282665856543e-02,        -1.146764467508e-01
 2.43100000e+00,        +1.414213562373e-01,        +6.197388542407e-02,        -1.140459301360e-01
 2.43102000e+00,        +1.414213562373e-01,        +6.111431993905e-02,        -1.133999337108e-01
 2.43104000e+00,        +1.414213562373e-01,        +6.024800659337e-02,        -1.127380525037e-01
 2.43106000e+00,        +1.414213562373e-01,        +5.937499770426e-02,        -1.120598709403e-01
 2.43108000e+00,        +1.414213562373e-01,        +5.849535391702e-02,        -1.113649626321e-01
 2.43110000e+00,        +1.414213562373e-01,        +5.760914472525e-02,        -1.106528901694e-01
 2.43112000e+00,        +1.414213562373e-01,        +5.671644901816e-02,        -1.099232049185e-01
 2.43114000e+00,        +1.414213562373e-01,        +5.581735565677e-02,        -1.091754468237e-01
 2.43116000e+00,        +1.414213562373e-01,        +5.491196408009e-02,        -1.084091442173e-01
