        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.43000000e+00,        -7.919400375899e-02,        -1.086729132962e+02
 2.43002000e+00,        -8.012344351728e-02,        -1.089109863166e+02
 2.43004000e+00,        -8.106719040576e-02,        -1.091516887134e+02
 2.43006000e+00,        -8.202552573693e-02,        -1.093950623119e+02
 2.43008000e+00,        -8.299873728480e-02,        -1.096411497789e+02
 2.43010000e+00,        -8.398711944499e-02,        -1.098899946419e+02
 2.43012000e+00,        -8.499097339838e-02,        -1.101416413099e+02
 2.43014000e+00,        -8.601060727878e-02,        -1.103961350934e+02
 2.43016000e+00,        -8.704633634410e-02,        -1.106535222265e+02
 2.43018000e+00,        -8.809848315192e-02,        -1.109138498880e+02
 2.43020000e+00,        -8.916737773858e-02,        -1.111771662243e+02
 2.43022000e+00,        -9.025335780229e-02,        -1.114435203719e+02
 2.43024000e+00,        -9.135676889052e-02,        -1.117129624811e+02
 2.43026000e+00,        -9.247796459110e-02,        -1.119855437400e+02
 2.43028000e+00,        -9.361730672746e-02,        -1.122613163995e+02
 2.43030000e+00,        -9.477516555792e-02,        -1.125403337981e+02
 2.43032000e+00,        -9.595191997905e-02,        -1.128226503881e+02
 2.43034000e+00,        -9.714795773300e-02,        -1.131083217624e+02
 2.43036000e+00,        -9.836367561886e-02,        -1.133974046814e+02
 2.43038000e+00,        -9.959947970794e-02,        -1.136899571009e+02
 2.43040000e+00,        -1.008557855631e-01,        -1.139860382011e+02
 2.43042000e+00,        -1.021330184619e-01,        -1.142857084155e+02
 2.43044000e+00,        -1.034316136232e-01,        -1.145890294610e+02
 2.43046000e+00,        -1.047520164383e-01,        -1.148960643688e+02
 2.43048000e+00,        -1.060946827045e-01,        -1.152068775158e+02
 2.43050000e+00,        -1.074600788634e-01,        -1.155215346566e+02
 2.43052000e+00,        -1.088486822410e-01,        -1.158401029571e+02
 2.43054000e+00,        -1.102609812926e-01,        -1.161626510274e+02
 2.43056000e+00,        -1.116974758493e-01,        -1.164892489571e+02
 2.43058000e+00,        -1.131586773673e-01,        -1.168199683505e+02
 2.43060000e+00,        -1.146451091805e-01,        -1.171548823625e+02
 2.43062000e+00,        -1.161573067544e-01,        -1.174940657358e+02
 2.43064000e+00,        -1.176958179417e-01,        -1.178375948387e+02
 2.43066000e+00,        -1.192612032396e-01,        -1.181855477040e+02
 2.43068000e+00,        -1.208540360485e-01,        -1.185380040680e+02
 2.43070000e+00,        -1.224749029296e-01,        -1.188950454112e+02
 2.43072000e+00,        -1.241244038641e-01,        -1.192567549997e+02
 2.43074000e+00,        -1.258031525114e-01,        -1.196232179268e+02
 2.43076000e+00,        -1.275117764646e-01,        -1.199945211564e+02
 2.43078000e+00,        -1.292509175062e-01,        -1.203707535665e+02
 2.43080000e+00,        -1.310212318589e-01,        -1.207520059941e+02
 2.43082000e+00,        -1.328233904343e-01,        -1.211383712806e+02
 2.43084000e+00,        -1.346580790758e-01,        -1.215299443181e+02
 2.43086000e+00,        -1.365259987967e-01,        -1.219268220967e+02
 2.43088000e+00,        -1.384278660108e-01,        -1.223291037528e+02
 2.43090000e+00,        -1.403644127553e-01,        -1.227368906175e+02
 2.43092000e+00,        -1.423363869040e-01,        -1.231502862665e+02
 2.43094000e+00,        -1.443445523699e-01,        -1.235693965706e+02
 2.43096000e+00,        -1.463896892945e-01,        -1.239943297466e+02
 2.43098000e+00,        -1.484725942240e-01,        -1.244251964094e+02
 2.43100000e+00,        -1.505940802676e-01,        -1.248621096244e+02
 2.43102000e+00,        -1.527549772390e-01,        -1.253051849609e+02
 2.43104000e+00,        -1.549561317762e-01,        -1.257545405457e+02
 2.43106000e+00,        -1.571984074385e-01,        -1.262102971171e+02
 2.43108000e+00,        -1.594826847780e-01,        -1.266725780803e+02
 2.43110000e+00,        -1.618098613822e-01,        -1.271415095619e+02
 2.43112000e+00,        -1.641808518848e-01,        -1.276172204658e+02
 2.43114000e+00,        -1.665965879413e-01,        -1.280998425285e+02
 2.43116000e+00,        -1.690580181662e-01,        -1.285895103752e+02
 2.43118000e+00,        -1.715661080269e-01,        -1.290863615755e+02
 2.43120000e+00,        -1.741218396916e-01,        -1.295905366990e+02
 2.43122000e+00,        -1.767262118240e-01,        -1.301021793710e+02
 2.43124000e+00,        -1.793802393238e-01,        -1.306214363273e+02
 2.43126000e+00,        -1.820849530035e-01,        -1.311484574689e+02
 2.43128000e+00,        -1.848413991997e-01,        -1.316833959160e+02
 2.43130000e+00,        -1.876506393089e-01,        -1.322264080603e+02
 2.43132000e+00,        -1.905137492460e-01,        -1.327776536175e+02
 2.43134000e+00,        -1.934318188132e-01,        -1.333372956770e+02
 2.43136000e+00,        -1.964059509771e-01,        -1.339055007510e+02
 2.43138000e+00,        -1.994372610414e-01,        -1.344824388215e+02
 2.43140000e+00,        -2.025268757107e-01,        -1.350682833848e+02
 2.43142000e+00,        -2.056759320334e-01,        -1.356632114934e+02
 2.43144000e+00,        -2.088855762152e-01,        -1.362674037956e+02
 2.43146000e+00,        -2.121569622937e-01,        -1.368810445717e+02
 2.43148000e+00,        -2.154912506621e-01,        -1.375043217656e+02
 2.43150000e+00,        -2.188896064306e-01,        -1.381374270138e+02
 2.43152000e+00,        -2.223531976140e-01,        -1.387805556685e+02
 2.43154000e+00,        -2.258831931322e-01,        -1.394339068162e+02
 2.43156000e+00,        -2.294807606104e-01,        -1.400976832906e+02
 2.43158000e+00,        -2.331470639638e-01,        -1.407720916790e+02
 2.43160000e+00,        -2.368832607524e-01,        -1.414573423218e+02
 2.43162000e+00,        -2.406904992914e-01,        -1.421536493047e+02
 2.43164000e+00,        -2.445699154982e-01,        -1.428612304417e+02
 2.43166000e+00,        -2.485226294609e-01,        -1.435803072502e+02
 2.43168000e+00,        -2.525497417105e-01,        -1.443111049150e+02
 2.43170000e+00,        -2.566523291772e-01,        -1.450538522417e+02
 2.43172000e+00,        -2.608314408122e-01,        -1.458087815984e+02
 2.43174000e+00,        -2.650880928566e-01,        -1.465761288447e+02
 2.43176000e+00,        -2.694232637366e-01,        -1.473561332460e+02
 2.43178000e+00,        -2.738378885649e-01,        -1.481490373733e+02
 2.43180000e+00,        -2.783328532255e-01,        -1.489550869865e+02
 2.43182000e+00,        -2.829089880277e-01,        -1.497745309003e+02
 2.43184000e+00,        -2.875670609010e-01,        -1.506076208305e+02
 2.43186000e+00,        -2.923077701159e-01,        -1.514546112210e+02
 2.43188000e+00,        -2.971317365084e-01,        -1.523157590477e+02
 2.43190000e+00,        -3.020394951923e-01,        -1.531913236005e+02
 2.43192000e+00,        -3.070314867361e-01,        -1.540815662390e+02
 2.43194000e+00,        -3.121080477929e-01,        -1.549867501222e+02
 2.43196000e+00,        -3.172694011692e-01,        -1.559071399104e+02
 2.43198000e+00,        -3.225156453151e-01,        -1.568430014358e+02
 2.43200000e+00,        -3.278467432288e-01,        -1.577946013421e+02
 2.43202000e+00,        -3.332625107726e-01,        -1.587622066902e+02
 2.43204000e+00,        -3.387626043938e-01,        -1.597460845280e+02
 2.43206000e+00,        -3.443465082521e-01,        -1.607465014229e+02
 2.43208000e+00,        -3.500135207633e-01,        -1.617637229550e+02
 2.43210000e+00,        -3.557627405727e-01,        -1.627980131688e+02
 2.43212000e+00,        -3.615930519775e-01,        -1.638496339821e+02
 2.43214000e+00,        -3.675031098219e-01,        -1.649188445493e+02
 2.43216000e+00,        -3.734913239105e-01,        -1.660059005795e+02
 2.43218000e+00,        -3.795558429804e-01,        -1.671110536043e+02
 2.43220000e+00,        -3.856945382863e-01,        -1.682345501983e+02
 2.43222000e+00,        -3.919049868727e-01,        -1.693766311464e+02
 2.43224000e+00,        -3.981844546123e-01,        -1.705375305608e+02
 2.43226000e+00,        -4.045298791044e-01,        -1.717174749437e+02
 2.43228000e+00,        -4.109378525452e-01,        -1.729166821968e+02
 2.43230000e+00,        -4.174046046885e-01,        -1.741353605778e+02
