        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17]
 2.41000000e+00,        +7.686095749794e-11,        +7.619201362687e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.114106169095e-13,        +2.750559240888e-03,        +8.964630245458e-13,        +1.176583977602e-02,        +2.114106169095e-13,        +2.750559240888e-03,        +8.964630245458e-13,        +1.176583977602e-02,        +1.282056045538e-13,        +1.668019872863e-03,        +5.446769935827e-13,        +7.148741287376e-03,        +3.678947455619e-11,        +4.786497040083e-01,        +3.876094503100e-11,        +5.087271380018e-01,        +1.473722540761e-11,        +1.917387694266e-01,        +1.203224361822e-11,        +1.579200108445e-01,        +5.252913459611e-12,        +6.834306559025e-02,        +5.775311634229e-12,        +7.579943565361e-02,        +4.854146328349e-12,        +6.315490317017e-02,        +5.590824527078e-12,        +7.337809123221e-02,        +1.480266830652e-11,        +1.925902146993e-01,        +1.201135706162e-11,        +1.576458803207e-01,        +8.491321820238e-14,        +1.104763991584e-03,        +5.801917366032e-13,        +7.614862883720e-03
 2.41000500e+00,        +7.687189293932e-11,        +7.620263258236e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.114650788756e-13,        +2.750876435976e-03,        +8.966611770766e-13,        +1.176680052500e-02,        +2.114650788756e-13,        +2.750876435976e-03,        +8.966611770766e-13,        +1.176680052500e-02,        +1.282363915405e-13,        +1.668183085354e-03,        +5.447982802669e-13,        +7.149336732928e-03,        +3.679143075693e-11,        +4.786070610487e-01,        +3.876321654660e-11,        +5.086860549693e-01,        +1.474045079597e-11,        +1.917534515197e-01,        +1.203485758214e-11,        +1.579323072484e-01,        +5.254205795770e-12,        +6.835015497690e-02,        +5.776696741547e-12,        +7.580704951766e-02,        +4.855240166139e-12,        +6.316014840393e-02,        +5.592117189223e-12,        +7.338482936504e-02,        +1.480593299671e-11,        +1.926052869336e-01,        +1.201396135746e-11,        +1.576580880519e-01,        +8.493095738626e-14,        +1.104837595886e-03,        +5.803237080534e-13,        +7.615533589686e-03
 2.41001000e+00,        +7.688283213711e-11,        +7.621325525073e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.115195606246e-13,        +2.751193663721e-03,        +8.968593976453e-13,        +1.176776132570e-02,        +2.115195606246e-13,        +2.751193663721e-03,        +8.968593976453e-13,        +1.176776132570e-02,        +1.282671894272e-13,        +1.668346311677e-03,        +5.449196085538e-13,        +7.149932210101e-03,        +3.679338759389e-11,        +4.785644151126e-01,        +3.876548886906e-11,        +5.086449691924e-01,        +1.474367728123e-11,        +1.917681343337e-01,        +1.203747244719e-11,        +1.579446043551e-01,        +5.255498639650e-12,        +6.835724561080e-02,        +5.778082363902e-12,        +7.581466432438e-02,        +4.856334352933e-12,        +6.316539359883e-02,        +5.593410292469e-12,        +7.339156783249e-02,        +1.480919881687e-11,        +1.926203601665e-01,        +1.201656654713e-11,        +1.576702964281e-01,        +8.494870248393e-14,        +1.104911202184e-03,        +5.804557247686e-13,        +7.616204331635e-03
 2.41001500e+00,        +7.689377509307e-11,        +7.622388163370e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.115740621658e-13,        +2.751510924125e-03,        +8.970576862831e-13,        +1.176872217810e-02,        +2.115740621658e-13,        +2.751510924125e-03,        +8.970576862831e-13,        +1.176872217810e-02,        +1.282979982191e-13,        +1.668509551831e-03,        +5.450409784626e-13,        +7.150527718883e-03,        +3.679534506736e-11,        +4.785217662005e-01,        +3.876776199876e-11,        +5.086038806717e-01,        +1.474690486389e-11,        +1.917828178684e-01,        +1.204008821381e-11,        +1.579569021645e-01,        +5.256791991547e-12,        +6.836433749265e-02,        +5.779468501564e-12,        +7.582228007407e-02,        +4.857428888847e-12,        +6.317063875415e-02,        +5.594703836999e-12,        +7.339830663419e-02,        +1.481246576754e-11,        +1.926354343979e-01,        +1.201917263106e-11,        +1.576825054491e-01,        +8.496645349810e-14,        +1.104984810477e-03,        +5.805877867696e-13,        +7.616875109558e-03
 2.41002000e+00,        +7.690472180892e-11,        +7.623451173301e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.116285835086e-13,        +2.751828217186e-03,        +8.972560430212e-13,        +1.176968308217e-02,        +2.116285835086e-13,        +2.751828217186e-03,        +8.972560430212e-13,        +1.176968308217e-02,        +1.283288179213e-13,        +1.668672805815e-03,        +5.451623900126e-13,        +7.151123259264e-03,        +3.679730317760e-11,        +4.784791143128e-01,        +3.877003593606e-11,        +5.085627894075e-01,        +1.475013354444e-11,        +1.917975021234e-01,        +1.204270488241e-11,        +1.579692006763e-01,        +5.258085851752e-12,        +6.837143062316e-02,        +5.780855154799e-12,        +7.582989676703e-02,        +4.858523773993e-12,        +6.317588386920e-02,        +5.595997823000e-12,        +7.340504576980e-02,        +1.481573384926e-11,        +1.926505096277e-01,        +1.202177960963e-11,        +1.576947151145e-01,        +8.498421043146e-14,        +1.105058420764e-03,        +5.807198940774e-13,        +7.617545923442e-03
 2.41002500e+00,        +7.691567228640e-11,        +7.624514555037e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.116831246627e-13,        +2.752145542906e-03,        +8.974544678909e-13,        +1.177064403789e-02,        +2.116831246627e-13,        +2.752145542906e-03,        +8.974544678909e-13,        +1.177064403789e-02,        +1.283596485390e-13,        +1.668836073629e-03,        +5.452838432227e-13,        +7.151718831234e-03,        +3.679926192493e-11,        +4.784364594501e-01,        +3.877231068133e-11,        +5.085216954005e-01,        +1.475336332338e-11,        +1.918121870982e-01,        +1.204532245340e-11,        +1.579814998903e-01,        +5.259380220560e-12,        +6.837852500303e-02,        +5.782242323878e-12,        +7.583751440356e-02,        +4.859619008487e-12,        +6.318112894329e-02,        +5.597292250654e-12,        +7.341178523893e-02,        +1.481900306255e-11,        +1.926655858558e-01,        +1.202438748328e-11,        +1.577069254243e-01,        +8.500197328674e-14,        +1.105132033043e-03,        +5.808520467129e-13,        +7.618216773279e-03
 2.41003000e+00,        +7.692662652725e-11,        +7.625578308750e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.117376856373e-13,        +2.752462901285e-03,        +8.976529609235e-13,        +1.177160504527e-02,        +2.117376856373e-13,        +2.752462901285e-03,        +8.976529609235e-13,        +1.177160504527e-02,        +1.283904900772e-13,        +1.668999355272e-03,        +5.454053381124e-13,        +7.152314434783e-03,        +3.680122130962e-11,        +4.783938016128e-01,        +3.877458623494e-11,        +5.084805986511e-01,        +1.475659420120e-11,        +1.918268727925e-01,        +1.204794092721e-11,        +1.579937998064e-01,        +5.260675098267e-12,        +6.838562063297e-02,        +5.783630009068e-12,        +7.584513298396e-02,        +4.860714592442e-12,        +6.318637397572e-02,        +5.598587120148e-12,        +7.341852504123e-02,        +1.482227340795e-11,        +1.926806630822e-01,        +1.202699625240e-11,        +1.577191363781e-01,        +8.501974206665e-14,        +1.105205647313e-03,        +5.809842446971e-13,        +7.618887659058e-03
 2.41003500e+00,        +7.693758453322e-11,        +7.626642434613e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.117922664420e-13,        +2.752780292323e-03,        +8.978515221503e-13,        +1.177256610426e-02,        +2.117922664420e-13,        +2.752780292323e-03,        +8.978515221503e-13,        +1.177256610426e-02,        +1.284213425412e-13,        +1.669162650743e-03,        +5.455268747007e-13,        +7.152910069899e-03,        +3.680318133196e-11,        +4.783511408013e-01,        +3.877686259727e-11,        +5.084394991600e-01,        +1.475982617838e-11,        +1.918415592058e-01,        +1.205056030425e-11,        +1.580061004245e-01,        +5.261970485166e-12,        +6.839271751370e-02,        +5.785018210639e-12,        +7.585275250854e-02,        +4.861810525971e-12,        +6.319161896579e-02,        +5.599882431666e-12,        +7.342526517634e-02,        +1.482554488598e-11,        +1.926957413067e-01,        +1.202960591740e-11,        +1.577313479757e-01,        +8.503751677389e-14,        +1.105279263572e-03,        +5.811164880510e-13,        +7.619558580767e-03
 2.41004000e+00,        +7.694854630604e-11,        +7.627706932800e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.118468670863e-13,        +2.753097716021e-03,        +8.980501516027e-13,        +1.177352721486e-02,        +2.118468670863e-13,        +2.753097716021e-03,        +8.980501516027e-13,        +1.177352721486e-02,        +1.284522059361e-13,        +1.669325960042e-03,        +5.456484530068e-13,        +7.153505736573e-03,        +3.680514199225e-11,        +4.783084770162e-01,        +3.877913976868e-11,        +5.083983969275e-01,        +1.476305925543e-11,        +1.918562463379e-01,        +1.205318058495e-11,        +1.580184017443e-01,        +5.263266381553e-12,        +6.839981564591e-02,        +5.786406928859e-12,        +7.586037297759e-02,        +4.862906809190e-12,        +6.319686391279e-02,        +5.601178185392e-12,        +7.343200564389e-02,        +1.482881749718e-11,        +1.927108205293e-01,        +1.203221647871e-11,        +1.577435602169e-01,        +8.505529741119e-14,        +1.105352881819e-03,        +5.812487767956e-13,        +7.620229538398e-03
 2.41004500e+00,        +7.695951184745e-11,        +7.628771803481e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.119014875796e-13,        +2.753415172378e-03,        +8.982488493120e-13,        +1.177448837704e-02,        +2.119014875796e-13,        +2.753415172378e-03,        +8.982488493120e-13,        +1.177448837704e-02,        +1.284830802671e-13,        +1.669489283167e-03,        +5.457700730500e-13,        +7.154101434794e-03,        +3.680710329077e-11,        +4.782658102578e-01,        +3.878141774955e-11,        +5.083572919543e-01,        +1.476629343284e-11,        +1.918709341883e-01,        +1.205580176971e-11,        +1.580307037656e-01,        +5.264562787724e-12,        +6.840691503033e-02,        +5.787796163999e-12,        +7.586799439142e-02,        +4.864003442211e-12,        +6.320210881602e-02,        +5.602474381512e-12,        +7.343874644351e-02,        +1.483209124208e-11,        +1.927259007500e-01,        +1.203482793672e-11,        +1.577557731013e-01,        +8.507308398126e-14,        +1.105426502053e-03,        +5.813811109519e-13,        +7.620900531939e-03
