        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.41500000e+00,        +1.414213562373e-01,        +1.168909781215e-01,        -1.380995967235e-01
 2.41502000e+00,        +1.414213562373e-01,        +1.166349300005e-01,        -1.380635819836e-01
 2.41504000e+00,        +1.414213562373e-01,        +1.163821468139e-01,        -1.380274980724e-01
 2.41506000e+00,        +1.414213562373e-01,        +1.161325665051e-01,        -1.379913558361e-01
 2.41508000e+00,        +1.414213562373e-01,        +1.158861285444e-01,        -1.379551656088e-01
 2.41510000e+00,        +1.414213562373e-01,        +1.156427738837e-01,        -1.379189372349e-01
 2.41512000e+00,        +1.414213562373e-01,        +1.154024449128e-01,        -1.378826800923e-01
 2.41514000e+00,        +1.414213562373e-01,        +1.151650854165e-01,        -1.378464031128e-01
 2.41516000e+00,        +1.414213562373e-01,        +1.149306405338e-01,        -1.378101148024e-01
 2.41518000e+00,        +1.414213562373e-01,        +1.146990567183e-01,        -1.377738232608e-01
 2.41520000e+00,        +1.414213562373e-01,        +1.144702817003e-01,        -1.377375361992e-01
 2.41522000e+00,        +1.414213562373e-01,        +1.142442644492e-01,        -1.377012609578e-01
 2.41524000e+00,        +1.414213562373e-01,        +1.140209551381e-01,        -1.376650045225e-01
 2.41526000e+00,        +1.414213562373e-01,        +1.138003051096e-01,        -1.376287735407e-01
 2.41528000e+00,        +1.414213562373e-01,        +1.135822668419e-01,        -1.375925743362e-01
 2.41530000e+00,        +1.414213562373e-01,        +1.133667939169e-01,        -1.375564129234e-01
 2.41532000e+00,        +1.414213562373e-01,        +1.131538409888e-01,        -1.375202950213e-01
 2.41534000e+00,        +1.414213562373e-01,        +1.129433637542e-01,        -1.374842260665e-01
 2.41536000e+00,        +1.414213562373e-01,        +1.127353189229e-01,        -1.374482112253e-01
 2.41538000e+00,        +1.414213562373e-01,        +1.125296641892e-01,        -1.374122554059e-01
 2.41540000e+00,        +1.414213562373e-01,        +1.123263582053e-01,        -1.373763632698e-01
 2.41542000e+00,        +1.414213562373e-01,        +1.121253605545e-01,        -1.373405392421e-01
 2.41544000e+00,        +1.414213562373e-01,        +1.119266317257e-01,        -1.373047875224e-01
 2.41546000e+00,        +1.414213562373e-01,        +1.117301330886e-01,        -1.372691120942e-01
 2.41548000e+00,        +1.414213562373e-01,        +1.115358268699e-01,        -1.372335167348e-01
 2.41550000e+00,        +1.414213562373e-01,        +1.113436761300e-01,        -1.371980050235e-01
 2.41552000e+00,        +1.414213562373e-01,        +1.111536447404e-01,        -1.371625803511e-01
 2.41554000e+00,        +1.414213562373e-01,        +1.109656973625e-01,        -1.371272459274e-01
 2.41556000e+00,        +1.414213562373e-01,        +1.107797994257e-01,        -1.370920047894e-01
 2.41558000e+00,        +1.414213562373e-01,        +1.105959171077e-01,        -1.370568598084e-01
 2.41560000e+00,        +1.414213562373e-01,        +1.104140173145e-01,        -1.370218136978e-01
 2.41562000e+00,        +1.414213562373e-01,        +1.102340676610e-01,        -1.369868690192e-01
 2.41564000e+00,        +1.414213562373e-01,        +1.100560364528e-01,        -1.369520281895e-01
 2.41566000e+00,        +1.414213562373e-01,        +1.098798926679e-01,        -1.369172934867e-01
 2.41568000e+00,        +1.414213562373e-01,        +1.097056059396e-01,        -1.368826670564e-01
 2.41570000e+00,        +1.414213562373e-01,        +1.095331465392e-01,        -1.368481509169e-01
 2.41572000e+00,        +1.414213562373e-01,        +1.093624853597e-01,        -1.368137469652e-01
 2.41574000e+00,        +1.414213562373e-01,        +1.091935939001e-01,        -1.367794569818e-01
 2.41576000e+00,        +1.414213562373e-01,        +1.090264442497e-01,        -1.367452826363e-01
 2.41578000e+00,        +1.414213562373e-01,        +1.088610090733e-01,        -1.367112254913e-01
 2.41580000e+00,        +1.414213562373e-01,        +1.086972615966e-01,        -1.366772870078e-01
 2.41582000e+00,        +1.414213562373e-01,        +1.085351755921e-01,        -1.366434685492e-01
