        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.41500000e+00,        -7.154148285033e-02,        -1.000722882811e+02
 2.41502000e+00,        -7.094956486725e-02,        -1.001778359711e+02
 2.41504000e+00,        -7.036851796893e-02,        -1.002820618599e+02
 2.41506000e+00,        -6.979807407650e-02,        -1.003849910979e+02
 2.41508000e+00,        -6.923797332937e-02,        -1.004866482054e+02
 2.41510000e+00,        -6.868796378565e-02,        -1.005870570916e+02
 2.41512000e+00,        -6.814780113516e-02,        -1.006862410742e+02
 2.41514000e+00,        -6.761724842445e-02,        -1.007842228965e+02
 2.41516000e+00,        -6.709607579328e-02,        -1.008810247457e+02
 2.41518000e+00,        -6.658406022204e-02,        -1.009766682693e+02
 2.41520000e+00,        -6.608098528934e-02,        -1.010711745912e+02
 2.41522000e+00,        -6.558664093991e-02,        -1.011645643276e+02
 2.41524000e+00,        -6.510082326153e-02,        -1.012568576021e+02
 2.41526000e+00,        -6.462333427118e-02,        -1.013480740600e+02
 2.41528000e+00,        -6.415398170987e-02,        -1.014382328824e+02
 2.41530000e+00,        -6.369257884551e-02,        -1.015273527999e+02
 2.41532000e+00,        -6.323894428369e-02,        -1.016154521057e+02
 2.41534000e+00,        -6.279290178596e-02,        -1.017025486678e+02
 2.41536000e+00,        -6.235428009526e-02,        -1.017886599419e+02
 2.41538000e+00,        -6.192291276821e-02,        -1.018738029826e+02
 2.41540000e+00,        -6.149863801381e-02,        -1.019579944548e+02
 2.41542000e+00,        -6.108129853855e-02,        -1.020412506454e+02
 2.41544000e+00,        -6.067074139739e-02,        -1.021235874729e+02
 2.41546000e+00,        -6.026681785048e-02,        -1.022050204984e+02
 2.41548000e+00,        -5.986938322528e-02,        -1.022855649353e+02
 2.41550000e+00,        -5.947829678400e-02,        -1.023652356590e+02
 2.41552000e+00,        -5.909342159604e-02,        -1.024440472161e+02
 2.41554000e+00,        -5.871462441509e-02,        -1.025220138332e+02
 2.41556000e+00,        -5.834177556096e-02,        -1.025991494262e+02
 2.41558000e+00,        -5.797474880576e-02,        -1.026754676080e+02
 2.41560000e+00,        -5.761342126419e-02,        -1.027509816971e+02
 2.41562000e+00,        -5.725767328803e-02,        -1.028257047254e+02
 2.41564000e+00,        -5.690738836437e-02,        -1.028996494456e+02
 2.41566000e+00,        -5.656245301755e-02,        -1.029728283391e+02
 2.41568000e+00,        -5.622275671470e-02,        -1.030452536225e+02
 2.41570000e+00,        -5.588819177465e-02,        -1.031169372552e+02
 2.41572000e+00,        -5.555865328013e-02,        -1.031878909455e+02
 2.41574000e+00,        -5.523403899304e-02,        -1.032581261578e+02
 2.41576000e+00,        -5.491424927284e-02,        -1.033276541180e+02
 2.41578000e+00,        -5.459918699771e-02,        -1.033964858206e+02
 2.41580000e+00,        -5.428875748849e-02,        -1.034646320340e+02
 2.41582000e+00,        -5.398286843544e-02,        -1.035321033064e+02
 2.41584000e+00,        -5.368142982726e-02,        -1.035989099715e+02
 2.41586000e+00,        -5.338435388286e-02,        -1.036650621535e+02
