        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.458950077493e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199027957447e-12,        +1.792113624469e-02,        +3.020481820784e-14,        +8.732366044938e-05,        +6.199027957447e-12,        +1.792113624469e-02,        +3.020481820784e-14,        +8.732366044938e-05,        +3.235925179988e-12,        +9.354927325098e-03,        +3.790316125580e-14,        +1.095799604118e-04,        +3.341303917851e-10,        +9.659572945590e-01,        +3.458154950696e-10,        +9.997701248128e-01,        +2.340621797923e-12,        +6.766641871241e-03,        +1.140470018998e-14,        +3.297156632641e-05
 2.00e+00,        +3.459059667205e-10,        +3.458972837587e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261467815180e-13,        +3.646851851501e-04,        +5.073568608327e-12,        +1.466784749853e-02,        +1.261467815180e-13,        +3.646851851501e-04,        +5.073568608327e-12,        +1.466784749853e-02,        +1.570281017443e-13,        +4.539618186789e-04,        +2.593746365680e-12,        +7.498602872782e-03,        +3.455751612470e-10,        +9.990436549084e-01,        +3.363142245928e-10,        +9.722950725090e-01,        +4.763059017618e-14,        +1.376980878005e-04,        +1.915744191862e-12,        +5.538477119696e-03
 3.00e+00,        +3.459059667205e-10,        +3.458972827794e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261502447702e-13,        +3.646951972706e-04,        +5.073784167297e-12,        +1.466847072786e-02,        +1.261502447702e-13,        +3.646951972706e-04,        +5.073784167297e-12,        +1.466847072786e-02,        +1.570326236142e-13,        +4.539748912197e-04,        +2.593811744593e-12,        +7.498791906518e-03,        +3.455751517187e-10,        +9.990436273624e-01,        +3.363139809912e-10,        +9.722943710016e-01,        +4.763213335272e-14,        +1.377025490607e-04,        +1.915705876366e-12,        +5.538366364061e-03
 4.00e+00,        +3.459059667205e-10,        +3.458963475200e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276410751848e-12,        +1.236292855076e-02,        +2.206597983297e-12,        +6.379361907455e-03,        +4.276410751848e-12,        +1.236292855076e-02,        +2.206597983297e-12,        +6.379361907455e-03,        +1.844989362633e-12,        +5.333788775388e-03,        +1.480622246646e-12,        +4.280537384283e-03,        +3.392192810253e-10,        +9.806690651840e-01,        +3.405379361274e-10,        +9.845086210623e-01,        +5.652855806611e-13,        +1.634217489859e-03,        +1.671191162661e-12,        +4.831479645978e-03
 5.00e+00,        +3.459059667205e-10,        +3.458963474163e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276451198421e-12,        +1.236304548015e-02,        +2.206580812510e-12,        +6.379312267946e-03,        +4.276451198421e-12,        +1.236304548015e-02,        +2.206580812510e-12,        +6.379312267946e-03,        +1.845010968108e-12,        +5.333851235930e-03,        +1.480641601373e-12,        +4.280593340845e-03,        +3.392192025483e-10,        +9.806688383101e-01,        +3.405378658187e-10,        +9.845084180922e-01,        +5.653020056372e-13,        +1.634264973793e-03,        +1.671259183723e-12,        +4.831676299003e-03
 6.00e+00,        +3.459059667205e-10,        +3.458934854948e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478540639320e-12,        +4.274400506410e-03,        +2.365538632999e-14,        +6.838922189053e-05,        +1.478540639320e-12,        +4.274400506410e-03,        +2.365538632999e-14,        +6.838922189053e-05,        +9.947590945574e-13,        +2.875807850291e-03,        +3.789850920365e-14,        +1.095669932882e-04,        +3.423269466995e-10,        +9.896531995243e-01,        +3.458139827827e-10,        +9.997701526180e-01,        +1.105720287116e-12,        +3.196592118950e-03,        +1.794881654290e-14,        +5.189116677704e-05
 7.00e+00,        +3.459059667205e-10,        +3.458968490156e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888222642923e-14,        +1.702261079434e-04,        +2.256676111506e-14,        +6.524130294705e-05,        +5.888222642923e-14,        +1.702261079434e-04,        +2.256676111506e-14,        +6.524130294705e-05,        +6.053162404845e-14,        +1.749944489896e-04,        +3.607080659638e-14,        +1.042819751005e-04,        +3.457787709267e-10,        +9.996322821632e-01,        +3.458211686508e-10,        +9.997812053941e-01,        +7.781943353529e-15,        +2.249727990329e-05,        +1.704279705847e-14,        +4.927132787410e-05
 8.00e+00,        +3.459059667205e-10,        +3.458968489336e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.886746796893e-14,        +1.701834418384e-04,        +2.256557441928e-14,        +6.523787218313e-05,        +5.886746796893e-14,        +1.701834418384e-04,        +2.256557441928e-14,        +6.523787218313e-05,        +6.051899899500e-14,        +1.749579504765e-04,        +3.607047803376e-14,        +1.042810252391e-04,        +3.457787974385e-10,        +9.996323588079e-01,        +3.458211691985e-10,        +9.997812072146e-01,        +7.782814980657e-15,        +2.249979974166e-05,        +1.704368258305e-14,        +4.927388796861e-05
 9.00e+00,        +3.459059667205e-10,        +3.458984583390e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340111459032e-15,        +6.765166502382e-06,        +1.572653301166e-13,        +4.546575051875e-04,        +2.340111459032e-15,        +6.765166502382e-06,        +1.572653301166e-13,        +4.546575051875e-04,        +5.250405157269e-15,        +1.517870653417e-05,        +1.936992432358e-13,        +5.599887439973e-04,        +3.458974926655e-10,        +9.999755018538e-01,        +3.454881110577e-10,        +9.988136770450e-01,        +8.835383230795e-16,        +2.554273149597e-06,        +5.938270787506e-14,        +1.716767058177e-04
 1.00e+01,        +3.459059667205e-10,        +3.458984609934e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340358405799e-15,        +6.765880415385e-06,        +1.572846588838e-13,        +4.547133815862e-04,        +2.340358405799e-15,        +6.765880415385e-06,        +1.572846588838e-13,        +4.547133815862e-04,        +5.250956127744e-15,        +1.518029936727e-05,        +1.937178503124e-13,        +5.600425331644e-04,        +3.458974917912e-10,        +9.999754993263e-01,        +3.454880743290e-10,        +9.988135631964e-01,        +8.836147036386e-16,        +2.554493962669e-06,        +5.938415523184e-14,        +1.716808888403e-04
 1.10e+01,        +3.459059667205e-10,        +3.458946213607e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.010791895837e-12,        +8.704076210023e-03,        +3.977335212804e-12,        +1.149869054673e-02,        +3.010791895837e-12,        +8.704076210023e-03,        +3.977335212804e-12,        +1.149869054673e-02,        +1.325145045112e-12,        +3.830940118424e-03,        +2.594152558680e-12,        +7.499834916412e-03,        +3.411398286291e-10,        +9.862212897438e-01,        +3.363101914377e-10,        +9.722908963278e-01,        +4.302011503896e-13,        +1.243693927770e-03,        +3.012942151459e-12,        +8.710578209072e-03
 1.20e+01,        +3.459059667205e-10,        +3.458946198696e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.011767774532e-12,        +8.706897435411e-03,        +3.976900534497e-12,        +1.149743391787e-02,        +3.011767774532e-12,        +8.706897435411e-03,        +3.976900534497e-12,        +1.149743391787e-02,        +1.325546909543e-12,        +3.832101892055e-03,        +2.594295142611e-12,        +7.500247166578e-03,        +3.411383229411e-10,        +9.862169368612e-01,        +3.363096260529e-10,        +9.722892659612e-01,        +4.303290953155e-13,        +1.244063811317e-03,        +3.013798139543e-12,        +8.713052954333e-03
