        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106467817093e+00,        +2.208258686113e-05,        +2.505294837673e+04,        +2.895934677504e-13,        +3.673316854171e-09
 2.00e+00,        +1.763001968228e+00,        +2.787623541633e-05,        +3.162195221339e+04,        +7.429664854226e-13,        +9.427228275441e-09
 3.00e+00,        +1.763004968517e+00,        +2.788128054261e-05,        +3.161628401613e+04,        +4.157283382494e-13,        +5.275023879943e-09
 4.00e+00,        +1.893303913668e+00,        +3.317045774870e-05,        +2.853900793746e+04,        +4.888345431321e-13,        +6.203165836636e-09
 5.00e+00,        +1.893304651446e+00,        +3.316699899153e-05,        +2.854199519558e+04,        +6.281058134288e-13,        +7.970477087443e-09
 6.00e+00,        +2.022681003474e+00,        +4.597555717391e-05,        +2.199735172698e+04,        +3.137016167337e-14,        +3.981138534604e-10
 7.00e+00,        +2.200472651140e+00,        +3.653875969020e-05,        +3.011148531177e+04,        +6.561798079381e-14,        +8.328585147777e-10
 8.00e+00,        +2.200473921969e+00,        +3.653829092949e-05,        +3.011188901144e+04,        +2.832206029547e-13,        +3.594787406009e-09
 9.00e+00,        +2.363015892230e+00,        +3.230705304797e-05,        +3.657120767008e+04,        +6.437942532892e-13,        +8.172456012387e-09
 1.00e+01,        +2.363028824525e+00,        +3.230009466122e-05,        +3.657928636944e+04,        +3.652149033694e-14,        +4.636112779748e-10
 1.10e+01,        +2.444392806137e+00,        +5.050827371716e-05,        +2.419794448279e+04,        +3.037759670366e-13,        +3.856461807947e-09
 1.20e+01,        +2.444407286643e+00,        +5.050995276926e-05,        +2.419728343769e+04,        +7.432066979026e-13,        +9.435072529960e-09
 1.30e+01,        +2.444495270003e+00,        +2.493539380733e-05,        +4.901657637770e+04,        +2.492449488342e-13,        +3.164186162438e-09
 1.40e+01,        +2.540035267386e+00,        +3.349535526777e-05,        +3.791623118044e+04,        +5.479153262858e-14,        +6.956419763612e-10
