        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.106460272279e+00,        +2.962623997937e-05,        +1.867365338035e+04,        +1.504497111565e-13,        +1.908362997108e-09
 2.00e+00,        +1.762992444606e+00,        +3.739815690894e-05,        +2.357057928410e+04,        +7.780274903225e-13,        +9.872104403166e-09
 3.00e+00,        +1.762995443052e+00,        +3.740655312979e-05,        +2.356532874510e+04,        +2.944056518645e-13,        +3.735604941587e-09
 4.00e+00,        +1.893292582459e+00,        +4.450167274681e-05,        +2.127215075435e+04,        +5.322741701894e-13,        +6.754401810391e-09
 5.00e+00,        +1.893293320089e+00,        +4.449798817071e-05,        +2.127392044499e+04,        +3.950214058166e-13,        +5.012704822710e-09
 6.00e+00,        +2.022665296096e+00,        +6.168234613857e-05,        +1.639582006570e+04,        +2.053127102378e-14,        +2.605591713776e-10
 7.00e+00,        +2.200460167977e+00,        +4.902182902175e-05,        +2.244367675008e+04,        +1.287512017657e-13,        +1.634179112743e-09
 8.00e+00,        +2.200461438883e+00,        +4.902110349227e-05,        +2.244402188718e+04,        +1.726409391762e-13,        +2.191251135655e-09
 9.00e+00,        +2.363004858363e+00,        +4.334243007498e-05,        +2.725971818692e+04,        +7.142653331095e-13,        +9.067030238638e-09
 1.00e+01,        +2.363017789583e+00,        +4.333514990280e-05,        +2.726444693605e+04,        +3.921387364102e-14,        +4.977889384362e-10
 1.10e+01,        +2.444375552056e+00,        +6.777072852777e-05,        +1.803415431778e+04,        +1.243236972237e-13,        +1.578299915140e-09
 1.20e+01,        +2.444390030671e+00,        +6.778387286119e-05,        +1.803076401828e+04,        +6.059912351227e-13,        +7.693110391114e-09
 1.30e+01,        +2.444486746820e+00,        +3.344178956053e-05,        +3.654838420989e+04,        +1.919042639218e-13,        +2.436241194729e-09
 1.40e+01,        +2.540023824033e+00,        +4.493938860326e-05,        +2.826055163828e+04,        +4.104097658349e-14,        +5.210627335726e-10
