        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +3.459059667205e-10,        +3.458921597242e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.199002279752e-12,        +1.792106201152e-02,        +3.020444403106e-14,        +8.732329768660e-05,        +6.199002279752e-12,        +1.792106201152e-02,        +3.020444403106e-14,        +8.732329768660e-05,        +3.235913192811e-12,        +9.354892670659e-03,        +3.790270710540e-14,        +1.095795496944e-04,        +3.341304358463e-10,        +9.659574219379e-01,        +3.458126479981e-10,        +9.997701256768e-01,        +2.340615401651e-12,        +6.766623379879e-03,        +1.140457498343e-14,        +3.297147582797e-05
 2.00e+00,        +3.459059667205e-10,        +3.458950298494e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261459050163e-13,        +3.646826512195e-04,        +5.073530197636e-12,        +1.466783202940e-02,        +1.261459050163e-13,        +3.646826512195e-04,        +5.073530197636e-12,        +1.466783202940e-02,        +1.570271337698e-13,        +4.539590203041e-04,        +2.593729288563e-12,        +7.498602364110e-03,        +3.455751632923e-10,        +9.990436608212e-01,        +3.363120345070e-10,        +9.722950764959e-01,        +4.763038936684e-14,        +1.376975072689e-04,        +1.915735856231e-12,        +5.538489110598e-03
 3.00e+00,        +3.459059667205e-10,        +3.458950259671e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.261493949784e-13,        +3.646927405571e-04,        +5.073747483137e-12,        +1.466846037740e-02,        +1.261493949784e-13,        +3.646927405571e-04,        +5.073747483137e-12,        +1.466846037740e-02,        +1.570316937298e-13,        +4.539722029619e-04,        +2.593795276236e-12,        +7.498793221973e-03,        +3.455751536839e-10,        +9.990436330438e-01,        +3.363117857518e-10,        +9.722943682451e-01,        +4.763194783220e-14,        +1.377020127285e-04,        +1.915697455908e-12,        +5.538378155487e-03
 4.00e+00,        +3.459059667205e-10,        +3.458938476964e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276376180985e-12,        +1.236282860781e-02,        +2.206561250225e-12,        +6.379301814473e-03,        +4.276376180985e-12,        +1.236282860781e-02,        +2.206561250225e-12,        +6.379301814473e-03,        +1.844976427040e-12,        +5.333751379117e-03,        +1.480598180676e-12,        +4.280498744157e-03,        +3.392193282516e-10,        +9.806692017131e-01,        +3.405355237534e-10,        +9.845087619261e-01,        +5.652858608849e-13,        +1.634218299974e-03,        +1.671164512061e-12,        +4.831437515270e-03
 5.00e+00,        +3.459059667205e-10,        +3.458938475276e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.276416745215e-12,        +1.236294587734e-02,        +2.206544142580e-12,        +6.379252358351e-03,        +4.276416745215e-12,        +1.236294587734e-02,        +2.206544142580e-12,        +6.379252358351e-03,        +1.844998079342e-12,        +5.333813975037e-03,        +1.480617604816e-12,        +4.280554902606e-03,        +3.392192496048e-10,        +9.806689743484e-01,        +3.405354531276e-10,        +9.845085582230e-01,        +5.653022911465e-13,        +1.634265799189e-03,        +1.671232652595e-12,        +4.831634516024e-03
 6.00e+00,        +3.459059667205e-10,        +3.458902418301e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.478526223000e-12,        +4.274358829419e-03,        +2.365493354139e-14,        +6.838855417323e-05,        +1.478526223000e-12,        +4.274358829419e-03,        +2.365493354139e-14,        +6.838855417323e-05,        +9.947499846426e-13,        +2.875781513900e-03,        +3.789780274554e-14,        +1.095659783434e-04,        +3.423269797984e-10,        +9.896532952118e-01,        +3.458107406020e-10,        +9.997701547531e-01,        +1.105710714486e-12,        +3.196564444866e-03,        +1.794849175873e-14,        +5.189071441788e-05
 7.00e+00,        +3.459059667205e-10,        +3.458944792313e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.888150081174e-14,        +1.702240102129e-04,        +2.256624684644e-14,        +6.524026314786e-05,        +5.888150081174e-14,        +1.702240102129e-04,        +2.256624684644e-14,        +6.524026314786e-05,        +6.053093835101e-14,        +1.749924666663e-04,        +3.606999903702e-14,        +1.042803548562e-04,        +3.457787723718e-10,        +9.996322863411e-01,        +3.458188005646e-10,        +9.997812088044e-01,        +7.781909501849e-15,        +2.249718203947e-05,        +1.704242078546e-14,        +4.927057761470e-05
 8.00e+00,        +3.459059667205e-10,        +3.458944793646e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.886674101416e-14,        +1.701813402419e-04,        +2.256505997394e-14,        +6.523683180892e-05,        +5.886674101416e-14,        +1.701813402419e-04,        +2.256505997394e-14,        +6.523683180892e-05,        +6.051831168333e-14,        +1.749559634866e-04,        +3.606966949416e-14,        +1.042794020894e-04,        +3.457787988871e-10,        +9.996323629957e-01,        +3.458188013297e-10,        +9.997812106310e-01,        +7.782780684171e-15,        +2.249970059192e-05,        +1.704330540597e-14,        +4.927313508235e-05
 9.00e+00,        +3.459059667205e-10,        +3.458965102709e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340090565768e-15,        +6.765106100812e-06,        +1.572638576002e-13,        +4.546558086898e-04,        +2.340090565768e-15,        +6.765106100812e-06,        +1.572638576002e-13,        +4.546558086898e-04,        +5.250364781433e-15,        +1.517858980928e-05,        +1.936976761134e-13,        +5.599873672090e-04,        +3.458974927308e-10,        +9.999755020424e-01,        +3.454861663231e-10,        +9.988136800009e-01,        +8.835343560678e-16,        +2.554261681128e-06,        +5.938241404477e-14,        +1.716768232159e-04
 1.00e+01,        +3.459059667205e-10,        +3.458965104190e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.340337457055e-15,        +6.765819853423e-06,        +1.572831845414e-13,        +4.547116834192e-04,        +2.340337457055e-15,        +6.765819853423e-06,        +1.572831845414e-13,        +4.547116834192e-04,        +5.250915652390e-15,        +1.518018235468e-05,        +1.937162801111e-13,        +5.600411518360e-04,        +3.458974918567e-10,        +9.999754995154e-01,        +3.454861270946e-10,        +9.988135661619e-01,        +8.836107020122e-16,        +2.554482394131e-06,        +5.938385979016e-14,        +1.716810028474e-04
