        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +4.087207877788e-10,        +4.087207877385e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.959325536289e-13,        +4.793799568986e-04,        +7.318680904528e-12,        +1.790630945155e-02
 2.00e+00,        +4.087207877788e-10,        +4.087207870985e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.961059286818e-13,        +4.798041463649e-04,        +7.321005896351e-12,        +1.791199793953e-02
 3.00e+00,        +4.087207877788e-10,        +4.087207877677e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.461388870835e-12,        +6.022176861155e-03,        +3.861631960963e-12,        +9.448092870575e-03
 4.00e+00,        +4.087207877788e-10,        +4.087207879698e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.463499267741e-12,        +6.027340280705e-03,        +3.863690255529e-12,        +9.453128808839e-03
 5.00e+00,        +4.087207877788e-10,        +4.087207874059e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.686266637882e-12,        +4.125717820828e-03,        +2.435260632872e-14,        +5.958250003207e-05
 6.00e+00,        +4.087207877788e-10,        +4.087207883679e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.662792278288e-11,        +4.068284090283e-02,        +3.187040283313e-13,        +7.797597709770e-04
 7.00e+00,        +4.087207877788e-10,        +4.087207878418e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.794953223449e-14,        +4.391636728839e-05,        +3.228033603718e-14,        +7.897894356594e-05
 8.00e+00,        +4.087207877788e-10,        +4.087207876139e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.908384073448e-14,        +4.669163229546e-05,        +3.235453809307e-14,        +7.916049066639e-05
 9.00e+00,        +4.087207877788e-10,        +4.087207873692e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.611065982175e-15,        +8.835043604706e-06,        +2.225267689759e-13,        +5.444469081405e-04
 1.00e+01,        +4.087207877788e-10,        +4.087207874542e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.557765648385e-15,        +8.704635914704e-06,        +2.227015649665e-13,        +5.448745740427e-04
 1.10e+01,        +4.087207877788e-10,        +4.087207875444e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163173011730e-12,        +5.292544632941e-03,        +7.056944667711e-12,        +1.726593039250e-02
 1.20e+01,        +4.087207877788e-10,        +4.087207878370e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.163298716227e-12,        +5.292852188858e-03,        +7.058814814605e-12,        +1.727050599007e-02
 1.30e+01,        +4.087207877788e-10,        +4.087207883062e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.861414821544e-13,        +7.000903568167e-04,        +1.207825050962e-11,        +2.955134863504e-02
 1.40e+01,        +4.087207877788e-10,        +4.087207870759e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.776212796489e-16,        +4.345785312614e-07,        +3.232113198237e-16,        +7.907875744124e-07
 1.50e+01,        +4.087207877788e-10,        +4.087207875886e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.708368774956e-16,        +4.179794192120e-07,        +3.235386203029e-16,        +7.915883657686e-07
 1.60e+01,        +4.087207877788e-10,        +4.087207874643e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.101344140603e-12,        +2.226787678225e-02,        +2.600793003501e-13,        +6.363251107525e-04
 1.70e+01,        +4.087207877788e-10,        +4.087207877042e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.582918071502e-14,        +6.319517256606e-05,        +1.969768416755e-13,        +4.819349727277e-04
 1.80e+01,        +4.087207877788e-10,        +4.087207876402e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.578612792935e-14,        +6.308983712203e-05,        +1.970594524013e-13,        +4.821370929996e-04
 1.90e+01,        +4.087207877788e-10,        +4.087207877338e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.266397255612e-17,        +2.022504727625e-07,        +5.056259691989e-15,        +1.237093841012e-05
 2.00e+01,        +4.087207877788e-10,        +4.087207877308e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.196011016949e-17,        +2.249949425603e-07,        +5.034899105081e-15,        +1.231867635858e-05
 2.10e+01,        +4.087207877788e-10,        +4.087207869176e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.560982097659e-12,        +1.115916350241e-02,        +3.430520019007e-12,        +8.393309390692e-03
 2.20e+01,        +4.087207877788e-10,        +4.087207875540e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.570729124529e-12,        +1.118301114404e-02,        +3.451461193149e-12,        +8.444545269657e-03
 2.30e+01,        +4.087207877788e-10,        +4.087207878527e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.453095056460e-16,        +3.555226697318e-07,        +1.547694537783e-16,        +3.786679277838e-07
 2.40e+01,        +4.087207877788e-10,        +4.087207880059e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.057888620265e-16,        +2.588291694226e-07,        +1.352146497686e-16,        +3.308240092908e-07
 2.50e+01,        +4.087207877788e-10,        +4.087207870557e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.836472454067e-12,        +4.493220088088e-03,        +1.947185325960e-11,        +4.764096634250e-02
 2.60e+01,        +4.087207877788e-10,        +4.087207877014e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.835140560445e-12,        +4.489961399854e-03,        +1.947855490928e-11,        +4.765736291228e-02
