        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.718965167322e+00,        -2.181250188345e-10,        +3.940320960214e+09,        +3.246306132471e-11,        +5.558345952361e-07
 2.00e+00,        +1.719114370725e+00,        +2.281631332040e-11,        +3.767292170703e+10,        +1.953068404372e-11,        +3.344058412928e-07
 3.00e+00,        +1.872194156591e+00,        -3.636873748380e-11,        +2.573905895723e+10,        +4.767174610951e-11,        +8.168414097731e-07
 4.00e+00,        +1.872341226305e+00,        -1.016594416570e-10,        +9.208889975133e+09,        +4.012133566629e-11,        +6.874678455177e-07
 5.00e+00,        +1.960133151423e+00,        -9.408971055549e-12,        +1.041629918857e+11,        +5.922160944426e-11,        +1.015203525301e-06
 6.00e+00,        +2.200196656862e+00,        +4.644683874218e-10,        +2.368510663422e+09,        +6.944030213213e-11,        +1.191970510248e-06
 7.00e+00,        +2.202444452786e+00,        -9.525125666358e-11,        +1.156123567254e+10,        +1.495132007797e-10,        +2.566487782460e-06
 8.00e+00,        +2.202804482134e+00,        -1.668987880542e-10,        +6.599222522270e+09,        +1.319211147970e-10,        +2.264513410182e-06
 9.00e+00,        +2.307626085293e+00,        -2.095104620762e-10,        +5.507185804530e+09,        +8.630285820432e-11,        +1.482383335572e-06
 1.00e+01,        +2.308054521496e+00,        +5.804884127929e-10,        +1.988028073112e+09,        +7.012790442364e-11,        +1.204556998950e-06
 1.10e+01,        +2.354431896462e+00,        +3.347154201994e-10,        +3.517065175933e+09,        +1.096072139975e-10,        +1.883220783231e-06
 1.20e+01,        +2.354558511094e+00,        -4.401873986449e-10,        +2.674495587950e+09,        +8.140164163082e-11,        +1.398606715279e-06
 1.30e+01,        +2.441063286539e+00,        +2.141335153643e-10,        +5.699862729069e+09,        +1.162421532959e-10,        +1.998328875897e-06
 1.40e+01,        +2.574671956365e+00,        +7.453669277771e-10,        +1.727117115354e+09,        +1.199677791694e-10,        +2.064223715236e-06
 1.50e+01,        +2.575303679246e+00,        +5.903759611597e-10,        +2.181070918087e+09,        +1.229570367268e-10,        +2.115667520096e-06
 1.60e+01,        +2.717495975342e+00,        -8.189657067700e-13,        +1.659102422042e+12,        +1.549101318671e-10,        +2.668149145375e-06
 1.70e+01,        +2.808273799815e+00,        +1.180081772077e-10,        +1.189864069705e+10,        +1.609705145608e-10,        +2.774387597705e-06
 1.80e+01,        +2.808829830715e+00,        -1.676297336398e-12,        +8.378077593173e+11,        +2.285850877044e-10,        +3.939766700097e-06
 1.90e+01,        +2.862575495087e+00,        -1.156686414021e-09,        +1.237403439855e+09,        +1.011932133172e-10,        +1.744819239443e-06
 2.00e+01,        +2.863145773490e+00,        +3.581241210129e-11,        +3.997421013408e+10,        +9.005555483500e-11,        +1.552785441481e-06
 2.10e+01,        +2.928445833748e+00,        -8.070334905092e-10,        +1.814327328535e+09,        +9.778473176243e-11,        +1.686905725112e-06
 2.20e+01,        +2.928934350475e+00,        +9.691019977056e-11,        +1.511158968514e+10,        +1.666971128890e-10,        +2.875739195116e-06
