        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1]
 1.00e+00,        +4.087207877788e-10,        +4.087207876641e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.389480404670e-12,        +1.807953161577e-02,        +3.632510258027e-14,        +8.887510417046e-05
 2.00e+00,        +4.087207877788e-10,        +4.087207874404e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.516947656804e-13,        +3.711452175086e-04,        +6.047874306191e-12,        +1.479708028570e-02
 3.00e+00,        +4.087207877788e-10,        +4.087207873129e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.517999312792e-13,        +3.714025217659e-04,        +6.049527076240e-12,        +1.480112405344e-02
 4.00e+00,        +4.087207877788e-10,        +4.087207877246e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.100266727107e-12,        +1.247860857488e-02,        +2.627795604303e-12,        +6.429317233735e-03
 5.00e+00,        +4.087207877788e-10,        +4.087207874611e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.104388358266e-12,        +1.248869279688e-02,        +2.628830780057e-12,        +6.431849958958e-03
 6.00e+00,        +4.087207877788e-10,        +4.087207876916e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.772578477232e-12,        +4.336893376197e-03,        +2.844355640138e-14,        +6.959165586371e-05
 7.00e+00,        +4.087207877788e-10,        +4.087207872517e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.081031868443e-14,        +1.732486352585e-04,        +2.704970667236e-14,        +6.618138229341e-05
 8.00e+00,        +4.087207877788e-10,        +4.087207871308e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.090516414381e-14,        +1.734806896638e-04,        +2.709199418058e-14,        +6.628484538495e-05
 9.00e+00,        +4.087207877788e-10,        +4.087207879111e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.868897983150e-15,        +7.019212305644e-06,        +1.891476559015e-13,        +4.627796321988e-04
 1.00e+01,        +4.087207877788e-10,        +4.087207883941e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.845821009345e-15,        +6.962750842234e-06,        +1.892882395634e-13,        +4.631235917976e-04
 1.10e+01,        +4.087207877788e-10,        +4.087207877612e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.582694809510e-12,        +8.765629047107e-03,        +4.739198337412e-12,        +1.159519769809e-02
 1.20e+01,        +4.087207877788e-10,        +4.087207877854e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.472555359694e-12,        +8.496155477106e-03,        +4.839526181458e-12,        +1.184066562330e-02
 1.30e+01,        +4.087207877788e-10,        +4.087207879685e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.964744608945e-13,        +7.253716222895e-04,        +7.676809653004e-12,        +1.878252802154e-02
 1.40e+01,        +4.087207877788e-10,        +4.087207878645e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651666589562e-11,        +4.041063334551e-02,        +4.341809921778e-13,        +1.062292413475e-03
 1.50e+01,        +4.087207877788e-10,        +4.087207877953e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.239067173059e-15,        +3.031573656414e-06,        +2.884224689683e-16,        +7.056711515069e-07
 1.60e+01,        +4.087207877788e-10,        +4.087207877323e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.824630741810e-16,        +2.403751175760e-06,        +2.837989644571e-16,        +6.943590171465e-07
 1.70e+01,        +4.087207877788e-10,        +4.087207870495e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.956526443285e-14,        +1.946689936307e-04,        +1.482815891500e-13,        +3.627943423687e-04
 1.80e+01,        +4.087207877788e-10,        +4.087207880425e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +7.930834799229e-14,        +1.940404069568e-04,        +1.483093454581e-13,        +3.628622516815e-04
 1.90e+01,        +4.087207877788e-10,        +4.087207877408e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.545657383244e-16,        +3.781695057997e-07,        +4.363640732128e-15,        +1.067633666555e-05
 2.00e+01,        +4.087207877788e-10,        +4.087207876941e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.378568624380e-16,        +3.372886003356e-07,        +4.347560992471e-15,        +1.063699504251e-05
