        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.111364249288e+00,        -2.122089351935e-12,        +2.618561391571e+11,        +4.360038363600e-11,        +7.439121964746e-07
 2.00e+00,        +1.770841491943e+00,        -3.608655219193e-11,        +2.453603052080e+10,        +6.616581702289e-11,        +1.129692162327e-06
 3.00e+00,        +1.771002021979e+00,        -1.050692249402e-10,        +8.427786647264e+09,        +6.339071618946e-11,        +1.082311275138e-06
 4.00e+00,        +1.895097857655e+00,        +3.299909883674e-10,        +2.871438803573e+09,        +1.017986167272e-10,        +1.738357102221e-06
 5.00e+00,        +1.895267347970e+00,        -2.109354517504e-10,        +4.492529189007e+09,        +8.618303046251e-11,        +1.471698951302e-06
 6.00e+00,        +2.025665841268e+00,        +2.275530425585e-10,        +4.450975074850e+09,        +1.319834429208e-10,        +2.254218427858e-06
 7.00e+00,        +2.204617253264e+00,        +1.654173144203e-10,        +6.663804393721e+09,        +1.320966488257e-10,        +2.256762015689e-06
 8.00e+00,        +2.204978268714e+00,        +5.759274703013e-10,        +1.914284682028e+09,        +1.843189357715e-10,        +3.148938396165e-06
 9.00e+00,        +2.373556465255e+00,        +4.607670173008e-10,        +2.575657953080e+09,        +1.019444886326e-10,        +1.742118327686e-06
 1.00e+01,        +2.373982404694e+00,        +1.777062675671e-09,        +6.679512313197e+08,        +2.000828019516e-10,        +3.419195805983e-06
 1.10e+01,        +2.450191634051e+00,        -9.972469226993e-10,        +1.228477911679e+09,        +1.380148132456e-10,        +2.358831463990e-06
 1.20e+01,        +2.450292502642e+00,        -3.256412522059e-10,        +3.762257524260e+09,        +7.252875610289e-11,        +1.239599852389e-06
 1.30e+01,        +2.450702777131e+00,        -4.838363242785e-11,        +2.532574193128e+10,        +1.535424180656e-10,        +2.624218387415e-06
 1.40e+01,        +2.552156875292e+00,        -7.992578701747e-11,        +1.596579133299e+10,        +4.884994327613e-10,        +8.350535757019e-06
 1.50e+01,        +2.576626980956e+00,        -1.404369321713e-09,        +9.173608897311e+08,        +2.611284796394e-10,        +4.463997765161e-06
 1.60e+01,        +2.577257710137e+00,        +4.444980346481e-10,        +2.899065360522e+09,        +1.222296137853e-10,        +2.089520670138e-06
 1.70e+01,        +2.915616532446e+00,        +4.172346547192e-11,        +3.493976949743e+10,        +1.555593257195e-10,        +2.661057436361e-06
 1.80e+01,        +2.915969470781e+00,        -1.673323682069e-10,        +8.713106442070e+09,        +1.825966611255e-10,        +3.123570749389e-06
 1.90e+01,        +2.949107228499e+00,        -1.319047725517e-12,        +1.117892541509e+12,        +1.485718254361e-10,        +2.541704611523e-06
 2.00e+01,        +2.949631966148e+00,        -3.847935482018e-10,        +3.832746130921e+09,        +1.243319105510e-10,        +2.127020640068e-06
 2.10e+01,        +2.985108329023e+00,        -1.057222359471e-09,        +1.411769389042e+09,        +1.409589325174e-10,        +2.411650148326e-06
 2.20e+01,        +2.986133030693e+00,        -2.969124163970e-10,        +5.028642902391e+09,        +1.307670635747e-10,        +2.237283517423e-06
 2.30e+01,        +2.991308411927e+00,        -3.486651078686e-10,        +4.289658391993e+09,        +1.251844991850e-10,        +2.141795484100e-06
 2.40e+01,        +2.991970914946e+00,        +1.220848901655e-11,        +1.225364953390e+11,        +9.352669874510e-11,        +1.600160926165e-06
 2.50e+01,        +3.062470488731e+00,        +9.302481351394e-10,        +1.646050324128e+09,        +3.963252954819e-10,        +6.781815089134e-06
 2.60e+01,        +3.244426766149e+00,        +1.546311345443e-12,        +1.049085869967e+12,        +1.642806318040e-10,        +2.812277490899e-06
 2.70e+01,        +3.244627784399e+00,        +1.135595866905e-09,        +1.428601441304e+09,        +1.698266355537e-10,        +2.907219440919e-06
