        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.322832289852e+00,        -4.492672034761e-12,        +1.472211057938e+11,        +1.650124344297e-11,        +6.303532176186e-06
 2.00e+00,        +1.608126075382e+00,        -8.036314295896e-11,        +1.000537072202e+10,        +9.642106182821e-12,        +3.683896248106e-06
 3.00e+00,        +1.608276483590e+00,        +5.627744701200e-11,        +1.428881878070e+10,        +6.410398919889e-12,        +2.449179279582e-06
 4.00e+00,        +1.819407497390e+00,        +1.760962755699e-11,        +5.165945422474e+10,        +3.694875985341e-11,        +1.411868938130e-05
 5.00e+00,        +2.093407104045e+00,        -2.081262947004e-11,        +5.029174970562e+10,        +1.252163218774e-11,        +4.785671084067e-06
 6.00e+00,        +2.093945285986e+00,        -3.616462774245e-11,        +2.895018443019e+10,        +7.132479726422e-12,        +2.725979801043e-06
 7.00e+00,        +2.107998649360e+00,        -2.068477068334e-10,        +5.095533041267e+09,        +2.639291477176e-11,        +1.008728417206e-05
 8.00e+00,        +2.108137799884e+00,        +3.229876685742e-11,        +3.263495800303e+10,        +1.784372483088e-11,        +6.819812985055e-06
 9.00e+00,        +2.450035249587e+00,        +4.145164052869e-10,        +2.955293467687e+09,        +2.414015881771e-11,        +9.228987637978e-06
 1.00e+01,        +2.450277682698e+00,        +1.350416844059e-10,        +9.072301243420e+09,        +1.651620590507e-11,        +6.314287128251e-06
 1.10e+01,        +2.451084978031e+00,        +3.183909389352e-11,        +3.849175146486e+10,        +9.414927330870e-12,        +3.599410114566e-06
 1.20e+01,        +2.627006339130e+00,        -1.174031244093e-11,        +1.118797456349e+11,        +1.853406304091e-11,        +7.086924015748e-06
 1.30e+01,        +2.627821814438e+00,        -1.920625998224e-10,        +6.841055512287e+09,        +1.979518944208e-11,        +7.569150698625e-06
 1.40e+01,        +2.696543600067e+00,        -2.398094599668e-10,        +5.622262775706e+09,        +2.447359471381e-11,        +9.358689947759e-06
 1.50e+01,        +2.696744816502e+00,        +2.590146499130e-10,        +5.205776618057e+09,        +1.667497694417e-11,        +6.376503848158e-06
 1.60e+01,        +2.825281993363e+00,        -1.602217339108e-10,        +8.816787599289e+09,        +4.129460397932e-11,        +1.579314062671e-05
 1.70e+01,        +2.825751345808e+00,        +4.080979200034e-11,        +3.462099666894e+10,        +1.327548301649e-11,        +5.077217220898e-06
 1.80e+01,        +2.828187920870e+00,        -2.637427343045e-10,        +5.361641389532e+09,        +3.906239618540e-11,        +1.493947773838e-05
 1.90e+01,        +3.012347940136e+00,        -3.161298534846e-10,        +4.764415487705e+09,        +1.995815366756e-11,        +7.634568403597e-06
 2.00e+01,        +3.012709248375e+00,        -3.689756633728e-10,        +4.082531109011e+09,        +3.021977623072e-11,        +1.155993920015e-05
 2.10e+01,        +3.038207788084e+00,        +6.293052805188e-11,        +2.413937942471e+10,        +1.118351463523e-10,        +4.278141842955e-05
 2.20e+01,        +3.089330719121e+00,        -1.129395394014e-10,        +1.367692278317e+10,        +3.237007525146e-11,        +1.238357631962e-05
 2.30e+01,        +3.089616882448e+00,        -1.306298870430e-10,        +1.182584227999e+10,        +5.350918238197e-11,        +2.047061238952e-05
