        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13],             E_elec[14] (J),                 p_elec[14],              E_mag[14] (J),                  p_mag[14],             E_elec[15] (J),                 p_elec[15],              E_mag[15] (J),                  p_mag[15],             E_elec[16] (J),                 p_elec[16],              E_mag[16] (J),                  p_mag[16],             E_elec[17] (J),                 p_elec[17],              E_mag[17] (J),                  p_mag[17],             E_elec[18] (J),                 p_elec[18],              E_mag[18] (J),                  p_mag[18]
 1.00e+00,        +2.935514708646e-10,        +2.935514708939e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.959237500430e-15,        +1.348737067735e-05,        +9.733689663331e-13,        +3.315837469215e-03,        +3.959237500430e-15,        +1.348737067735e-05,        +9.733689663331e-13,        +3.315837469215e-03,        +4.387556541159e-12,        +1.494646416943e-02,        +5.500374873990e-12,        +1.873734393918e-02,        +5.820541462119e-11,        +1.982800987158e-01,        +5.429354028771e-11,        +1.849540733772e-01,        +5.814525299752e-11,        +1.980751546782e-01,        +5.443596576327e-11,        +1.854392539663e-01,        +5.711006781425e-11,        +1.945487367038e-01,        +5.337007743922e-11,        +1.818082439740e-01,        +5.709507526236e-11,        +1.944976637120e-01,        +5.335433286199e-11,        +1.817546091645e-01,        +5.817795974050e-11,        +1.981865720828e-01,        +5.447418527839e-11,        +1.855694509467e-01,        +7.937629262240e-14,        +2.703999144975e-04,        +3.382875386263e-12,        +1.152395992417e-02,        +3.468083574519e-13,        +1.181422652833e-03,        +1.376675003675e-11,        +4.689722723864e-02
 2.00e+00,        +2.935514708646e-10,        +2.935514708206e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.072766332860e-12,        +7.060997946137e-03,        +4.608235721229e-14,        +1.569822051427e-04,        +2.072766332860e-12,        +7.060997946137e-03,        +4.608235721229e-14,        +1.569822051427e-04,        +7.038660639991e-11,        +2.397760303929e-01,        +3.182447989010e-12,        +1.084119244954e-02,        +4.431537630439e-11,        +1.509628828426e-01,        +6.069437806661e-11,        +2.067588961382e-01,        +3.745148071967e-11,        +1.275806270341e-01,        +5.452282820398e-11,        +1.857351559220e-01,        +4.325793495031e-11,        +1.473606479399e-01,        +6.005857476758e-11,        +2.045929955646e-01,        +4.325197218727e-11,        +1.473403354440e-01,        +6.006535516561e-11,        +2.046160933812e-01,        +3.746814672449e-11,        +1.276374007398e-01,        +5.452996348031e-11,        +1.857594626519e-01,        +5.634088780140e-12,        +1.919284806697e-02,        +1.665649960846e-13,        +5.674132567587e-04,        +9.713098465512e-12,        +3.308822959362e-02,        +2.852757941536e-13,        +9.718084305836e-04
 3.00e+00,        +2.935514708646e-10,        +2.935514708762e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +9.233696912450e-17,        +3.145512057989e-07,        +1.878916460810e-16,        +6.400637187071e-07,        +9.233696912450e-17,        +3.145512057989e-07,        +1.878916460810e-16,        +6.400637187071e-07,        +4.846774504264e-15,        +1.651081662098e-05,        +1.026916082753e-15,        +3.498248806889e-06,        +5.982394044719e-11,        +2.037937002019e-01,        +5.781433423441e-11,        +1.969478608363e-01,        +6.446224310236e-11,        +2.195943454567e-01,        +5.336798372602e-11,        +1.818011116304e-01,        +6.119700030537e-11,        +2.084711077248e-01,        +5.637378216839e-11,        +1.920405372187e-01,        +5.441962299379e-11,        +1.853835813989e-01,        +6.252423314276e-11,        +2.129924028524e-01,        +5.364283913727e-11,        +1.827374224332e-01,        +6.346925163187e-11,        +2.162116627875e-01,        +1.987189859709e-16,        +6.769476759413e-07,        +2.851575403025e-16,        +9.714055918416e-07,        +6.870481095403e-16,        +2.340468973011e-06,        +3.860074683048e-16,        +1.314956682563e-06
 4.00e+00,        +2.935514708646e-10,        +2.935514709175e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.076357660808e-16,        +7.073232011724e-07,        +1.591599320183e-16,        +5.421874791528e-07,        +2.076357660808e-16,        +7.073232011724e-07,        +1.591599320183e-16,        +5.421874791528e-07,        +7.765698992285e-15,        +2.645430107849e-05,        +1.134789558676e-15,        +3.865726017756e-06,        +5.768655656006e-11,        +1.965125788338e-01,        +5.973118077785e-11,        +2.034777090068e-01,        +5.299110632007e-11,        +1.805172570384e-01,        +6.407106407832e-11,        +2.182617715322e-01,        +5.613199874157e-11,        +1.912168880512e-01,        +6.096180307698e-11,        +2.076698947767e-01,        +6.296011248425e-11,        +2.144772509531e-01,        +5.484789593379e-11,        +1.868425178125e-01,        +6.377224350629e-11,        +2.172438220748e-01,        +5.393759665403e-11,        +1.837415308649e-01,        +3.730447052250e-16,        +1.270798283266e-06,        +2.887536952631e-16,        +9.836561007874e-07,        +1.106872848291e-15,        +3.770626135959e-06,        +3.476933030032e-16,        +1.184437270631e-06
 5.00e+00,        +2.935514708646e-10,        +2.935514708966e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.134599669492e-13,        +7.271636770225e-04,        +2.066873268940e-12,        +7.040922883565e-03,        +2.134599669492e-13,        +7.271636770225e-04,        +2.066873268940e-12,        +7.040922883565e-03,        +8.148477514451e-12,        +2.775825817003e-02,        +3.115950461720e-12,        +1.061466478844e-02,        +7.529205839183e-11,        +2.564867352566e-01,        +6.233037920560e-11,        +2.123320282308e-01,        +4.032334525976e-11,        +1.373637990673e-01,        +4.981173613508e-11,        +1.696865492888e-01,        +6.245336452661e-11,        +2.127509848364e-01,        +5.953690424729e-11,        +2.028158948257e-01,        +6.579171859470e-11,        +2.241232803261e-01,        +6.084338099209e-11,        +2.072664831358e-01,        +3.811584111114e-11,        +1.298438089882e-01,        +4.889589301047e-11,        +1.665666769140e-01,        +1.326126750836e-12,        +4.517527188437e-03,        +2.589916730811e-12,        +8.822700574113e-03,        +1.887078748285e-12,        +6.428442489921e-03,        +4.360436844584e-12,        +1.485407935878e-02
 6.00e+00,        +2.935514708646e-10,        +2.935514706162e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.069966571899e-13,        +7.051460399102e-04,        +1.990266486592e-12,        +6.779957471902e-03,        +2.069966571899e-13,        +7.051460399102e-04,        +1.990266486592e-12,        +6.779957471902e-03,        +8.048310054757e-12,        +2.741703194692e-02,        +3.074889630604e-12,        +1.047478871133e-02,        +3.446882165088e-11,        +1.174200270548e-01,        +4.714394844458e-11,        +1.605985769569e-01,        +7.325354108624e-11,        +2.495424085953e-01,        +6.354822295291e-11,        +2.164806833347e-01,        +5.114957072636e-11,        +1.742439599288e-01,        +5.387803995514e-11,        +1.835386477269e-01,        +4.777240822133e-11,        +1.627394612626e-01,        +5.252967048436e-11,        +1.789453494274e-01,        +7.546906388185e-11,        +2.570897146575e-01,        +6.447182586069e-11,        +2.196269898609e-01,        +1.335275173728e-12,        +4.548691818153e-03,        +2.701129589978e-12,        +9.201553595721e-03,        +1.847483412214e-12,        +6.293558696104e-03,        +4.213477211376e-12,        +1.435345291417e-02
 7.00e+00,        +2.935514708646e-10,        +2.935514712583e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.534398513168e-14,        +1.885324742836e-04,        +3.571237179073e-14,        +1.216562520966e-04,        +5.534398513168e-14,        +1.885324742836e-04,        +3.571237179073e-14,        +1.216562520966e-04,        +8.450869114722e-13,        +2.878837258022e-03,        +3.840241663688e-13,        +1.308200448537e-03,        +7.042244471894e-11,        +2.398981156917e-01,        +6.006734709887e-11,        +2.046228787115e-01,        +6.590374786026e-11,        +2.245049144743e-01,        +6.044313415950e-11,        +2.059030189848e-01,        +4.513501345182e-11,        +1.537550240130e-01,        +5.581974689175e-11,        +1.901531838777e-01,        +4.516539165837e-11,        +1.538585091240e-01,        +5.585935089473e-11,        +1.902880971957e-01,        +6.589039105536e-11,        +2.244594137488e-01,        +6.045160102453e-11,        +2.059318618483e-01,        +2.525388576211e-14,        +8.602881698303e-05,        +2.591791051407e-13,        +8.829085544341e-04,        +1.087973374243e-13,        +3.706243988623e-04,        +2.313755456011e-13,        +7.881941269424e-04
 8.00e+00,        +2.935514708646e-10,        +2.935514708625e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.823917267791e-15,        +6.213279267241e-06,        +4.858638606126e-14,        +1.655123236770e-04,        +1.823917267791e-15,        +6.213279267241e-06,        +4.858638606126e-14,        +1.655123236770e-04,        +1.938380253631e-13,        +6.603204023886e-04,        +3.353628011148e-13,        +1.142432705684e-03,        +4.381471828652e-11,        +1.492573624567e-01,        +5.718808057640e-11,        +1.948144916746e-01,        +5.417986797173e-11,        +1.845668421015e-01,        +5.795633222601e-11,        +1.974315851858e-01,        +7.055905077173e-11,        +2.403634720818e-01,        +5.982592041483e-11,        +2.038004450772e-01,        +7.056373730657e-11,        +2.403794370328e-01,        +5.981414962980e-11,        +2.037603472197e-01,        +5.421369676573e-11,        +1.846820818375e-01,        +5.797727003858e-11,        +1.975029110508e-01,        +1.069619337392e-14,        +3.643719904524e-05,        +1.401800845112e-13,        +4.775315350979e-04,        +1.404162626698e-14,        +4.783360896005e-05,        +2.655887051632e-13,        +9.047432274242e-04
 9.00e+00,        +2.935514708646e-10,        +2.935514707732e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.875305200683e-13,        +3.023423856315e-03,        +2.719526116048e-14,        +9.264222416888e-05,        +8.875305200683e-13,        +3.023423856315e-03,        +2.719526116048e-14,        +9.264222416888e-05,        +1.080711966945e-11,        +3.681507586259e-02,        +5.754826908740e-13,        +1.960414946511e-03,        +5.755390086934e-11,        +1.960606795798e-01,        +5.990464601386e-11,        +2.040686284285e-01,        +5.637490142637e-11,        +1.920443500431e-01,        +5.897146975025e-11,        +2.008897097157e-01,        +5.490065440476e-11,        +1.870222426175e-01,        +5.753496945612e-11,        +1.959961886908e-01,        +5.489430683843e-11,        +1.870006192671e-01,        +5.753530693708e-11,        +1.959973383391e-01,        +5.635374425676e-11,        +1.919722769257e-01,        +5.894273859538e-11,        +2.007918353811e-01,        +1.041715182631e-12,        +3.548662793488e-03,        +3.383337166422e-14,        +1.152553300963e-04,        +7.375976967377e-13,        +2.512669054478e-03,        +2.582869682642e-14,        +8.798694402172e-05
 1.00e+01,        +2.935514708646e-10,        +2.935514713961e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.950565279873e-12,        +1.005127063810e-02,        +9.113645684949e-14,        +3.104615909982e-04,        +2.950565279873e-12,        +1.005127063810e-02,        +9.113645684949e-14,        +3.104615909982e-04,        +5.814944202889e-11,        +1.980894248550e-01,        +3.209797973220e-12,        +1.093436172524e-02,        +4.865141072659e-11,        +1.657338339451e-01,        +6.190372322159e-11,        +2.108785996786e-01,        +3.841149720117e-11,        +1.308509784947e-01,        +5.249895208986e-11,        +1.788407049714e-01,        +4.769685382007e-11,        +1.624820808412e-01,        +6.148225103125e-11,        +2.094428303795e-01,        +4.759784758836e-11,        +1.621448104081e-01,        +6.140336917871e-11,        +2.091741148041e-01,        +3.847380456560e-11,        +1.310632321217e-01,        +5.256360781935e-11,        +1.790609584390e-01,        +6.993304022031e-12,        +2.382309310675e-02,        +2.310198487305e-13,        +7.869824246896e-04,        +4.626745631956e-12,        +1.576127558935e-02,        +1.676137764974e-13,        +5.709859865470e-04
