        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +2.437789460339e+00,        +6.377444129111e-07,        +1.911258970668e+06,        +3.683395942095e-10,        +2.344426167436e-05
 2.00e+00,        +2.574336622639e+00,        +1.080226076145e-05,        +1.191573078780e+05,        +4.098104682280e-10,        +2.608454391508e-05
 3.00e+00,        +2.606328171244e+00,        +5.874661438185e-10,        +2.218279469097e+09,        +9.282860914924e-11,        +5.908605031732e-06
 4.00e+00,        +2.606383122220e+00,        +1.207493658968e-09,        +1.079253337217e+09,        +1.760066169770e-10,        +1.120294275968e-05
 5.00e+00,        +2.708976714094e+00,        +1.315938748886e-06,        +1.029294378780e+06,        +2.279255795719e-10,        +1.450794118776e-05
 6.00e+00,        +2.710488398979e+00,        +1.300366574810e-06,        +1.042201657396e+06,        +2.570218829301e-10,        +1.635998735389e-05
 7.00e+00,        +2.723452763740e+00,        +1.376606164678e-07,        +9.891909660226e+06,        +1.167470452060e-09,        +7.431217971860e-05
 8.00e+00,        +2.741936430206e+00,        +3.152183627466e-08,        +4.349265071861e+07,        +4.006306181635e-10,        +2.550116477711e-05
 9.00e+00,        +2.800556839363e+00,        +1.803507547379e-06,        +7.764194952868e+05,        +1.601874131753e-10,        +1.019647329728e-05
 1.00e+01,        +2.841061975277e+00,        +9.847972804460e-06,        +1.442460307164e+05,        +7.528242594587e-10,        +4.792026655653e-05
