        m,         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²),         Re{B_x[5]} (Wb/m²),         Im{B_x[5]} (Wb/m²),         Re{B_y[5]} (Wb/m²),         Im{B_y[5]} (Wb/m²),         Re{B_z[5]} (Wb/m²),         Im{B_z[5]} (Wb/m²),         Re{B_x[6]} (Wb/m²),         Im{B_x[6]} (Wb/m²),         Re{B_y[6]} (Wb/m²),         Im{B_y[6]} (Wb/m²),         Re{B_z[6]} (Wb/m²),         Im{B_z[6]} (Wb/m²)
 1.00e+00,        -1.220770614105e-14,        -5.459779009114e-09,        +6.877614098204e-15,        -7.673092780983e-10,        -1.206874321014e-12,        +4.699874126783e-07,        -1.871942678757e-14,        -8.206131698390e-10,        +8.795025365260e-15,        -8.755451852171e-09,        -1.176291785783e-12,        +4.547157174411e-07,        -1.232066599291e-14,        -2.333859803203e-09,        -2.848470377765e-15,        -6.147866267647e-09,        -1.162740742668e-12,        +4.478471453025e-07,        -3.444318195398e-14,        -6.899452573472e-09,        +1.402515277552e-14,        -1.710144330142e-09,        -1.890632910845e-12,        +1.171895362564e-06,        -4.148276628091e-14,        -4.157013484715e-09,        -7.823377159364e-15,        -3.935879072558e-09,        -1.911423117321e-12,        +1.173210409122e-06,        -4.340705079261e-14,        -3.554389077186e-09,        -8.305833503767e-15,        -2.292392173966e-09,        -1.901061580708e-12,        +1.167210988614e-06
 2.00e+00,        +2.026144307004e-12,        -3.180277458659e-08,        -5.226611510959e-12,        +5.795535848940e-07,        -1.192214600055e-12,        -8.942739981562e-09,        +3.469447054341e-12,        -3.756341056049e-07,        -4.709162925913e-12,        +4.504363915124e-07,        +1.822649574389e-13,        -1.831013290678e-09,        +4.816659071067e-12,        -5.611653692879e-07,        -2.955875438536e-12,        +1.193250554895e-07,        +8.678697641223e-13,        -2.745186073707e-09,        +1.598717874423e-12,        +7.062915748172e-11,        +1.289918055708e-11,        +1.024453324564e-06,        -1.708978481243e-13,        -6.129094871012e-10,        -7.706010966764e-12,        -6.624307901806e-07,        +8.843862420125e-12,        +7.888008202752e-07,        -5.719729068965e-14,        -1.311701107918e-09,        -1.308799804271e-11,        -9.975415903801e-07,        +6.653360437417e-13,        +1.790422547168e-07,        -4.681758846368e-14,        -3.792127399674e-09
 3.00e+00,        -5.899763388203e-14,        -1.104992522430e-10,        +1.073037765353e-12,        -4.681019265229e-09,        -1.120877173691e-12,        +3.429427542314e-07,        -7.141318921934e-13,        -2.653272191038e-09,        +7.873056486352e-13,        +2.326802389525e-09,        +5.096447505167e-12,        -3.321490248985e-07,        -1.186634559227e-12,        +3.761348767997e-09,        +2.857038492547e-13,        -3.265651847886e-09,        -4.110885222940e-12,        +1.660080766483e-08,        +1.095107541672e-14,        -4.997801818736e-09,        +1.857151773467e-12,        -7.047920109576e-09,        -2.170251375291e-13,        +5.956796042432e-08,        -1.232880025381e-12,        +1.296589711121e-10,        +1.444369712614e-12,        -5.522959300454e-09,        +8.677030964060e-13,        -5.812861151704e-08,        -1.847376496281e-12,        +6.166370955280e-09,        +2.982683440190e-13,        -9.702381788378e-11,        -7.729818227265e-13,        +3.697026005658e-09
 4.00e+00,        -1.019617095886e-13,        +4.114351341308e-09,        +1.834717881919e-12,        -1.003939251931e-08,        -2.366999727293e-12,        +2.077683108306e-07,        -1.122809947073e-12,        +4.023009419976e-09,        +1.397531056299e-12,        -7.040313103044e-09,        +2.168969019757e-12,        +1.743810752265e-07,        -1.732520677990e-12,        +2.917220234602e-10,        +4.262025444921e-13,        +2.220424118398e-09,        -1.536178093394e-15,        -3.655789847167e-07,        +5.707328198470e-14,        +2.341774872465e-09,        +3.019590327321e-12,        -9.592807765709e-09,        -3.808191510230e-13,        +3.514836614538e-08,        -1.885235053635e-12,        +6.423576459738e-09,        +2.353749074767e-12,        -5.318733897252e-09,        +3.973919737856e-13,        +3.073776422839e-08,        -2.881479521126e-12,        +1.133305860811e-08,        +5.575737209112e-13,        +8.949537552718e-10,        -5.023008707205e-15,        -6.562283402608e-08
 5.00e+00,        +8.406290924383e-12,        +3.160330543158e-07,        -6.416045047462e-12,        -6.459952512623e-07,        +1.974945823220e-14,        +1.206710088119e-09,        +4.808419933437e-12,        +5.077730306522e-07,        -7.777002861991e-12,        -6.175164733412e-07,        +1.250128555687e-13,        +9.622493109265e-09,        +3.216293517061e-12,        +5.653903985846e-07,        -1.010959152336e-11,        -4.468029531713e-07,        -2.545340634911e-14,        -7.737885877579e-11,        +1.229728090098e-11,        +5.125264296407e-07,        -9.223016698872e-12,        -7.177489331777e-07,        +1.116346375013e-14,        +2.439861096633e-09,        +7.318538782185e-12,        +5.573518438353e-07,        -1.103228842863e-11,        -6.853943839131e-07,        +1.006460798880e-13,        +4.188820377984e-09,        +4.793286145390e-12,        +5.984967414861e-07,        -1.484598236143e-11,        -6.579602348331e-07,        -4.238969165594e-14,        -3.542820261549e-10
 6.00e+00,        -3.704859637598e-12,        +5.120626353465e-07,        -5.754633780261e-12,        +5.471806551190e-07,        -1.196207342640e-13,        +1.140727467653e-09,        -4.676977230361e-12,        +5.420482439458e-07,        -3.363573109078e-12,        +4.177544439950e-07,        +1.821331919788e-14,        -6.292095516289e-09,        -6.278748851976e-12,        +6.612648167071e-07,        -1.142443835719e-12,        +3.594225022488e-07,        -7.601119876647e-14,        +4.468634041794e-09,        -1.174986626110e-12,        +7.323643747707e-07,        -4.870054439048e-12,        +6.073350182026e-07,        -7.039785102040e-14,        +2.618822684782e-09,        -2.178087188747e-12,        +7.451207715797e-07,        -1.246585195658e-12,        +5.773844589122e-07,        -1.118927549575e-13,        -7.575212495047e-10,        -4.819501260682e-12,        +7.536406617559e-07,        +5.788011992381e-13,        +5.496671330377e-07,        +2.912947946082e-14,        +3.163692061258e-09
 7.00e+00,        -5.135658894574e-12,        -7.429332228074e-07,        +1.417618964132e-12,        +1.784424817355e-07,        -7.496497867525e-14,        -1.182895171349e-08,        -1.491237540589e-12,        -2.021432390091e-07,        +2.658756758170e-12,        +4.086203988069e-07,        -1.839352853254e-14,        -4.497018994081e-09,        -4.472580407603e-13,        +4.933130864005e-08,        +4.566842473983e-12,        +7.558478336613e-07,        -4.268149910620e-14,        +6.861897337175e-09,        -2.672885161106e-12,        -5.692358716669e-07,        +1.287553259774e-12,        +1.575106648737e-07,        +2.318703167711e-13,        +4.138749734268e-09,        -2.282581203537e-12,        -2.647376975243e-07,        +2.981933488094e-12,        +4.448648569022e-07,        +3.869565367451e-14,        -8.347546633863e-10,        -3.374027790128e-13,        +9.160892244607e-08,        +2.098994159141e-12,        +5.981664794344e-07,        -2.996502004399e-13,        -5.212773800923e-09
 8.00e+00,        -5.835461840905e-12,        -2.203157088558e-07,        -7.813296539344e-12,        -3.202102202526e-07,        -2.693522847245e-13,        -1.079763615948e-08,        -1.288639346704e-11,        -5.705226211564e-07,        -9.430365717052e-12,        -4.238870694927e-07,        -3.571182252296e-14,        -4.207999958605e-10,        -8.568251407200e-12,        -3.307535039227e-07,        +1.783580163695e-13,        +5.444233793907e-08,        -4.763440801989e-14,        +3.395907730616e-10,        -4.612202889054e-12,        -1.372763203839e-07,        -1.036297449991e-11,        -4.525072395006e-07,        -1.004791512606e-13,        +2.878287280345e-10,        -1.092798895532e-11,        -4.493032810363e-07,        -7.124792735394e-12,        -2.896706671851e-07,        -1.062252384924e-13,        -7.463393904707e-10,        -1.107520826165e-11,        -4.574957677318e-07,        +7.628268491499e-13,        +1.004688650520e-07,        -3.369806296403e-14,        +1.994407518884e-09
 9.00e+00,        +9.125848233952e-11,        +4.643816350032e-08,        +1.016084000397e-09,        +5.228856019648e-07,        +3.172666062942e-13,        +2.489089713358e-10,        -6.342565107881e-10,        -3.264791212911e-07,        +7.478633360226e-10,        +3.852015129576e-07,        -9.739620110519e-12,        -5.042420925427e-09,        -1.046799212068e-09,        -5.386462454304e-07,        +7.678622539797e-11,        +4.009707001093e-08,        -4.343742544337e-12,        -2.238008404749e-09,        +8.278664109718e-11,        +4.209103061285e-08,        +4.856911466312e-10,        +2.433898730691e-07,        +2.466295325540e-12,        +1.294792412291e-09,        -2.890645996016e-10,        -1.446535493612e-07,        +3.262553363203e-10,        +1.631890588845e-07,        -1.090235669940e-12,        -5.780059391843e-10,        -5.081074724960e-10,        -2.548903255554e-07,        +1.257428775575e-12,        +1.104210201577e-11,        -1.723275618736e-12,        -8.650476276277e-10
 1.00e+01,        -3.291941209986e-12,        -6.746652393783e-08,        +5.116243225163e-12,        +2.643201251846e-08,        -3.287887421598e-13,        +6.996543129866e-10,        -3.550512055077e-12,        -3.377916688889e-08,        +5.236544644698e-12,        +6.125198344606e-08,        -4.904230627287e-14,        +8.450289591167e-11,        -4.117508484111e-12,        -6.954553373793e-09,        +3.930490611522e-12,        +8.219362324265e-08,        +2.602828690978e-13,        +2.961453174051e-09,        -1.733687735177e-12,        -6.095491831608e-08,        +2.509161964825e-12,        +6.031359932899e-08,        -1.414175351441e-13,        -3.766920567730e-10,        -2.101761294049e-12,        -4.649152205084e-08,        +3.292308391551e-12,        +8.032503748740e-08,        -3.143242677334e-14,        -4.098644434061e-09,        -1.425325363566e-12,        -3.422207411353e-08,        +2.049457681219e-12,        +8.379029274581e-08,        +1.368117463727e-13,        +3.771313980209e-09
