        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.39000000e+00,        +1.414213562373e-01,        +2.823092153915e-01,        +8.686070450363e-04
 2.39000500e+00,        +1.414213562373e-01,        +2.823091216869e-01,        +8.680916629867e-04
 2.39001000e+00,        +1.414213562373e-01,        +2.823090279512e-01,        +8.675762352617e-04
 2.39001500e+00,        +1.414213562373e-01,        +2.823089341844e-01,        +8.670607618495e-04
 2.39002000e+00,        +1.414213562373e-01,        +2.823088403866e-01,        +8.665452427377e-04
 2.39002500e+00,        +1.414213562373e-01,        +2.823087465576e-01,        +8.660296779144e-04
 2.39003000e+00,        +1.414213562373e-01,        +2.823086526974e-01,        +8.655140673675e-04
 2.39003500e+00,        +1.414213562373e-01,        +2.823085588062e-01,        +8.649984110850e-04
 2.39004000e+00,        +1.414213562373e-01,        +2.823084648838e-01,        +8.644827090549e-04
 2.39004500e+00,        +1.414213562373e-01,        +2.823083709302e-01,        +8.639669612651e-04
 2.39005000e+00,        +1.414213562373e-01,        +2.823082769454e-01,        +8.634511677035e-04
 2.39005500e+00,        +1.414213562373e-01,        +2.823081829295e-01,        +8.629353283580e-04
 2.39006000e+00,        +1.414213562373e-01,        +2.823080888823e-01,        +8.624194432167e-04
 2.39006500e+00,        +1.414213562373e-01,        +2.823079948040e-01,        +8.619035122673e-04
 2.39007000e+00,        +1.414213562373e-01,        +2.823079006944e-01,        +8.613875354980e-04
 2.39007500e+00,        +1.414213562373e-01,        +2.823078065536e-01,        +8.608715128966e-04
 2.39008000e+00,        +1.414213562373e-01,        +2.823077123815e-01,        +8.603554444508e-04
 2.39008500e+00,        +1.414213562373e-01,        +2.823076181782e-01,        +8.598393301490e-04
 2.39009000e+00,        +1.414213562373e-01,        +2.823075239436e-01,        +8.593231699786e-04
 2.39009500e+00,        +1.414213562373e-01,        +2.823074296777e-01,        +8.588069639277e-04
 2.39010000e+00,        +1.414213562373e-01,        +2.823073353805e-01,        +8.582907119843e-04
 2.39010500e+00,        +1.414213562373e-01,        +2.823072410520e-01,        +8.577744141363e-04
 2.39011000e+00,        +1.414213562373e-01,        +2.823071466922e-01,        +8.572580703714e-04
 2.39011500e+00,        +1.414213562373e-01,        +2.823070523010e-01,        +8.567416806776e-04
 2.39012000e+00,        +1.414213562373e-01,        +2.823069578785e-01,        +8.562252450429e-04
 2.39012500e+00,        +1.414213562373e-01,        +2.823068634246e-01,        +8.557087634551e-04
 2.39013000e+00,        +1.414213562373e-01,        +2.823067689393e-01,        +8.551922359019e-04
 2.39013500e+00,        +1.414213562373e-01,        +2.823066744227e-01,        +8.546756623714e-04
 2.39014000e+00,        +1.414213562373e-01,        +2.823065798747e-01,        +8.541590428515e-04
 2.39014500e+00,        +1.414213562373e-01,        +2.823064852952e-01,        +8.536423773299e-04
 2.39015000e+00,        +1.414213562373e-01,        +2.823063906844e-01,        +8.531256657945e-04
 2.39015500e+00,        +1.414213562373e-01,        +2.823062960421e-01,        +8.526089082333e-04
 2.39016000e+00,        +1.414213562373e-01,        +2.823062013683e-01,        +8.520921046339e-04
 2.39016500e+00,        +1.414213562373e-01,        +2.823061066631e-01,        +8.515752549844e-04
 2.39017000e+00,        +1.414213562373e-01,        +2.823060119264e-01,        +8.510583592725e-04
 2.39017500e+00,        +1.414213562373e-01,        +2.823059171582e-01,        +8.505414174862e-04
 2.39018000e+00,        +1.414213562373e-01,        +2.823058223586e-01,        +8.500244296131e-04
