        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.39000000e+00,        -3.266348570662e-02,        +3.532375854964e-01
 2.39000500e+00,        -3.266945830807e-02,        +3.530282344905e-01
 2.39001000e+00,        -3.267543273092e-02,        +3.528188647000e-01
 2.39001500e+00,        -3.268140897594e-02,        +3.526094761201e-01
 2.39002000e+00,        -3.268738704382e-02,        +3.524000687455e-01
 2.39002500e+00,        -3.269336693530e-02,        +3.521906425713e-01
 2.39003000e+00,        -3.269934865115e-02,        +3.519811975925e-01
 2.39003500e+00,        -3.270533219206e-02,        +3.517717338039e-01
 2.39004000e+00,        -3.271131755881e-02,        +3.515622512006e-01
 2.39004500e+00,        -3.271730475208e-02,        +3.513527497775e-01
 2.39005000e+00,        -3.272329377266e-02,        +3.511432295295e-01
 2.39005500e+00,        -3.272928462124e-02,        +3.509336904517e-01
 2.39006000e+00,        -3.273527729858e-02,        +3.507241325389e-01
 2.39006500e+00,        -3.274127180541e-02,        +3.505145557861e-01
 2.39007000e+00,        -3.274726814247e-02,        +3.503049601883e-01
 2.39007500e+00,        -3.275326631049e-02,        +3.500953457404e-01
 2.39008000e+00,        -3.275926631022e-02,        +3.498857124373e-01
 2.39008500e+00,        -3.276526814237e-02,        +3.496760602740e-01
 2.39009000e+00,        -3.277127180771e-02,        +3.494663892454e-01
 2.39009500e+00,        -3.277727730694e-02,        +3.492566993465e-01
 2.39010000e+00,        -3.278328464084e-02,        +3.490469905722e-01
 2.39010500e+00,        -3.278929381014e-02,        +3.488372629174e-01
 2.39011000e+00,        -3.279530481557e-02,        +3.486275163770e-01
 2.39011500e+00,        -3.280131765787e-02,        +3.484177509461e-01
 2.39012000e+00,        -3.280733233777e-02,        +3.482079666195e-01
 2.39012500e+00,        -3.281334885602e-02,        +3.479981633921e-01
 2.39013000e+00,        -3.281936721336e-02,        +3.477883412589e-01
 2.39013500e+00,        -3.282538741055e-02,        +3.475785002148e-01
 2.39014000e+00,        -3.283140944829e-02,        +3.473686402548e-01
 2.39014500e+00,        -3.283743332737e-02,        +3.471587613737e-01
 2.39015000e+00,        -3.284345904849e-02,        +3.469488635665e-01
 2.39015500e+00,        -3.284948661241e-02,        +3.467389468280e-01
 2.39016000e+00,        -3.285551601988e-02,        +3.465290111532e-01
 2.39016500e+00,        -3.286154727165e-02,        +3.463190565371e-01
 2.39017000e+00,        -3.286758036844e-02,        +3.461090829745e-01
 2.39017500e+00,        -3.287361531101e-02,        +3.458990904604e-01
 2.39018000e+00,        -3.287965210009e-02,        +3.456890789896e-01
 2.39018500e+00,        -3.288569073644e-02,        +3.454790485570e-01
 2.39019000e+00,        -3.289173122079e-02,        +3.452689991576e-01
 2.39019500e+00,        -3.289777355392e-02,        +3.450589307863e-01
 2.39020000e+00,        -3.290381773653e-02,        +3.448488434380e-01
 2.39020500e+00,        -3.290986376939e-02,        +3.446387371075e-01
 2.39021000e+00,        -3.291591165324e-02,        +3.444286117897e-01
 2.39021500e+00,        -3.292196138883e-02,        +3.442184674797e-01
 2.39022000e+00,        -3.292801297693e-02,        +3.440083041722e-01
 2.39022500e+00,        -3.293406641824e-02,        +3.437981218623e-01
 2.39023000e+00,        -3.294012171355e-02,        +3.435879205446e-01
 2.39023500e+00,        -3.294617886359e-02,        +3.433777002142e-01
 2.39024000e+00,        -3.295223786911e-02,        +3.431674608659e-01
 2.39024500e+00,        -3.295829873086e-02,        +3.429572024946e-01
 2.39025000e+00,        -3.296436144960e-02,        +3.427469250953e-01
 2.39025500e+00,        -3.297042602606e-02,        +3.425366286627e-01
 2.39026000e+00,        -3.297649246101e-02,        +3.423263131919e-01
 2.39026500e+00,        -3.298256075519e-02,        +3.421159786775e-01
 2.39027000e+00,        -3.298863090935e-02,        +3.419056251146e-01
 2.39027500e+00,        -3.299470292426e-02,        +3.416952524980e-01
 2.39028000e+00,        -3.300077680065e-02,        +3.414848608226e-01
 2.39028500e+00,        -3.300685253928e-02,        +3.412744500833e-01
 2.39029000e+00,        -3.301293014089e-02,        +3.410640202749e-01
 2.39029500e+00,        -3.301900960627e-02,        +3.408535713923e-01
 2.39030000e+00,        -3.302509093612e-02,        +3.406431034304e-01
 2.39030500e+00,        -3.303117413124e-02,        +3.404326163840e-01
 2.39031000e+00,        -3.303725919236e-02,        +3.402221102480e-01
 2.39031500e+00,        -3.304334612026e-02,        +3.400115850173e-01
 2.39032000e+00,        -3.304943491565e-02,        +3.398010406867e-01
