        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.39000000e+00,        +7.071067811865e+00,        +1.411546076958e+01,        +4.343035225181e-02
 2.39000500e+00,        +7.071067811865e+00,        +1.411545608435e+01,        +4.340458314934e-02
 2.39001000e+00,        +7.071067811865e+00,        +1.411545139756e+01,        +4.337881176309e-02
 2.39001500e+00,        +7.071067811865e+00,        +1.411544670922e+01,        +4.335303809248e-02
 2.39002000e+00,        +7.071067811865e+00,        +1.411544201933e+01,        +4.332726213688e-02
 2.39002500e+00,        +7.071067811865e+00,        +1.411543732788e+01,        +4.330148389572e-02
 2.39003000e+00,        +7.071067811865e+00,        +1.411543263487e+01,        +4.327570336838e-02
 2.39003500e+00,        +7.071067811865e+00,        +1.411542794031e+01,        +4.324992055425e-02
 2.39004000e+00,        +7.071067811865e+00,        +1.411542324419e+01,        +4.322413545275e-02
 2.39004500e+00,        +7.071067811865e+00,        +1.411541854651e+01,        +4.319834806325e-02
 2.39005000e+00,        +7.071067811865e+00,        +1.411541384727e+01,        +4.317255838517e-02
 2.39005500e+00,        +7.071067811865e+00,        +1.411540914647e+01,        +4.314676641790e-02
 2.39006000e+00,        +7.071067811865e+00,        +1.411540444412e+01,        +4.312097216083e-02
 2.39006500e+00,        +7.071067811865e+00,        +1.411539974020e+01,        +4.309517561337e-02
 2.39007000e+00,        +7.071067811865e+00,        +1.411539503472e+01,        +4.306937677490e-02
 2.39007500e+00,        +7.071067811865e+00,        +1.411539032768e+01,        +4.304357564483e-02
 2.39008000e+00,        +7.071067811865e+00,        +1.411538561908e+01,        +4.301777222254e-02
 2.39008500e+00,        +7.071067811865e+00,        +1.411538090891e+01,        +4.299196650745e-02
 2.39009000e+00,        +7.071067811865e+00,        +1.411537619718e+01,        +4.296615849893e-02
 2.39009500e+00,        +7.071067811865e+00,        +1.411537148388e+01,        +4.294034819639e-02
 2.39010000e+00,        +7.071067811865e+00,        +1.411536676902e+01,        +4.291453559922e-02
 2.39010500e+00,        +7.071067811865e+00,        +1.411536205260e+01,        +4.288872070682e-02
 2.39011000e+00,        +7.071067811865e+00,        +1.411535733461e+01,        +4.286290351857e-02
 2.39011500e+00,        +7.071067811865e+00,        +1.411535261505e+01,        +4.283708403388e-02
 2.39012000e+00,        +7.071067811865e+00,        +1.411534789392e+01,        +4.281126225214e-02
 2.39012500e+00,        +7.071067811865e+00,        +1.411534317123e+01,        +4.278543817275e-02
 2.39013000e+00,        +7.071067811865e+00,        +1.411533844697e+01,        +4.275961179510e-02
 2.39013500e+00,        +7.071067811865e+00,        +1.411533372114e+01,        +4.273378311857e-02
 2.39014000e+00,        +7.071067811865e+00,        +1.411532899373e+01,        +4.270795214257e-02
 2.39014500e+00,        +7.071067811865e+00,        +1.411532426476e+01,        +4.268211886649e-02
 2.39015000e+00,        +7.071067811865e+00,        +1.411531953422e+01,        +4.265628328972e-02
 2.39015500e+00,        +7.071067811865e+00,        +1.411531480210e+01,        +4.263044541166e-02
 2.39016000e+00,        +7.071067811865e+00,        +1.411531006841e+01,        +4.260460523169e-02
 2.39016500e+00,        +7.071067811865e+00,        +1.411530533315e+01,        +4.257876274922e-02
 2.39017000e+00,        +7.071067811865e+00,        +1.411530059632e+01,        +4.255291796363e-02
 2.39017500e+00,        +7.071067811865e+00,        +1.411529585791e+01,        +4.252707087431e-02
 2.39018000e+00,        +7.071067811865e+00,        +1.411529111793e+01,        +4.250122148066e-02
 2.39018500e+00,        +7.071067811865e+00,        +1.411528637637e+01,        +4.247536978206e-02
 2.39019000e+00,        +7.071067811865e+00,        +1.411528163323e+01,        +4.244951577792e-02
 2.39019500e+00,        +7.071067811865e+00,        +1.411527688852e+01,        +4.242365946762e-02
 2.39020000e+00,        +7.071067811865e+00,        +1.411527214223e+01,        +4.239780085055e-02
 2.39020500e+00,        +7.071067811865e+00,        +1.411526739436e+01,        +4.237193992610e-02
 2.39021000e+00,        +7.071067811865e+00,        +1.411526264492e+01,        +4.234607669367e-02
 2.39021500e+00,        +7.071067811865e+00,        +1.411525789389e+01,        +4.232021115265e-02
 2.39022000e+00,        +7.071067811865e+00,        +1.411525314129e+01,        +4.229434330242e-02
 2.39022500e+00,        +7.071067811865e+00,        +1.411524838710e+01,        +4.226847314238e-02
 2.39023000e+00,        +7.071067811865e+00,        +1.411524363134e+01,        +4.224260067191e-02
 2.39023500e+00,        +7.071067811865e+00,        +1.411523887399e+01,        +4.221672589041e-02
 2.39024000e+00,        +7.071067811865e+00,        +1.411523411506e+01,        +4.219084879726e-02
 2.39024500e+00,        +7.071067811865e+00,        +1.411522935454e+01,        +4.216496939186e-02
 2.39025000e+00,        +7.071067811865e+00,        +1.411522459244e+01,        +4.213908767359e-02
 2.39025500e+00,        +7.071067811865e+00,        +1.411521982876e+01,        +4.211320364185e-02
 2.39026000e+00,        +7.071067811865e+00,        +1.411521506350e+01,        +4.208731729602e-02
 2.39026500e+00,        +7.071067811865e+00,        +1.411521029664e+01,        +4.206142863549e-02
 2.39027000e+00,        +7.071067811865e+00,        +1.411520552821e+01,        +4.203553765965e-02
 2.39027500e+00,        +7.071067811865e+00,        +1.411520075818e+01,        +4.200964436788e-02
 2.39028000e+00,        +7.071067811865e+00,        +1.411519598657e+01,        +4.198374875959e-02
 2.39028500e+00,        +7.071067811865e+00,        +1.411519121337e+01,        +4.195785083414e-02
 2.39029000e+00,        +7.071067811865e+00,        +1.411518643858e+01,        +4.193195059094e-02
 2.39029500e+00,        +7.071067811865e+00,        +1.411518166220e+01,        +4.190604802937e-02
 2.39030000e+00,        +7.071067811865e+00,        +1.411517688423e+01,        +4.188014314881e-02
 2.39030500e+00,        +7.071067811865e+00,        +1.411517210467e+01,        +4.185423594866e-02
 2.39031000e+00,        +7.071067811865e+00,        +1.411516732352e+01,        +4.182832642829e-02
 2.39031500e+00,        +7.071067811865e+00,        +1.411516254078e+01,        +4.180241458711e-02
 2.39032000e+00,        +7.071067811865e+00,        +1.411515775644e+01,        +4.177650042448e-02
 2.39032500e+00,        +7.071067811865e+00,        +1.411515297052e+01,        +4.175058393981e-02
 2.39033000e+00,        +7.071067811865e+00,        +1.411514818299e+01,        +4.172466513247e-02
 2.39033500e+00,        +7.071067811865e+00,        +1.411514339388e+01,        +4.169874400185e-02
 2.39034000e+00,        +7.071067811865e+00,        +1.411513860317e+01,        +4.167282054735e-02
 2.39034500e+00,        +7.071067811865e+00,        +1.411513381086e+01,        +4.164689476834e-02
 2.39035000e+00,        +7.071067811865e+00,        +1.411512901696e+01,        +4.162096666420e-02
 2.39035500e+00,        +7.071067811865e+00,        +1.411512422146e+01,        +4.159503623433e-02
 2.39036000e+00,        +7.071067811865e+00,        +1.411511942436e+01,        +4.156910347810e-02
 2.39036500e+00,        +7.071067811865e+00,        +1.411511462567e+01,        +4.154316839491e-02
 2.39037000e+00,        +7.071067811865e+00,        +1.411510982537e+01,        +4.151723098413e-02
 2.39037500e+00,        +7.071067811865e+00,        +1.411510502348e+01,        +4.149129124517e-02
 2.39038000e+00,        +7.071067811865e+00,        +1.411510021999e+01,        +4.146534917738e-02
 2.39038500e+00,        +7.071067811865e+00,        +1.411509541489e+01,        +4.143940478017e-02
 2.39039000e+00,        +7.071067811865e+00,        +1.411509060820e+01,        +4.141345805291e-02
 2.39039500e+00,        +7.071067811865e+00,        +1.411508579990e+01,        +4.138750899499e-02
 2.39040000e+00,        +7.071067811865e+00,        +1.411508099000e+01,        +4.136155760579e-02
 2.39040500e+00,        +7.071067811865e+00,        +1.411507617850e+01,        +4.133560388469e-02
 2.39041000e+00,        +7.071067811865e+00,        +1.411507136539e+01,        +4.130964783108e-02
 2.39041500e+00,        +7.071067811865e+00,        +1.411506655068e+01,        +4.128368944434e-02
 2.39042000e+00,        +7.071067811865e+00,        +1.411506173436e+01,        +4.125772872385e-02
 2.39042500e+00,        +7.071067811865e+00,        +1.411505691644e+01,        +4.123176566900e-02
 2.39043000e+00,        +7.071067811865e+00,        +1.411505209691e+01,        +4.120580027916e-02
 2.39043500e+00,        +7.071067811865e+00,        +1.411504727577e+01,        +4.117983255373e-02
 2.39044000e+00,        +7.071067811865e+00,        +1.411504245303e+01,        +4.115386249207e-02
 2.39044500e+00,        +7.071067811865e+00,        +1.411503762868e+01,        +4.112789009358e-02
 2.39045000e+00,        +7.071067811865e+00,        +1.411503280272e+01,        +4.110191535763e-02
 2.39045500e+00,        +7.071067811865e+00,        +1.411502797515e+01,        +4.107593828360e-02
 2.39046000e+00,        +7.071067811865e+00,        +1.411502314597e+01,        +4.104995887088e-02
 2.39046500e+00,        +7.071067811865e+00,        +1.411501831518e+01,        +4.102397711886e-02
 2.39047000e+00,        +7.071067811865e+00,        +1.411501348277e+01,        +4.099799302689e-02
 2.39047500e+00,        +7.071067811865e+00,        +1.411500864876e+01,        +4.097200659437e-02
 2.39048000e+00,        +7.071067811865e+00,        +1.411500381313e+01,        +4.094601782069e-02
 2.39048500e+00,        +7.071067811865e+00,        +1.411499897589e+01,        +4.092002670521e-02
 2.39049000e+00,        +7.071067811865e+00,        +1.411499413703e+01,        +4.089403324731e-02
 2.39049500e+00,        +7.071067811865e+00,        +1.411498929656e+01,        +4.086803744639e-02
 2.39050000e+00,        +7.071067811865e+00,        +1.411498445447e+01,        +4.084203930181e-02
 2.39050500e+00,        +7.071067811865e+00,        +1.411497961077e+01,        +4.081603881295e-02
 2.39051000e+00,        +7.071067811865e+00,        +1.411497476545e+01,        +4.079003597921e-02
 2.39051500e+00,        +7.071067811865e+00,        +1.411496991852e+01,        +4.076403079994e-02
 2.39052000e+00,        +7.071067811865e+00,        +1.411496506996e+01,        +4.073802327454e-02
 2.39052500e+00,        +7.071067811865e+00,        +1.411496021979e+01,        +4.071201340238e-02
 2.39053000e+00,        +7.071067811865e+00,        +1.411495536800e+01,        +4.068600118284e-02
 2.39053500e+00,        +7.071067811865e+00,        +1.411495051459e+01,        +4.065998661530e-02
 2.39054000e+00,        +7.071067811865e+00,        +1.411494565956e+01,        +4.063396969913e-02
 2.39054500e+00,        +7.071067811865e+00,        +1.411494080290e+01,        +4.060795043371e-02
 2.39055000e+00,        +7.071067811865e+00,        +1.411493594463e+01,        +4.058192881842e-02
 2.39055500e+00,        +7.071067811865e+00,        +1.411493108473e+01,        +4.055590485264e-02
 2.39056000e+00,        +7.071067811865e+00,        +1.411492622321e+01,        +4.052987853574e-02
 2.39056500e+00,        +7.071067811865e+00,        +1.411492136006e+01,        +4.050384986711e-02
 2.39057000e+00,        +7.071067811865e+00,        +1.411491649530e+01,        +4.047781884611e-02
 2.39057500e+00,        +7.071067811865e+00,        +1.411491162890e+01,        +4.045178547213e-02
 2.39058000e+00,        +7.071067811865e+00,        +1.411490676088e+01,        +4.042574974454e-02
 2.39058500e+00,        +7.071067811865e+00,        +1.411490189124e+01,        +4.039971166271e-02
 2.39059000e+00,        +7.071067811865e+00,        +1.411489701996e+01,        +4.037367122602e-02
 2.39059500e+00,        +7.071067811865e+00,        +1.411489214706e+01,        +4.034762843385e-02
 2.39060000e+00,        +7.071067811865e+00,        +1.411488727253e+01,        +4.032158328557e-02
 2.39060500e+00,        +7.071067811865e+00,        +1.411488239638e+01,        +4.029553578057e-02
 2.39061000e+00,        +7.071067811865e+00,        +1.411487751859e+01,        +4.026948591820e-02
 2.39061500e+00,        +7.071067811865e+00,        +1.411487263917e+01,        +4.024343369786e-02
 2.39062000e+00,        +7.071067811865e+00,        +1.411486775812e+01,        +4.021737911890e-02
 2.39062500e+00,        +7.071067811865e+00,        +1.411486287544e+01,        +4.019132218071e-02
 2.39063000e+00,        +7.071067811865e+00,        +1.411485799113e+01,        +4.016526288267e-02
 2.39063500e+00,        +7.071067811865e+00,        +1.411485310518e+01,        +4.013920122413e-02
 2.39064000e+00,        +7.071067811865e+00,        +1.411484821760e+01,        +4.011313720449e-02
 2.39064500e+00,        +7.071067811865e+00,        +1.411484332839e+01,        +4.008707082311e-02
 2.39065000e+00,        +7.071067811865e+00,        +1.411483843754e+01,        +4.006100207937e-02
 2.39065500e+00,        +7.071067811865e+00,        +1.411483354506e+01,        +4.003493097263e-02
 2.39066000e+00,        +7.071067811865e+00,        +1.411482865094e+01,        +4.000885750228e-02
 2.39066500e+00,        +7.071067811865e+00,        +1.411482375518e+01,        +3.998278166768e-02
 2.39067000e+00,        +7.071067811865e+00,        +1.411481885779e+01,        +3.995670346822e-02
 2.39067500e+00,        +7.071067811865e+00,        +1.411481395876e+01,        +3.993062290324e-02
 2.39068000e+00,        +7.071067811865e+00,        +1.411480905809e+01,        +3.990453997214e-02
 2.39068500e+00,        +7.071067811865e+00,        +1.411480415578e+01,        +3.987845467429e-02
 2.39069000e+00,        +7.071067811865e+00,        +1.411479925183e+01,        +3.985236700905e-02
 2.39069500e+00,        +7.071067811865e+00,        +1.411479434624e+01,        +3.982627697580e-02
 2.39070000e+00,        +7.071067811865e+00,        +1.411478943901e+01,        +3.980018457391e-02
 2.39070500e+00,        +7.071067811865e+00,        +1.411478453013e+01,        +3.977408980275e-02
