        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +2.935514708646e-10,        +2.935340979601e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +6.586766363299e-12,        +2.243819914749e-02,        +4.364950589183e-14,        +1.487033574470e-04,        +6.586766363299e-12,        +2.243819914749e-02,        +4.364950589183e-14,        +1.487033574470e-04,        +3.692701736074e-12,        +1.257940123822e-02,        +5.900326917379e-14,        +2.010099323514e-04,        +2.800661265804e-10,        +9.540613976675e-01,        +2.934102008584e-10,        +9.995779124041e-01,        +3.205876184802e-12,        +1.092100194681e-02,        +2.124432665392e-14,        +7.237430609103e-05
 2.00e+00,        +2.935514708646e-10,        +2.935372201392e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.479491974321e-12,        +1.525964751983e-02,        +1.791085712218e-12,        +6.101732895638e-03,        +4.479491974321e-12,        +1.525964751983e-02,        +1.791085712218e-12,        +6.101732895638e-03,        +2.090823014786e-12,        +7.122509073546e-03,        +1.284272835231e-12,        +4.375161809537e-03,        +2.859590326503e-10,        +9.741359217453e-01,        +2.888968486830e-10,        +9.841915398190e-01,        +1.022123225123e-12,        +3.481921661343e-03,        +1.565012908778e-12,        +5.331565475874e-03
 3.00e+00,        +2.935514708646e-10,        +2.935372281406e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.481866517734e-12,        +1.526773653879e-02,        +1.793491644479e-12,        +6.109929073868e-03,        +4.481866517734e-12,        +1.526773653879e-02,        +1.793491644479e-12,        +6.109929073868e-03,        +2.091893528058e-12,        +7.126155838693e-03,        +1.285588690652e-12,        +4.379644445086e-03,        +2.859551163064e-10,        +9.741225804940e-01,        +2.888920641169e-10,        +9.841752133005e-01,        +1.022594512380e-12,        +3.483527128542e-03,        +1.566083688561e-12,        +5.335213180560e-03
 4.00e+00,        +2.935514708646e-10,        +2.935276726302e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.446050202989e-12,        +8.332610958429e-03,        +3.114811254546e-14,        +1.061164430132e-04,        +2.446050202989e-12,        +8.332610958429e-03,        +3.114811254546e-14,        +1.061164430132e-04,        +1.745013098146e-12,        +5.944487666870e-03,        +5.322326001992e-14,        +1.813228018435e-04,        +2.872281112508e-10,        +9.784591111223e-01,        +2.934159411418e-10,        +9.996193493872e-01,        +2.132296312635e-12,        +7.263790252372e-03,        +2.736011588163e-14,        +9.321136789749e-05
 5.00e+00,        +2.935514708646e-10,        +2.935363245716e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.790228978251e-13,        +6.098518167798e-04,        +5.325508789644e-12,        +1.814258864696e-02,        +1.790228978251e-13,        +6.098518167798e-04,        +5.325508789644e-12,        +1.814258864696e-02,        +2.398064272899e-13,        +8.169144122618e-04,        +2.893306900853e-12,        +9.856725245422e-03,        +2.930447519031e-10,        +9.982738326606e-01,        +2.827502140798e-10,        +9.632545971694e-01,        +8.788963632059e-14,        +2.994011103461e-04,        +2.567294801292e-12,        +8.746088938187e-03
 6.00e+00,        +2.935514708646e-10,        +2.935363515605e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.792304640347e-13,        +6.105589030328e-04,        +5.328014279880e-12,        +1.815112251534e-02,        +1.792304640347e-13,        +6.105589030328e-04,        +5.328014279880e-12,        +1.815112251534e-02,        +2.400745637278e-13,        +8.178278344875e-04,        +2.895353340605e-12,        +9.863696013159e-03,        +2.930441888790e-10,        +9.982719146866e-01,        +2.827424624157e-10,        +9.632281007532e-01,        +8.797695776365e-14,        +2.996985758734e-04,        +2.570521524384e-12,        +8.757080718345e-03
 7.00e+00,        +2.935514708646e-10,        +2.935372699447e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.446008439387e-14,        +2.877181440962e-04,        +1.971154440252e-14,        +6.715176034115e-05,        +8.446008439387e-14,        +2.877181440962e-04,        +1.971154440252e-14,        +6.715176034115e-05,        +9.392735944458e-14,        +3.199689620629e-04,        +3.364648063796e-14,        +1.146242201009e-04,        +2.933537871388e-10,        +9.993265789975e-01,        +2.934668455616e-10,        +9.997600836751e-01,        +1.929628194476e-14,        +6.573389630081e-05,        +1.706635800013e-14,        +5.814034450666e-05
 8.00e+00,        +2.935514708646e-10,        +2.935372742766e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +8.455696043098e-14,        +2.880481578987e-04,        +1.983687062513e-14,        +6.757871099682e-05,        +8.455696043098e-14,        +2.880481578987e-04,        +1.983687062513e-14,        +6.757871099682e-05,        +9.403270031476e-14,        +3.203278118070e-04,        +3.376471138736e-14,        +1.150269977486e-04,        +2.933535619924e-10,        +9.993258120233e-01,        +2.934665524974e-10,        +9.997590705324e-01,        +1.931921145536e-14,        +6.581200699988e-05,        +1.712019721219e-14,        +5.832375889699e-05
 9.00e+00,        +2.935514708646e-10,        +2.935292296937e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.077042220684e-12,        +7.075564004388e-03,        +4.153261125380e-12,        +1.414939537611e-02,        +2.077042220684e-12,        +7.075564004388e-03,        +4.153261125380e-12,        +1.414939537611e-02,        +1.049896837506e-12,        +3.576534072249e-03,        +2.865642708018e-12,        +9.762716684157e-03,        +2.898938965201e-10,        +9.875402622452e-01,        +2.828637005787e-10,        +9.636645075310e-01,        +5.306352863136e-13,        +1.807639678148e-03,        +3.646625281566e-12,        +1.242338040873e-02
 1.00e+01,        +2.935514708646e-10,        +2.935292718916e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.076004094950e-12,        +7.072027569256e-03,        +4.158327643497e-12,        +1.416665403318e-02,        +2.076004094950e-12,        +7.072027569256e-03,        +4.158327643497e-12,        +1.416665403318e-02,        +1.049704057691e-12,        +3.575877356701e-03,        +2.867724588950e-12,        +9.769807864372e-03,        +2.898950969579e-10,        +9.875443516060e-01,        +2.828556434601e-10,        +9.636369198798e-01,        +5.306657539972e-13,        +1.807743468068e-03,        +3.647576198965e-12,        +1.242661822264e-02
