        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.240345779553e+00,        +7.662263265000e-05,        +8.093860384470e+03,        +9.841644037432e-13,        +7.178266692531e-09
 2.00e+00,        +1.573447896506e+00,        +9.980673430365e-05,        +7.882473615879e+03,        +5.393540468189e-13,        +3.935507578984e-09
 3.00e+00,        +1.573886556251e+00,        +9.904956414311e-05,        +7.944944397200e+03,        +6.526385290694e-13,        +4.762113894842e-09
 4.00e+00,        +1.579341195905e+00,        +2.194225614380e-04,        +3.598857840316e+03,        +1.133863203248e-12,        +8.273531771346e-09
 5.00e+00,        +1.816886380734e+00,        +2.606164618151e-04,        +3.485747574754e+03,        +3.662424882959e-13,        +2.673310893796e-09
 6.00e+00,        +1.818816972680e+00,        +2.595957314741e-04,        +3.503171991461e+03,        +1.316536452959e-12,        +9.609813064488e-09
 7.00e+00,        +1.942521904634e+00,        +3.268768885349e-04,        +2.971335692840e+03,        +1.891320312244e-12,        +1.380809906415e-08
 8.00e+00,        +1.953338469928e+00,        +2.648304418952e-04,        +3.687903992271e+03,        +1.174294269564e-12,        +8.573410238046e-09
 9.00e+00,        +1.955746724472e+00,        +2.656978477034e-04,        +3.680396283645e+03,        +1.209410687976e-12,        +8.829827536133e-09
 1.00e+01,        +1.988436881901e+00,        +1.735972917712e-04,        +5.727154119718e+03,        +1.225912660555e-13,        +8.950802736858e-10
 1.10e+01,        +1.989051371439e+00,        +1.728622773186e-04,        +5.753283509288e+03,        +4.235309294439e-13,        +3.092345728712e-09
 1.20e+01,        +2.170774542959e+00,        +3.635790325443e-04,        +2.985285700080e+03,        +7.428111743482e-13,        +5.425281025471e-09
