        m,                Re{f} (GHz),                Im{f} (GHz),                          Q,              Error (Bkwd.),               Error (Abs.)
 1.00e+00,        +1.289631346816e+00,        +3.816137537536e-05,        +1.689707635922e+04,        +1.030270726986e-12,        +4.299882622996e-09
 2.00e+00,        +1.628067039770e+00,        +3.951800365751e-05,        +2.059905472908e+04,        +1.880587630645e-12,        +7.854509631843e-09
 3.00e+00,        +1.628204593259e+00,        +3.949914975966e-05,        +2.061062837611e+04,        +8.447150229114e-13,        +3.528059205554e-09
 4.00e+00,        +1.797129468551e+00,        +7.284669384328e-05,        +1.233501052150e+04,        +1.728050798028e-12,        +7.220540482237e-09
 5.00e+00,        +2.051256557367e+00,        +5.291905475670e-05,        +1.938107707593e+04,        +1.863192913498e-12,        +7.790903857474e-09
 6.00e+00,        +2.051676873293e+00,        +5.283553945589e-05,        +1.941568965796e+04,        +2.015174360646e-12,        +8.426422070880e-09
 7.00e+00,        +2.090322099074e+00,        +5.056096110187e-05,        +2.067130503585e+04,        +1.398633907626e-12,        +5.849065235248e-09
 8.00e+00,        +2.090541901654e+00,        +5.055086571417e-05,        +2.067760732414e+04,        +1.977026760321e-12,        +8.267900808639e-09
 9.00e+00,        +2.386329445774e+00,        +9.040110693861e-05,        +1.319856320513e+04,        +1.735983739249e-12,        +7.267029478076e-09
 1.00e+01,        +2.387172167541e+00,        +9.026145684145e-05,        +1.322365189297e+04,        +1.655366626304e-12,        +6.929577646469e-09
 1.10e+01,        +2.451001407663e+00,        +2.769127230144e-05,        +4.425584677255e+04,        +2.355140658019e-12,        +9.861189469965e-09
 1.20e+01,        +2.606157408471e+00,        +6.231580198782e-05,        +2.091088717534e+04,        +2.367770109447e-12,        +9.919862873711e-09
