        m,                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],             E_elec[10] (J),                 p_elec[10],              E_mag[10] (J),                  p_mag[10],             E_elec[11] (J),                 p_elec[11],              E_mag[11] (J),                  p_mag[11],             E_elec[12] (J),                 p_elec[12],              E_mag[12] (J),                  p_mag[12],             E_elec[13] (J),                 p_elec[13],              E_mag[13] (J),                  p_mag[13]
 1.00e+00,        +2.945335841066e-10,        +2.944971943531e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.744495175555e-12,        +1.950370173568e-02,        +3.520313374777e-14,        +1.195363977070e-04,        +5.744495175555e-12,        +1.950370173568e-02,        +3.520313374777e-14,        +1.195363977070e-04,        +3.235087812236e-12,        +1.098376547466e-02,        +4.775905144178e-14,        +1.621714989397e-04,        +2.827313312828e-10,        +9.599290082333e-01,        +2.943969362860e-10,        +9.996595618940e-01,        +2.822669835969e-12,        +9.583524556396e-03,        +1.729588187529e-14,        +5.873020934304e-05
 2.00e+00,        +2.945335841066e-10,        +2.944962184803e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.290179091184e-12,        +1.117081130549e-02,        +1.079066184018e-12,        +3.664108794286e-03,        +3.290179091184e-12,        +1.117081130549e-02,        +1.079066184018e-12,        +3.664108794286e-03,        +1.540613854131e-12,        +5.230689935763e-03,        +7.761087672701e-13,        +2.635377701198e-03,        +2.889486133848e-10,        +9.810379154598e-01,        +2.917014055156e-10,        +9.905098510973e-01,        +7.541777764335e-13,        +2.560583298917e-03,        +9.396380133631e-13,        +3.190662407185e-03
 3.00e+00,        +2.945335841066e-10,        +2.944965122508e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.303544647954e-12,        +1.121619002456e-02,        +1.086018640494e-12,        +3.687713080856e-03,        +3.303544647954e-12,        +1.121619002456e-02,        +1.086018640494e-12,        +3.687713080856e-03,        +1.546587943973e-12,        +5.250973156981e-03,        +7.807613368826e-13,        +2.651173458440e-03,        +2.889268533382e-10,        +9.809640357809e-01,        +2.916848355212e-10,        +9.904525975261e-01,        +7.565981764558e-13,        +2.568801037582e-03,        +9.448967522422e-13,        +3.208515934604e-03
 4.00e+00,        +2.945335841066e-10,        +2.944517427621e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.076985078869e-12,        +3.656578186614e-03,        +1.234124608577e-14,        +4.191262707431e-05,        +1.076985078869e-12,        +3.656578186614e-03,        +1.234124608577e-14,        +4.191262707431e-05,        +7.723811687366e-13,        +2.622387430213e-03,        +1.941097371260e-14,        +6.592242766341e-05,        +2.917509272092e-10,        +9.905523273151e-01,        +2.944089432801e-10,        +9.998546468716e-01,        +9.332906497574e-13,        +3.168707068121e-03,        +1.104726218946e-14,        +3.751807371161e-05
 5.00e+00,        +2.945335841066e-10,        +2.944490875738e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.817829028393e-14,        +1.975268472708e-04,        +2.099730649754e-12,        +7.131048246931e-03,        +5.817829028393e-14,        +1.975268472708e-04,        +2.099730649754e-12,        +7.131048246931e-03,        +7.700294033935e-14,        +2.614402719912e-04,        +1.146426413709e-12,        +3.893462272731e-03,        +2.943671299862e-10,        +9.994348552106e-01,        +2.902069322596e-10,        +9.855929072519e-01,        +3.127288973410e-14,        +1.061776701253e-04,        +9.959982508076e-13,        +3.382582228440e-03
 6.00e+00,        +2.945335841066e-10,        +2.944495077347e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +5.899464986299e-14,        +2.002985501363e-04,        +2.116261698622e-12,        +7.187180290783e-03,        +5.899464986299e-14,        +2.002985501363e-04,        +2.116261698622e-12,        +7.187180290783e-03,        +7.794056379610e-14,        +2.646236897993e-04,        +1.158315006869e-12,        +3.933832376831e-03,        +2.943651370354e-10,        +9.994280887470e-01,        +2.901631158236e-10,        +9.854426928946e-01,        +3.151185748353e-14,        +1.069890130836e-04,        +1.011815205627e-12,        +3.436294437749e-03
 7.00e+00,        +2.945335841066e-10,        +2.944344591135e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.754812805993e-12,        +5.957937908221e-03,        +5.995868612609e-14,        +2.036401795721e-04,        +1.754812805993e-12,        +5.957937908221e-03,        +5.995868612609e-14,        +2.036401795721e-04,        +9.079824994631e-13,        +3.082780872739e-03,        +5.482276097057e-14,        +1.861968233461e-04,        +2.911642528025e-10,        +9.885604512154e-01,        +2.942848952657e-10,        +9.994920300827e-01,        +7.065359986396e-13,        +2.398830003658e-03,        +3.478240075768e-14,        +1.181329144096e-04
 8.00e+00,        +2.945335841066e-10,        +2.944537193425e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.181457852688e-12,        +7.406482555480e-03,        +2.065680983351e-12,        +7.015299341313e-03,        +2.181457852688e-12,        +7.406482555480e-03,        +2.065680983351e-12,        +7.015299341313e-03,        +1.018471954832e-12,        +3.457914512266e-03,        +1.451255998018e-12,        +4.928638705118e-03,        +2.908337862133e-10,        +9.874384515284e-01,        +2.891386602304e-10,        +9.819494244323e-01,        +4.998680857421e-13,        +1.697151403832e-03,        +1.798122130822e-12,        +6.106637521295e-03
 9.00e+00,        +2.945335841066e-10,        +2.944535563913e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +2.174669762600e-12,        +7.383435641801e-03,        +2.067121607679e-12,        +7.020195758589e-03,        +2.174669762600e-12,        +7.383435641801e-03,        +2.067121607679e-12,        +7.020195758589e-03,        +1.016063099253e-12,        +3.449735969280e-03,        +1.446969540129e-12,        +4.914084101625e-03,        +2.908423320969e-10,        +9.874674665002e-01,        +2.891540446951e-10,        +9.820022153541e-01,        +5.005191477668e-13,        +1.699361888679e-03,        +1.785420548349e-12,        +6.063504785715e-03
 1.00e+01,        +2.945335841066e-10,        +2.944821565427e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +4.528679803760e-14,        +1.537576713874e-04,        +6.285657233158e-15,        +2.134478131698e-05,        +4.528679803760e-14,        +1.537576713874e-04,        +6.285657233158e-15,        +2.134478131698e-05,        +5.018706614803e-14,        +1.703950546090e-04,        +9.434364128294e-15,        +3.203713338375e-05,        +2.944275543514e-10,        +9.996400079282e-01,        +2.944616812611e-10,        +9.999304702130e-01,        +1.055589095783e-14,        +3.583934575694e-05,        +4.755260259292e-15,        +1.614787230276e-05
