        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43500000e+00,        +3.102682956564e-10,        +2.858633629804e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.302678957121e-15,        +1.064459051523e-05,        +7.915954884695e-13,        +2.769139354608e-03,        +1.005256547611e-10,        +3.239958969975e-01,        +7.345494760780e-11,        +2.569582434138e-01,        +5.158040276206e-11,        +1.662445163884e-01,        +4.816958827792e-11,        +1.685056377135e-01,        +5.153720000748e-11,        +1.661052731748e-01,        +4.816689761489e-11,        +1.684962253040e-01,        +5.153631025154e-11,        +1.661024054762e-01,        +4.816556487719e-11,        +1.684915631546e-01,        +5.156782416944e-11,        +1.662039753702e-01,        +4.815564244290e-11,        +1.684568527454e-01
 2.43500500e+00,        +3.109713742655e-10,        +2.865663851652e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.311477639703e-15,        +1.064881823134e-05,        +7.937131293366e-13,        +2.769735636924e-03,        +1.006690161198e-10,        +3.237243825338e-01,        +7.359040977012e-11,        +2.568005655223e-01,        +5.171798337390e-11,        +1.663110744391e-01,        +4.829825777848e-11,        +1.685412535411e-01,        +5.167478036553e-11,        +1.661721452259e-01,        +4.829561276910e-11,        +1.685320235353e-01,        +5.167388761223e-11,        +1.661692743722e-01,        +4.829427579642e-11,        +1.685273580451e-01,        +5.170537237303e-11,        +1.662705208644e-01,        +4.828427636016e-11,        +1.684924640841e-01
 2.43501000e+00,        +3.116772556322e-10,        +2.872722099912e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.320311511075e-15,        +1.065304397762e-05,        +7.958392355389e-13,        +2.770331441260e-03,        +1.008129424800e-10,        +3.234529971575e-01,        +7.372640439752e-11,        +2.566430090811e-01,        +5.185611403260e-11,        +1.663776008532e-01,        +4.842744200899e-11,        +1.685768421891e-01,        +5.181291076574e-11,        +1.662389854552e-01,        +4.842484276857e-11,        +1.685677941840e-01,        +5.181201500228e-11,        +1.662361114454e-01,        +4.842350154311e-11,        +1.685631253528e-01,        +5.184347049566e-11,        +1.663370347333e-01,        +4.841342486751e-11,        +1.685280482543e-01
 2.43501500e+00,        +3.123859546749e-10,        +2.879808523763e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.329180758820e-15,        +1.065726774523e-05,        +7.979738521907e-13,        +2.770926766853e-03,        +1.009574368336e-10,        +3.231817414411e-01,        +7.386293430579e-11,        +2.564855742883e-01,        +5.199479766977e-11,        +1.664440954904e-01,        +4.855714371368e-11,        +1.686124036129e-01,        +5.195159413970e-11,        +1.663057937216e-01,        +4.855459035795e-11,        +1.686035372050e-01,        +5.195069535318e-11,        +1.663029165547e-01,        +4.855324486180e-11,        +1.685988650327e-01,        +5.198212146828e-11,        +1.664035168366e-01,        +4.854309070843e-11,        +1.685636052115e-01
 2.43502000e+00,        +3.130974864117e-10,        +2.886923273384e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.338085571774e-15,        +1.066148952529e-05,        +8.001170247077e-13,        +2.771521612937e-03,        +1.011025021920e-10,        +3.229106159577e-01,        +7.400000232941e-11,        +2.563282613419e-01,        +5.213403723662e-11,        +1.665105582102e-01,        +4.868736565510e-11,        +1.686479377681e-01,        +5.209083343856e-11,        +1.663725698841e-01,        +4.868485830023e-11,        +1.686392525533e-01,        +5.208993161603e-11,        +1.663696895590e-01,        +4.868350851538e-11,        +1.686345770399e-01,        +5.212132824139e-11,        +1.664699670340e-01,        +4.867327664474e-11,        +1.685991349111e-01
 2.43502500e+00,        +3.138118659605e-10,        +2.894066499952e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.347026140035e-15,        +1.066570930895e-05,        +8.022687988083e-13,        +2.772115978751e-03,        +1.012481415869e-10,        +3.226396212807e-01,        +7.413761132170e-11,        +2.561710704400e-01,        +5.227383570400e-11,        +1.665769888720e-01,        +4.881811061422e-11,        +1.686834446100e-01,        +5.223063163315e-11,        +1.664393138012e-01,        +4.881564937682e-11,        +1.686749401841e-01,        +5.222972676158e-11,        +1.664364303170e-01,        +4.881429528517e-11,        +1.686702613295e-01,        +5.226109378518e-11,        +1.665363851849e-01,        +4.880398545665e-11,        +1.686346373087e-01
 2.43503000e+00,        +3.145291085405e-10,        +2.901238355654e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.356002654971e-15,        +1.066992708733e-05,        +8.044292205171e-13,        +2.772709863529e-03,        +1.013943580701e-10,        +3.223687579843e-01,        +7.427576415497e-11,        +2.560140017803e-01,        +5.241419606269e-11,        +1.666433873351e-01,        +4.894938139065e-11,        +1.687189240941e-01,        +5.237099171420e-11,        +1.665060253317e-01,        +4.894696638776e-11,        +1.687106000524e-01,        +5.237008378049e-11,        +1.665031386872e-01,        +4.894560797112e-11,        +1.687059178565e-01,        +5.240142108973e-11,        +1.666027711485e-01,        +4.893521994301e-11,        +1.686701123596e-01
 2.43503500e+00,        +3.152492294723e-10,        +2.908438993697e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.365015309228e-15,        +1.067414285155e-05,        +8.065983361659e-13,        +2.773303266508e-03,        +1.015411547137e-10,        +3.220980266428e-01,        +7.441446372063e-11,        +2.558570555611e-01,        +5.255512132341e-11,        +1.667097534588e-01,        +4.908118080266e-11,        +1.687543761758e-01,        +5.251191669240e-11,        +1.665727043340e-01,        +4.907881215180e-11,        +1.687462321134e-01,        +5.251100568338e-11,        +1.665698145282e-01,        +4.907744939186e-11,        +1.687415465761e-01,        +5.254231316507e-11,        +1.666691247843e-01,        +4.906698292136e-11,        +1.687055600193e-01
 2.43504000e+00,        +3.159722441795e-10,        +2.915668568310e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.374064296746e-15,        +1.067835659271e-05,        +8.087761923974e-13,        +2.773896186926e-03,        +1.016885346104e-10,        +3.218274278313e-01,        +7.455371292940e-11,        +2.557002319801e-01,        +5.269661451711e-11,        +1.667760871021e-01,        +4.921351168747e-11,        +1.687898008106e-01,        +5.265340959865e-11,        +1.666393506663e-01,        +4.921118950659e-11,        +1.687818363221e-01,        +5.265249550107e-11,        +1.666364576983e-01,        +4.920982238495e-11,        +1.687771474433e-01,        +5.268377304144e-11,        +1.667354459511e-01,        +4.919927722814e-11,        +1.687409802433e-01
 2.43504500e+00,        +3.166981681888e-10,        +2.922927234761e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.383149812768e-15,        +1.068256830191e-05,        +8.109628361676e-13,        +2.774488624018e-03,        +1.018365008735e-10,        +3.215569621253e-01,        +7.469351471145e-11,        +2.555435312352e-01,        +5.283867869506e-11,        +1.668423881238e-01,        +4.934637690135e-11,        +1.688251979539e-01,        +5.279547348418e-11,        +1.667059641870e-01,        +4.934410130884e-11,        +1.688174126335e-01,        +5.279455628473e-11,        +1.667030680558e-01,        +4.934272980701e-11,        +1.688127204133e-01,        +5.282580376942e-11,        +1.668017345081e-01,        +4.933210571883e-11,        +1.687763729871e-01
