        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.43500000e+00,        +1.414213562373e-01,        +2.335714271937e-01,        -5.275129819301e-02
 2.43500500e+00,        +1.414213562373e-01,        +2.335688132199e-01,        -5.275148910749e-02
 2.43501000e+00,        +1.414213562373e-01,        +2.335661929828e-01,        -5.275168012524e-02
 2.43501500e+00,        +1.414213562373e-01,        +2.335635664575e-01,        -5.275187124606e-02
 2.43502000e+00,        +1.414213562373e-01,        +2.335609336188e-01,        -5.275206246976e-02
 2.43502500e+00,        +1.414213562373e-01,        +2.335582944414e-01,        -5.275225379613e-02
 2.43503000e+00,        +1.414213562373e-01,        +2.335556489000e-01,        -5.275244522497e-02
 2.43503500e+00,        +1.414213562373e-01,        +2.335529969690e-01,        -5.275263675606e-02
 2.43504000e+00,        +1.414213562373e-01,        +2.335503386227e-01,        -5.275282838919e-02
 2.43504500e+00,        +1.414213562373e-01,        +2.335476738353e-01,        -5.275302012413e-02
 2.43505000e+00,        +1.414213562373e-01,        +2.335450025810e-01,        -5.275321196066e-02
 2.43505500e+00,        +1.414213562373e-01,        +2.335423248335e-01,        -5.275340389855e-02
 2.43506000e+00,        +1.414213562373e-01,        +2.335396405667e-01,        -5.275359593757e-02
 2.43506500e+00,        +1.414213562373e-01,        +2.335369497541e-01,        -5.275378807746e-02
 2.43507000e+00,        +1.414213562373e-01,        +2.335342523694e-01,        -5.275398031800e-02
 2.43507500e+00,        +1.414213562373e-01,        +2.335315483858e-01,        -5.275417265894e-02
 2.43508000e+00,        +1.414213562373e-01,        +2.335288377765e-01,        -5.275436510000e-02
 2.43508500e+00,        +1.414213562373e-01,        +2.335261205146e-01,        -5.275455764094e-02
 2.43509000e+00,        +1.414213562373e-01,        +2.335233965730e-01,        -5.275475028150e-02
 2.43509500e+00,        +1.414213562373e-01,        +2.335206659245e-01,        -5.275494302140e-02
 2.43510000e+00,        +1.414213562373e-01,        +2.335179285416e-01,        -5.275513586037e-02
 2.43510500e+00,        +1.414213562373e-01,        +2.335151843969e-01,        -5.275532879812e-02
 2.43511000e+00,        +1.414213562373e-01,        +2.335124334626e-01,        -5.275552183438e-02
 2.43511500e+00,        +1.414213562373e-01,        +2.335096757109e-01,        -5.275571496885e-02
 2.43512000e+00,        +1.414213562373e-01,        +2.335069111138e-01,        -5.275590820123e-02
 2.43512500e+00,        +1.414213562373e-01,        +2.335041396433e-01,        -5.275610153123e-02
