        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.43500000e+00,        -2.489390591014e+00,        -2.978897498683e+01
 2.43500500e+00,        -2.489568408537e+00,        -2.978976516371e+01
 2.43501000e+00,        -2.489746668514e+00,        -2.979055710051e+01
 2.43501500e+00,        -2.489925372743e+00,        -2.979135080408e+01
 2.43502000e+00,        -2.490104523033e+00,        -2.979214628129e+01
 2.43502500e+00,        -2.490284121203e+00,        -2.979294353905e+01
 2.43503000e+00,        -2.490464169081e+00,        -2.979374258430e+01
 2.43503500e+00,        -2.490644668505e+00,        -2.979454342403e+01
 2.43504000e+00,        -2.490825621324e+00,        -2.979534606526e+01
 2.43504500e+00,        -2.491007029395e+00,        -2.979615051504e+01
 2.43505000e+00,        -2.491188894587e+00,        -2.979695678047e+01
 2.43505500e+00,        -2.491371218779e+00,        -2.979776486867e+01
 2.43506000e+00,        -2.491554003861e+00,        -2.979857478681e+01
 2.43506500e+00,        -2.491737251731e+00,        -2.979938654210e+01
 2.43507000e+00,        -2.491920964300e+00,        -2.980020014178e+01
 2.43507500e+00,        -2.492105143488e+00,        -2.980101559313e+01
 2.43508000e+00,        -2.492289791226e+00,        -2.980183290347e+01
 2.43508500e+00,        -2.492474909456e+00,        -2.980265208015e+01
 2.43509000e+00,        -2.492660500129e+00,        -2.980347313057e+01
 2.43509500e+00,        -2.492846565211e+00,        -2.980429606217e+01
 2.43510000e+00,        -2.493033106674e+00,        -2.980512088242e+01
 2.43510500e+00,        -2.493220126504e+00,        -2.980594759884e+01
 2.43511000e+00,        -2.493407626696e+00,        -2.980677621897e+01
 2.43511500e+00,        -2.493595609259e+00,        -2.980760675042e+01
 2.43512000e+00,        -2.493784076211e+00,        -2.980843920081e+01
 2.43512500e+00,        -2.493973029581e+00,        -2.980927357783e+01
 2.43513000e+00,        -2.494162471411e+00,        -2.981010988919e+01
 2.43513500e+00,        -2.494352403753e+00,        -2.981094814264e+01
 2.43514000e+00,        -2.494542828671e+00,        -2.981178834599e+01
 2.43514500e+00,        -2.494733748241e+00,        -2.981263050708e+01
 2.43515000e+00,        -2.494925164550e+00,        -2.981347463378e+01
 2.43515500e+00,        -2.495117079697e+00,        -2.981432073403e+01
 2.43516000e+00,        -2.495309495794e+00,        -2.981516881578e+01
 2.43516500e+00,        -2.495502414963e+00,        -2.981601888706e+01
 2.43517000e+00,        -2.495695839339e+00,        -2.981687095591e+01
 2.43517500e+00,        -2.495889771068e+00,        -2.981772503044e+01
 2.43518000e+00,        -2.496084212311e+00,        -2.981858111877e+01
 2.43518500e+00,        -2.496279165238e+00,        -2.981943922911e+01
 2.43519000e+00,        -2.496474632034e+00,        -2.982029936967e+01
 2.43519500e+00,        -2.496670614894e+00,        -2.982116154873e+01
 2.43520000e+00,        -2.496867116027e+00,        -2.982202577461e+01
 2.43520500e+00,        -2.497064137655e+00,        -2.982289205567e+01
 2.43521000e+00,        -2.497261682011e+00,        -2.982376040033e+01
 2.43521500e+00,        -2.497459751342e+00,        -2.982463081704e+01
 2.43522000e+00,        -2.497658347909e+00,        -2.982550331429e+01
 2.43522500e+00,        -2.497857473984e+00,        -2.982637790065e+01
 2.43523000e+00,        -2.498057131853e+00,        -2.982725458470e+01
 2.43523500e+00,        -2.498257323814e+00,        -2.982813337508e+01
 2.43524000e+00,        -2.498458052181e+00,        -2.982901428049e+01
 2.43524500e+00,        -2.498659319278e+00,        -2.982989730967e+01
 2.43525000e+00,        -2.498861127445e+00,        -2.983078247139e+01
 2.43525500e+00,        -2.499063479034e+00,        -2.983166977450e+01
 2.43526000e+00,        -2.499266376412e+00,        -2.983255922787e+01
