        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.43500000e+00,        +7.071067811865e+00,        +1.167857135968e+01,        -2.637564909651e+00
 2.43500500e+00,        +7.071067811865e+00,        +1.167844066099e+01,        -2.637574455375e+00
 2.43501000e+00,        +7.071067811865e+00,        +1.167830964914e+01,        -2.637584006262e+00
 2.43501500e+00,        +7.071067811865e+00,        +1.167817832288e+01,        -2.637593562303e+00
 2.43502000e+00,        +7.071067811865e+00,        +1.167804668094e+01,        -2.637603123488e+00
 2.43502500e+00,        +7.071067811865e+00,        +1.167791472207e+01,        -2.637612689807e+00
 2.43503000e+00,        +7.071067811865e+00,        +1.167778244500e+01,        -2.637622261249e+00
 2.43503500e+00,        +7.071067811865e+00,        +1.167764984845e+01,        -2.637631837803e+00
 2.43504000e+00,        +7.071067811865e+00,        +1.167751693113e+01,        -2.637641419459e+00
 2.43504500e+00,        +7.071067811865e+00,        +1.167738369177e+01,        -2.637651006206e+00
 2.43505000e+00,        +7.071067811865e+00,        +1.167725012905e+01,        -2.637660598033e+00
 2.43505500e+00,        +7.071067811865e+00,        +1.167711624167e+01,        -2.637670194928e+00
 2.43506000e+00,        +7.071067811865e+00,        +1.167698202833e+01,        -2.637679796878e+00
 2.43506500e+00,        +7.071067811865e+00,        +1.167684748771e+01,        -2.637689403873e+00
 2.43507000e+00,        +7.071067811865e+00,        +1.167671261847e+01,        -2.637699015900e+00
 2.43507500e+00,        +7.071067811865e+00,        +1.167657741929e+01,        -2.637708632947e+00
 2.43508000e+00,        +7.071067811865e+00,        +1.167644188883e+01,        -2.637718255000e+00
 2.43508500e+00,        +7.071067811865e+00,        +1.167630602573e+01,        -2.637727882047e+00
 2.43509000e+00,        +7.071067811865e+00,        +1.167616982865e+01,        -2.637737514075e+00
 2.43509500e+00,        +7.071067811865e+00,        +1.167603329622e+01,        -2.637747151070e+00
 2.43510000e+00,        +7.071067811865e+00,        +1.167589642708e+01,        -2.637756793018e+00
 2.43510500e+00,        +7.071067811865e+00,        +1.167575921984e+01,        -2.637766439906e+00
 2.43511000e+00,        +7.071067811865e+00,        +1.167562167313e+01,        -2.637776091719e+00
 2.43511500e+00,        +7.071067811865e+00,        +1.167548378555e+01,        -2.637785748442e+00
 2.43512000e+00,        +7.071067811865e+00,        +1.167534555569e+01,        -2.637795410062e+00
 2.43512500e+00,        +7.071067811865e+00,        +1.167520698216e+01,        -2.637805076562e+00
 2.43513000e+00,        +7.071067811865e+00,        +1.167506806354e+01,        -2.637814747927e+00
 2.43513500e+00,        +7.071067811865e+00,        +1.167492879841e+01,        -2.637824424142e+00
 2.43514000e+00,        +7.071067811865e+00,        +1.167478918533e+01,        -2.637834105191e+00
 2.43514500e+00,        +7.071067811865e+00,        +1.167464922287e+01,        -2.637843791058e+00
 2.43515000e+00,        +7.071067811865e+00,        +1.167450890958e+01,        -2.637853481726e+00
 2.43515500e+00,        +7.071067811865e+00,        +1.167436824401e+01,        -2.637863177178e+00
 2.43516000e+00,        +7.071067811865e+00,        +1.167422722470e+01,        -2.637872877398e+00
 2.43516500e+00,        +7.071067811865e+00,        +1.167408585016e+01,        -2.637882582367e+00
 2.43517000e+00,        +7.071067811865e+00,        +1.167394411894e+01,        -2.637892292069e+00
