        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43500000e+00,        -1.413868431911e-10,        -1.446179789476e-10,        +1.962620123696e-10,        +2.072864281265e-10,        -1.175127665098e-06,        -1.227562249854e-06,        -5.670747646995e-10,        -5.892824468084e-10,        +1.825847518709e-10,        +1.929503285880e-10,        -1.167717522017e-06,        -1.219828790612e-06,        -1.090824120122e-09,        -1.136523459949e-09,        +1.650831618371e-10,        +1.745595078311e-10,        -1.138739800093e-06,        -1.189572615559e-06,        +1.447899830685e-09,        +1.506632071808e-09,        +1.630541553404e-09,        +1.704515499672e-09,        -3.334545077719e-07,        -3.486093437551e-07
 2.43500500e+00,        -1.418617288514e-10,        -1.450994877718e-10,        +1.963253438499e-10,        +2.073418331811e-10,        -1.176739584560e-06,        -1.229162305195e-06,        -5.681354487954e-10,        -5.903454723234e-10,        +1.826298995178e-10,        +1.929877156153e-10,        -1.169318632543e-06,        -1.221418092286e-06,        -1.092590248922e-09,        -1.138286205622e-09,        +1.651151731072e-10,        +1.745842579775e-10,        -1.140299810168e-06,        -1.191121067718e-06,        +1.450427751392e-09,        +1.509161983850e-09,        +1.632680187646e-09,        +1.706634911468e-09,        -3.338861217609e-07,        -3.490368055238e-07
 2.43501000e+00,        -1.423379323126e-10,        -1.455822690972e-10,        +1.963888288349e-10,        +2.073973637212e-10,        -1.178355890731e-06,        -1.230766507783e-06,        -5.691990449860e-10,        -5.914112776977e-10,        +1.826751513026e-10,        +1.930251815186e-10,        -1.170924100347e-06,        -1.223011513324e-06,        -1.094361209047e-09,        -1.140053544279e-09,        +1.651472533479e-10,        +1.746090547825e-10,        -1.141864065640e-06,        -1.192673533342e-06,        +1.452962575046e-09,        +1.511698473470e-09,        +1.634824629390e-09,        +1.708759804336e-09,        -3.343189094816e-07,        -3.494653745366e-07
 2.43501500e+00,        -1.428154589560e-10,        -1.460663278748e-10,        +1.964524679501e-10,        +2.074530202348e-10,        -1.179976601520e-06,        -1.232374873742e-06,        -5.702655651598e-10,        -5.924798737404e-10,        +1.827205076515e-10,        +1.930627266042e-10,        -1.172533943220e-06,        -1.224609069742e-06,        -1.096137020216e-09,        -1.141825493781e-09,        +1.651794028439e-10,        +1.746338984336e-10,        -1.143432583842e-06,        -1.194230028034e-06,        +1.455504329831e-09,        +1.514241566241e-09,        +1.636974902343e-09,        +1.710890199584e-09,        -3.347528757257e-07,        -3.498950550984e-07
 2.43502000e+00,        -1.432943141933e-10,        -1.465516690773e-10,        +1.965162618237e-10,        +2.075088032082e-10,        -1.181601734935e-06,        -1.233987419280e-06,        -5.713350212826e-10,        -5.935512713138e-10,        +1.827659689833e-10,        +1.931003511813e-10,        -1.174148179048e-06,        -1.226210777640e-06,        -1.097917702273e-09,        -1.143602072082e-09,        +1.652116218746e-10,        +1.746587891040e-10,        -1.145005382203e-06,        -1.195790567480e-06,        +1.458053044098e-09,        +1.516791287883e-09,        +1.639131030343e-09,        +1.713026118630e-09,        -3.351880253115e-07,        -3.503258515360e-07
 2.43502500e+00,        -1.437745034645e-10,        -1.470382977066e-10,        +1.965802110868e-10,        +2.075647131357e-10,        -1.183231309082e-06,        -1.235604160689e-06,        -5.724074253700e-10,        -5.946254813421e-10,        +1.828115357302e-10,        +1.931380555545e-10,        -1.175766825816e-06,        -1.227816653199e-06,        -1.099703275155e-09,        -1.145383297212e-09,        +1.652439107223e-10,        +1.746837269803e-10,        -1.146582478245e-06,        -1.197355167446e-06,        +1.460608746339e-09,        +1.519347664241e-09,        +1.641293037360e-09,        +1.715167583004e-09,        -3.356243630831e-07,        -3.507577681987e-07
 2.43503000e+00,        -1.442560322449e-10,        -1.475262187926e-10,        +1.966443163756e-10,        +2.076207505091e-10,        -1.184865342167e-06,        -1.237225114345e-06,        -5.734827895138e-10,        -5.957025148093e-10,        +1.828572083190e-10,        +1.931758400339e-10,        -1.177389901608e-06,        -1.229426712687e-06,        -1.101493758924e-09,        -1.147169187328e-09,        +1.652762696761e-10,        +1.747087122412e-10,        -1.148163889587e-06,        -1.198923843780e-06,        +1.463171465212e-09,        +1.521910721290e-09,        +1.643460947491e-09,        +1.717314614347e-09,        -3.360618939114e-07,        -3.511908094589e-07
 2.43503500e+00,        -1.447389060329e-10,        -1.480154373841e-10,        +1.967085783285e-10,        +2.076769158253e-10,        -1.186503852493e-06,        -1.238850296711e-06,        -5.745611258637e-10,        -5.967823827491e-10,        +1.829029871904e-10,        +1.932137049346e-10,        -1.179017424604e-06,        -1.231040972455e-06,        -1.103289173729e-09,        -1.148959760666e-09,        +1.653086990141e-10,        +1.747337450703e-10,        -1.149749633943e-06,        -1.200496612415e-06,        +1.465741229525e-09,        +1.524480485144e-09,        +1.645634784968e-09,        +1.719467234413e-09,        -3.365006226937e-07,        -3.516249797110e-07
 2.43504000e+00,        -1.452231303582e-10,        -1.485059585604e-10,        +1.967729975875e-10,        +2.077332095829e-10,        -1.188146858466e-06,        -1.240479724335e-06,        -5.756424466425e-10,        -5.978650962516e-10,        +1.829488727715e-10,        +1.932516505650e-10,        -1.180649413087e-06,        -1.232659448938e-06,        -1.105089539863e-09,        -1.150755035551e-09,        +1.653411990298e-10,        +1.747588256561e-10,        -1.151339729127e-06,        -1.202073489363e-06,        +1.468318068249e-09,        +1.527056982061e-09,        +1.647814574154e-09,        +1.721625465068e-09,        -3.369405543542e-07,        -3.520602833729e-07
 2.43504500e+00,        -1.457087107875e-10,        -1.489977874307e-10,        +1.968375747991e-10,        +2.077896322845e-10,        -1.189794378592e-06,        -1.242113413850e-06,        -5.767267641377e-10,        -5.989506664717e-10,        +1.829948655044e-10,        +1.932896772458e-10,        -1.182285885438e-06,        -1.234282158660e-06,        -1.106894877698e-09,        -1.152555030390e-09,        +1.653737700090e-10,        +1.747839541824e-10,        -1.152934193046e-06,        -1.203654490721e-06,        +1.470902010507e-09,        +1.529640238425e-09,        +1.650000339545e-09,        +1.723789328295e-09,        -3.373816938442e-07,        -3.524967248852e-07
