        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43500000e+00,        +9.868220587885e-10,        +9.874082669050e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.202790924356e-14,        +1.218852896167e-05,        +2.888503918541e-12,        +2.925339006523e-03,        +2.215712931778e-10,        +2.245301381384e-01,        +2.123598692390e-10,        +2.150679474303e-01,        +1.881338218342e-10,        +1.906461455322e-01,        +1.757086605818e-10,        +1.779493513180e-01,        +1.880904157817e-10,        +1.906021598389e-01,        +1.758032634836e-10,        +1.780451606251e-01,        +1.880608507278e-10,        +1.905721999756e-01,        +1.757756055259e-10,        +1.780171499646e-01,        +1.881187523339e-10,        +1.906308747950e-01,        +1.756901153366e-10,        +1.779305695782e-01
 2.43500500e+00,        +9.885482456325e-10,        +9.891303633154e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.204978858369e-14,        +1.218937835045e-05,        +2.893775787405e-12,        +2.925575732713e-03,        +2.219071722590e-10,        +2.244778373128e-01,        +2.126713636139e-10,        +2.150084271006e-01,        +1.884753691240e-10,        +1.906587462541e-01,        +1.760282599671e-10,        +1.779626493085e-01,        +1.884322813900e-10,        +1.906151593738e-01,        +1.761232130284e-10,        +1.780586458170e-01,        +1.884027328200e-10,        +1.905852685010e-01,        +1.760955752051e-10,        +1.780307042793e-01,        +1.884602731458e-10,        +1.906434753978e-01,        +1.760096839191e-10,        +1.779438691268e-01
 2.43501000e+00,        +9.902791791954e-10,        +9.908571992572e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.207172805214e-14,        +1.219022706500e-05,        +2.899062121931e-12,        +2.925812240254e-03,        +2.222439775319e-10,        +2.244255783631e-01,        +2.129837185255e-10,        +2.149489539816e-01,        +1.888178552667e-10,        +1.906713371679e-01,        +1.763487387509e-10,        +1.779759372825e-01,        +1.887750861350e-10,        +1.906281482040e-01,        +1.764440422289e-10,        +1.780721201412e-01,        +1.887455541615e-10,        +1.905983263375e-01,        +1.764164246638e-10,        +1.780442477443e-01,        +1.888027327362e-10,        +1.906560661909e-01,        +1.763301318159e-10,        +1.779571586582e-01
 2.43501500e+00,        +9.920148768400e-10,        +9.925887920733e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.209372786883e-14,        +1.219107510500e-05,        +2.904362974979e-12,        +2.926048529031e-03,        +2.225817123870e-10,        +2.243733613109e-01,        +2.132969371256e-10,        +2.148895280996e-01,        +1.891612836965e-10,        +1.906839182685e-01,        +1.766701001516e-10,        +1.779892152344e-01,        +1.891188334507e-10,        +1.906411263238e-01,        +1.767657543030e-10,        +1.780855835917e-01,        +1.890893181869e-10,        +1.906113734799e-01,        +1.767381571205e-10,        +1.780577803537e-01,        +1.891461345389e-10,        +1.906686471693e-01,        +1.766514622448e-10,        +1.779704381668e-01
 2.43502000e+00,        +9.937553560087e-10,        +9.943251591862e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.211578825469e-14,        +1.219192247009e-05,        +2.909678399652e-12,        +2.926284598927e-03,        +2.229203802305e-10,        +2.243211861779e-01,        +2.136110225804e-10,        +2.148301494807e-01,        +1.895056578630e-10,        +1.906964895506e-01,        +1.769923474021e-10,        +1.780024831584e-01,        +1.894635267870e-10,        +1.906540937278e-01,        +1.770883524833e-10,        +1.780990361626e-01,        +1.894340283465e-10,        +1.906244099226e-01,        +1.770607758086e-10,        +1.780713021015e-01,        +1.894904820033e-10,        +1.906812183276e-01,        +1.769736784385e-10,        +1.779837076468e-01
 2.43502500e+00,        +9.955006342231e-10,        +9.960663180977e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.213790943166e-14,        +1.219276915994e-05,        +2.915008449295e-12,        +2.926520449825e-03,        +2.232599844840e-10,        +2.242690529859e-01,        +2.139259780706e-10,        +2.147708181511e-01,        +1.898509812316e-10,        +1.907090510091e-01,        +1.773154837500e-10,        +1.780157410489e-01,        +1.898091696093e-10,        +1.906670504107e-01,        +1.774118400174e-10,        +1.781124778481e-01,        +1.897796881064e-10,        +1.906374356602e-01,        +1.773842839759e-10,        +1.780848129818e-01,        +1.898357785946e-10,        +1.906937796607e-01,        +1.772967836443e-10,        +1.779969670924e-01
 2.43503000e+00,        +9.972507290855e-10,        +9.978122863901e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.216009162268e-14,        +1.219361517422e-05,        +2.920353177498e-12,        +2.926756081611e-03,        +2.236005285849e-10,        +2.242169617564e-01,        +2.142418067915e-10,        +2.147115341370e-01,        +1.901972572838e-10,        +1.907216026387e-01,        +1.776395124580e-10,        +1.780289889000e-01,        +1.901557653990e-10,        +1.906799963670e-01,        +1.777362201675e-10,        +1.781259086421e-01,        +1.901263009484e-10,        +1.906504506873e-01,        +1.777086848856e-10,        +1.780983129888e-01,        +1.901820277939e-10,        +1.907063311634e-01,        +1.776207811247e-10,        +1.780102164980e-01
 2.43503500e+00,        +9.990056582779e-10,        +9.995630817253e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +1.218233505172e-14,        +1.219446051259e-05,        +2.925712638093e-12,        +2.926991494167e-03,        +2.239420159861e-10,        +2.241649125112e-01,        +2.145585119529e-10,        +2.146522974643e-01,        +1.905444895167e-10,        +1.907341444344e-01,        +1.779644368035e-10,        +1.780422267060e-01,        +1.905033176533e-10,        +1.906929315913e-01,        +1.780614962109e-10,        +1.781393285389e-01,        +1.904738703703e-10,        +1.906634549985e-01,        +1.780339818151e-10,        +1.781118021164e-01,        +1.905292330980e-10,        +1.907188728305e-01,        +1.779456741567e-10,        +1.780234558579e-01
 2.43504000e+00,        +1.000765439564e-09,        +1.001318721847e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.220463994378e-14,        +1.219530517470e-05,        +2.931086885160e-12,        +2.927226687378e-03,        +2.242844501564e-10,        +2.241129052719e-01,        +2.148760967793e-10,        +2.145931081594e-01,        +1.908926814437e-10,        +1.907466763909e-01,        +1.782902600790e-10,        +1.780554544613e-01,        +1.908518298855e-10,        +1.907058560782e-01,        +1.783876714396e-10,        +1.781527375326e-01,        +1.908223998859e-10,        +1.906764485883e-01,        +1.783601780575e-10,        +1.781252803589e-01,        +1.908773980201e-10,        +1.907314046569e-01,        +1.782714660324e-10,        +1.780366851662e-01
 2.43504500e+00,        +1.002530090788e-09,        +1.003079224579e-09,        +0.000000000000e+00,        +0.000000000000e+00,        +1.222700652488e-14,        +1.219614916024e-05,        +2.936475973028e-12,        +2.927461661127e-03,        +2.246278345805e-10,        +2.240609400601e-01,        +2.151945645100e-10,        +2.145339662482e-01,        +1.912418365939e-10,        +1.907591985030e-01,        +1.786169855921e-10,        +1.780686721601e-01,        +1.912013056250e-10,        +1.907187698223e-01,        +1.787147491611e-10,        +1.781661356172e-01,        +1.911718930253e-10,        +1.906894314513e-01,        +1.786872769206e-10,        +1.781387477102e-01,        +1.912265260890e-10,        +1.907439266373e-01,        +1.785981600593e-10,        +1.780499044173e-01
