        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.43500000e+00,        +1.414213562373e-01,        +2.827489366277e-01,        +1.334927779517e-03
 2.43500500e+00,        +1.414213562373e-01,        +2.827491472918e-01,        +1.326151352148e-03
 2.43501000e+00,        +1.414213562373e-01,        +2.827493566681e-01,        +1.317359547975e-03
 2.43501500e+00,        +1.414213562373e-01,        +2.827495647490e-01,        +1.308552324897e-03
 2.43502000e+00,        +1.414213562373e-01,        +2.827497715266e-01,        +1.299729640653e-03
 2.43502500e+00,        +1.414213562373e-01,        +2.827499769932e-01,        +1.290891452836e-03
 2.43503000e+00,        +1.414213562373e-01,        +2.827501811410e-01,        +1.282037718878e-03
 2.43503500e+00,        +1.414213562373e-01,        +2.827503839622e-01,        +1.273168396063e-03
 2.43504000e+00,        +1.414213562373e-01,        +2.827505854488e-01,        +1.264283441517e-03
 2.43504500e+00,        +1.414213562373e-01,        +2.827507855929e-01,        +1.255382812210e-03
 2.43505000e+00,        +1.414213562373e-01,        +2.827509843865e-01,        +1.246466464956e-03
 2.43505500e+00,        +1.414213562373e-01,        +2.827511818215e-01,        +1.237534356412e-03
 2.43506000e+00,        +1.414213562373e-01,        +2.827513778900e-01,        +1.228586443079e-03
 2.43506500e+00,        +1.414213562373e-01,        +2.827515725837e-01,        +1.219622681294e-03
 2.43507000e+00,        +1.414213562373e-01,        +2.827517658945e-01,        +1.210643027241e-03
 2.43507500e+00,        +1.414213562373e-01,        +2.827519578142e-01,        +1.201647436941e-03
 2.43508000e+00,        +1.414213562373e-01,        +2.827521483344e-01,        +1.192635866250e-03
 2.43508500e+00,        +1.414213562373e-01,        +2.827523374470e-01,        +1.183608270872e-03
 2.43509000e+00,        +1.414213562373e-01,        +2.827525251434e-01,        +1.174564606340e-03
 2.43509500e+00,        +1.414213562373e-01,        +2.827527114154e-01,        +1.165504828031e-03
 2.43510000e+00,        +1.414213562373e-01,        +2.827528962544e-01,        +1.156428891151e-03
 2.43510500e+00,        +1.414213562373e-01,        +2.827530796520e-01,        +1.147336750748e-03
 2.43511000e+00,        +1.414213562373e-01,        +2.827532615996e-01,        +1.138228361701e-03
 2.43511500e+00,        +1.414213562373e-01,        +2.827534420885e-01,        +1.129103678725e-03
 2.43512000e+00,        +1.414213562373e-01,        +2.827536211102e-01,        +1.119962656368e-03
 2.43512500e+00,        +1.414213562373e-01,        +2.827537986560e-01,        +1.110805249008e-03
 2.43513000e+00,        +1.414213562373e-01,        +2.827539747170e-01,        +1.101631410860e-03
