        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.43500000e+00,        -5.374023862033e-03,        +5.411785367642e-01
 2.43500500e+00,        -5.366155453298e-03,        +5.376199890942e-01
 2.43501000e+00,        -5.358341495803e-03,        +5.340552193836e-01
 2.43501500e+00,        -5.350582309241e-03,        +5.304842105301e-01
 2.43502000e+00,        -5.342878215113e-03,        +5.269069453674e-01
 2.43502500e+00,        -5.335229536716e-03,        +5.233234066671e-01
 2.43503000e+00,        -5.327636599174e-03,        +5.197335771367e-01
 2.43503500e+00,        -5.320099729479e-03,        +5.161374394225e-01
 2.43504000e+00,        -5.312619256423e-03,        +5.125349761054e-01
 2.43504500e+00,        -5.305195510678e-03,        +5.089261697031e-01
 2.43505000e+00,        -5.297828824784e-03,        +5.053110026692e-01
 2.43505500e+00,        -5.290519533164e-03,        +5.016894573926e-01
 2.43506000e+00,        -5.283267972130e-03,        +4.980615161982e-01
 2.43506500e+00,        -5.276074479882e-03,        +4.944271613439e-01
 2.43507000e+00,        -5.268939396579e-03,        +4.907863750252e-01
 2.43507500e+00,        -5.261863064253e-03,        +4.871391393699e-01
 2.43508000e+00,        -5.254845826928e-03,        +4.834854364391e-01
 2.43508500e+00,        -5.247888030530e-03,        +4.798252482304e-01
 2.43509000e+00,        -5.240990022996e-03,        +4.761585566724e-01
 2.43509500e+00,        -5.234152154221e-03,        +4.724853436284e-01
 2.43510000e+00,        -5.227374776073e-03,        +4.688055908935e-01
 2.43510500e+00,        -5.220658242451e-03,        +4.651192801959e-01
 2.43511000e+00,        -5.214002909243e-03,        +4.614263931955e-01
 2.43511500e+00,        -5.207409134374e-03,        +4.577269114848e-01
 2.43512000e+00,        -5.200877277817e-03,        +4.540208165872e-01
 2.43512500e+00,        -5.194407701581e-03,        +4.503080899580e-01
 2.43513000e+00,        -5.188000769748e-03,        +4.465887129829e-01
 2.43513500e+00,        -5.181656848477e-03,        +4.428626669786e-01
 2.43514000e+00,        -5.175376306022e-03,        +4.391299331922e-01
 2.43514500e+00,        -5.169159512743e-03,        +4.353904928001e-01
 2.43515000e+00,        -5.163006841107e-03,        +4.316443269086e-01
 2.43515500e+00,        -5.156918665711e-03,        +4.278914165545e-01
 2.43516000e+00,        -5.150895363311e-03,        +4.241317427014e-01
