        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.43500000e+00,        -3.959841121882e-12,        +5.924825364979e-10,        +6.067010677171e-12,        -3.270211972229e-10,        -3.846316602774e-08,        +3.246188331627e-06,        -1.771479608270e-11,        +1.758037029683e-09,        +5.796122580695e-12,        -3.041190026884e-10,        -3.823389222882e-08,        +3.225916933769e-06,        -3.489530152777e-11,        +3.201380059883e-09,        +5.393023695232e-12,        -2.815107385010e-10,        -3.731194014254e-08,        +3.146251687106e-06,        -9.270996275494e-11,        +7.449543474727e-09,        +1.182060295773e-10,        -9.815159464058e-09,        -1.120138602627e-08,        +9.114709101572e-07
 2.43500500e+00,        -3.914078258803e-12,        +5.936291302277e-10,        +6.037229357243e-12,        -3.268767193867e-10,        -3.819323081236e-08,        +3.249150620925e-06,        -1.757210411213e-11,        +1.760251586280e-09,        +5.768241736226e-12,        -3.039534329697e-10,        -3.796562844708e-08,        +3.228858711636e-06,        -3.463238040971e-11,        +3.204886130185e-09,        +5.367179302199e-12,        -2.813495621250e-10,        -3.705027067320e-08,        +3.149116574483e-06,        -9.208473092660e-11,        +7.455496518639e-09,        +1.173878365624e-10,        -9.823770973787e-09,        -1.112504728780e-08,        +9.122241028922e-07
 2.43501000e+00,        -3.868021328478e-12,        +5.947778900764e-10,        +6.007422550682e-12,        -3.267319196045e-10,        -3.792226909674e-08,        +3.252118307871e-06,        -1.742874868492e-11,        +1.762470255514e-09,        +5.740342680477e-12,        -3.037875033697e-10,        -3.769634492880e-08,        +3.231805849796e-06,        -3.436834383764e-11,        +3.208398664592e-09,        +5.341319448759e-12,        -2.811880358697e-10,        -3.678760739403e-08,        +3.151986682086e-06,        -9.145729182178e-11,        +7.461460384656e-09,        +1.165666008487e-10,        -9.832398143515e-09,        -1.104843411392e-08,        +9.129786667350e-07
 2.43501500e+00,        -3.821668935288e-12,        +5.959288219445e-10,        +5.977590274567e-12,        -3.265867969873e-10,        -3.765027659474e-08,        +3.255091407085e-06,        -1.728472686148e-11,        +1.764693048534e-09,        +5.712425460984e-12,        -3.036212129078e-10,        -3.742603741659e-08,        +3.234758362769e-06,        -3.410318699192e-11,        +3.211917680585e-09,        +5.315444186940e-12,        -2.810261587700e-10,        -3.652394615686e-08,        +3.154862024054e-06,        -9.082763643491e-11,        +7.467435102054e-09,        +1.157423098230e-10,        -9.841041015642e-09,        -1.097154537808e-08,        +9.137346053962e-07
 2.43502000e+00,        -3.775019676274e-12,        +5.970819317351e-10,        +5.947732546242e-12,        -3.264413506452e-10,        -3.737724899930e-08,        +3.258069933243e-06,        -1.714003568812e-11,        +1.766919976562e-09,        +5.684490125436e-12,        -3.034545605828e-10,        -3.715470163222e-08,        +3.237716265129e-06,        -3.383690502975e-11,        +3.215443195827e-09,        +5.289553569428e-12,        -2.808639298590e-10,        -3.625928279330e-08,        +3.157742614581e-06,        -9.019575571738e-11,        +7.473420700203e-09,        +1.149149508109e-10,        -9.849699632725e-09,        -1.089437994828e-08,        +9.144919225995e-07
 2.43502500e+00,        -3.728072140955e-12,        +5.982372253849e-10,        +5.917849383622e-12,        -3.262955796797e-10,        -3.710318198150e-08,        +3.261053901071e-06,        -1.699467219548e-11,        +1.769151050833e-09,        +5.656536722237e-12,        -3.032875453884e-10,        -3.688233327580e-08,        +3.240679571499e-06,        -3.356949308185e-11,        +3.218975227917e-09,        +5.263647649578e-12,        -2.807013481752e-10,        -3.599361311379e-08,        +3.160628467907e-06,        -8.956164057478e-11,        +7.479417208588e-09,        +1.140845110738e-10,        -9.858374037469e-09,        -1.081693668683e-08,        +9.152506220819e-07
 2.43503000e+00,        -3.680824911889e-12,        +5.993947088699e-10,        +5.887940804781e-12,        -3.261494831986e-10,        -3.682807119178e-08,        +3.264043325349e-06,        -1.684863339967e-11,        +1.771386282633e-09,        +5.628565300329e-12,        -3.031201663365e-10,        -3.660892802691e-08,        +3.243648296558e-06,        -3.330094625630e-11,        +3.222513794600e-09,        +5.237726481191e-12,        -2.805384127317e-10,        -3.572693290880e-08,        +3.163519598328e-06,        -8.892528187026e-11,        +7.485424656803e-09,        +1.132509778126e-10,        -9.867064272736e-09,        -1.073921445065e-08,        +9.160107075942e-07
 2.43503500e+00,        -3.633276564021e-12,        +6.005543881250e-10,        +5.858006828469e-12,        -3.260030602931e-10,        -3.655191225900e-08,        +3.267038220910e-06,        -1.670191630151e-11,        +1.773625683287e-09,        +5.600575909253e-12,        -3.029524224029e-10,        -3.633448154372e-08,        +3.246622455035e-06,        -3.303125963580e-11,        +3.226058913655e-09,        +5.211790118866e-12,        -2.803751225550e-10,        -3.545923794794e-08,        +3.166416020187e-06,        -8.828667042191e-11,        +7.491443074548e-09,        +1.124143381650e-10,        -9.875770381537e-09,        -1.066121209105e-08,        +9.167721829001e-07
 2.43504000e+00,        -3.585425664795e-12,        +6.017162691758e-10,        +5.828047473628e-12,        -3.258563100622e-10,        -3.627470079038e-08,        +3.270038602639e-06,        -1.655451788650e-11,        +1.775869264157e-09,        +5.572568599079e-12,        -3.027843126003e-10,        -3.605898946288e-08,        +3.249602061713e-06,        -3.276042827962e-11,        +3.229610602949e-09,        +5.185838617350e-12,        -2.802114766659e-10,        -3.519052397984e-08,        +3.169317747882e-06,        -8.764579700296e-11,        +7.497472491606e-09,        +1.115745792051e-10,        -9.884492407042e-09,        -1.058292845369e-08,        +9.175350517771e-07
 2.43504500e+00,        -3.537270774408e-12,        +6.028803580427e-10,        +5.798062759652e-12,        -3.257092315995e-10,        -3.599643237150e-08,        +3.273044485476e-06,        -1.640643512507e-11,        +1.778117036650e-09,        +5.544543420365e-12,        -3.026158359043e-10,        -3.578244739957e-08,        +3.252587131428e-06,        -3.248844722076e-11,        +3.233168880377e-09,        +5.159872032192e-12,        -2.800474740791e-10,        -3.492078673225e-08,        +3.172224795859e-06,        -8.700265234163e-11,        +7.503512937889e-09,        +1.107316879438e-10,        -9.893230392573e-09,        -1.050436237861e-08,        +9.182993180162e-07
