        f (GHz),               Φ_pow[1] (W),               Φ_pow[2] (W),               Φ_pow[3] (W)
 2.43500000e+00,        +7.297726259871e-04,        -1.796370727531e-05,        +1.172667963323e-04
 2.43500500e+00,        +7.309341406954e-04,        -1.785809230102e-05,        +1.172402208407e-04
 2.43501000e+00,        +7.320988795336e-04,        -1.775225768878e-05,        +1.172135869696e-04
 2.43501500e+00,        +7.332668543457e-04,        -1.764620276925e-05,        +1.171868945217e-04
 2.43502000e+00,        +7.344380770301e-04,        -1.753992682993e-05,        +1.171601432986e-04
 2.43502500e+00,        +7.356125595396e-04,        -1.743342917538e-05,        +1.171333331014e-04
 2.43503000e+00,        +7.367903138821e-04,        -1.732670913008e-05,        +1.171064637301e-04
 2.43503500e+00,        +7.379713521201e-04,        -1.721976598223e-05,        +1.170795349840e-04
 2.43504000e+00,        +7.391556863718e-04,        -1.711259903394e-05,        +1.170525466612e-04
 2.43504500e+00,        +7.403433288108e-04,        -1.700520757405e-05,        +1.170254985593e-04
 2.43505000e+00,        +7.415342916671e-04,        -1.689759090049e-05,        +1.169983904749e-04
 2.43505500e+00,        +7.427285872266e-04,        -1.678974830814e-05,        +1.169712222036e-04
 2.43506000e+00,        +7.439262278318e-04,        -1.668167907619e-05,        +1.169439935403e-04
 2.43506500e+00,        +7.451272258827e-04,        -1.657338249227e-05,        +1.169167042787e-04
 2.43507000e+00,        +7.463315938355e-04,        -1.646485782176e-05,        +1.168893542119e-04
 2.43507500e+00,        +7.475393442048e-04,        -1.635610437701e-05,        +1.168619431320e-04
 2.43508000e+00,        +7.487504895632e-04,        -1.624712139620e-05,        +1.168344708302e-04
 2.43508500e+00,        +7.499650425403e-04,        -1.613790816846e-05,        +1.168069370967e-04
 2.43509000e+00,        +7.511830158256e-04,        -1.602846396136e-05,        +1.167793417209e-04
 2.43509500e+00,        +7.524044221663e-04,        -1.591878804888e-05,        +1.167516844911e-04
 2.43510000e+00,        +7.536292743696e-04,        -1.580887967564e-05,        +1.167239651950e-04
 2.43510500e+00,        +7.548575853017e-04,        -1.569873810907e-05,        +1.166961836189e-04
 2.43511000e+00,        +7.560893678887e-04,        -1.558836260514e-05,        +1.166683395486e-04
 2.43511500e+00,        +7.573246351171e-04,        -1.547775242934e-05,        +1.166404327687e-04
 2.43512000e+00,        +7.585634000335e-04,        -1.536690682111e-05,        +1.166124630629e-04
 2.43512500e+00,        +7.598056757455e-04,        -1.525582502506e-05,        +1.165844302140e-04
 2.43513000e+00,        +7.610514754218e-04,        -1.514450629160e-05,        +1.165563340038e-04
 2.43513500e+00,        +7.623008122927e-04,        -1.503294985730e-05,        +1.165281742131e-04
 2.43514000e+00,        +7.635536996501e-04,        -1.492115495904e-05,        +1.164999506218e-04
 2.43514500e+00,        +7.648101508485e-04,        -1.480912083470e-05,        +1.164716630088e-04
 2.43515000e+00,        +7.660701793048e-04,        -1.469684672225e-05,        +1.164433111520e-04
 2.43515500e+00,        +7.673337984982e-04,        -1.458433183608e-05,        +1.164148948283e-04
 2.43516000e+00,        +7.686010219722e-04,        -1.447157540890e-05,        +1.163864138137e-04
 2.43516500e+00,        +7.698718633327e-04,        -1.435857665753e-05,        +1.163578678831e-04
 2.43517000e+00,        +7.711463362505e-04,        -1.424533480999e-05,        +1.163292568104e-04
 2.43517500e+00,        +7.724244544605e-04,        -1.413184907330e-05,        +1.163005803686e-04
 2.43518000e+00,        +7.737062317618e-04,        -1.401811865934e-05,        +1.162718383295e-04
 2.43518500e+00,        +7.749916820190e-04,        -1.390414278059e-05,        +1.162430304641e-04
 2.43519000e+00,        +7.762808191620e-04,        -1.378992064070e-05,        +1.162141565423e-04
 2.43519500e+00,        +7.775736571864e-04,        -1.367545144334e-05,        +1.161852163329e-04
 2.43520000e+00,        +7.788702101540e-04,        -1.356073437637e-05,        +1.161562096036e-04
 2.43520500e+00,        +7.801704921929e-04,        -1.344576864420e-05,        +1.161271361213e-04
 2.43521000e+00,        +7.814745174987e-04,        -1.333055343857e-05,        +1.160979956517e-04
 2.43521500e+00,        +7.827823003334e-04,        -1.321508795216e-05,        +1.160687879595e-04
 2.43522000e+00,        +7.840938550273e-04,        -1.309937135221e-05,        +1.160395128082e-04
 2.43522500e+00,        +7.854091959784e-04,        -1.298340283457e-05,        +1.160101699604e-04
 2.43523000e+00,        +7.867283376536e-04,        -1.286718157933e-05,        +1.159807591776e-04
 2.43523500e+00,        +7.880512945879e-04,        -1.275070675190e-05,        +1.159512802202e-04
 2.43524000e+00,        +7.893780813860e-04,        -1.263397752410e-05,        +1.159217328475e-04
 2.43524500e+00,        +7.907087127220e-04,        -1.251699306886e-05,        +1.158921168178e-04
 2.43525000e+00,        +7.920432033400e-04,        -1.239975254126e-05,        +1.158624318881e-04
 2.43525500e+00,        +7.933815680548e-04,        -1.228225510653e-05,        +1.158326778146e-04
 2.43526000e+00,        +7.947238217514e-04,        -1.216449992508e-05,        +1.158028543521e-04
 2.43526500e+00,        +7.960699793866e-04,        -1.204648614085e-05,        +1.157729612546e-04
 2.43527000e+00,        +7.974200559884e-04,        -1.192821291067e-05,        +1.157429982746e-04
 2.43527500e+00,        +7.987740666569e-04,        -1.180967937566e-05,        +1.157129651638e-04
 2.43528000e+00,        +8.001320265648e-04,        -1.169088467840e-05,        +1.156828616726e-04
 2.43528500e+00,        +8.014939509573e-04,        -1.157182795205e-05,        +1.156526875504e-04
 2.43529000e+00,        +8.028598551534e-04,        -1.145250834591e-05,        +1.156224425454e-04
 2.43529500e+00,        +8.042297545451e-04,        -1.133292497284e-05,        +1.155921264045e-04
 2.43530000e+00,        +8.056036645991e-04,        -1.121307697325e-05,        +1.155617388736e-04
 2.43530500e+00,        +8.069816008564e-04,        -1.109296346499e-05,        +1.155312796975e-04
 2.43531000e+00,        +8.083635789327e-04,        -1.097258356525e-05,        +1.155007486197e-04
 2.43531500e+00,        +8.097496145196e-04,        -1.085193639622e-05,        +1.154701453825e-04
 2.43532000e+00,        +8.111397233843e-04,        -1.073102106092e-05,        +1.154394697272e-04
 2.43532500e+00,        +8.125339213701e-04,        -1.060983667319e-05,        +1.154087213938e-04
 2.43533000e+00,        +8.139322243971e-04,        -1.048838234322e-05,        +1.153779001210e-04
 2.43533500e+00,        +8.153346484629e-04,        -1.036665715620e-05,        +1.153470056465e-04
 2.43534000e+00,        +8.167412096421e-04,        -1.024466021631e-05,        +1.153160377067e-04
 2.43534500e+00,        +8.181519240878e-04,        -1.012239062323e-05,        +1.152849960367e-04
 2.43535000e+00,        +8.195668080314e-04,        -9.999847450423e-06,        +1.152538803706e-04
 2.43535500e+00,        +8.209858777833e-04,        -9.877029787312e-06,        +1.152226904411e-04
 2.43536000e+00,        +8.224091497334e-04,        -9.753936722113e-06,        +1.151914259796e-04
 2.43536500e+00,        +8.238366403513e-04,        -9.630567320908e-06,        +1.151600867164e-04
 2.43537000e+00,        +8.252683661873e-04,        -9.506920663237e-06,        +1.151286723807e-04
 2.43537500e+00,        +8.267043438720e-04,        -9.382995811411e-06,        +1.150971827000e-04
 2.43538000e+00,        +8.281445901176e-04,        -9.258791840459e-06,        +1.150656174009e-04
 2.43538500e+00,        +8.295891217183e-04,        -9.134307799679e-06,        +1.150339762087e-04
 2.43539000e+00,        +8.310379555498e-04,        -9.009542750492e-06,        +1.150022588473e-04
 2.43539500e+00,        +8.324911085716e-04,        -8.884495736501e-06,        +1.149704650393e-04
 2.43540000e+00,        +8.339485978251e-04,        -8.759165816299e-06,        +1.149385945062e-04
 2.43540500e+00,        +8.354104404365e-04,        -8.633552025131e-06,        +1.149066469680e-04
 2.43541000e+00,        +8.368766536156e-04,        -8.507653410855e-06,        +1.148746221434e-04
 2.43541500e+00,        +8.383472546573e-04,        -8.381468995226e-06,        +1.148425197500e-04
 2.43542000e+00,        +8.398222609412e-04,        -8.254997823774e-06,        +1.148103395039e-04
 2.43542500e+00,        +8.413016899329e-04,        -8.128238914146e-06,        +1.147780811199e-04
 2.43543000e+00,        +8.427855591841e-04,        -8.001191286312e-06,        +1.147457443114e-04
 2.43543500e+00,        +8.442738863331e-04,        -7.873853967292e-06,        +1.147133287907e-04
 2.43544000e+00,        +8.457666891056e-04,        -7.746225963564e-06,        +1.146808342684e-04
 2.43544500e+00,        +8.472639853148e-04,        -7.618306286560e-06,        +1.146482604540e-04
 2.43545000e+00,        +8.487657928622e-04,        -7.490093937050e-06,        +1.146156070556e-04
 2.43545500e+00,        +8.502721297385e-04,        -7.361587922003e-06,        +1.145828737799e-04
 2.43546000e+00,        +8.517830140227e-04,        -7.232787231031e-06,        +1.145500603320e-04
 2.43546500e+00,        +8.532984638851e-04,        -7.103690864728e-06,        +1.145171664161e-04
 2.43547000e+00,        +8.548184975844e-04,        -6.974297792478e-06,        +1.144841917345e-04
 2.43547500e+00,        +8.563431334720e-04,        -6.844607010216e-06,        +1.144511359883e-04
 2.43548000e+00,        +8.578723899899e-04,        -6.714617495758e-06,        +1.144179988774e-04
 2.43548500e+00,        +8.594062856721e-04,        -6.584328217623e-06,        +1.143847800999e-04
 2.43549000e+00,        +8.609448391451e-04,        -6.453738149316e-06,        +1.143514793526e-04
 2.43549500e+00,        +8.624880691287e-04,        -6.322846246360e-06,        +1.143180963311e-04
 2.43550000e+00,        +8.640359944362e-04,        -6.191651473785e-06,        +1.142846307292e-04
 2.43550500e+00,        +8.655886339751e-04,        -6.060152785593e-06,        +1.142510822394e-04
 2.43551000e+00,        +8.671460067474e-04,        -5.928349133859e-06,        +1.142174505528e-04
 2.43551500e+00,        +8.687081318511e-04,        -5.796239458896e-06,        +1.141837353590e-04
 2.43552000e+00,        +8.702750284792e-04,        -5.663822702652e-06,        +1.141499363460e-04
 2.43552500e+00,        +8.718467159222e-04,        -5.531097803612e-06,        +1.141160532004e-04
 2.43553000e+00,        +8.734232135665e-04,        -5.398063686038e-06,        +1.140820856074e-04
 2.43553500e+00,        +8.750045408972e-04,        -5.264719282304e-06,        +1.140480332505e-04
 2.43554000e+00,        +8.765907174968e-04,        -5.131063514032e-06,        +1.140138958119e-04
 2.43554500e+00,        +8.781817630472e-04,        -4.997095293530e-06,        +1.139796729720e-04
 2.43555000e+00,        +8.797776973294e-04,        -4.862813531226e-06,        +1.139453644099e-04
 2.43555500e+00,        +8.813785402242e-04,        -4.728217137676e-06,        +1.139109698030e-04
 2.43556000e+00,        +8.829843117138e-04,        -4.593305010016e-06,        +1.138764888274e-04
 2.43556500e+00,        +8.845950318807e-04,        -4.458076049752e-06,        +1.138419211573e-04
 2.43557000e+00,        +8.862107209099e-04,        -4.322529144117e-06,        +1.138072664657e-04
 2.43557500e+00,        +8.878313990884e-04,        -4.186663180514e-06,        +1.137725244236e-04
 2.43558000e+00,        +8.894570868064e-04,        -4.050477039967e-06,        +1.137376947009e-04
 2.43558500e+00,        +8.910878045584e-04,        -3.913969598130e-06,        +1.137027769653e-04
 2.43559000e+00,        +8.927235729421e-04,        -3.777139726714e-06,        +1.136677708836e-04
 2.43559500e+00,        +8.943644126612e-04,        -3.639986290437e-06,        +1.136326761204e-04
 2.43560000e+00,        +8.960103445241e-04,        -3.502508156752e-06,        +1.135974923389e-04
 2.43560500e+00,        +8.976613894464e-04,        -3.364704167367e-06,        +1.135622192008e-04
 2.43561000e+00,        +8.993175684498e-04,        -3.226573185108e-06,        +1.135268563659e-04
 2.43561500e+00,        +9.009789026642e-04,        -3.088114050334e-06,        +1.134914034926e-04
 2.43562000e+00,        +9.026454133271e-04,        -2.949325596838e-06,        +1.134558602373e-04
 2.43562500e+00,        +9.043171217853e-04,        -2.810206669115e-06,        +1.134202262551e-04
 2.43563000e+00,        +9.059940494949e-04,        -2.670756089438e-06,        +1.133845011992e-04
 2.43563500e+00,        +9.076762180222e-04,        -2.530972683526e-06,        +1.133486847212e-04
 2.43564000e+00,        +9.093636490448e-04,        -2.390855268699e-06,        +1.133127764709e-04
 2.43564500e+00,        +9.110563643513e-04,        -2.250402654915e-06,        +1.132767760964e-04
 2.43565000e+00,        +9.127543858430e-04,        -2.109613654489e-06,        +1.132406832443e-04
 2.43565500e+00,        +9.144577355337e-04,        -1.968487063971e-06,        +1.132044975590e-04
 2.43566000e+00,        +9.161664355513e-04,        -1.827021680707e-06,        +1.131682186837e-04
 2.43566500e+00,        +9.178805081377e-04,        -1.685216298077e-06,        +1.131318462595e-04
 2.43567000e+00,        +9.195999756500e-04,        -1.543069696776e-06,        +1.130953799258e-04
 2.43567500e+00,        +9.213248605612e-04,        -1.400580655858e-06,        +1.130588193203e-04
 2.43568000e+00,        +9.230551854605e-04,        -1.257747951153e-06,        +1.130221640788e-04
