        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +7.395991347380e-11,        +4.352987456827e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.653808209998e-16,        +2.236087269875e-06,        +6.054297978706e-15,        +1.390837451004e-04,        +7.084628939806e-11,        +9.579011936399e-01,        +4.044322735913e-11,        +9.290912909869e-01,        +7.623102039411e-13,        +1.030707268487e-02,        +7.146274935389e-13,        +1.641694355030e-02,        +7.929314163029e-13,        +1.072109713303e-02,        +7.559340892753e-13,        +1.736586876881e-02,        +7.932404995994e-13,        +1.072527619817e-02,        +7.560034704463e-13,        +1.736746264363e-02,        +7.567166571210e-13,        +1.023144324512e-02,        +7.091470607973e-13,        +1.629104305562e-02
 2.40002500e+00,        +7.396502795018e-11,        +4.353526262159e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.653575656474e-16,        +2.235618240538e-06,        +6.060403037484e-15,        +1.392067641847e-04,        +7.084895902776e-11,        +9.578710505656e-01,        +4.044616535551e-11,        +9.290437893318e-01,        +7.629241626510e-13,        +1.031466064158e-02,        +7.152030792833e-13,        +1.642813287932e-02,        +7.935368993936e-13,        +1.072854187155e-02,        +7.565025475004e-13,        +1.737677693772e-02,        +7.938448761253e-13,        +1.073270568707e-02,        +7.565715397104e-13,        +1.737836168089e-02,        +7.573335667285e-13,        +1.023907632724e-02,        +7.097252095341e-13,        +1.630230683809e-02
 2.40005000e+00,        +7.397014745536e-11,        +4.354065574799e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.653345256205e-16,        +2.235152035087e-06,        +6.066518488417e-15,        +1.393299752656e-04,        +7.085162994527e-11,        +9.578408639516e-01,        +4.044910468499e-11,        +9.289962218093e-01,        +7.635389925014e-13,        +1.032225862416e-02,        +7.157794700635e-13,        +1.643933601290e-02,        +7.941433811281e-13,        +1.073599835133e-02,        +7.570719497939e-13,        +1.738770206346e-02,        +7.944502553246e-13,        +1.074014697354e-02,        +7.571405545871e-13,        +1.738927771252e-02,        +7.579513327763e-13,        +1.024671923540e-02,        +7.103041501798e-13,        +1.631358411988e-02
 2.40007500e+00,        +7.397527199849e-11,        +4.354605395668e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.653117002295e-16,        +2.234688643428e-06,        +6.072644347902e-15,        +1.394533785758e-04,        +7.085430215299e-11,        +9.578106337269e-01,        +4.045204534994e-11,        +9.289485883194e-01,        +7.641546953337e-13,        +1.032986665259e-02,        +7.163566676334e-13,        +1.645055297883e-02,        +7.947508630271e-13,        +1.074346658764e-02,        +7.576422975475e-13,        +1.739864416420e-02,        +7.950566386956e-13,        +1.074760007252e-02,        +7.577105164597e-13,        +1.740021075649e-02,        +7.585699571603e-13,        +1.025437199036e-02,        +7.108838845349e-13,        +1.632487492993e-02
 2.40010000e+00,        +7.398040158877e-11,        +4.355145725686e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.652890887895e-16,        +2.234228055537e-06,        +6.078780632407e-15,        +1.395769743491e-04,        +7.085697565335e-11,        +9.577803598204e-01,        +4.045498735275e-11,        +9.289008887614e-01,        +7.647712729938e-13,        +1.033748474691e-02,        +7.169346737510e-13,        +1.646178380491e-02,        +7.953593466173e-13,        +1.075094659581e-02,        +7.582135921590e-13,        +1.740960325822e-02,        +7.956640277430e-13,        +1.075506499905e-02,        +7.582814267181e-13,        +1.741116083087e-02,        +7.591894417805e-13,        +1.026203461290e-02,        +7.114644144033e-13,        +1.633617929722e-02
 2.40012500e+00,        +7.398553623541e-11,        +4.355686565777e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.652666906203e-16,        +2.233770261452e-06,        +6.084927358467e-15,        +1.397007628206e-04,        +7.085965044875e-11,        +9.577500421607e-01,        +4.045793069582e-11,        +9.288531230345e-01,        +7.653887273317e-13,        +1.034511292716e-02,        +7.175134901779e-13,        +1.647302851898e-02,        +7.959688334320e-13,        +1.075843839125e-02,        +7.587858350326e-13,        +1.742057936387e-02,        +7.962724239780e-13,        +1.076254176822e-02,        +7.588532867582e-13,        +1.742212795385e-02,        +7.598097885406e-13,        +1.026970712388e-02,        +7.120457415925e-13,        +1.634749725077e-02
 2.40015000e+00,        +7.399067594765e-11,        +4.356227916869e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.652445050462e-16,        +2.233315251277e-06,        +6.091084542687e-15,        +1.398247442265e-04,        +7.086232654161e-11,        +9.577196806764e-01,        +4.046087538154e-11,        +9.288052910377e-01,        +7.660070602019e-13,        +1.035275121346e-02,        +7.180931186796e-13,        +1.648428714896e-02,        +7.965793250108e-13,        +1.076594198943e-02,        +7.593590275783e-13,        +1.743157249963e-02,        +7.968818289184e-13,        +1.077003039521e-02,        +7.594260979821e-13,        +1.743311214368e-02,        +7.604309993486e-13,        +1.027738954414e-02,        +7.126278679137e-13,        +1.635882881963e-02
 2.40017500e+00,        +7.399582073477e-11,        +4.356769779891e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.652225313964e-16,        +2.232863015178e-06,        +6.097252201740e-15,        +1.399489188041e-04,        +7.086500393438e-11,        +9.576892752956e-01,        +4.046382141232e-11,        +9.287573926694e-01,        +7.666262734629e-13,        +1.036039962596e-02,        +7.186735610257e-13,        +1.649555972278e-02,        +7.971908228998e-13,        +1.077345740589e-02,        +7.599331712127e-13,        +1.744258268409e-02,        +7.974922440886e-13,        +1.077753089525e-02,        +7.599998617983e-13,        +1.744411341876e-02,        +7.610530761162e-13,        +1.028508189461e-02,        +7.132107951815e-13,        +1.637017403291e-02
 2.40020000e+00,        +7.400097060605e-11,        +4.357312155774e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.652007690047e-16,        +2.232413543387e-06,        +6.103430352368e-15,        +1.400732867917e-04,        +7.086768262947e-11,        +9.576588259462e-01,        +4.046676879057e-11,        +9.287094278280e-01,        +7.672463689780e-13,        +1.036805818484e-02,        +7.192548189893e-13,        +1.650684626843e-02,        +7.978033286511e-13,        +1.078098465624e-02,        +7.605082673583e-13,        +1.745360993590e-02,        +7.981036710192e-13,        +1.078504328366e-02,        +7.605745796215e-13,        +1.745513179756e-02,        +7.616760207594e-13,        +1.029278419623e-02,        +7.137945252142e-13,        +1.638153291975e-02
 2.40022500e+00,        +7.400612557082e-11,        +4.357855045454e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651792172094e-16,        +2.231966826197e-06,        +6.109619011385e-15,        +1.401978484291e-04,        +7.087036262934e-11,        +9.576283325562e-01,        +4.046971751869e-11,        +9.286613964113e-01,        +7.678673486145e-13,        +1.037572691033e-02,        +7.198368943475e-13,        +1.651814681396e-02,        +7.984168438234e-13,        +1.078852375618e-02,        +7.610843174440e-13,        +1.746465427385e-02,        +7.987161112474e-13,        +1.079256757582e-02,        +7.611502528724e-13,        +1.746616729867e-02,        +7.622998351981e-13,        +1.030049646997e-02,        +7.143790598337e-13,        +1.639290550931e-02
 2.40025000e+00,        +7.401128563843e-11,        +4.358398449867e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651578753534e-16,        +2.231522853964e-06,        +6.115818195669e-15,        +1.403226039569e-04,        +7.087304393641e-11,        +9.575977950531e-01,        +4.047266759911e-11,        +9.286132983171e-01,        +7.684892142443e-13,        +1.038340582271e-02,        +7.204197888816e-13,        +1.652946138744e-02,        +7.990313699819e-13,        +1.079607472143e-02,        +7.616613229046e-13,        +1.747571571681e-02,        +7.993295663172e-13,        +1.080010378717e-02,        +7.617268829784e-13,        +1.747721994077e-02,        +7.629245213564e-13,        +1.030821873685e-02,        +7.149644008656e-13,        +1.640429183081e-02
 2.40027500e+00,        +7.401645081825e-11,        +4.358942369954e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651367427840e-16,        +2.231081617106e-06,        +6.122027922171e-15,        +1.404475536169e-04,        +7.087572655314e-11,        +9.575672133642e-01,        +4.047561903425e-11,        +9.285651334426e-01,        +7.691119677437e-13,        +1.039109494229e-02,        +7.210035043764e-13,        +1.654079001700e-02,        +7.996469086979e-13,        +1.080363756784e-02,        +7.622392851813e-13,        +1.748679428375e-02,        +7.999440377787e-13,        +1.080765193326e-02,        +7.623044713726e-13,        +1.748828974265e-02,        +7.635500811622e-13,        +1.031595101793e-02,        +7.155505501390e-13,        +1.641569191351e-02
 2.40030000e+00,        +7.402162111969e-11,        +4.359486806658e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.651158188532e-16,        +2.230643106104e-06,        +6.128248207910e-15,        +1.405726976522e-04,        +7.087841048199e-11,        +9.575365874166e-01,        +4.047857182654e-11,        +9.285169016849e-01,        +7.697356109933e-13,        +1.039879428942e-02,        +7.215880426208e-13,        +1.655213273082e-02,        +8.002634615493e-13,        +1.081121231127e-02,        +7.628182057214e-13,        +1.749788999376e-02,        +8.005595271887e-13,        +1.081521202966e-02,        +7.628830194947e-13,        +1.749937672319e-02,        +7.641765165478e-13,        +1.032369333431e-02,        +7.161375094868e-13,        +1.642710578670e-02
