        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.072355785533e-01,        -6.482486152373e-02
 2.40002500e+00,        +1.414213562373e-01,        +2.072331203836e-01,        -6.482494979566e-02
 2.40005000e+00,        +1.414213562373e-01,        +2.072306619840e-01,        -6.482503796022e-02
 2.40007500e+00,        +1.414213562373e-01,        +2.072282033540e-01,        -6.482512601734e-02
 2.40010000e+00,        +1.414213562373e-01,        +2.072257444936e-01,        -6.482521396697e-02
 2.40012500e+00,        +1.414213562373e-01,        +2.072232854024e-01,        -6.482530180904e-02
 2.40015000e+00,        +1.414213562373e-01,        +2.072208260804e-01,        -6.482538954351e-02
 2.40017500e+00,        +1.414213562373e-01,        +2.072183665271e-01,        -6.482547717031e-02
 2.40020000e+00,        +1.414213562373e-01,        +2.072159067425e-01,        -6.482556468937e-02
 2.40022500e+00,        +1.414213562373e-01,        +2.072134467263e-01,        -6.482565210066e-02
 2.40025000e+00,        +1.414213562373e-01,        +2.072109864784e-01,        -6.482573940409e-02
 2.40027500e+00,        +1.414213562373e-01,        +2.072085259983e-01,        -6.482582659962e-02
 2.40030000e+00,        +1.414213562373e-01,        +2.072060652861e-01,        -6.482591368719e-02
 2.40032500e+00,        +1.414213562373e-01,        +2.072036043413e-01,        -6.482600066673e-02
 2.40035000e+00,        +1.414213562373e-01,        +2.072011431639e-01,        -6.482608753819e-02
 2.40037500e+00,        +1.414213562373e-01,        +2.071986817535e-01,        -6.482617430150e-02
 2.40040000e+00,        +1.414213562373e-01,        +2.071962201101e-01,        -6.482626095662e-02
 2.40042500e+00,        +1.414213562373e-01,        +2.071937582332e-01,        -6.482634750347e-02
 2.40045000e+00,        +1.414213562373e-01,        +2.071912961228e-01,        -6.482643394200e-02
 2.40047500e+00,        +1.414213562373e-01,        +2.071888337785e-01,        -6.482652027215e-02
 2.40050000e+00,        +1.414213562373e-01,        +2.071863712003e-01,        -6.482660649386e-02
 2.40052500e+00,        +1.414213562373e-01,        +2.071839083878e-01,        -6.482669260707e-02
 2.40055000e+00,        +1.414213562373e-01,        +2.071814453408e-01,        -6.482677861171e-02
 2.40057500e+00,        +1.414213562373e-01,        +2.071789820591e-01,        -6.482686450773e-02
 2.40060000e+00,        +1.414213562373e-01,        +2.071765185424e-01,        -6.482695029507e-02
 2.40062500e+00,        +1.414213562373e-01,        +2.071740547906e-01,        -6.482703597367e-02
 2.40065000e+00,        +1.414213562373e-01,        +2.071715908034e-01,        -6.482712154347e-02
 2.40067500e+00,        +1.414213562373e-01,        +2.071691265806e-01,        -6.482720700439e-02
 2.40070000e+00,        +1.414213562373e-01,        +2.071666621220e-01,        -6.482729235640e-02
 2.40072500e+00,        +1.414213562373e-01,        +2.071641974273e-01,        -6.482737759942e-02
 2.40075000e+00,        +1.414213562373e-01,        +2.071617324963e-01,        -6.482746273339e-02
 2.40077500e+00,        +1.414213562373e-01,        +2.071592673288e-01,        -6.482754775825e-02
 2.40080000e+00,        +1.414213562373e-01,        +2.071568019245e-01,        -6.482763267395e-02
 2.40082500e+00,        +1.414213562373e-01,        +2.071543362833e-01,        -6.482771748041e-02
 2.40085000e+00,        +1.414213562373e-01,        +2.071518704048e-01,        -6.482780217758e-02
 2.40087500e+00,        +1.414213562373e-01,        +2.071494042889e-01,        -6.482788676540e-02
 2.40090000e+00,        +1.414213562373e-01,        +2.071469379353e-01,        -6.482797124380e-02
 2.40092500e+00,        +1.414213562373e-01,        +2.071444713438e-01,        -6.482805561272e-02
 2.40095000e+00,        +1.414213562373e-01,        +2.071420045142e-01,        -6.482813987211e-02
 2.40097500e+00,        +1.414213562373e-01,        +2.071395374462e-01,        -6.482822402189e-02
 2.40100000e+00,        +1.414213562373e-01,        +2.071370701396e-01,        -6.482830806201e-02
 2.40102500e+00,        +1.414213562373e-01,        +2.071346025941e-01,        -6.482839199241e-02
 2.40105000e+00,        +1.414213562373e-01,        +2.071321348096e-01,        -6.482847581301e-02
 2.40107500e+00,        +1.414213562373e-01,        +2.071296667858e-01,        -6.482855952377e-02
 2.40110000e+00,        +1.414213562373e-01,        +2.071271985224e-01,        -6.482864312462e-02
 2.40112500e+00,        +1.414213562373e-01,        +2.071247300193e-01,        -6.482872661549e-02
 2.40115000e+00,        +1.414213562373e-01,        +2.071222612762e-01,        -6.482880999632e-02
 2.40117500e+00,        +1.414213562373e-01,        +2.071197922928e-01,        -6.482889326705e-02
 2.40120000e+00,        +1.414213562373e-01,        +2.071173230689e-01,        -6.482897642762e-02
 2.40122500e+00,        +1.414213562373e-01,        +2.071148536043e-01,        -6.482905947796e-02
 2.40125000e+00,        +1.414213562373e-01,        +2.071123838988e-01,        -6.482914241801e-02
 2.40127500e+00,        +1.414213562373e-01,        +2.071099139521e-01,        -6.482922524770e-02
 2.40130000e+00,        +1.414213562373e-01,        +2.071074437639e-01,        -6.482930796698e-02
 2.40132500e+00,        +1.414213562373e-01,        +2.071049733341e-01,        -6.482939057578e-02
 2.40135000e+00,        +1.414213562373e-01,        +2.071025026624e-01,        -6.482947307404e-02
 2.40137500e+00,        +1.414213562373e-01,        +2.071000317485e-01,        -6.482955546169e-02
 2.40140000e+00,        +1.414213562373e-01,        +2.070975605922e-01,        -6.482963773866e-02
 2.40142500e+00,        +1.414213562373e-01,        +2.070950891933e-01,        -6.482971990490e-02
 2.40145000e+00,        +1.414213562373e-01,        +2.070926175516e-01,        -6.482980196035e-02
 2.40147500e+00,        +1.414213562373e-01,        +2.070901456667e-01,        -6.482988390492e-02
 2.40150000e+00,        +1.414213562373e-01,        +2.070876735385e-01,        -6.482996573858e-02
 2.40152500e+00,        +1.414213562373e-01,        +2.070852011666e-01,        -6.483004746123e-02
 2.40155000e+00,        +1.414213562373e-01,        +2.070827285510e-01,        -6.483012907283e-02
 2.40157500e+00,        +1.414213562373e-01,        +2.070802556912e-01,        -6.483021057331e-02
 2.40160000e+00,        +1.414213562373e-01,        +2.070777825872e-01,        -6.483029196261e-02
 2.40162500e+00,        +1.414213562373e-01,        +2.070753092385e-01,        -6.483037324065e-02
 2.40165000e+00,        +1.414213562373e-01,        +2.070728356451e-01,        -6.483045440737e-02
 2.40167500e+00,        +1.414213562373e-01,        +2.070703618066e-01,        -6.483053546272e-02
 2.40170000e+00,        +1.414213562373e-01,        +2.070678877228e-01,        -6.483061640662e-02
 2.40172500e+00,        +1.414213562373e-01,        +2.070654133934e-01,        -6.483069723900e-02
 2.40175000e+00,        +1.414213562373e-01,        +2.070629388183e-01,        -6.483077795981e-02
 2.40177500e+00,        +1.414213562373e-01,        +2.070604639971e-01,        -6.483085856898e-02
 2.40180000e+00,        +1.414213562373e-01,        +2.070579889296e-01,        -6.483093906643e-02
 2.40182500e+00,        +1.414213562373e-01,        +2.070555136156e-01,        -6.483101945212e-02
 2.40185000e+00,        +1.414213562373e-01,        +2.070530380548e-01,        -6.483109972596e-02
 2.40187500e+00,        +1.414213562373e-01,        +2.070505622470e-01,        -6.483117988790e-02
 2.40190000e+00,        +1.414213562373e-01,        +2.070480861919e-01,        -6.483125993786e-02
 2.40192500e+00,        +1.414213562373e-01,        +2.070456098892e-01,        -6.483133987579e-02
 2.40195000e+00,        +1.414213562373e-01,        +2.070431333388e-01,        -6.483141970161e-02
 2.40197500e+00,        +1.414213562373e-01,        +2.070406565403e-01,        -6.483149941526e-02
 2.40200000e+00,        +1.414213562373e-01,        +2.070381794935e-01,        -6.483157901667e-02
 2.40202500e+00,        +1.414213562373e-01,        +2.070357021982e-01,        -6.483165850577e-02
 2.40205000e+00,        +1.414213562373e-01,        +2.070332246541e-01,        -6.483173788251e-02
 2.40207500e+00,        +1.414213562373e-01,        +2.070307468610e-01,        -6.483181714680e-02
 2.40210000e+00,        +1.414213562373e-01,        +2.070282688185e-01,        -6.483189629859e-02
 2.40212500e+00,        +1.414213562373e-01,        +2.070257905266e-01,        -6.483197533781e-02
 2.40215000e+00,        +1.414213562373e-01,        +2.070233119848e-01,        -6.483205426439e-02
 2.40217500e+00,        +1.414213562373e-01,        +2.070208331929e-01,        -6.483213307825e-02
 2.40220000e+00,        +1.414213562373e-01,        +2.070183541508e-01,        -6.483221177935e-02
 2.40222500e+00,        +1.414213562373e-01,        +2.070158748580e-01,        -6.483229036760e-02
 2.40225000e+00,        +1.414213562373e-01,        +2.070133953144e-01,        -6.483236884293e-02
 2.40227500e+00,        +1.414213562373e-01,        +2.070109155198e-01,        -6.483244720529e-02
 2.40230000e+00,        +1.414213562373e-01,        +2.070084354738e-01,        -6.483252545461e-02
 2.40232500e+00,        +1.414213562373e-01,        +2.070059551762e-01,        -6.483260359080e-02
 2.40235000e+00,        +1.414213562373e-01,        +2.070034746268e-01,        -6.483268161382e-02
 2.40237500e+00,        +1.414213562373e-01,        +2.070009938252e-01,        -6.483275952358e-02
 2.40240000e+00,        +1.414213562373e-01,        +2.069985127712e-01,        -6.483283732002e-02
 2.40242500e+00,        +1.414213562373e-01,        +2.069960314647e-01,        -6.483291500307e-02
 2.40245000e+00,        +1.414213562373e-01,        +2.069935499052e-01,        -6.483299257266e-02
 2.40247500e+00,        +1.414213562373e-01,        +2.069910680926e-01,        -6.483307002873e-02
 2.40250000e+00,        +1.414213562373e-01,        +2.069885860265e-01,        -6.483314737120e-02
 2.40252500e+00,        +1.414213562373e-01,        +2.069861037068e-01,        -6.483322460000e-02
 2.40255000e+00,        +1.414213562373e-01,        +2.069836211331e-01,        -6.483330171507e-02
 2.40257500e+00,        +1.414213562373e-01,        +2.069811383052e-01,        -6.483337871633e-02
 2.40260000e+00,        +1.414213562373e-01,        +2.069786552228e-01,        -6.483345560372e-02
 2.40262500e+00,        +1.414213562373e-01,        +2.069761718858e-01,        -6.483353237717e-02
 2.40265000e+00,        +1.414213562373e-01,        +2.069736882937e-01,        -6.483360903661e-02
 2.40267500e+00,        +1.414213562373e-01,        +2.069712044463e-01,        -6.483368558196e-02
 2.40270000e+00,        +1.414213562373e-01,        +2.069687203434e-01,        -6.483376201315e-02
 2.40272500e+00,        +1.414213562373e-01,        +2.069662359848e-01,        -6.483383833013e-02
 2.40275000e+00,        +1.414213562373e-01,        +2.069637513700e-01,        -6.483391453281e-02
 2.40277500e+00,        +1.414213562373e-01,        +2.069612664989e-01,        -6.483399062112e-02
 2.40280000e+00,        +1.414213562373e-01,        +2.069587813713e-01,        -6.483406659500e-02
 2.40282500e+00,        +1.414213562373e-01,        +2.069562959867e-01,        -6.483414245438e-02
 2.40285000e+00,        +1.414213562373e-01,        +2.069538103451e-01,        -6.483421819917e-02
 2.40287500e+00,        +1.414213562373e-01,        +2.069513244460e-01,        -6.483429382932e-02
 2.40290000e+00,        +1.414213562373e-01,        +2.069488382892e-01,        -6.483436934475e-02
 2.40292500e+00,        +1.414213562373e-01,        +2.069463518746e-01,        -6.483444474539e-02
 2.40295000e+00,        +1.414213562373e-01,        +2.069438652016e-01,        -6.483452003117e-02
 2.40297500e+00,        +1.414213562373e-01,        +2.069413782703e-01,        -6.483459520202e-02
 2.40300000e+00,        +1.414213562373e-01,        +2.069388910801e-01,        -6.483467025786e-02
 2.40302500e+00,        +1.414213562373e-01,        +2.069364036309e-01,        -6.483474519862e-02
 2.40305000e+00,        +1.414213562373e-01,        +2.069339159224e-01,        -6.483482002423e-02
 2.40307500e+00,        +1.414213562373e-01,        +2.069314279543e-01,        -6.483489473463e-02
 2.40310000e+00,        +1.414213562373e-01,        +2.069289397264e-01,        -6.483496932973e-02
 2.40312500e+00,        +1.414213562373e-01,        +2.069264512384e-01,        -6.483504380947e-02
