        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -3.698888314083e+00,        -4.456609375651e+01
 2.40002500e+00,        -3.699047156000e+00,        -4.456720266172e+01
 2.40005000e+00,        -3.699206020063e+00,        -4.456831166018e+01
 2.40007500e+00,        -3.699364906294e+00,        -4.456942075197e+01
 2.40010000e+00,        -3.699523814709e+00,        -4.457052993717e+01
 2.40012500e+00,        -3.699682745329e+00,        -4.457163921587e+01
 2.40015000e+00,        -3.699841698172e+00,        -4.457274858814e+01
 2.40017500e+00,        -3.700000673258e+00,        -4.457385805407e+01
 2.40020000e+00,        -3.700159670605e+00,        -4.457496761374e+01
 2.40022500e+00,        -3.700318690232e+00,        -4.457607726724e+01
 2.40025000e+00,        -3.700477732159e+00,        -4.457718701464e+01
 2.40027500e+00,        -3.700636796406e+00,        -4.457829685603e+01
 2.40030000e+00,        -3.700795882990e+00,        -4.457940679149e+01
 2.40032500e+00,        -3.700954991932e+00,        -4.458051682110e+01
 2.40035000e+00,        -3.701114123250e+00,        -4.458162694496e+01
 2.40037500e+00,        -3.701273276965e+00,        -4.458273716314e+01
 2.40040000e+00,        -3.701432453094e+00,        -4.458384747572e+01
 2.40042500e+00,        -3.701591651659e+00,        -4.458495788279e+01
 2.40045000e+00,        -3.701750872678e+00,        -4.458606838444e+01
 2.40047500e+00,        -3.701910116171e+00,        -4.458717898074e+01
 2.40050000e+00,        -3.702069382157e+00,        -4.458828967179e+01
 2.40052500e+00,        -3.702228670655e+00,        -4.458940045766e+01
 2.40055000e+00,        -3.702387981686e+00,        -4.459051133844e+01
 2.40057500e+00,        -3.702547315269e+00,        -4.459162231422e+01
 2.40060000e+00,        -3.702706671423e+00,        -4.459273338507e+01
 2.40062500e+00,        -3.702866050169e+00,        -4.459384455110e+01
 2.40065000e+00,        -3.703025451526e+00,        -4.459495581237e+01
 2.40067500e+00,        -3.703184875513e+00,        -4.459606716898e+01
 2.40070000e+00,        -3.703344322151e+00,        -4.459717862101e+01
 2.40072500e+00,        -3.703503791459e+00,        -4.459829016855e+01
 2.40075000e+00,        -3.703663283458e+00,        -4.459940181168e+01
 2.40077500e+00,        -3.703822798166e+00,        -4.460051355049e+01
 2.40080000e+00,        -3.703982335605e+00,        -4.460162538506e+01
 2.40082500e+00,        -3.704141895793e+00,        -4.460273731548e+01
 2.40085000e+00,        -3.704301478752e+00,        -4.460384934185e+01
 2.40087500e+00,        -3.704461084501e+00,        -4.460496146423e+01
 2.40090000e+00,        -3.704620713059e+00,        -4.460607368273e+01
 2.40092500e+00,        -3.704780364448e+00,        -4.460718599743e+01
 2.40095000e+00,        -3.704940038688e+00,        -4.460829840840e+01
 2.40097500e+00,        -3.705099735798e+00,        -4.460941091576e+01
 2.40100000e+00,        -3.705259455799e+00,        -4.461052351957e+01
 2.40102500e+00,        -3.705419198711e+00,        -4.461163621993e+01
 2.40105000e+00,        -3.705578964554e+00,        -4.461274901692e+01
 2.40107500e+00,        -3.705738753350e+00,        -4.461386191064e+01
 2.40110000e+00,        -3.705898565117e+00,        -4.461497490116e+01
 2.40112500e+00,        -3.706058399877e+00,        -4.461608798859e+01
 2.40115000e+00,        -3.706218257650e+00,        -4.461720117300e+01
 2.40117500e+00,        -3.706378138456e+00,        -4.461831445449e+01
 2.40120000e+00,        -3.706538042316e+00,        -4.461942783314e+01
 2.40122500e+00,        -3.706697969251e+00,        -4.462054130905e+01
 2.40125000e+00,        -3.706857919281e+00,        -4.462165488230e+01
 2.40127500e+00,        -3.707017892427e+00,        -4.462276855298e+01
 2.40130000e+00,        -3.707177888710e+00,        -4.462388232119e+01
 2.40132500e+00,        -3.707337908149e+00,        -4.462499618700e+01
 2.40135000e+00,        -3.707497950767e+00,        -4.462611015051e+01
 2.40137500e+00,        -3.707658016584e+00,        -4.462722421182e+01
 2.40140000e+00,        -3.707818105620e+00,        -4.462833837100e+01
 2.40142500e+00,        -3.707978217896e+00,        -4.462945262815e+01
 2.40145000e+00,        -3.708138353434e+00,        -4.463056698337e+01
 2.40147500e+00,        -3.708298512255e+00,        -4.463168143674e+01
 2.40150000e+00,        -3.708458694379e+00,        -4.463279598835e+01
 2.40152500e+00,        -3.708618899827e+00,        -4.463391063829e+01
 2.40155000e+00,        -3.708779128621e+00,        -4.463502538666e+01
 2.40157500e+00,        -3.708939380781e+00,        -4.463614023354e+01
 2.40160000e+00,        -3.709099656329e+00,        -4.463725517903e+01
 2.40162500e+00,        -3.709259955286e+00,        -4.463837022322e+01
 2.40165000e+00,        -3.709420277673e+00,        -4.463948536619e+01
 2.40167500e+00,        -3.709580623512e+00,        -4.464060060805e+01
 2.40170000e+00,        -3.709740992824e+00,        -4.464171594889e+01
 2.40172500e+00,        -3.709901385629e+00,        -4.464283138879e+01
 2.40175000e+00,        -3.710061801950e+00,        -4.464394692785e+01
 2.40177500e+00,        -3.710222241808e+00,        -4.464506256616e+01
 2.40180000e+00,        -3.710382705225e+00,        -4.464617830382e+01
 2.40182500e+00,        -3.710543192221e+00,        -4.464729414092e+01
 2.40185000e+00,        -3.710703702819e+00,        -4.464841007754e+01
 2.40187500e+00,        -3.710864237040e+00,        -4.464952611379e+01
 2.40190000e+00,        -3.711024794905e+00,        -4.465064224976e+01
 2.40192500e+00,        -3.711185376437e+00,        -4.465175848554e+01
 2.40195000e+00,        -3.711345981657e+00,        -4.465287482122e+01
 2.40197500e+00,        -3.711506610587e+00,        -4.465399125690e+01
 2.40200000e+00,        -3.711667263249e+00,        -4.465510779268e+01
 2.40202500e+00,        -3.711827939664e+00,        -4.465622442865e+01
 2.40205000e+00,        -3.711988639855e+00,        -4.465734116489e+01
 2.40207500e+00,        -3.712149363843e+00,        -4.465845800152e+01
 2.40210000e+00,        -3.712310111650e+00,        -4.465957493862e+01
 2.40212500e+00,        -3.712470883299e+00,        -4.466069197628e+01
 2.40215000e+00,        -3.712631678811e+00,        -4.466180911461e+01
 2.40217500e+00,        -3.712792498208e+00,        -4.466292635370e+01
 2.40220000e+00,        -3.712953341513e+00,        -4.466404369364e+01
 2.40222500e+00,        -3.713114208748e+00,        -4.466516113453e+01
 2.40225000e+00,        -3.713275099935e+00,        -4.466627867647e+01
 2.40227500e+00,        -3.713436015096e+00,        -4.466739631955e+01
 2.40230000e+00,        -3.713596954254e+00,        -4.466851406387e+01
 2.40232500e+00,        -3.713757917430e+00,        -4.466963190952e+01
 2.40235000e+00,        -3.713918904648e+00,        -4.467074985661e+01
 2.40237500e+00,        -3.714079915930e+00,        -4.467186790523e+01
 2.40240000e+00,        -3.714240951298e+00,        -4.467298605547e+01
 2.40242500e+00,        -3.714402010775e+00,        -4.467410430744e+01
 2.40245000e+00,        -3.714563094383e+00,        -4.467522266123e+01
 2.40247500e+00,        -3.714724202145e+00,        -4.467634111694e+01
 2.40250000e+00,        -3.714885334084e+00,        -4.467745967467e+01
 2.40252500e+00,        -3.715046490222e+00,        -4.467857833451e+01
 2.40255000e+00,        -3.715207670582e+00,        -4.467969709657e+01
 2.40257500e+00,        -3.715368875187e+00,        -4.468081596094e+01
 2.40260000e+00,        -3.715530104060e+00,        -4.468193492772e+01
 2.40262500e+00,        -3.715691357223e+00,        -4.468305399701e+01
 2.40265000e+00,        -3.715852634700e+00,        -4.468417316892e+01
 2.40267500e+00,        -3.716013936513e+00,        -4.468529244353e+01
 2.40270000e+00,        -3.716175262686e+00,        -4.468641182094e+01
 2.40272500e+00,        -3.716336613241e+00,        -4.468753130127e+01
 2.40275000e+00,        -3.716497988201e+00,        -4.468865088461e+01
 2.40277500e+00,        -3.716659387591e+00,        -4.468977057105e+01
 2.40280000e+00,        -3.716820811432e+00,        -4.469089036070e+01
 2.40282500e+00,        -3.716982259749e+00,        -4.469201025366e+01
 2.40285000e+00,        -3.717143732564e+00,        -4.469313025003e+01
 2.40287500e+00,        -3.717305229901e+00,        -4.469425034991e+01
 2.40290000e+00,        -3.717466751784e+00,        -4.469537055340e+01
 2.40292500e+00,        -3.717628298234e+00,        -4.469649086061e+01
 2.40295000e+00,        -3.717789869277e+00,        -4.469761127163e+01
 2.40297500e+00,        -3.717951464935e+00,        -4.469873178657e+01
 2.40300000e+00,        -3.718113085233e+00,        -4.469985240552e+01
 2.40302500e+00,        -3.718274730193e+00,        -4.470097312860e+01
 2.40305000e+00,        -3.718436399840e+00,        -4.470209395589e+01
 2.40307500e+00,        -3.718598094197e+00,        -4.470321488751e+01
 2.40310000e+00,        -3.718759813287e+00,        -4.470433592356e+01
 2.40312500e+00,        -3.718921557135e+00,        -4.470545706415e+01
 2.40315000e+00,        -3.719083325765e+00,        -4.470657830936e+01
 2.40317500e+00,        -3.719245119200e+00,        -4.470769965931e+01
 2.40320000e+00,        -3.719406937464e+00,        -4.470882111411e+01
 2.40322500e+00,        -3.719568780582e+00,        -4.470994267384e+01
 2.40325000e+00,        -3.719730648576e+00,        -4.471106433863e+01
 2.40327500e+00,        -3.719892541473e+00,        -4.471218610857e+01
 2.40330000e+00,        -3.720054459294e+00,        -4.471330798376e+01
 2.40332500e+00,        -3.720216402066e+00,        -4.471442996432e+01
 2.40335000e+00,        -3.720378369811e+00,        -4.471555205034e+01
 2.40337500e+00,        -3.720540362554e+00,        -4.471667424194e+01
 2.40340000e+00,        -3.720702380320e+00,        -4.471779653921e+01
 2.40342500e+00,        -3.720864423132e+00,        -4.471891894226e+01
 2.40345000e+00,        -3.721026491016e+00,        -4.472004145120e+01
 2.40347500e+00,        -3.721188583995e+00,        -4.472116406614e+01
 2.40350000e+00,        -3.721350702095e+00,        -4.472228678717e+01
 2.40352500e+00,        -3.721512845340e+00,        -4.472340961441e+01
 2.40355000e+00,        -3.721675013753e+00,        -4.472453254797e+01
 2.40357500e+00,        -3.721837207361e+00,        -4.472565558794e+01
 2.40360000e+00,        -3.721999426188e+00,        -4.472677873444e+01
 2.40362500e+00,        -3.722161670258e+00,        -4.472790198757e+01
 2.40365000e+00,        -3.722323939596e+00,        -4.472902534744e+01
 2.40367500e+00,        -3.722486234227e+00,        -4.473014881416e+01
 2.40370000e+00,        -3.722648554177e+00,        -4.473127238784e+01
 2.40372500e+00,        -3.722810899469e+00,        -4.473239606857e+01
 2.40375000e+00,        -3.722973270130e+00,        -4.473351985649e+01
 2.40377500e+00,        -3.723135666184e+00,        -4.473464375168e+01
 2.40380000e+00,        -3.723298087655e+00,        -4.473576775426e+01
 2.40382500e+00,        -3.723460534570e+00,        -4.473689186434e+01
 2.40385000e+00,        -3.723623006954e+00,        -4.473801608203e+01
 2.40387500e+00,        -3.723785504832e+00,        -4.473914040743e+01
 2.40390000e+00,        -3.723948028228e+00,        -4.474026484066e+01
 2.40392500e+00,        -3.724110577169e+00,        -4.474138938183e+01
 2.40395000e+00,        -3.724273151680e+00,        -4.474251403104e+01
 2.40397500e+00,        -3.724435751786e+00,        -4.474363878840e+01
 2.40400000e+00,        -3.724598377513e+00,        -4.474476365404e+01
 2.40402500e+00,        -3.724761028887e+00,        -4.474588862805e+01
 2.40405000e+00,        -3.724923705933e+00,        -4.474701371055e+01
 2.40407500e+00,        -3.725086408676e+00,        -4.474813890165e+01
 2.40410000e+00,        -3.725249137143e+00,        -4.474926420146e+01
 2.40412500e+00,        -3.725411891359e+00,        -4.475038961009e+01
 2.40415000e+00,        -3.725574671350e+00,        -4.475151512766e+01
 2.40417500e+00,        -3.725737477142e+00,        -4.475264075427e+01
