        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.036177892766e+01,        -3.241243076186e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.036165601918e+01,        -3.241247489783e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.036153309920e+01,        -3.241251898011e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.036141016770e+01,        -3.241256300867e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.036128722468e+01,        -3.241260698348e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.036116427012e+01,        -3.241265090452e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.036104130402e+01,        -3.241269477176e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.036091832636e+01,        -3.241273858515e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.036079533713e+01,        -3.241278234469e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.036067233632e+01,        -3.241282605033e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.036054932392e+01,        -3.241286970205e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.036042629992e+01,        -3.241291329981e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.036030326430e+01,        -3.241295684359e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.036018021707e+01,        -3.241300033336e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.036005715819e+01,        -3.241304376909e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.035993408768e+01,        -3.241308715075e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.035981100550e+01,        -3.241313047831e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.035968791166e+01,        -3.241317375174e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.035956480614e+01,        -3.241321697100e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.035944168893e+01,        -3.241326013608e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.035931856001e+01,        -3.241330324693e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.035919541939e+01,        -3.241334630353e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.035907226704e+01,        -3.241338930586e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.035894910295e+01,        -3.241343225387e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.035882592712e+01,        -3.241347514754e+00
 2.40062500e+00,        +7.071067811865e+00,        +1.035870273953e+01,        -3.241351798684e+00
 2.40065000e+00,        +7.071067811865e+00,        +1.035857954017e+01,        -3.241356077173e+00
 2.40067500e+00,        +7.071067811865e+00,        +1.035845632903e+01,        -3.241360350220e+00
 2.40070000e+00,        +7.071067811865e+00,        +1.035833310610e+01,        -3.241364617820e+00
 2.40072500e+00,        +7.071067811865e+00,        +1.035820987137e+01,        -3.241368879971e+00
 2.40075000e+00,        +7.071067811865e+00,        +1.035808662482e+01,        -3.241373136669e+00
 2.40077500e+00,        +7.071067811865e+00,        +1.035796336644e+01,        -3.241377387913e+00
 2.40080000e+00,        +7.071067811865e+00,        +1.035784009623e+01,        -3.241381633697e+00
 2.40082500e+00,        +7.071067811865e+00,        +1.035771681416e+01,        -3.241385874020e+00
 2.40085000e+00,        +7.071067811865e+00,        +1.035759352024e+01,        -3.241390108879e+00
 2.40087500e+00,        +7.071067811865e+00,        +1.035747021444e+01,        -3.241394338270e+00
 2.40090000e+00,        +7.071067811865e+00,        +1.035734689676e+01,        -3.241398562190e+00
 2.40092500e+00,        +7.071067811865e+00,        +1.035722356719e+01,        -3.241402780636e+00
 2.40095000e+00,        +7.071067811865e+00,        +1.035710022571e+01,        -3.241406993605e+00
 2.40097500e+00,        +7.071067811865e+00,        +1.035697687231e+01,        -3.241411201095e+00
 2.40100000e+00,        +7.071067811865e+00,        +1.035685350698e+01,        -3.241415403101e+00
 2.40102500e+00,        +7.071067811865e+00,        +1.035673012971e+01,        -3.241419599620e+00
 2.40105000e+00,        +7.071067811865e+00,        +1.035660674048e+01,        -3.241423790651e+00
 2.40107500e+00,        +7.071067811865e+00,        +1.035648333929e+01,        -3.241427976189e+00
 2.40110000e+00,        +7.071067811865e+00,        +1.035635992612e+01,        -3.241432156231e+00
 2.40112500e+00,        +7.071067811865e+00,        +1.035623650097e+01,        -3.241436330774e+00
 2.40115000e+00,        +7.071067811865e+00,        +1.035611306381e+01,        -3.241440499816e+00
 2.40117500e+00,        +7.071067811865e+00,        +1.035598961464e+01,        -3.241444663352e+00
 2.40120000e+00,        +7.071067811865e+00,        +1.035586615345e+01,        -3.241448821381e+00
 2.40122500e+00,        +7.071067811865e+00,        +1.035574268022e+01,        -3.241452973898e+00
 2.40125000e+00,        +7.071067811865e+00,        +1.035561919494e+01,        -3.241457120900e+00
 2.40127500e+00,        +7.071067811865e+00,        +1.035549569760e+01,        -3.241461262385e+00
 2.40130000e+00,        +7.071067811865e+00,        +1.035537218820e+01,        -3.241465398349e+00
 2.40132500e+00,        +7.071067811865e+00,        +1.035524866671e+01,        -3.241469528789e+00
 2.40135000e+00,        +7.071067811865e+00,        +1.035512513312e+01,        -3.241473653702e+00
 2.40137500e+00,        +7.071067811865e+00,        +1.035500158742e+01,        -3.241477773084e+00
 2.40140000e+00,        +7.071067811865e+00,        +1.035487802961e+01,        -3.241481886933e+00
 2.40142500e+00,        +7.071067811865e+00,        +1.035475445967e+01,        -3.241485995245e+00
