        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +6.452224129700e-11,        +3.324666805030e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.111968921335e-17,        +1.102250755456e-06,        +6.819822283178e-16,        +2.051279927619e-05,        +6.364803540753e-11,        +9.864510923382e-01,        +3.242391530567e-11,        +9.752530766876e-01,        +2.227893473570e-13,        +3.452907755196e-03,        +2.028914677951e-13,        +6.102610568016e-03,        +2.133764383520e-13,        +3.307021486898e-03,        +2.026178047452e-13,        +6.094379275502e-03,        +2.130129999229e-13,        +3.301388724896e-03,        +2.023189859606e-13,        +6.085391343713e-03,        +2.227361899373e-13,        +3.452083893243e-03,        +2.027644203639e-13,        +6.098789209709e-03
 2.30020000e+00,        +6.453443605955e-11,        +3.326018117667e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.132398346862e-17,        +1.105208131095e-06,        +6.840789459041e-16,        +2.056750509778e-05,        +6.365975853501e-11,        +9.864463443404e-01,        +3.243689530580e-11,        +9.752471020379e-01,        +2.228714461149e-13,        +3.453527445553e-03,        +2.029692776936e-13,        +6.102470597364e-03,        +2.135287644088e-13,        +3.308756959025e-03,        +2.027879427873e-13,        +6.097018585380e-03,        +2.131638683645e-13,        +3.303102674792e-03,        +2.024882315921e-13,        +6.088007474059e-03,        +2.228189496300e-13,        +3.452713980865e-03,        +2.028427202725e-13,        +6.098665524252e-03
 2.30040000e+00,        +6.454664143761e-11,        +3.327370624855e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.152965577537e-17,        +1.108185556711e-06,        +6.861879645760e-16,        +2.062252877543e-05,        +6.367148730728e-11,        +9.864415233568e-01,        +3.244988243501e-11,        +9.752409963777e-01,        +2.229545778402e-13,        +3.454162337101e-03,        +2.030480096784e-13,        +6.102356261778e-03,        +2.136825329097e-13,        +3.310513578251e-03,        +2.029594771614e-13,        +6.099695526711e-03,        +2.133161671175e-13,        +3.304837592885e-03,        +2.026588663800e-13,        +6.090661042270e-03,        +2.229027514210e-13,        +3.453359407344e-03,        +2.029219484702e-13,        +6.098567648413e-03
 2.30060000e+00,        +6.455885745757e-11,        +3.328724329368e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.173672028613e-17,        +1.111183238230e-06,        +6.883093934677e-16,        +2.067787312380e-05,        +6.368322173231e-11,        +9.864366291514e-01,        +3.246287670302e-11,        +9.752347593526e-01,        +2.230387454938e-13,        +3.454812465360e-03,        +2.031276657256e-13,        +6.102267584416e-03,        +2.138377500119e-13,        +3.312291425734e-03,        +2.031324142845e-13,        +6.102410238431e-03,        +2.134699022014e-13,        +3.306593558316e-03,        +2.028308966682e-13,        +6.093352185360e-03,        +2.229875983844e-13,        +3.454020209867e-03,        +2.030021070129e-13,        +6.098495607517e-03
 2.30080000e+00,        +6.457108414610e-11,        +3.330079234010e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.194519134639e-17,        +1.114201384378e-06,        +6.904433430740e-16,        +2.073354099273e-05,        +6.369496181812e-11,        +9.864316614848e-01,        +3.247587811960e-11,        +9.752283906017e-01,        +2.231239520838e-13,        +3.455477866516e-03,        +2.032082478451e-13,        +6.102204589300e-03,        +2.139944219486e-13,        +3.314090583711e-03,        +2.033067606512e-13,        +6.105162861436e-03,        +2.136250797100e-13,        +3.308370651275e-03,        +2.030043288772e-13,        +6.096081042275e-03,        +2.230734936429e-13,        +3.454696426317e-03,        +2.030831979914e-13,        +6.098449427789e-03
 2.30100000e+00,        +6.458332153016e-11,        +3.331435341611e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.215508349777e-17,        +1.117240206732e-06,        +6.925899252712e-16,        +2.078953526789e-05,        +6.370670757273e-11,        +9.864266201140e-01,        +3.248888669454e-11,        +9.752218897584e-01,        +2.232102006655e-13,        +3.456158577432e-03,        +2.032897580810e-13,        +6.102167301336e-03,        +2.141525550303e-13,        +3.315911135513e-03,        +2.034825228342e-13,        +6.107953538603e-03,        +2.137817058119e-13,        +3.310168953017e-03,        +2.031791695050e-13,        +6.098847753915e-03,        +2.231604403685e-13,        +3.455388095273e-03,        +2.031652235320e-13,        +6.098429136364e-03
 2.30120000e+00,        +6.459556963700e-11,        +3.332792655033e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.236641148135e-17,        +1.120299919763e-06,        +6.947492533400e-16,        +2.084585887126e-05,        +6.371845900423e-11,        +9.864215047921e-01,        +3.250190243772e-11,        +9.752152564499e-01,        +2.232974943425e-13,        +3.456854635656e-03,        +2.033721985118e-13,        +6.102155746314e-03,        +2.143121556455e-13,        +3.317753165578e-03,        +2.036597074859e-13,        +6.110782414813e-03,        +2.139397867517e-13,        +3.311988545870e-03,        +2.033554251278e-13,        +6.101652463159e-03,        +2.232484417830e-13,        +3.456095256031e-03,        +2.032481857964e-13,        +6.098434761294e-03
 2.30140000e+00,        +6.460782849414e-11,        +3.334151177164e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.257919024098e-17,        +1.123380740889e-06,        +6.969214419876e-16,        +2.090251476180e-05,        +6.373021612072e-11,        +9.864163152690e-01,        +3.251492535905e-11,        +9.752084902972e-01,        +2.233858362671e-13,        +3.457566079432e-03,        +2.034555712514e-13,        +6.102169950927e-03,        +2.144732302614e-13,        +3.319616759459e-03,        +2.038383213390e-13,        +6.113649636978e-03,        +2.140993288509e-13,        +3.313829513250e-03,        +2.035331024012e-13,        +6.104495314887e-03,        +2.233375011589e-13,        +3.456817948605e-03,        +2.033320869829e-13,        +6.098466331566e-03
 2.30160000e+00,        +6.462009812941e-11,        +3.335510910925e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.279343492675e-17,        +1.126482890524e-06,        +6.991066073712e-16,        +2.095950593600e-05,        +6.374197893032e-11,        +9.864110512904e-01,        +3.252795546849e-11,        +9.752015909152e-01,        +2.234752296413e-13,        +3.458292947710e-03,        +2.035398784489e-13,        +6.102209942778e-03,        +2.146357854254e-13,        +3.321502003844e-03,        +2.040183712075e-13,        +6.116555354062e-03,        +2.142603385088e-13,        +3.315691939676e-03,        +2.037122080613e-13,        +6.107376456006e-03,        +2.234276218201e-13,        +3.457556213744e-03,        +2.034169293263e-13,        +6.098523877108e-03
 2.30180000e+00,        +6.463237857094e-11,        +3.336871859265e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.300916089844e-17,        +1.129606592125e-06,        +7.013048671212e-16,        +2.101683542849e-05,        +6.375374744121e-11,        +9.864057125987e-01,        +3.254099277605e-11,        +9.751945579121e-01,        +2.235656777171e-13,        +3.459035280154e-03,        +2.036251222895e-13,        +6.102275750391e-03,        +2.147998277657e-13,        +3.323408986564e-03,        +2.041998639880e-13,        +6.119499717110e-03,        +2.144228222033e-13,        +3.317575910779e-03,        +2.038927489255e-13,        +6.110296035474e-03,        +2.235188071424e-13,        +3.458310092936e-03,        +2.035027150988e-13,        +6.098607428806e-03
 2.30200000e+00,        +6.464466984714e-11,        +3.338234025164e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.322638372911e-17,        +1.132752072248e-06,        +7.035163403654e-16,        +2.107450631269e-05,        +6.376552166159e-11,        +9.864002989321e-01,        +3.255403729180e-11,        +9.751873908902e-01,        +2.236571837978e-13,        +3.459793117153e-03,        +2.037113049950e-13,        +6.102367403227e-03,        +2.149653639921e-13,        +3.325337796611e-03,        +2.043828066606e-13,        +6.122482879269e-03,        +2.145867864921e-13,        +3.319481513317e-03,        +2.040747318935e-13,        +6.113254204325e-03,        +2.236110605546e-13,        +3.459079628426e-03,        +2.035894466103e-13,        +6.098717018509e-03
 2.30220000e+00,        +6.465697198676e-11,        +3.339597411633e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.344511920870e-17,        +1.135919560597e-06,        +7.057411477532e-16,        +2.113252170141e-05,        +6.377730159969e-11,        +9.863948100253e-01,        +3.256708902587e-11,        +9.751800894449e-01,        +2.237497512381e-13,        +3.460566499835e-03,        +2.037984288240e-13,        +6.102484931689e-03,        +2.151324008978e-13,        +3.327288524149e-03,        +2.045672062898e-13,        +6.125504995818e-03,        +2.147522380133e-13,        +3.321408835188e-03,        +2.042581639487e-13,        +6.116251115693e-03,        +2.237043855391e-13,        +3.459864863219e-03,        +2.036771262089e-13,        +6.098852679050e-03
 2.30240000e+00,        +6.466928501881e-11,        +3.340962021716e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.366538334774e-17,        +1.139109290080e-06,        +7.079794114809e-16,        +2.119088474754e-05,        +6.378908726376e-11,        +9.863892456087e-01,        +3.258014798841e-11,        +9.751726531652e-01,        +2.238433834453e-13,        +3.461355470069e-03,        +2.038864960726e-13,        +6.102628367140e-03,        +2.153009453594e-13,        +3.329261260532e-03,        +2.047530700260e-13,        +6.128566224192e-03,        +2.149191834870e-13,        +3.323357965446e-03,        +2.044430521587e-13,        +6.119286924840e-03,        +2.237987856328e-13,        +3.460665841098e-03,        +2.037657562815e-13,        +6.099014444254e-03
 2.30260000e+00,        +6.468160897266e-11,        +3.342327858485e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.388719238114e-17,        +1.142321496863e-06,        +7.102312553168e-16,        +2.124959864466e-05,        +6.380087866211e-11,        +9.863836054091e-01,        +3.259321418966e-11,        +9.751650816335e-01,        +2.239380838801e-13,        +3.462160070488e-03,        +2.039755090751e-13,        +6.102797741916e-03,        +2.154710043388e-13,        +3.331256098313e-03,        +2.049404051060e-13,        +6.131666724009e-03,        +2.150876297155e-13,        +3.325328994312e-03,        +2.046294036770e-13,        +6.122361789181e-03,        +2.238942644278e-13,        +3.461482606632e-03,        +2.038553392544e-13,        +6.099202348951e-03
 2.30280000e+00,        +6.469394387795e-11,        +3.343694925047e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.411056277203e-17,        +1.145556420425e-06,        +7.124968046273e-16,        +2.130866662775e-05,        +6.381267580307e-11,        +9.863778891491e-01,        +3.260628763989e-11,        +9.751573744254e-01,        +2.240338560569e-13,        +3.462980344490e-03,        +2.040654702041e-13,        +6.102993089334e-03,        +2.156425848839e-13,        +3.333273131264e-03,        +2.051292188549e-13,        +6.134806657100e-03,        +2.152575835851e-13,        +3.327322013189e-03,        +2.048172257437e-13,        +6.125475868312e-03,        +2.239908255724e-13,        +3.462315205190e-03,        +2.039458775937e-13,        +6.099416428991e-03
 2.30300000e+00,        +6.470628976469e-11,        +3.345063224541e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.433551121570e-17,        +1.148814303618e-06,        +7.147761864033e-16,        +2.136809197385e-05,        +6.382447869500e-11,        +9.863720965473e-01,        +3.261936834943e-11,        +9.751495311096e-01,        +2.241307035453e-13,        +3.463816336253e-03,        +2.041563818714e-13,        +6.103214443709e-03,        +2.158156941295e-13,        +3.335312454390e-03,        +2.053195186866e-13,        +6.137986187533e-03,        +2.154290520667e-13,        +3.329337114678e-03,        +2.050065256868e-13,        +6.128629324038e-03,        +2.240884727716e-13,        +3.463163682951e-03,        +2.040373738061e-13,        +6.099656721260e-03
 2.30320000e+00,        +6.471864666317e-11,        +3.346432760137e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.456205464358e-17,        +1.152095392718e-06,        +7.170695292872e-16,        +2.142787800278e-05,        +6.383628734629e-11,        +9.863662273181e-01,        +3.263245632867e-11,        +9.751415512480e-01,        +2.242286299705e-13,        +3.464668090751e-03,        +2.042482465285e-13,        +6.103461840368e-03,        +2.159903392989e-13,        +3.337374163941e-03,        +2.055113121051e-13,        +6.141205481644e-03,        +2.156020422168e-13,        +3.331374392590e-03,        +2.051973109232e-13,        +6.131822320397e-03,        +2.241872097883e-13,        +3.464028086914e-03,        +2.041298304393e-13,        +6.099923263688e-03
 2.30340000e+00,        +6.473101460404e-11,        +3.347803535041e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.479021022740e-17,        +1.155399937494e-06,        +7.193769636005e-16,        +2.148802807784e-05,        +6.384810176538e-11,        +9.863602811719e-01,        +3.264555158805e-11,        +9.751334343954e-01,        +2.243276390142e-13,        +3.465535653758e-03,        +2.043410666672e-13,        +6.103735315660e-03,        +2.161665277045e-13,        +3.339458357432e-03,        +2.057046067059e-13,        +6.144464708065e-03,        +2.157765611789e-13,        +3.333433941964e-03,        +2.053895889600e-13,        +6.135055023695e-03,        +2.242870404444e-13,        +3.464908464920e-03,        +2.042232500826e-13,        +6.100216095270e-03
 2.30360000e+00,        +6.474339361826e-11,        +3.349175552490e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.501999538329e-17,        +1.158728191260e-06,        +7.216986213718e-16,        +2.154854560655e-05,        +6.385992196073e-11,        +9.863542578145e-01,        +3.265865413807e-11,        +9.751251800995e-01,        +2.244277344157e-13,        +3.466419071867e-03,        +2.044348448200e-13,        +6.104034906977e-03,        +2.163442667494e-13,        +3.341565133657e-03,        +2.058994101773e-13,        +6.147764037754e-03,        +2.159526161844e-13,        +3.335515859081e-03,        +2.055833673956e-13,        +6.138327602528e-03,        +2.243879686210e-13,        +3.465804865652e-03,        +2.043176353677e-13,        +6.100535256080e-03
