        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.40000000e+00,        +7.014100942624e-11,        +4.604613295311e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.082417977105e-16,        +1.543202736829e-06,        +1.881263686862e-14,        +4.085606252271e-04,        +6.380739069799e-11,        +9.097016313273e-01,        +3.974326544271e-11,        +8.631184182866e-01,        +1.632731615100e-12,        +2.327784599132e-02,        +1.517628599932e-12,        +3.295887195299e-02,        +1.492228908879e-12,        +2.127469965268e-02,        +1.398285555947e-12,        +3.036705725910e-02,        +1.492470879348e-12,        +2.127814942437e-02,        +1.398442918427e-12,        +3.037047475519e-02,        +1.633157018523e-12,        +2.328391096567e-02,        +1.518116804105e-12,        +3.296947445404e-02
 2.40002500e+00,        +7.015297434080e-11,        +4.605830539539e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.083693788209e-16,        +1.544758149447e-06,        +1.883907407337e-14,        +4.090266437649e-04,        +6.381216623359e-11,        +9.096145506760e-01,        +3.974821646159e-11,        +8.629978050727e-01,        +1.634486726100e-12,        +2.329889418743e-02,        +1.519251894964e-12,        +3.298540582250e-02,        +1.494009928669e-12,        +2.129645881316e-02,        +1.399942640758e-12,        +3.039500973256e-02,        +1.494252115270e-12,        +2.129991107734e-02,        +1.400100255847e-12,        +3.039843181003e-02,        +1.634912234873e-12,        +2.330495962909e-02,        +1.519740144372e-12,        +3.299600650362e-02
 2.40005000e+00,        +7.016495810690e-11,        +4.607049676139e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.084971729286e-16,        +1.546315651801e-06,        +1.886556439940e-14,        +4.094934008874e-04,        +6.381694649473e-11,        +9.095273227057e-01,        +3.975317220076e-11,        +8.628770036201e-01,        +1.636245335058e-12,        +2.331997879291e-02,        +1.520878427676e-12,        +3.301198238762e-02,        +1.495794396254e-12,        +2.131825396340e-02,        +1.401602927074e-12,        +3.042300443021e-02,        +1.496036799492e-12,        +2.132170872549e-02,        +1.401760795112e-12,        +3.042643109259e-02,        +1.636670949478e-12,        +2.332604470431e-02,        +1.521366722692e-12,        +3.302258125349e-02
 2.40007500e+00,        +7.017696077250e-11,        +4.608270709917e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.086251806069e-16,        +1.547875248674e-06,        +1.889210798593e-14,        +4.099608980279e-04,        +6.382173149257e-11,        +9.094399470999e-01,        +3.975813267119e-11,        +8.627560135655e-01,        +1.638007450976e-12,        +2.334109988442e-02,        +1.522508206425e-12,        +3.303860172860e-02,        +1.497582320719e-12,        +2.134008518229e-02,        +1.403266423342e-12,        +3.045104143562e-02,        +1.497824941098e-12,        +2.134354244770e-02,        +1.403424544669e-12,        +3.045447268643e-02,        +1.638433171338e-12,        +2.334716626799e-02,        +1.522996547420e-12,        +3.304919878388e-02
 2.40010000e+00,        +7.018898238573e-11,        +4.609493645695e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.087534024310e-16,        +1.549436944865e-06,        +1.891870497270e-14,        +4.104291366226e-04,        +6.382652123835e-11,        +9.093524235411e-01,        +3.976309788388e-11,        +8.626348345445e-01,        +1.639773082884e-12,        +2.336225753884e-02,        +1.524141239594e-12,        +3.306526392585e-02,        +1.499373711178e-12,        +2.136195254888e-02,        +1.404933138040e-12,        +3.047912083255e-02,        +1.499616549206e-12,        +2.136541232304e-02,        +1.405091512995e-12,        +3.048255667532e-02,        +1.640198909486e-12,        +2.336832439702e-02,        +1.524629626940e-12,        +3.307585917520e-02
 2.40012500e+00,        +7.020102299489e-11,        +4.610718488311e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.088818389779e-16,        +1.551000745186e-06,        +1.894535549987e-14,        +4.108981181110e-04,        +6.383131574331e-11,        +9.092647517110e-01,        +3.976806784989e-11,        +8.625134661919e-01,        +1.641542239845e-12,        +2.338345183324e-02,        +1.525777535595e-12,        +3.309196905998e-02,        +1.501168576777e-12,        +2.138385614247e-02,        +1.406603079670e-12,        +3.050724270492e-02,        +1.501411632958e-12,        +2.138731843078e-02,        +1.406761708594e-12,        +3.051068314320e-02,        +1.641968172985e-12,        +2.338951916846e-02,        +1.526265969664e-12,        +3.310256250806e-02
 2.40015000e+00,        +7.021308264843e-11,        +4.611945242618e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.090104908267e-16,        +1.552566654459e-06,        +1.897205970808e-14,        +4.113678439362e-04,        +6.383611501876e-11,        +9.091769312906e-01,        +3.977304258027e-11,        +8.623919081418e-01,        +1.643314930950e-12,        +2.340468284491e-02,        +1.527417102865e-12,        +3.311871721179e-02,        +1.502966926689e-12,        +2.140579604252e-02,        +1.408276256763e-12,        +3.053540713686e-02,        +1.503210201532e-12,        +2.140926085041e-02,        +1.408435139998e-12,        +3.053885217419e-02,        +1.643740970925e-12,        +2.341075065961e-02,        +1.527905584030e-12,        +3.312930886324e-02
 2.40017500e+00,        +7.022516139495e-11,        +4.613173913485e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.091393585586e-16,        +1.554134677524e-06,        +1.899881773842e-14,        +4.118383155441e-04,        +6.384091907601e-11,        +9.090889619600e-01,        +3.977802208615e-11,        +8.622701600273e-01,        +1.645091165320e-12,        +2.342595065134e-02,        +1.529059949873e-12,        +3.314550846225e-02,        +1.504768770118e-12,        +2.142777232871e-02,        +1.409952677878e-12,        +3.056361421269e-02,        +1.505012264130e-12,        +2.143123966161e-02,        +1.410111815767e-12,        +3.056706385261e-02,        +1.645517312430e-12,        +2.343201894796e-02,        +1.529548478507e-12,        +3.315609832172e-02
 2.40020000e+00,        +7.023725928321e-11,        +4.614404505798e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.092684427564e-16,        +1.555704819230e-06,        +1.902562973247e-14,        +4.123095343844e-04,        +6.384572792643e-11,        +9.090008433984e-01,        +3.978300637866e-11,        +8.621482214807e-01,        +1.646870952108e-12,        +2.344725533022e-02,        +1.530706085113e-12,        +3.317234289256e-02,        +1.506574116300e-12,        +2.144978508095e-02,        +1.411632351603e-12,        +3.059186401690e-02,        +1.506817829989e-12,        +2.145325494426e-02,        +1.411791744489e-12,        +3.059531826296e-02,        +1.647297206651e-12,        +2.345332411119e-02,        +1.531194661590e-12,        +3.318293096467e-02
 2.40022500e+00,        +7.024937636215e-11,        +4.615637024456e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +1.093977440052e-16,        +1.557277084443e-06,        +1.905249583225e-14,        +4.127815019096e-04,        +6.385054158142e-11,        +9.089125752841e-01,        +3.978799546899e-11,        +8.620260921335e-01,        +1.648654300496e-12,        +2.346859695946e-02,        +1.532355517110e-12,        +3.319922058408e-02,        +1.508382974498e-12,        +2.147183437932e-02,        +1.413315286553e-12,        +3.062015663417e-02,        +1.508626908373e-12,        +2.147530677847e-02,        +1.413474934780e-12,        +3.062361548992e-02,        +1.649080662772e-12,        +2.347466622722e-02,        +1.532844141802e-12,        +3.320980687346e-02
