        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.237123690618e-01,        -5.133043589482e-02
 2.40002500e+00,        +1.414213562373e-01,        +2.237099354033e-01,        -5.133052389188e-02
 2.40005000e+00,        +1.414213562373e-01,        +2.237075012146e-01,        -5.133061172371e-02
 2.40007500e+00,        +1.414213562373e-01,        +2.237050664949e-01,        -5.133069939013e-02
 2.40010000e+00,        +1.414213562373e-01,        +2.237026312433e-01,        -5.133078689093e-02
 2.40012500e+00,        +1.414213562373e-01,        +2.237001954591e-01,        -5.133087422594e-02
 2.40015000e+00,        +1.414213562373e-01,        +2.236977591413e-01,        -5.133096139496e-02
 2.40017500e+00,        +1.414213562373e-01,        +2.236953222892e-01,        -5.133104839780e-02
 2.40020000e+00,        +1.414213562373e-01,        +2.236928849019e-01,        -5.133113523426e-02
 2.40022500e+00,        +1.414213562373e-01,        +2.236904469785e-01,        -5.133122190415e-02
 2.40025000e+00,        +1.414213562373e-01,        +2.236880085184e-01,        -5.133130840729e-02
 2.40027500e+00,        +1.414213562373e-01,        +2.236855695205e-01,        -5.133139474347e-02
 2.40030000e+00,        +1.414213562373e-01,        +2.236831299842e-01,        -5.133148091251e-02
 2.40032500e+00,        +1.414213562373e-01,        +2.236806899084e-01,        -5.133156691420e-02
 2.40035000e+00,        +1.414213562373e-01,        +2.236782492925e-01,        -5.133165274836e-02
 2.40037500e+00,        +1.414213562373e-01,        +2.236758081355e-01,        -5.133173841479e-02
 2.40040000e+00,        +1.414213562373e-01,        +2.236733664365e-01,        -5.133182391329e-02
 2.40042500e+00,        +1.414213562373e-01,        +2.236709241949e-01,        -5.133190924366e-02
 2.40045000e+00,        +1.414213562373e-01,        +2.236684814096e-01,        -5.133199440571e-02
 2.40047500e+00,        +1.414213562373e-01,        +2.236660380798e-01,        -5.133207939924e-02
 2.40050000e+00,        +1.414213562373e-01,        +2.236635942047e-01,        -5.133216422406e-02
 2.40052500e+00,        +1.414213562373e-01,        +2.236611497835e-01,        -5.133224887996e-02
 2.40055000e+00,        +1.414213562373e-01,        +2.236587048151e-01,        -5.133233336674e-02
 2.40057500e+00,        +1.414213562373e-01,        +2.236562592989e-01,        -5.133241768422e-02
 2.40060000e+00,        +1.414213562373e-01,        +2.236538132339e-01,        -5.133250183217e-02
 2.40062500e+00,        +1.414213562373e-01,        +2.236513666192e-01,        -5.133258581041e-02
 2.40065000e+00,        +1.414213562373e-01,        +2.236489194541e-01,        -5.133266961874e-02
 2.40067500e+00,        +1.414213562373e-01,        +2.236464717375e-01,        -5.133275325695e-02
 2.40070000e+00,        +1.414213562373e-01,        +2.236440234687e-01,        -5.133283672484e-02
 2.40072500e+00,        +1.414213562373e-01,        +2.236415746467e-01,        -5.133292002221e-02
 2.40075000e+00,        +1.414213562373e-01,        +2.236391252707e-01,        -5.133300314885e-02
 2.40077500e+00,        +1.414213562373e-01,        +2.236366753398e-01,        -5.133308610457e-02
 2.40080000e+00,        +1.414213562373e-01,        +2.236342248531e-01,        -5.133316888915e-02
 2.40082500e+00,        +1.414213562373e-01,        +2.236317738097e-01,        -5.133325150239e-02
 2.40085000e+00,        +1.414213562373e-01,        +2.236293222088e-01,        -5.133333394410e-02
 2.40087500e+00,        +1.414213562373e-01,        +2.236268700493e-01,        -5.133341621405e-02
 2.40090000e+00,        +1.414213562373e-01,        +2.236244173306e-01,        -5.133349831205e-02
 2.40092500e+00,        +1.414213562373e-01,        +2.236219640516e-01,        -5.133358023789e-02
 2.40095000e+00,        +1.414213562373e-01,        +2.236195102114e-01,        -5.133366199136e-02
 2.40097500e+00,        +1.414213562373e-01,        +2.236170558092e-01,        -5.133374357226e-02
 2.40100000e+00,        +1.414213562373e-01,        +2.236146008441e-01,        -5.133382498037e-02
 2.40102500e+00,        +1.414213562373e-01,        +2.236121453150e-01,        -5.133390621549e-02
 2.40105000e+00,        +1.414213562373e-01,        +2.236096892213e-01,        -5.133398727741e-02
 2.40107500e+00,        +1.414213562373e-01,        +2.236072325618e-01,        -5.133406816591e-02
 2.40110000e+00,        +1.414213562373e-01,        +2.236047753357e-01,        -5.133414888079e-02
 2.40112500e+00,        +1.414213562373e-01,        +2.236023175422e-01,        -5.133422942184e-02
 2.40115000e+00,        +1.414213562373e-01,        +2.235998591802e-01,        -5.133430978884e-02
 2.40117500e+00,        +1.414213562373e-01,        +2.235974002489e-01,        -5.133438998158e-02
 2.40120000e+00,        +1.414213562373e-01,        +2.235949407473e-01,        -5.133446999986e-02
 2.40122500e+00,        +1.414213562373e-01,        +2.235924806745e-01,        -5.133454984345e-02
 2.40125000e+00,        +1.414213562373e-01,        +2.235900200297e-01,        -5.133462951214e-02
 2.40127500e+00,        +1.414213562373e-01,        +2.235875588117e-01,        -5.133470900572e-02
 2.40130000e+00,        +1.414213562373e-01,        +2.235850970198e-01,        -5.133478832398e-02
 2.40132500e+00,        +1.414213562373e-01,        +2.235826346530e-01,        -5.133486746669e-02
 2.40135000e+00,        +1.414213562373e-01,        +2.235801717103e-01,        -5.133494643365e-02
 2.40137500e+00,        +1.414213562373e-01,        +2.235777081909e-01,        -5.133502522463e-02
 2.40140000e+00,        +1.414213562373e-01,        +2.235752440937e-01,        -5.133510383942e-02
 2.40142500e+00,        +1.414213562373e-01,        +2.235727794178e-01,        -5.133518227781e-02
 2.40145000e+00,        +1.414213562373e-01,        +2.235703141623e-01,        -5.133526053956e-02
 2.40147500e+00,        +1.414213562373e-01,        +2.235678483263e-01,        -5.133533862447e-02
 2.40150000e+00,        +1.414213562373e-01,        +2.235653819087e-01,        -5.133541653232e-02
 2.40152500e+00,        +1.414213562373e-01,        +2.235629149086e-01,        -5.133549426288e-02
 2.40155000e+00,        +1.414213562373e-01,        +2.235604473251e-01,        -5.133557181593e-02
 2.40157500e+00,        +1.414213562373e-01,        +2.235579791573e-01,        -5.133564919126e-02
 2.40160000e+00,        +1.414213562373e-01,        +2.235555104040e-01,        -5.133572638864e-02
 2.40162500e+00,        +1.414213562373e-01,        +2.235530410644e-01,        -5.133580340785e-02
 2.40165000e+00,        +1.414213562373e-01,        +2.235505711376e-01,        -5.133588024866e-02
 2.40167500e+00,        +1.414213562373e-01,        +2.235481006225e-01,        -5.133595691086e-02
 2.40170000e+00,        +1.414213562373e-01,        +2.235456295181e-01,        -5.133603339422e-02
 2.40172500e+00,        +1.414213562373e-01,        +2.235431578236e-01,        -5.133610969851e-02
 2.40175000e+00,        +1.414213562373e-01,        +2.235406855378e-01,        -5.133618582351e-02
 2.40177500e+00,        +1.414213562373e-01,        +2.235382126599e-01,        -5.133626176900e-02
 2.40180000e+00,        +1.414213562373e-01,        +2.235357391889e-01,        -5.133633753474e-02
 2.40182500e+00,        +1.414213562373e-01,        +2.235332651237e-01,        -5.133641312051e-02
 2.40185000e+00,        +1.414213562373e-01,        +2.235307904634e-01,        -5.133648852609e-02
 2.40187500e+00,        +1.414213562373e-01,        +2.235283152070e-01,        -5.133656375124e-02
 2.40190000e+00,        +1.414213562373e-01,        +2.235258393535e-01,        -5.133663879574e-02
 2.40192500e+00,        +1.414213562373e-01,        +2.235233629019e-01,        -5.133671365935e-02
 2.40195000e+00,        +1.414213562373e-01,        +2.235208858512e-01,        -5.133678834185e-02
 2.40197500e+00,        +1.414213562373e-01,        +2.235184082004e-01,        -5.133686284301e-02
 2.40200000e+00,        +1.414213562373e-01,        +2.235159299485e-01,        -5.133693716259e-02
 2.40202500e+00,        +1.414213562373e-01,        +2.235134510945e-01,        -5.133701130037e-02
 2.40205000e+00,        +1.414213562373e-01,        +2.235109716373e-01,        -5.133708525611e-02
 2.40207500e+00,        +1.414213562373e-01,        +2.235084915760e-01,        -5.133715902957e-02
 2.40210000e+00,        +1.414213562373e-01,        +2.235060109096e-01,        -5.133723262053e-02
 2.40212500e+00,        +1.414213562373e-01,        +2.235035296370e-01,        -5.133730602875e-02
 2.40215000e+00,        +1.414213562373e-01,        +2.235010477573e-01,        -5.133737925399e-02
 2.40217500e+00,        +1.414213562373e-01,        +2.234985652693e-01,        -5.133745229602e-02
 2.40220000e+00,        +1.414213562373e-01,        +2.234960821720e-01,        -5.133752515461e-02
 2.40222500e+00,        +1.414213562373e-01,        +2.234935984646e-01,        -5.133759782951e-02
 2.40225000e+00,        +1.414213562373e-01,        +2.234911141458e-01,        -5.133767032049e-02
 2.40227500e+00,        +1.414213562373e-01,        +2.234886292147e-01,        -5.133774262732e-02
 2.40230000e+00,        +1.414213562373e-01,        +2.234861436702e-01,        -5.133781474974e-02
 2.40232500e+00,        +1.414213562373e-01,        +2.234836575113e-01,        -5.133788668753e-02
 2.40235000e+00,        +1.414213562373e-01,        +2.234811707370e-01,        -5.133795844044e-02
 2.40237500e+00,        +1.414213562373e-01,        +2.234786833462e-01,        -5.133803000824e-02
