        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -3.275961904860e+00,        -3.195456252541e+01
 2.40002500e+00,        -3.276142658727e+00,        -3.195536754203e+01
 2.40005000e+00,        -3.276323462763e+00,        -3.195617267513e+01
 2.40007500e+00,        -3.276504317041e+00,        -3.195697792489e+01
 2.40010000e+00,        -3.276685221637e+00,        -3.195778329149e+01
 2.40012500e+00,        -3.276866176623e+00,        -3.195858877511e+01
 2.40015000e+00,        -3.277047182075e+00,        -3.195939437593e+01
 2.40017500e+00,        -3.277228238067e+00,        -3.196020009415e+01
 2.40020000e+00,        -3.277409344674e+00,        -3.196100592994e+01
 2.40022500e+00,        -3.277590501970e+00,        -3.196181188348e+01
 2.40025000e+00,        -3.277771710030e+00,        -3.196261795498e+01
 2.40027500e+00,        -3.277952968931e+00,        -3.196342414460e+01
 2.40030000e+00,        -3.278134278748e+00,        -3.196423045254e+01
 2.40032500e+00,        -3.278315639556e+00,        -3.196503687898e+01
 2.40035000e+00,        -3.278497051431e+00,        -3.196584342411e+01
 2.40037500e+00,        -3.278678514449e+00,        -3.196665008812e+01
 2.40040000e+00,        -3.278860028687e+00,        -3.196745687119e+01
 2.40042500e+00,        -3.279041594221e+00,        -3.196826377352e+01
 2.40045000e+00,        -3.279223211128e+00,        -3.196907079529e+01
 2.40047500e+00,        -3.279404879484e+00,        -3.196987793669e+01
 2.40050000e+00,        -3.279586599367e+00,        -3.197068519792e+01
 2.40052500e+00,        -3.279768370854e+00,        -3.197149257916e+01
 2.40055000e+00,        -3.279950194023e+00,        -3.197230008061e+01
 2.40057500e+00,        -3.280132068950e+00,        -3.197310770245e+01
 2.40060000e+00,        -3.280313995715e+00,        -3.197391544488e+01
 2.40062500e+00,        -3.280495974394e+00,        -3.197472330809e+01
 2.40065000e+00,        -3.280678005067e+00,        -3.197553129228e+01
 2.40067500e+00,        -3.280860087811e+00,        -3.197633939763e+01
