        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.118561845309e+01,        -2.566521794741e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.118549677016e+01,        -2.566526194594e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.118537506073e+01,        -2.566530586186e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.118525332475e+01,        -2.566534969506e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.118513156217e+01,        -2.566539344547e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.118500977295e+01,        -2.566543711297e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.118488795706e+01,        -2.566548069748e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.118476611446e+01,        -2.566552419890e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.118464424509e+01,        -2.566556761713e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.118452234893e+01,        -2.566561095208e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.118440042592e+01,        -2.566565420364e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.118427847603e+01,        -2.566569737174e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.118415649921e+01,        -2.566574045625e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.118403449542e+01,        -2.566578345710e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.118391246462e+01,        -2.566582637418e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.118379040677e+01,        -2.566586920739e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.118366832183e+01,        -2.566591195664e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.118354620974e+01,        -2.566595462183e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.118342407048e+01,        -2.566599720286e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.118330190399e+01,        -2.566603969962e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.118317971024e+01,        -2.566608211203e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.118305748917e+01,        -2.566612443998e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.118293524076e+01,        -2.566616668337e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.118281296495e+01,        -2.566620884211e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.118269066169e+01,        -2.566625091609e+00
