        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +5.533194869860e-11,        +3.071620277571e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.803114594825e-16,        +5.065996518745e-06,        +2.794029069292e-15,        +9.096271077821e-05,        +5.402976267657e-11,        +9.764659287690e-01,        +2.949300508768e-11,        +9.601774445571e-01,        +3.198984684368e-13,        +5.781442294385e-03,        +2.797741636031e-13,        +9.108357750012e-03,        +3.268049540342e-13,        +5.906261422572e-03,        +3.157997619403e-13,        +1.028121100275e-02,        +3.271148348227e-13,        +5.911861817926e-03,        +3.159903793728e-13,        +1.028741676437e-02,        +3.196719634742e-13,        +5.777348728769e-03,        +2.796058213294e-13,        +9.102877180851e-03
 2.30020000e+00,        +5.534763396654e-11,        +3.073258328166e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.819440948150e-16,        +5.094058672597e-06,        +2.809480092704e-15,        +9.141698460408e-05,        +5.404365872472e-11,        +9.764402712750e-01,        +2.950760333916e-11,        +9.601406776880e-01,        +3.203097440267e-13,        +5.787234630850e-03,        +2.800849519266e-13,        +9.113615648889e-03,        +3.272659065201e-13,        +5.912915929125e-03,        +3.163082406313e-13,        +1.029227636780e-02,        +3.275778792311e-13,        +5.918552533414e-03,        +3.164998142269e-13,        +1.029850993410e-02,        +3.200816744591e-13,        +5.783113956644e-03,        +2.799156523140e-13,        +9.108106850263e-03
 2.30040000e+00,        +5.536334758915e-11,        +3.074899361302e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.835928437581e-16,        +5.122393354221e-06,        +2.825077567576e-15,        +9.187544812459e-05,        +5.405756348436e-11,        +9.764142855941e-01,        +2.952221300837e-11,        +9.601033900463e-01,        +3.207266127078e-13,        +5.793121743430e-03,        +2.804001532675e-13,        +9.119002618311e-03,        +3.277308871845e-13,        +5.919636392232e-03,        +3.168209572107e-13,        +1.030345777159e-02,        +3.280449710013e-13,        +5.925309528529e-03,        +3.170134931382e-13,        +1.030971930750e-02,        +3.204969631078e-13,        +5.788973699462e-03,        +2.802298885565e-13,        +9.113465373316e-03
 2.30060000e+00,        +5.537908979325e-11,        +3.076543400055e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.852579079824e-16,        +5.151003908647e-06,        +2.840823310852e-15,        +9.233815166728e-05,        +5.407147696397e-11,        +9.763879681995e-01,        +2.953683412385e-11,        +9.600655762999e-01,        +3.211491534237e-13,        +5.799104944171e-03,        +2.807198309724e-13,        +9.124520426639e-03,        +3.281999238708e-13,        +5.926423223929e-03,        +3.173379433881e-13,        +1.031475594924e-02,        +3.285161382312e-13,        +5.932133219555e-03,        +3.175314478780e-13,        +1.032104562128e-02,        +3.209179081565e-13,        +5.794929265805e-03,        +2.805485933177e-13,        +9.118954516057e-03
 2.30080000e+00,        +5.539486080911e-11,        +3.078190467854e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.869394918188e-16,        +5.179893723491e-06,        +2.856719164019e-15,        +9.280514620040e-05,        +5.408539917193e-11,        +9.763613155074e-01,        +2.955146671439e-11,        +9.600272310307e-01,        +3.215774466717e-13,        +5.805185570911e-03,        +2.810440497082e-13,        +9.130170879390e-03,        +3.286730446119e-13,        +5.933276838523e-03,        +3.178592311127e-13,        +1.032617163987e-02,        +3.289914092124e-13,        +5.939024025101e-03,        +3.180537104573e-13,        +1.033248961618e-02,        +3.213445898918e-13,        +5.800981989992e-03,        +2.808718311781e-13,        +9.124576081671e-03
 2.30100000e+00,        +5.541066087056e-11,        +3.079840588485e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.886378022833e-16,        +5.209066229287e-06,        +2.872766993363e-15,        +9.327648333827e-05,        +5.409933011658e-11,        +9.763343238760e-01,        +2.956611080899e-11,        +9.599883487327e-01,        +3.220115745340e-13,        +5.811364987800e-03,        +2.813728754914e-13,        +9.135955820033e-03,        +3.291502776268e-13,        +5.940197652502e-03,        +3.183848525695e-13,        +1.033770558645e-02,        +3.294708124252e-13,        +5.945982366008e-03,        +3.185803131229e-13,        +1.034405203679e-02,        +3.217770901822e-13,        +5.807133232608e-03,        +2.811996680667e-13,        +9.130331911271e-03
 2.30120000e+00,        +5.542649021500e-11,        +3.081493786094e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.903530491007e-16,        +5.238524899815e-06,        +2.888968690224e-15,        +9.375221534638e-05,        +5.411326980617e-11,        +9.763069896047e-01,        +2.958076643692e-11,        +9.599489238114e-01,        +3.224516207113e-13,        +5.817644585838e-03,        +2.817063757180e-13,        +9.141877130802e-03,        +3.296316513159e-13,        +5.947186084437e-03,        +3.189148401754e-13,        +1.034935853561e-02,        +3.299543765347e-13,        +5.953008665256e-03,        +3.191112883537e-13,        +1.035573363132e-02,        +3.222154925116e-13,        +5.813384381037e-03,        +2.815321712910e-13,        +9.136223884713e-03
 2.30140000e+00,        +5.544234908352e-11,        +3.083150085195e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.920854447276e-16,        +5.268273252413e-06,        +2.905326171237e-15,        +9.423239514639e-05,        +5.412721824888e-11,        +9.762793089331e-01,        +2.959543362767e-11,        +9.599089505823e-01,        +3.228976705558e-13,        +5.824025783420e-03,        +2.820446191931e-13,        +9.147936733521e-03,        +3.301171942558e-13,        +5.954242554884e-03,        +3.194492265749e-13,        +1.036113123746e-02,        +3.304421303860e-13,        +5.960103347863e-03,        +3.196466688560e-13,        +1.036753515150e-02,        +3.226598820122e-13,        +5.819736850005e-03,        +2.818694095671e-13,        +9.142253921425e-03
 2.30160000e+00,        +5.545823772086e-11,        +3.084809510675e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.938352043754e-16,        +5.298314848272e-06,        +2.921841378578e-15,        +9.471707632083e-05,        +5.414117545284e-11,        +9.762512780401e-01,        +2.961011241098e-11,        +9.598684232692e-01,        +3.233498111051e-13,        +5.830510026889e-03,        +2.823876761626e-13,        +9.154136590456e-03,        +3.306069351949e-13,        +5.961367486269e-03,        +3.199880446352e-13,        +1.037302444536e-02,        +3.309341029991e-13,        +5.967266840768e-03,        +3.201864875591e-13,        +1.037945735226e-02,        +3.231103454983e-13,        +5.826192082133e-03,        +2.822114530506e-13,        +9.148423981254e-03
 2.30180000e+00,        +5.547415637556e-11,        +3.086472087801e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +2.956025460316e-16,        +5.328653292723e-06,        +2.938516280204e-15,        +9.520631311775e-05,        +5.415514142608e-11,        +9.762228930432e-01,        +2.962480281683e-11,        +9.598273360036e-01,        +3.238081311173e-13,        +5.837098791104e-03,        +2.827356183441e-13,        +9.160478705173e-03,        +3.311009030472e-13,        +5.968561302775e-03,        +3.205313274416e-13,        +1.038503891574e-02,        +3.314303235632e-13,        +5.974499572728e-03,        +3.207307776103e-13,        +1.039150099164e-02,        +3.235669715018e-13,        +5.832751548509e-03,        +2.825583733681e-13,        +9.154736065327e-03
