        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.30000000e+00,        +1.414213562373e-01,        +2.316860276630e-01,        -5.026703781148e-02
 2.30020000e+00,        +1.414213562373e-01,        +2.316720662123e-01,        -5.026997033273e-02
 2.30040000e+00,        +1.414213562373e-01,        +2.316580991796e-01,        -5.027289958541e-02
 2.30060000e+00,        +1.414213562373e-01,        +2.316441265643e-01,        -5.027582556057e-02
 2.30080000e+00,        +1.414213562373e-01,        +2.316301483656e-01,        -5.027874824921e-02
 2.30100000e+00,        +1.414213562373e-01,        +2.316161645831e-01,        -5.028166764229e-02
 2.30120000e+00,        +1.414213562373e-01,        +2.316021752165e-01,        -5.028458373068e-02
 2.30140000e+00,        +1.414213562373e-01,        +2.315881802655e-01,        -5.028749650522e-02
 2.30160000e+00,        +1.414213562373e-01,        +2.315741797300e-01,        -5.029040595668e-02
 2.30180000e+00,        +1.414213562373e-01,        +2.315601736099e-01,        -5.029331207577e-02
 2.30200000e+00,        +1.414213562373e-01,        +2.315461619053e-01,        -5.029621485315e-02
 2.30220000e+00,        +1.414213562373e-01,        +2.315321446166e-01,        -5.029911427943e-02
 2.30240000e+00,        +1.414213562373e-01,        +2.315181217440e-01,        -5.030201034514e-02
 2.30260000e+00,        +1.414213562373e-01,        +2.315040932880e-01,        -5.030490304079e-02
 2.30280000e+00,        +1.414213562373e-01,        +2.314900592493e-01,        -5.030779235680e-02
 2.30300000e+00,        +1.414213562373e-01,        +2.314760196287e-01,        -5.031067828356e-02
 2.30320000e+00,        +1.414213562373e-01,        +2.314619744271e-01,        -5.031356081139e-02
 2.30340000e+00,        +1.414213562373e-01,        +2.314479236455e-01,        -5.031643993056e-02
 2.30360000e+00,        +1.414213562373e-01,        +2.314338672853e-01,        -5.031931563130e-02
 2.30380000e+00,        +1.414213562373e-01,        +2.314198053477e-01,        -5.032218790378e-02
 2.30400000e+00,        +1.414213562373e-01,        +2.314057378344e-01,        -5.032505673811e-02
 2.30420000e+00,        +1.414213562373e-01,        +2.313916647470e-01,        -5.032792212437e-02
 2.30440000e+00,        +1.414213562373e-01,        +2.313775860874e-01,        -5.033078405257e-02
 2.30460000e+00,        +1.414213562373e-01,        +2.313635018578e-01,        -5.033364251269e-02
 2.30480000e+00,        +1.414213562373e-01,        +2.313494120602e-01,        -5.033649749466e-02
 2.30500000e+00,        +1.414213562373e-01,        +2.313353166973e-01,        -5.033934898835e-02
 2.30520000e+00,        +1.414213562373e-01,        +2.313212157715e-01,        -5.034219698360e-02
 2.30540000e+00,        +1.414213562373e-01,        +2.313071092857e-01,        -5.034504147022e-02
 2.30560000e+00,        +1.414213562373e-01,        +2.312929972429e-01,        -5.034788243795e-02
 2.30580000e+00,        +1.414213562373e-01,        +2.312788796463e-01,        -5.035071987653e-02
 2.30600000e+00,        +1.414213562373e-01,        +2.312647564993e-01,        -5.035355377562e-02
 2.30620000e+00,        +1.414213562373e-01,        +2.312506278056e-01,        -5.035638412488e-02
 2.30640000e+00,        +1.414213562373e-01,        +2.312364935691e-01,        -5.035921091393e-02
 2.30660000e+00,        +1.414213562373e-01,        +2.312223537937e-01,        -5.036203413235e-02
 2.30680000e+00,        +1.414213562373e-01,        +2.312082084839e-01,        -5.036485376971e-02
 2.30700000e+00,        +1.414213562373e-01,        +2.311940576442e-01,        -5.036766981554e-02
 2.30720000e+00,        +1.414213562373e-01,        +2.311799012794e-01,        -5.037048225936e-02
 2.30740000e+00,        +1.414213562373e-01,        +2.311657393946e-01,        -5.037329109067e-02
 2.30760000e+00,        +1.414213562373e-01,        +2.311515719950e-01,        -5.037609629894e-02
 2.30780000e+00,        +1.414213562373e-01,        +2.311373990863e-01,        -5.037889787366e-02
 2.30800000e+00,        +1.414213562373e-01,        +2.311232206742e-01,        -5.038169580429e-02
 2.30820000e+00,        +1.414213562373e-01,        +2.311090367650e-01,        -5.038449008029e-02
 2.30840000e+00,        +1.414213562373e-01,        +2.310948473650e-01,        -5.038728069112e-02
 2.30860000e+00,        +1.414213562373e-01,        +2.310806524810e-01,        -5.039006762625e-02
 2.30880000e+00,        +1.414213562373e-01,        +2.310664521199e-01,        -5.039285087516e-02
 2.30900000e+00,        +1.414213562373e-01,        +2.310522462890e-01,        -5.039563042734e-02
 2.30920000e+00,        +1.414213562373e-01,        +2.310380349959e-01,        -5.039840627230e-02
 2.30940000e+00,        +1.414213562373e-01,        +2.310238182487e-01,        -5.040117839958e-02
 2.30960000e+00,        +1.414213562373e-01,        +2.310095960555e-01,        -5.040394679875e-02
 2.30980000e+00,        +1.414213562373e-01,        +2.309953684250e-01,        -5.040671145941e-02
 2.31000000e+00,        +1.414213562373e-01,        +2.309811353661e-01,        -5.040947237122e-02
 2.31020000e+00,        +1.414213562373e-01,        +2.309668968881e-01,        -5.041222952388e-02
 2.31040000e+00,        +1.414213562373e-01,        +2.309526530007e-01,        -5.041498290714e-02
 2.31060000e+00,        +1.414213562373e-01,        +2.309384037139e-01,        -5.041773251083e-02
 2.31080000e+00,        +1.414213562373e-01,        +2.309241490381e-01,        -5.042047832485e-02
 2.31100000e+00,        +1.414213562373e-01,        +2.309098889842e-01,        -5.042322033917e-02
 2.31120000e+00,        +1.414213562373e-01,        +2.308956235632e-01,        -5.042595854387e-02
 2.31140000e+00,        +1.414213562373e-01,        +2.308813527869e-01,        -5.042869292911e-02
 2.31160000e+00,        +1.414213562373e-01,        +2.308670766671e-01,        -5.043142348517e-02
 2.31180000e+00,        +1.414213562373e-01,        +2.308527952164e-01,        -5.043415020245e-02
 2.31200000e+00,        +1.414213562373e-01,        +2.308385084476e-01,        -5.043687307148e-02
 2.31220000e+00,        +1.414213562373e-01,        +2.308242163740e-01,        -5.043959208292e-02
 2.31240000e+00,        +1.414213562373e-01,        +2.308099190093e-01,        -5.044230722760e-02
 2.31260000e+00,        +1.414213562373e-01,        +2.307956163678e-01,        -5.044501849649e-02
 2.31280000e+00,        +1.414213562373e-01,        +2.307813084641e-01,        -5.044772588078e-02
 2.31300000e+00,        +1.414213562373e-01,        +2.307669953134e-01,        -5.045042937181e-02
 2.31320000e+00,        +1.414213562373e-01,        +2.307526769312e-01,        -5.045312896114e-02
 2.31340000e+00,        +1.414213562373e-01,        +2.307383533339e-01,        -5.045582464056e-02
 2.31360000e+00,        +1.414213562373e-01,        +2.307240245379e-01,        -5.045851640208e-02
 2.31380000e+00,        +1.414213562373e-01,        +2.307096905604e-01,        -5.046120423797e-02
 2.31400000e+00,        +1.414213562373e-01,        +2.306953514192e-01,        -5.046388814078e-02
 2.31420000e+00,        +1.414213562373e-01,        +2.306810071324e-01,        -5.046656810332e-02
 2.31440000e+00,        +1.414213562373e-01,        +2.306666577187e-01,        -5.046924411872e-02
 2.31460000e+00,        +1.414213562373e-01,        +2.306523031975e-01,        -5.047191618044e-02
