        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -2.726830237834e+00,        -2.911277600300e+01
 2.30020000e+00,        -2.727735754587e+00,        -2.911796429629e+01
 2.30040000e+00,        -2.728641838308e+00,        -2.912315359458e+01
 2.30060000e+00,        -2.729548489562e+00,        -2.912834389493e+01
 2.30080000e+00,        -2.730455708910e+00,        -2.913353519434e+01
 2.30100000e+00,        -2.731363496907e+00,        -2.913872748975e+01
 2.30120000e+00,        -2.732271854103e+00,        -2.914392077805e+01
 2.30140000e+00,        -2.733180781043e+00,        -2.914911505608e+01
 2.30160000e+00,        -2.734090278266e+00,        -2.915431032060e+01
 2.30180000e+00,        -2.735000346305e+00,        -2.915950656832e+01
 2.30200000e+00,        -2.735910985687e+00,        -2.916470379589e+01
 2.30220000e+00,        -2.736822196931e+00,        -2.916990199990e+01
 2.30240000e+00,        -2.737733980551e+00,        -2.917510117686e+01
 2.30260000e+00,        -2.738646337052e+00,        -2.918030132324e+01
 2.30280000e+00,        -2.739559266934e+00,        -2.918550243544e+01
 2.30300000e+00,        -2.740472770688e+00,        -2.919070450978e+01
 2.30320000e+00,        -2.741386848797e+00,        -2.919590754252e+01
 2.30340000e+00,        -2.742301501736e+00,        -2.920111152987e+01
 2.30360000e+00,        -2.743216729970e+00,        -2.920631646795e+01
 2.30380000e+00,        -2.744132533958e+00,        -2.921152235282e+01
 2.30400000e+00,        -2.745048914146e+00,        -2.921672918048e+01
 2.30420000e+00,        -2.745965870974e+00,        -2.922193694684e+01
 2.30440000e+00,        -2.746883404870e+00,        -2.922714564776e+01
 2.30460000e+00,        -2.747801516251e+00,        -2.923235527902e+01
 2.30480000e+00,        -2.748720205525e+00,        -2.923756583632e+01
 2.30500000e+00,        -2.749639473087e+00,        -2.924277731531e+01
 2.30520000e+00,        -2.750559319321e+00,        -2.924798971153e+01
 2.30540000e+00,        -2.751479744601e+00,        -2.925320302048e+01
 2.30560000e+00,        -2.752400749285e+00,        -2.925841723757e+01
 2.30580000e+00,        -2.753322333719e+00,        -2.926363235814e+01
 2.30600000e+00,        -2.754244498238e+00,        -2.926884837745e+01
 2.30620000e+00,        -2.755167243161e+00,        -2.927406529068e+01
 2.30640000e+00,        -2.756090568791e+00,        -2.927928309294e+01
 2.30660000e+00,        -2.757014475420e+00,        -2.928450177926e+01
 2.30680000e+00,        -2.757938963320e+00,        -2.928972134460e+01
 2.30700000e+00,        -2.758864032751e+00,        -2.929494178382e+01
 2.30720000e+00,        -2.759789683955e+00,        -2.930016309173e+01
 2.30740000e+00,        -2.760715917154e+00,        -2.930538526304e+01
 2.30760000e+00,        -2.761642732556e+00,        -2.931060829238e+01
 2.30780000e+00,        -2.762570130350e+00,        -2.931583217433e+01
 2.30800000e+00,        -2.763498110702e+00,        -2.932105690334e+01
 2.30820000e+00,        -2.764426673764e+00,        -2.932628247384e+01
 2.30840000e+00,        -2.765355819663e+00,        -2.933150888012e+01
 2.30860000e+00,        -2.766285548506e+00,        -2.933673611645e+01
 2.30880000e+00,        -2.767215860380e+00,        -2.934196417697e+01
 2.30900000e+00,        -2.768146755347e+00,        -2.934719305577e+01
 2.30920000e+00,        -2.769078233446e+00,        -2.935242274686e+01
 2.30940000e+00,        -2.770010294694e+00,        -2.935765324416e+01
 2.30960000e+00,        -2.770942939079e+00,        -2.936288454152e+01
 2.30980000e+00,        -2.771876166566e+00,        -2.936811663271e+01
 2.31000000e+00,        -2.772809977092e+00,        -2.937334951144e+01
 2.31020000e+00,        -2.773744370568e+00,        -2.937858317132e+01
 2.31040000e+00,        -2.774679346875e+00,        -2.938381760590e+01
 2.31060000e+00,        -2.775614905864e+00,        -2.938905280866e+01
 2.31080000e+00,        -2.776551047357e+00,        -2.939428877301e+01
 2.31100000e+00,        -2.777487771144e+00,        -2.939952549227e+01
 2.31120000e+00,        -2.778425076982e+00,        -2.940476295971e+01
 2.31140000e+00,        -2.779362964595e+00,        -2.941000116854e+01
 2.31160000e+00,        -2.780301433673e+00,        -2.941524011190e+01
 2.31180000e+00,        -2.781240483870e+00,        -2.942047978285e+01
 2.31200000e+00,        -2.782180114801e+00,        -2.942572017442e+01
 2.31220000e+00,        -2.783120326046e+00,        -2.943096127957e+01
 2.31240000e+00,        -2.784061117146e+00,        -2.943620309121e+01
 2.31260000e+00,        -2.785002487599e+00,        -2.944144560220e+01
 2.31280000e+00,        -2.785944436863e+00,        -2.944668880534e+01
 2.31300000e+00,        -2.786886964354e+00,        -2.945193269340e+01
 2.31320000e+00,        -2.787830069442e+00,        -2.945717725913e+01
 2.31340000e+00,        -2.788773751454e+00,        -2.946242249521e+01
 2.31360000e+00,        -2.789718009666e+00,        -2.946766839432e+01
 2.31380000e+00,        -2.790662843311e+00,        -2.947291494909e+01
 2.31400000e+00,        -2.791608251568e+00,        -2.947816215216e+01
 2.31420000e+00,        -2.792554233569e+00,        -2.948340999613e+01
 2.31440000e+00,        -2.793500788389e+00,        -2.948865847363e+01
 2.31460000e+00,        -2.794447915053e+00,        -2.949390757724e+01
 2.31480000e+00,        -2.795395612528e+00,        -2.949915729959e+01
 2.31500000e+00,        -2.796343879725e+00,        -2.950440763331e+01
 2.31520000e+00,        -2.797292715497e+00,        -2.950965857106e+01
 2.31540000e+00,        -2.798242118636e+00,        -2.951491010551e+01
 2.31560000e+00,        -2.799192087871e+00,        -2.952016222941e+01
 2.31580000e+00,        -2.800142621871e+00,        -2.952541493552e+01
 2.31600000e+00,        -2.801093719237e+00,        -2.953066821668e+01
 2.31620000e+00,        -2.802045378504e+00,        -2.953592206582e+01
 2.31640000e+00,        -2.802997598139e+00,        -2.954117647592e+01
 2.31660000e+00,        -2.803950376540e+00,        -2.954643144009e+01
 2.31680000e+00,        -2.804903712031e+00,        -2.955168695152e+01
 2.31700000e+00,        -2.805857602864e+00,        -2.955694300353e+01
 2.31720000e+00,        -2.806812047216e+00,        -2.956219958960e+01
 2.31740000e+00,        -2.807767043187e+00,        -2.956745670334e+01
 2.31760000e+00,        -2.808722588799e+00,        -2.957271433853e+01
 2.31780000e+00,        -2.809678681992e+00,        -2.957797248914e+01
 2.31800000e+00,        -2.810635320626e+00,        -2.958323114936e+01
 2.31820000e+00,        -2.811592502477e+00,        -2.958849031357e+01
 2.31840000e+00,        -2.812550225237e+00,        -2.959374997641e+01
 2.31860000e+00,        -2.813508486509e+00,        -2.959901013279e+01
 2.31880000e+00,        -2.814467283809e+00,        -2.960427077789e+01
 2.31900000e+00,        -2.815426614563e+00,        -2.960953190720e+01
 2.31920000e+00,        -2.816386476107e+00,        -2.961479351655e+01
 2.31940000e+00,        -2.817346865683e+00,        -2.962005560213e+01
 2.31960000e+00,        -2.818307780439e+00,        -2.962531816048e+01
 2.31980000e+00,        -2.819269217429e+00,        -2.963058118858e+01
 2.32000000e+00,        -2.820231173608e+00,        -2.963584468385e+01
 2.32020000e+00,        -2.821193645837e+00,        -2.964110864415e+01
 2.32040000e+00,        -2.822156630876e+00,        -2.964637306786e+01
 2.32060000e+00,        -2.823120125385e+00,        -2.965163795388e+01
 2.32080000e+00,        -2.824084125927e+00,        -2.965690330169e+01
 2.32100000e+00,        -2.825048628962e+00,        -2.966216911134e+01
 2.32120000e+00,        -2.826013630848e+00,        -2.966743538354e+01
