        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.158430138315e+01,        -2.513351890574e+00
 2.30020000e+00,        +7.071067811865e+00,        +1.158360331062e+01,        -2.513498516636e+00
 2.30040000e+00,        +7.071067811865e+00,        +1.158290495898e+01,        -2.513644979270e+00
 2.30060000e+00,        +7.071067811865e+00,        +1.158220632821e+01,        -2.513791278028e+00
 2.30080000e+00,        +7.071067811865e+00,        +1.158150741828e+01,        -2.513937412461e+00
 2.30100000e+00,        +7.071067811865e+00,        +1.158080822916e+01,        -2.514083382114e+00
 2.30120000e+00,        +7.071067811865e+00,        +1.158010876083e+01,        -2.514229186534e+00
 2.30140000e+00,        +7.071067811865e+00,        +1.157940901328e+01,        -2.514374825261e+00
 2.30160000e+00,        +7.071067811865e+00,        +1.157870898650e+01,        -2.514520297834e+00
 2.30180000e+00,        +7.071067811865e+00,        +1.157800868049e+01,        -2.514665603789e+00
 2.30200000e+00,        +7.071067811865e+00,        +1.157730809527e+01,        -2.514810742658e+00
 2.30220000e+00,        +7.071067811865e+00,        +1.157660723083e+01,        -2.514955713971e+00
 2.30240000e+00,        +7.071067811865e+00,        +1.157590608720e+01,        -2.515100517257e+00
 2.30260000e+00,        +7.071067811865e+00,        +1.157520466440e+01,        -2.515245152040e+00
 2.30280000e+00,        +7.071067811865e+00,        +1.157450296247e+01,        -2.515389617840e+00
 2.30300000e+00,        +7.071067811865e+00,        +1.157380098143e+01,        -2.515533914178e+00
 2.30320000e+00,        +7.071067811865e+00,        +1.157309872135e+01,        -2.515678040569e+00
 2.30340000e+00,        +7.071067811865e+00,        +1.157239618228e+01,        -2.515821996528e+00
 2.30360000e+00,        +7.071067811865e+00,        +1.157169336426e+01,        -2.515965781565e+00
 2.30380000e+00,        +7.071067811865e+00,        +1.157099026738e+01,        -2.516109395189e+00
 2.30400000e+00,        +7.071067811865e+00,        +1.157028689172e+01,        -2.516252836906e+00
 2.30420000e+00,        +7.071067811865e+00,        +1.156958323735e+01,        -2.516396106219e+00
 2.30440000e+00,        +7.071067811865e+00,        +1.156887930437e+01,        -2.516539202629e+00
 2.30460000e+00,        +7.071067811865e+00,        +1.156817509289e+01,        -2.516682125635e+00
 2.30480000e+00,        +7.071067811865e+00,        +1.156747060301e+01,        -2.516824874733e+00
 2.30500000e+00,        +7.071067811865e+00,        +1.156676583486e+01,        -2.516967449417e+00
 2.30520000e+00,        +7.071067811865e+00,        +1.156606078857e+01,        -2.517109849180e+00
 2.30540000e+00,        +7.071067811865e+00,        +1.156535546428e+01,        -2.517252073511e+00
 2.30560000e+00,        +7.071067811865e+00,        +1.156464986214e+01,        -2.517394121898e+00
 2.30580000e+00,        +7.071067811865e+00,        +1.156394398231e+01,        -2.517535993826e+00
 2.30600000e+00,        +7.071067811865e+00,        +1.156323782497e+01,        -2.517677688781e+00
 2.30620000e+00,        +7.071067811865e+00,        +1.156253139028e+01,        -2.517819206244e+00
 2.30640000e+00,        +7.071067811865e+00,        +1.156182467845e+01,        -2.517960545697e+00
 2.30660000e+00,        +7.071067811865e+00,        +1.156111768969e+01,        -2.518101706618e+00
 2.30680000e+00,        +7.071067811865e+00,        +1.156041042420e+01,        -2.518242688486e+00
 2.30700000e+00,        +7.071067811865e+00,        +1.155970288221e+01,        -2.518383490777e+00
 2.30720000e+00,        +7.071067811865e+00,        +1.155899506397e+01,        -2.518524112968e+00
 2.30740000e+00,        +7.071067811865e+00,        +1.155828696973e+01,        -2.518664554533e+00
 2.30760000e+00,        +7.071067811865e+00,        +1.155757859975e+01,        -2.518804814947e+00
 2.30780000e+00,        +7.071067811865e+00,        +1.155686995431e+01,        -2.518944893683e+00
 2.30800000e+00,        +7.071067811865e+00,        +1.155616103371e+01,        -2.519084790215e+00
 2.30820000e+00,        +7.071067811865e+00,        +1.155545183825e+01,        -2.519224504014e+00
 2.30840000e+00,        +7.071067811865e+00,        +1.155474236825e+01,        -2.519364034556e+00
 2.30860000e+00,        +7.071067811865e+00,        +1.155403262405e+01,        -2.519503381313e+00
 2.30880000e+00,        +7.071067811865e+00,        +1.155332260599e+01,        -2.519642543758e+00
 2.30900000e+00,        +7.071067811865e+00,        +1.155261231445e+01,        -2.519781521367e+00
 2.30920000e+00,        +7.071067811865e+00,        +1.155190174980e+01,        -2.519920313615e+00
 2.30940000e+00,        +7.071067811865e+00,        +1.155119091244e+01,        -2.520058919979e+00
 2.30960000e+00,        +7.071067811865e+00,        +1.155047980278e+01,        -2.520197339937e+00
 2.30980000e+00,        +7.071067811865e+00,        +1.154976842125e+01,        -2.520335572971e+00
 2.31000000e+00,        +7.071067811865e+00,        +1.154905676831e+01,        -2.520473618561e+00
 2.31020000e+00,        +7.071067811865e+00,        +1.154834484441e+01,        -2.520611476194e+00
 2.31040000e+00,        +7.071067811865e+00,        +1.154763265004e+01,        -2.520749145357e+00
 2.31060000e+00,        +7.071067811865e+00,        +1.154692018570e+01,        -2.520886625542e+00
 2.31080000e+00,        +7.071067811865e+00,        +1.154620745191e+01,        -2.521023916242e+00
 2.31100000e+00,        +7.071067811865e+00,        +1.154549444921e+01,        -2.521161016959e+00
 2.31120000e+00,        +7.071067811865e+00,        +1.154478117816e+01,        -2.521297927193e+00
 2.31140000e+00,        +7.071067811865e+00,        +1.154406763934e+01,        -2.521434646455e+00
 2.31160000e+00,        +7.071067811865e+00,        +1.154335383336e+01,        -2.521571174259e+00
 2.31180000e+00,        +7.071067811865e+00,        +1.154263976082e+01,        -2.521707510123e+00
 2.31200000e+00,        +7.071067811865e+00,        +1.154192542238e+01,        -2.521843653574e+00
 2.31220000e+00,        +7.071067811865e+00,        +1.154121081870e+01,        -2.521979604146e+00
 2.31240000e+00,        +7.071067811865e+00,        +1.154049595047e+01,        -2.522115361380e+00
 2.31260000e+00,        +7.071067811865e+00,        +1.153978081839e+01,        -2.522250924825e+00
 2.31280000e+00,        +7.071067811865e+00,        +1.153906542320e+01,        -2.522386294039e+00
 2.31300000e+00,        +7.071067811865e+00,        +1.153834976567e+01,        -2.522521468590e+00
 2.31320000e+00,        +7.071067811865e+00,        +1.153763384656e+01,        -2.522656448057e+00
 2.31340000e+00,        +7.071067811865e+00,        +1.153691766669e+01,        -2.522791232028e+00
 2.31360000e+00,        +7.071067811865e+00,        +1.153620122689e+01,        -2.522925820104e+00
 2.31380000e+00,        +7.071067811865e+00,        +1.153548452802e+01,        -2.523060211899e+00
 2.31400000e+00,        +7.071067811865e+00,        +1.153476757096e+01,        -2.523194407039e+00
 2.31420000e+00,        +7.071067811865e+00,        +1.153405035662e+01,        -2.523328405166e+00
 2.31440000e+00,        +7.071067811865e+00,        +1.153333288594e+01,        -2.523462205936e+00
 2.31460000e+00,        +7.071067811865e+00,        +1.153261515987e+01,        -2.523595809022e+00
 2.31480000e+00,        +7.071067811865e+00,        +1.153189717943e+01,        -2.523729214113e+00
 2.31500000e+00,        +7.071067811865e+00,        +1.153117894562e+01,        -2.523862420919e+00
 2.31520000e+00,        +7.071067811865e+00,        +1.153046045950e+01,        -2.523995429165e+00
 2.31540000e+00,        +7.071067811865e+00,        +1.152974172215e+01,        -2.524128238601e+00
 2.31560000e+00,        +7.071067811865e+00,        +1.152902273467e+01,        -2.524260848995e+00
 2.31580000e+00,        +7.071067811865e+00,        +1.152830349821e+01,        -2.524393260140e+00
 2.31600000e+00,        +7.071067811865e+00,        +1.152758401392e+01,        -2.524525471853e+00
 2.31620000e+00,        +7.071067811865e+00,        +1.152686428303e+01,        -2.524657483976e+00
 2.31640000e+00,        +7.071067811865e+00,        +1.152614430674e+01,        -2.524789296377e+00
 2.31660000e+00,        +7.071067811865e+00,        +1.152542408633e+01,        -2.524920908955e+00
 2.31680000e+00,        +7.071067811865e+00,        +1.152470362309e+01,        -2.525052321635e+00
 2.31700000e+00,        +7.071067811865e+00,        +1.152398291834e+01,        -2.525183534378e+00
 2.31720000e+00,        +7.071067811865e+00,        +1.152326197345e+01,        -2.525314547174e+00
 2.31740000e+00,        +7.071067811865e+00,        +1.152254078980e+01,        -2.525445360050e+00
 2.31760000e+00,        +7.071067811865e+00,        +1.152181936881e+01,        -2.525575973068e+00
 2.31780000e+00,        +7.071067811865e+00,        +1.152109771193e+01,        -2.525706386330e+00
 2.31800000e+00,        +7.071067811865e+00,        +1.152037582066e+01,        -2.525836599976e+00
