        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -2.282558870483e+00,        -2.855205454147e+01
 2.40002500e+00,        -2.282633436710e+00,        -2.855262223171e+01
 2.40005000e+00,        -2.282708016501e+00,        -2.855318997777e+01
 2.40007500e+00,        -2.282782609877e+00,        -2.855375777973e+01
 2.40010000e+00,        -2.282857216856e+00,        -2.855432563767e+01
 2.40012500e+00,        -2.282931837458e+00,        -2.855489355167e+01
 2.40015000e+00,        -2.283006471703e+00,        -2.855546152180e+01
 2.40017500e+00,        -2.283081119611e+00,        -2.855602954815e+01
 2.40020000e+00,        -2.283155781201e+00,        -2.855659763080e+01
 2.40022500e+00,        -2.283230456494e+00,        -2.855716576984e+01
 2.40025000e+00,        -2.283305145509e+00,        -2.855773396533e+01
 2.40027500e+00,        -2.283379848266e+00,        -2.855830221736e+01
 2.40030000e+00,        -2.283454564786e+00,        -2.855887052602e+01
 2.40032500e+00,        -2.283529295088e+00,        -2.855943889138e+01
 2.40035000e+00,        -2.283604039192e+00,        -2.856000731353e+01
 2.40037500e+00,        -2.283678797119e+00,        -2.856057579255e+01
 2.40040000e+00,        -2.283753568888e+00,        -2.856114432852e+01
 2.40042500e+00,        -2.283828354520e+00,        -2.856171292152e+01
 2.40045000e+00,        -2.283903154036e+00,        -2.856228157164e+01
 2.40047500e+00,        -2.283977967456e+00,        -2.856285027895e+01
 2.40050000e+00,        -2.284052794799e+00,        -2.856341904355e+01
 2.40052500e+00,        -2.284127636088e+00,        -2.856398786551e+01
 2.40055000e+00,        -2.284202491341e+00,        -2.856455674492e+01
 2.40057500e+00,        -2.284277360580e+00,        -2.856512568186e+01
 2.40060000e+00,        -2.284352243825e+00,        -2.856569467641e+01
 2.40062500e+00,        -2.284427141097e+00,        -2.856626372867e+01
 2.40065000e+00,        -2.284502052418e+00,        -2.856683283871e+01
 2.40067500e+00,        -2.284576977806e+00,        -2.856740200661e+01
 2.40070000e+00,        -2.284651917284e+00,        -2.856797123247e+01
 2.40072500e+00,        -2.284726870872e+00,        -2.856854051637e+01
 2.40075000e+00,        -2.284801838592e+00,        -2.856910985839e+01
 2.40077500e+00,        -2.284876820463e+00,        -2.856967925862e+01
 2.40080000e+00,        -2.284951816508e+00,        -2.857024871714e+01
 2.40082500e+00,        -2.285026826747e+00,        -2.857081823404e+01
 2.40085000e+00,        -2.285101851202e+00,        -2.857138780940e+01
 2.40087500e+00,        -2.285176889894e+00,        -2.857195744332e+01
 2.40090000e+00,        -2.285251942844e+00,        -2.857252713587e+01
 2.40092500e+00,        -2.285327010073e+00,        -2.857309688715e+01
 2.40095000e+00,        -2.285402091603e+00,        -2.857366669724e+01
 2.40097500e+00,        -2.285477187455e+00,        -2.857423656623e+01
 2.40100000e+00,        -2.285552297651e+00,        -2.857480649420e+01
 2.40102500e+00,        -2.285627422212e+00,        -2.857537648125e+01
 2.40105000e+00,        -2.285702561160e+00,        -2.857594652745e+01
 2.40107500e+00,        -2.285777714517e+00,        -2.857651663291e+01
 2.40110000e+00,        -2.285852882304e+00,        -2.857708679770e+01
 2.40112500e+00,        -2.285928064543e+00,        -2.857765702192e+01
 2.40115000e+00,        -2.286003261256e+00,        -2.857822730565e+01
 2.40117500e+00,        -2.286078472464e+00,        -2.857879764899e+01
 2.40120000e+00,        -2.286153698191e+00,        -2.857936805201e+01
 2.40122500e+00,        -2.286228938457e+00,        -2.857993851482e+01
 2.40125000e+00,        -2.286304193286e+00,        -2.858050903750e+01
 2.40127500e+00,        -2.286379462698e+00,        -2.858107962013e+01
 2.40130000e+00,        -2.286454746717e+00,        -2.858165026282e+01
 2.40132500e+00,        -2.286530045363e+00,        -2.858222096565e+01
 2.40135000e+00,        -2.286605358661e+00,        -2.858279172871e+01
 2.40137500e+00,        -2.286680686632e+00,        -2.858336255209e+01
 2.40140000e+00,        -2.286756029298e+00,        -2.858393343588e+01
 2.40142500e+00,        -2.286831386682e+00,        -2.858450438018e+01
 2.40145000e+00,        -2.286906758807e+00,        -2.858507538508e+01
 2.40147500e+00,        -2.286982145695e+00,        -2.858564645065e+01
 2.40150000e+00,        -2.287057547369e+00,        -2.858621757701e+01
 2.40152500e+00,        -2.287132963851e+00,        -2.858678876424e+01
 2.40155000e+00,        -2.287208395165e+00,        -2.858736001243e+01
 2.40157500e+00,        -2.287283841333e+00,        -2.858793132168e+01
 2.40160000e+00,        -2.287359302377e+00,        -2.858850269208e+01
 2.40162500e+00,        -2.287434778322e+00,        -2.858907412371e+01
 2.40165000e+00,        -2.287510269190e+00,        -2.858964561669e+01
 2.40167500e+00,        -2.287585775004e+00,        -2.859021717109e+01
 2.40170000e+00,        -2.287661295787e+00,        -2.859078878701e+01
 2.40172500e+00,        -2.287736831563e+00,        -2.859136046455e+01
 2.40175000e+00,        -2.287812382354e+00,        -2.859193220380e+01
 2.40177500e+00,        -2.287887948185e+00,        -2.859250400485e+01
 2.40180000e+00,        -2.287963529078e+00,        -2.859307586781e+01
 2.40182500e+00,        -2.288039125057e+00,        -2.859364779275e+01
 2.40185000e+00,        -2.288114736145e+00,        -2.859421977979e+01
 2.40187500e+00,        -2.288190362366e+00,        -2.859479182902e+01
 2.40190000e+00,        -2.288266003744e+00,        -2.859536394052e+01
 2.40192500e+00,        -2.288341660302e+00,        -2.859593611440e+01
 2.40195000e+00,        -2.288417332065e+00,        -2.859650835076e+01
 2.40197500e+00,        -2.288493019055e+00,        -2.859708064968e+01
 2.40200000e+00,        -2.288568721298e+00,        -2.859765301128e+01
 2.40202500e+00,        -2.288644438816e+00,        -2.859822543563e+01
 2.40205000e+00,        -2.288720171634e+00,        -2.859879792285e+01
 2.40207500e+00,        -2.288795919776e+00,        -2.859937047302e+01
 2.40210000e+00,        -2.288871683266e+00,        -2.859994308625e+01
 2.40212500e+00,        -2.288947462128e+00,        -2.860051576264e+01
 2.40215000e+00,        -2.289023256387e+00,        -2.860108850228e+01
 2.40217500e+00,        -2.289099066067e+00,        -2.860166130527e+01
 2.40220000e+00,        -2.289174891193e+00,        -2.860223417171e+01
 2.40222500e+00,        -2.289250731788e+00,        -2.860280710170e+01
 2.40225000e+00,        -2.289326587877e+00,        -2.860338009533e+01
 2.40227500e+00,        -2.289402459486e+00,        -2.860395315272e+01
 2.40230000e+00,        -2.289478346639e+00,        -2.860452627395e+01
 2.40232500e+00,        -2.289554249360e+00,        -2.860509945913e+01
 2.40235000e+00,        -2.289630167674e+00,        -2.860567270836e+01
 2.40237500e+00,        -2.289706101606e+00,        -2.860624602173e+01
 2.40240000e+00,        -2.289782051182e+00,        -2.860681939936e+01
 2.40242500e+00,        -2.289858016425e+00,        -2.860739284134e+01
 2.40245000e+00,        -2.289933997362e+00,        -2.860796634777e+01
 2.40247500e+00,        -2.290009994018e+00,        -2.860853991876e+01
 2.40250000e+00,        -2.290086006417e+00,        -2.860911355440e+01
 2.40252500e+00,        -2.290162034585e+00,        -2.860968725480e+01
 2.40255000e+00,        -2.290238078547e+00,        -2.861026102006e+01
 2.40257500e+00,        -2.290314138329e+00,        -2.861083485028e+01
 2.40260000e+00,        -2.290390213956e+00,        -2.861140874557e+01
 2.40262500e+00,        -2.290466305454e+00,        -2.861198270603e+01
 2.40265000e+00,        -2.290542412848e+00,        -2.861255673177e+01
 2.40267500e+00,        -2.290618536164e+00,        -2.861313082288e+01
 2.40270000e+00,        -2.290694675429e+00,        -2.861370497948e+01
 2.40272500e+00,        -2.290770830667e+00,        -2.861427920166e+01
 2.40275000e+00,        -2.290847001905e+00,        -2.861485348953e+01
 2.40277500e+00,        -2.290923189168e+00,        -2.861542784320e+01
 2.40280000e+00,        -2.290999392484e+00,        -2.861600226277e+01
 2.40282500e+00,        -2.291075611877e+00,        -2.861657674834e+01
 2.40285000e+00,        -2.291151847374e+00,        -2.861715130003e+01
 2.40287500e+00,        -2.291228099002e+00,        -2.861772591794e+01
 2.40290000e+00,        -2.291304366787e+00,        -2.861830060218e+01
 2.40292500e+00,        -2.291380650754e+00,        -2.861887535284e+01
 2.40295000e+00,        -2.291456950932e+00,        -2.861945017005e+01
 2.40297500e+00,        -2.291533267345e+00,        -2.862002505390e+01
 2.40300000e+00,        -2.291609600022e+00,        -2.862060000451e+01
 2.40302500e+00,        -2.291685948988e+00,        -2.862117502198e+01
 2.40305000e+00,        -2.291762314270e+00,        -2.862175010642e+01
 2.40307500e+00,        -2.291838695896e+00,        -2.862232525793e+01
 2.40310000e+00,        -2.291915093892e+00,        -2.862290047664e+01
 2.40312500e+00,        -2.291991508286e+00,        -2.862347576264e+01
 2.40315000e+00,        -2.292067939103e+00,        -2.862405111605e+01
 2.40317500e+00,        -2.292144386373e+00,        -2.862462653697e+01
 2.40320000e+00,        -2.292220850120e+00,        -2.862520202552e+01
 2.40322500e+00,        -2.292297330375e+00,        -2.862577758180e+01
 2.40325000e+00,        -2.292373827162e+00,        -2.862635320593e+01
 2.40327500e+00,        -2.292450340510e+00,        -2.862692889801e+01
 2.40330000e+00,        -2.292526870447e+00,        -2.862750465817e+01
 2.40332500e+00,        -2.292603417000e+00,        -2.862808048650e+01
 2.40335000e+00,        -2.292679980197e+00,        -2.862865638313e+01
 2.40337500e+00,        -2.292756560066e+00,        -2.862923234816e+01
 2.40340000e+00,        -2.292833156634e+00,        -2.862980838170e+01
 2.40342500e+00,        -2.292909769929e+00,        -2.863038448387e+01
 2.40345000e+00,        -2.292986399980e+00,        -2.863096065479e+01
 2.40347500e+00,        -2.293063046814e+00,        -2.863153689455e+01
 2.40350000e+00,        -2.293139710460e+00,        -2.863211320329e+01
 2.40352500e+00,        -2.293216390946e+00,        -2.863268958111e+01
 2.40355000e+00,        -2.293293088301e+00,        -2.863326602812e+01
 2.40357500e+00,        -2.293369802552e+00,        -2.863384254445e+01
 2.40360000e+00,        -2.293446533728e+00,        -2.863441913020e+01
 2.40362500e+00,        -2.293523281858e+00,        -2.863499578549e+01
 2.40365000e+00,        -2.293600046970e+00,        -2.863557251044e+01
 2.40367500e+00,        -2.293676829093e+00,        -2.863614930516e+01
 2.40370000e+00,        -2.293753628257e+00,        -2.863672616976e+01
 2.40372500e+00,        -2.293830444489e+00,        -2.863730310438e+01
 2.40375000e+00,        -2.293907277819e+00,        -2.863788010911e+01
 2.40377500e+00,        -2.293984128276e+00,        -2.863845718408e+01
 2.40380000e+00,        -2.294060995889e+00,        -2.863903432941e+01
 2.40382500e+00,        -2.294137880687e+00,        -2.863961154521e+01
 2.40385000e+00,        -2.294214782699e+00,        -2.864018883160e+01
 2.40387500e+00,        -2.294291701956e+00,        -2.864076618870e+01
 2.40390000e+00,        -2.294368638486e+00,        -2.864134361663e+01
 2.40392500e+00,        -2.294445592319e+00,        -2.864192111551e+01
 2.40395000e+00,        -2.294522563485e+00,        -2.864249868545e+01
 2.40397500e+00,        -2.294599552013e+00,        -2.864307632658e+01
 2.40400000e+00,        -2.294676557933e+00,        -2.864365403902e+01
 2.40402500e+00,        -2.294753581275e+00,        -2.864423182288e+01
 2.40405000e+00,        -2.294830622070e+00,        -2.864480967829e+01
 2.40407500e+00,        -2.294907680346e+00,        -2.864538760537e+01
 2.40410000e+00,        -2.294984756135e+00,        -2.864596560424e+01
 2.40412500e+00,        -2.295061849466e+00,        -2.864654367502e+01
 2.40415000e+00,        -2.295138960370e+00,        -2.864712181784e+01
 2.40417500e+00,        -2.295216088877e+00,        -2.864770003281e+01
 2.40420000e+00,        -2.295293235018e+00,        -2.864827832006e+01
 2.40422500e+00,        -2.295370398823e+00,        -2.864885667971e+01
 2.40425000e+00,        -2.295447580323e+00,        -2.864943511188e+01
 2.40427500e+00,        -2.295524779549e+00,        -2.865001361671e+01
 2.40430000e+00,        -2.295601996532e+00,        -2.865059219430e+01
 2.40432500e+00,        -2.295679231302e+00,        -2.865117084480e+01
 2.40435000e+00,        -2.295756483891e+00,        -2.865174956831e+01
 2.40437500e+00,        -2.295833754329e+00,        -2.865232836498e+01
 2.40440000e+00,        -2.295911042649e+00,        -2.865290723491e+01
 2.40442500e+00,        -2.295988348880e+00,        -2.865348617825e+01
 2.40445000e+00,        -2.296065673056e+00,        -2.865406519511e+01
 2.40447500e+00,        -2.296143015206e+00,        -2.865464428562e+01
 2.40450000e+00,        -2.296220375363e+00,        -2.865522344991e+01
 2.40452500e+00,        -2.296297753558e+00,        -2.865580268810e+01
 2.40455000e+00,        -2.296375149824e+00,        -2.865638200033e+01
 2.40457500e+00,        -2.296452564191e+00,        -2.865696138671e+01
 2.40460000e+00,        -2.296529996692e+00,        -2.865754084739e+01
 2.40462500e+00,        -2.296607447359e+00,        -2.865812038248e+01
 2.40465000e+00,        -2.296684916224e+00,        -2.865869999212e+01
 2.40467500e+00,        -2.296762403320e+00,        -2.865927967644e+01
 2.40470000e+00,        -2.296839908678e+00,        -2.865985943557e+01
 2.40472500e+00,        -2.296917432331e+00,        -2.866043926963e+01
 2.40475000e+00,        -2.296994974311e+00,        -2.866101917875e+01
 2.40477500e+00,        -2.297072534651e+00,        -2.866159916308e+01
 2.40480000e+00,        -2.297150113385e+00,        -2.866217922273e+01
 2.40482500e+00,        -2.297227710544e+00,        -2.866275935785e+01
 2.40485000e+00,        -2.297305326161e+00,        -2.866333956855e+01
 2.40487500e+00,        -2.297382960269e+00,        -2.866391985499e+01
 2.40490000e+00,        -2.297460612903e+00,        -2.866450021728e+01
 2.40492500e+00,        -2.297538284093e+00,        -2.866508065556e+01
 2.40495000e+00,        -2.297615973875e+00,        -2.866566116996e+01
 2.40497500e+00,        -2.297693682281e+00,        -2.866624176063e+01
 2.40500000e+00,        -2.297771409345e+00,        -2.866682242768e+01
 2.40502500e+00,        -2.297849155100e+00,        -2.866740317127e+01
 2.40505000e+00,        -2.297926919581e+00,        -2.866798399151e+01
 2.40507500e+00,        -2.298004702820e+00,        -2.866856488856e+01
 2.40510000e+00,        -2.298082504851e+00,        -2.866914586254e+01
 2.40512500e+00,        -2.298160325710e+00,        -2.866972691358e+01
 2.40515000e+00,        -2.298238165428e+00,        -2.867030804184e+01
 2.40517500e+00,        -2.298316024042e+00,        -2.867088924744e+01
 2.40520000e+00,        -2.298393901585e+00,        -2.867147053052e+01
 2.40522500e+00,        -2.298471798091e+00,        -2.867205189121e+01
 2.40525000e+00,        -2.298549713596e+00,        -2.867263332967e+01
 2.40527500e+00,        -2.298627648133e+00,        -2.867321484602e+01
 2.40530000e+00,        -2.298705601736e+00,        -2.867379644040e+01
 2.40532500e+00,        -2.298783574442e+00,        -2.867437811296e+01
 2.40535000e+00,        -2.298861566285e+00,        -2.867495986384e+01
 2.40537500e+00,        -2.298939577300e+00,        -2.867554169316e+01
 2.40540000e+00,        -2.299017607521e+00,        -2.867612360108e+01
 2.40542500e+00,        -2.299095656985e+00,        -2.867670558774e+01
 2.40545000e+00,        -2.299173725726e+00,        -2.867728765327e+01
 2.40547500e+00,        -2.299251813780e+00,        -2.867786979783e+01
 2.40550000e+00,        -2.299329921182e+00,        -2.867845202154e+01
 2.40552500e+00,        -2.299408047968e+00,        -2.867903432456e+01
 2.40555000e+00,        -2.299486194174e+00,        -2.867961670702e+01
 2.40557500e+00,        -2.299564359835e+00,        -2.868019916907e+01
 2.40560000e+00,        -2.299642544988e+00,        -2.868078171086e+01
 2.40562500e+00,        -2.299720749668e+00,        -2.868136433253e+01
 2.40565000e+00,        -2.299798973912e+00,        -2.868194703422e+01
 2.40567500e+00,        -2.299877217755e+00,        -2.868252981608e+01
 2.40570000e+00,        -2.299955481235e+00,        -2.868311267825e+01
 2.40572500e+00,        -2.300033764388e+00,        -2.868369562088e+01
 2.40575000e+00,        -2.300112067250e+00,        -2.868427864412e+01
 2.40577500e+00,        -2.300190389858e+00,        -2.868486174811e+01
 2.40580000e+00,        -2.300268732249e+00,        -2.868544493301e+01
 2.40582500e+00,        -2.300347094459e+00,        -2.868602819895e+01
 2.40585000e+00,        -2.300425476527e+00,        -2.868661154609e+01
 2.40587500e+00,        -2.300503878488e+00,        -2.868719497457e+01
 2.40590000e+00,        -2.300582300380e+00,        -2.868777848454e+01
 2.40592500e+00,        -2.300660742241e+00,        -2.868836207616e+01
 2.40595000e+00,        -2.300739204108e+00,        -2.868894574958e+01
 2.40597500e+00,        -2.300817686019e+00,        -2.868952950494e+01
 2.40600000e+00,        -2.300896188011e+00,        -2.869011334239e+01
 2.40602500e+00,        -2.300974710123e+00,        -2.869069726209e+01
 2.40605000e+00,        -2.301053252391e+00,        -2.869128126418e+01
 2.40607500e+00,        -2.301131814855e+00,        -2.869186534883e+01
 2.40610000e+00,        -2.301210397552e+00,        -2.869244951618e+01
 2.40612500e+00,        -2.301289000520e+00,        -2.869303376638e+01
 2.40615000e+00,        -2.301367623799e+00,        -2.869361809959e+01
 2.40617500e+00,        -2.301446267426e+00,        -2.869420251596e+01
 2.40620000e+00,        -2.301524931440e+00,        -2.869478701566e+01
 2.40622500e+00,        -2.301603615881e+00,        -2.869537159882e+01
 2.40625000e+00,        -2.301682320786e+00,        -2.869595626561e+01
 2.40627500e+00,        -2.301761046195e+00,        -2.869654101619e+01
 2.40630000e+00,        -2.301839792147e+00,        -2.869712585070e+01
 2.40632500e+00,        -2.301918558681e+00,        -2.869771076931e+01
 2.40635000e+00,        -2.301997345837e+00,        -2.869829577217e+01
 2.40637500e+00,        -2.302076153654e+00,        -2.869888085944e+01
 2.40640000e+00,        -2.302154982171e+00,        -2.869946603129e+01
 2.40642500e+00,        -2.302233831429e+00,        -2.870005128786e+01
 2.40645000e+00,        -2.302312701467e+00,        -2.870063662931e+01
 2.40647500e+00,        -2.302391592325e+00,        -2.870122205582e+01
 2.40650000e+00,        -2.302470504043e+00,        -2.870180756753e+01
 2.40652500e+00,        -2.302549436662e+00,        -2.870239316460e+01
 2.40655000e+00,        -2.302628390222e+00,        -2.870297884720e+01
 2.40657500e+00,        -2.302707364763e+00,        -2.870356461550e+01
 2.40660000e+00,        -2.302786360326e+00,        -2.870415046964e+01
 2.40662500e+00,        -2.302865376951e+00,        -2.870473640980e+01
 2.40665000e+00,        -2.302944414680e+00,        -2.870532243613e+01
 2.40667500e+00,        -2.303023473553e+00,        -2.870590854880e+01
 2.40670000e+00,        -2.303102553611e+00,        -2.870649474798e+01
 2.40672500e+00,        -2.303181654896e+00,        -2.870708103382e+01
 2.40675000e+00,        -2.303260777450e+00,        -2.870766740650e+01
 2.40677500e+00,        -2.303339921313e+00,        -2.870825386618e+01
 2.40680000e+00,        -2.303419086526e+00,        -2.870884041301e+01
 2.40682500e+00,        -2.303498273133e+00,        -2.870942704718e+01
 2.40685000e+00,        -2.303577481175e+00,        -2.871001376885e+01
 2.40687500e+00,        -2.303656710693e+00,        -2.871060057818e+01
 2.40690000e+00,        -2.303735961730e+00,        -2.871118747535e+01
 2.40692500e+00,        -2.303815234328e+00,        -2.871177446052e+01
 2.40695000e+00,        -2.303894528530e+00,        -2.871236153385e+01
 2.40697500e+00,        -2.303973844377e+00,        -2.871294869553e+01
 2.40700000e+00,        -2.304053181914e+00,        -2.871353594571e+01
 2.40702500e+00,        -2.304132541181e+00,        -2.871412328458e+01
 2.40705000e+00,        -2.304211922224e+00,        -2.871471071229e+01
 2.40707500e+00,        -2.304291325083e+00,        -2.871529822903e+01
 2.40710000e+00,        -2.304370749804e+00,        -2.871588583496e+01
 2.40712500e+00,        -2.304450196428e+00,        -2.871647353026e+01
 2.40715000e+00,        -2.304529665000e+00,        -2.871706131510e+01
 2.40717500e+00,        -2.304609155563e+00,        -2.871764918965e+01
 2.40720000e+00,        -2.304688668161e+00,        -2.871823715409e+01
 2.40722500e+00,        -2.304768202837e+00,        -2.871882520860e+01
 2.40725000e+00,        -2.304847759636e+00,        -2.871941335334e+01
 2.40727500e+00,        -2.304927338603e+00,        -2.872000158849e+01
 2.40730000e+00,        -2.305006939780e+00,        -2.872058991423e+01
 2.40732500e+00,        -2.305086563213e+00,        -2.872117833074e+01
 2.40735000e+00,        -2.305166208946e+00,        -2.872176683819e+01
 2.40737500e+00,        -2.305245877024e+00,        -2.872235543677e+01
 2.40740000e+00,        -2.305325567492e+00,        -2.872294412664e+01
 2.40742500e+00,        -2.305405280395e+00,        -2.872353290800e+01
 2.40745000e+00,        -2.305485015778e+00,        -2.872412178101e+01
 2.40747500e+00,        -2.305564773686e+00,        -2.872471074586e+01
 2.40750000e+00,        -2.305644554165e+00,        -2.872529980273e+01
 2.40752500e+00,        -2.305724357260e+00,        -2.872588895181e+01
 2.40755000e+00,        -2.305804183017e+00,        -2.872647819326e+01
 2.40757500e+00,        -2.305884031482e+00,        -2.872706752728e+01
 2.40760000e+00,        -2.305963902701e+00,        -2.872765695405e+01
 2.40762500e+00,        -2.306043796721e+00,        -2.872824647375e+01
 2.40765000e+00,        -2.306123713586e+00,        -2.872883608656e+01
 2.40767500e+00,        -2.306203653345e+00,        -2.872942579267e+01
 2.40770000e+00,        -2.306283616043e+00,        -2.873001559227e+01
 2.40772500e+00,        -2.306363601727e+00,        -2.873060548554e+01
 2.40775000e+00,        -2.306443610445e+00,        -2.873119547267e+01
 2.40777500e+00,        -2.306523642243e+00,        -2.873178555384e+01
 2.40780000e+00,        -2.306603697168e+00,        -2.873237572924e+01
 2.40782500e+00,        -2.306683775268e+00,        -2.873296599906e+01
