        f (GHz),         Re{B_x[1]} (Wb/m²),         Im{B_x[1]} (Wb/m²),         Re{B_y[1]} (Wb/m²),         Im{B_y[1]} (Wb/m²),         Re{B_z[1]} (Wb/m²),         Im{B_z[1]} (Wb/m²),         Re{B_x[2]} (Wb/m²),         Im{B_x[2]} (Wb/m²),         Re{B_y[2]} (Wb/m²),         Im{B_y[2]} (Wb/m²),         Re{B_z[2]} (Wb/m²),         Im{B_z[2]} (Wb/m²),         Re{B_x[3]} (Wb/m²),         Im{B_x[3]} (Wb/m²),         Re{B_y[3]} (Wb/m²),         Im{B_y[3]} (Wb/m²),         Re{B_z[3]} (Wb/m²),         Im{B_z[3]} (Wb/m²),         Re{B_x[4]} (Wb/m²),         Im{B_x[4]} (Wb/m²),         Re{B_y[4]} (Wb/m²),         Im{B_y[4]} (Wb/m²),         Re{B_z[4]} (Wb/m²),         Im{B_z[4]} (Wb/m²)
 2.40000000e+00,        +5.831524797120e-11,        +1.718851844809e-10,        +6.722983994253e-11,        +1.565508463780e-10,        -1.057490080646e-07,        -1.126199378866e-07,        +2.441407714519e-11,        +1.275158645796e-10,        +6.586243264466e-11,        +1.551956401998e-10,        -1.053619257131e-07,        -1.125695206372e-07,        -2.163236323747e-11,        +6.025221339865e-11,        +5.923220773608e-11,        +1.463497018901e-10,        -1.028317968209e-07,        -1.118109420447e-07,        -1.911485805732e-10,        -2.049118959314e-10,        +1.800602082372e-10,        +2.180339167417e-10,        -4.500903653947e-08,        -4.981646712164e-08
 2.40002500e+00,        +5.834598279948e-11,        +1.719454212676e-10,        +6.727078267149e-11,        +1.566167174854e-10,        -1.058237529856e-07,        -1.126957448930e-07,        +2.442036160709e-11,        +1.275461013915e-10,        +6.590135356210e-11,        +1.552597720438e-10,        -1.054360143016e-07,        -1.126450014558e-07,        -2.165746237602e-11,        +6.024142730113e-11,        +5.926723454445e-11,        +1.464103040644e-10,        -1.029033376950e-07,        -1.118853059430e-07,        -1.910703725224e-10,        -2.048235327032e-10,        +1.801612435323e-10,        +2.181481919903e-10,        -4.503000192018e-08,        -4.983811398863e-08
 2.40005000e+00,        +5.837666502306e-11,        +1.720055722646e-10,        +6.731170984292e-11,        +1.566825527986e-10,        -1.058985959709e-07,        -1.127716486778e-07,        +2.442655976411e-11,        +1.275762130769e-10,        +6.594025974128e-11,        +1.553238700362e-10,        -1.055102000777e-07,        -1.127205787861e-07,        -2.168268390020e-11,        +6.023047116762e-11,        +5.930224994549e-11,        +1.464708780583e-10,        -1.029749724207e-07,        -1.119597651907e-07,        -1.909919983810e-10,        -2.047350157788e-10,        +1.802624305917e-10,        +2.182626209989e-10,        -4.505099327778e-08,        -4.985978720414e-08
 2.40007500e+00,        +5.840729463355e-11,        +1.720656375003e-10,        +6.735262149590e-11,        +1.567483523906e-10,        -1.059735372123e-07,        -1.128476494257e-07,        +2.443267154416e-11,        +1.276061995909e-10,        +6.597915121389e-11,        +1.553879342414e-10,        -1.055844832318e-07,        -1.127962528120e-07,        -2.170802795951e-11,        +6.021934485379e-11,        +5.933725395861e-11,        +1.465314239213e-10,        -1.030467011818e-07,        -1.120343199693e-07,        -1.909134578682e-10,        -2.046463448987e-10,        +1.803637696269e-10,        +2.183772039704e-10,        -4.507201066325e-08,        -4.988148681872e-08
 2.40010000e+00,        +5.843787162251e-11,        +1.721256170032e-10,        +6.739351767082e-11,        +1.568141163337e-10,        -1.060485769025e-07,        -1.129237473218e-07,        +2.443869687485e-11,        +1.276360608883e-10,        +6.601802801204e-11,        +1.554519647234e-10,        -1.056588639547e-07,        -1.128720237180e-07,        -2.173349470818e-11,        +6.020804821461e-11,        +5.937224660377e-11,        +1.465919417035e-10,        -1.031185241625e-07,        -1.121089704605e-07,        -1.908347507021e-10,        -2.045575198034e-10,        +1.804652608498e-10,        +2.184919411089e-10,        -4.509305412771e-08,        -4.990321288307e-08
 2.40012500e+00,        +5.846839598112e-11,        +1.721855108010e-10,        +6.743439840678e-11,        +1.568798447004e-10,        -1.061237152343e-07,        -1.129999425517e-07,        +2.444463568317e-11,        +1.276657969229e-10,        +6.605689016712e-11,        +1.555159615465e-10,        -1.057333424377e-07,        -1.129478916888e-07,        -2.175908429736e-11,        +6.019658110099e-11,        +5.940722789973e-11,        +1.466524314535e-10,        -1.031904415475e-07,        -1.121837168464e-07,        -1.907558766004e-10,        -2.044685402330e-10,        +1.805669044732e-10,        +2.186068326188e-10,        -4.511412372241e-08,        -4.992496544799e-08
 2.40015000e+00,        +5.849886770059e-11,        +1.722453189214e-10,        +6.747526374338e-11,        +1.569455375629e-10,        -1.061989524015e-07,        -1.130762353013e-07,        +2.445048789603e-11,        +1.276954076482e-10,        +6.609573771146e-11,        +1.555799247739e-10,        -1.058079188726e-07,        -1.130238569097e-07,        -2.178479688198e-11,        +6.018494336771e-11,        +5.944219786596e-11,        +1.467128932214e-10,        -1.032624535219e-07,        -1.122585593100e-07,        -1.906768352798e-10,        -2.043794059257e-10,        +1.806687007107e-10,        +2.187218787054e-10,        -4.513521949871e-08,        -4.994674456442e-08
 2.40017500e+00,        +5.852928677152e-11,        +1.723050413915e-10,        +6.751611372050e-11,        +1.570111949929e-10,        -1.062742885978e-07,        -1.131526257572e-07,        +2.445625343950e-11,        +1.277248930173e-10,        +6.613457067650e-11,        +1.556438544698e-10,        -1.058825934516e-07,        -1.130999195665e-07,        -2.181063261509e-11,        +6.017313486667e-11,        +5.947715652210e-11,        +1.467733270565e-10,        -1.033345602714e-07,        -1.123334980343e-07,        -1.905976264561e-10,        -2.042901166204e-10,        +1.807706497766e-10,        +2.188370795750e-10,        -4.515634150815e-08,        -4.996855028345e-08
 2.40020000e+00,        +5.855965318447e-11,        +1.723646782380e-10,        +6.755694837658e-11,        +1.570768170631e-10,        -1.063497240180e-07,        -1.132291141065e-07,        +2.446193224008e-11,        +1.277542529824e-10,        +6.617338909402e-11,        +1.557077506983e-10,        -1.059573663676e-07,        -1.131760798456e-07,        -2.183659165122e-11,        +6.016115544772e-11,        +5.951210388714e-11,        +1.468337330076e-10,        -1.034067619821e-07,        -1.124085332030e-07,        -1.905182498441e-10,        -2.042006720533e-10,        +1.808727518859e-10,        +2.189524354344e-10,        -4.517748980235e-08,        -4.999038265626e-08
 2.40022500e+00,        +5.858996692999e-11,        +1.724242294877e-10,        +6.759776775213e-11,        +1.571424038447e-10,        -1.064252588570e-07,        -1.133057005365e-07,        +2.446752422279e-11,        +1.277834874954e-10,        +6.621219299582e-11,        +1.557716135221e-10,        -1.060322378139e-07,        -1.132523379336e-07,        -2.186267414626e-11,        +6.014900496277e-11,        +5.954703998060e-11,        +1.468941111239e-10,        -1.034790588408e-07,        -1.124836650003e-07,        -1.904387051578e-10,        -2.041110719613e-10,        +1.809750072544e-10,        +2.190679464914e-10,        -4.519866443312e-08,        -5.001224173419e-08
