        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.369362046632e-01,        -5.197358609561e-02
 2.40002500e+00,        +1.414213562373e-01,        +2.369348696499e-01,        -5.197408737448e-02
 2.40005000e+00,        +1.414213562373e-01,        +2.369335344432e-01,        -5.197458864982e-02
 2.40007500e+00,        +1.414213562373e-01,        +2.369321990426e-01,        -5.197508992163e-02
 2.40010000e+00,        +1.414213562373e-01,        +2.369308634480e-01,        -5.197559118994e-02
 2.40012500e+00,        +1.414213562373e-01,        +2.369295276589e-01,        -5.197609245476e-02
 2.40015000e+00,        +1.414213562373e-01,        +2.369281916753e-01,        -5.197659371610e-02
 2.40017500e+00,        +1.414213562373e-01,        +2.369268554967e-01,        -5.197709497399e-02
 2.40020000e+00,        +1.414213562373e-01,        +2.369255191229e-01,        -5.197759622843e-02
 2.40022500e+00,        +1.414213562373e-01,        +2.369241825535e-01,        -5.197809747944e-02
 2.40025000e+00,        +1.414213562373e-01,        +2.369228457884e-01,        -5.197859872704e-02
 2.40027500e+00,        +1.414213562373e-01,        +2.369215088271e-01,        -5.197909997124e-02
 2.40030000e+00,        +1.414213562373e-01,        +2.369201716695e-01,        -5.197960121206e-02
 2.40032500e+00,        +1.414213562373e-01,        +2.369188343152e-01,        -5.198010244951e-02
 2.40035000e+00,        +1.414213562373e-01,        +2.369174967640e-01,        -5.198060368361e-02
 2.40037500e+00,        +1.414213562373e-01,        +2.369161590155e-01,        -5.198110491438e-02
 2.40040000e+00,        +1.414213562373e-01,        +2.369148210695e-01,        -5.198160614183e-02
 2.40042500e+00,        +1.414213562373e-01,        +2.369134829256e-01,        -5.198210736597e-02
 2.40045000e+00,        +1.414213562373e-01,        +2.369121445836e-01,        -5.198260858682e-02
 2.40047500e+00,        +1.414213562373e-01,        +2.369108060432e-01,        -5.198310980440e-02
 2.40050000e+00,        +1.414213562373e-01,        +2.369094673040e-01,        -5.198361101872e-02
 2.40052500e+00,        +1.414213562373e-01,        +2.369081283659e-01,        -5.198411222981e-02
 2.40055000e+00,        +1.414213562373e-01,        +2.369067892284e-01,        -5.198461343766e-02
 2.40057500e+00,        +1.414213562373e-01,        +2.369054498913e-01,        -5.198511464231e-02
 2.40060000e+00,        +1.414213562373e-01,        +2.369041103543e-01,        -5.198561584376e-02
 2.40062500e+00,        +1.414213562373e-01,        +2.369027706171e-01,        -5.198611704204e-02
 2.40065000e+00,        +1.414213562373e-01,        +2.369014306794e-01,        -5.198661823715e-02
 2.40067500e+00,        +1.414213562373e-01,        +2.369000905408e-01,        -5.198711942912e-02
 2.40070000e+00,        +1.414213562373e-01,        +2.368987502012e-01,        -5.198762061796e-02
 2.40072500e+00,        +1.414213562373e-01,        +2.368974096601e-01,        -5.198812180369e-02
 2.40075000e+00,        +1.414213562373e-01,        +2.368960689174e-01,        -5.198862298632e-02
 2.40077500e+00,        +1.414213562373e-01,        +2.368947279726e-01,        -5.198912416586e-02
 2.40080000e+00,        +1.414213562373e-01,        +2.368933868255e-01,        -5.198962534235e-02
 2.40082500e+00,        +1.414213562373e-01,        +2.368920454757e-01,        -5.199012651578e-02
 2.40085000e+00,        +1.414213562373e-01,        +2.368907039230e-01,        -5.199062768619e-02
 2.40087500e+00,        +1.414213562373e-01,        +2.368893621671e-01,        -5.199112885357e-02
 2.40090000e+00,        +1.414213562373e-01,        +2.368880202076e-01,        -5.199163001796e-02
