        f (GHz),           Re{E_x[1]} (V/m),           Im{E_x[1]} (V/m),           Re{E_y[1]} (V/m),           Im{E_y[1]} (V/m),           Re{E_z[1]} (V/m),           Im{E_z[1]} (V/m),           Re{E_x[2]} (V/m),           Im{E_x[2]} (V/m),           Re{E_y[2]} (V/m),           Im{E_y[2]} (V/m),           Re{E_z[2]} (V/m),           Im{E_z[2]} (V/m),           Re{E_x[3]} (V/m),           Im{E_x[3]} (V/m),           Re{E_y[3]} (V/m),           Im{E_y[3]} (V/m),           Re{E_z[3]} (V/m),           Im{E_z[3]} (V/m),           Re{E_x[4]} (V/m),           Im{E_x[4]} (V/m),           Re{E_y[4]} (V/m),           Im{E_y[4]} (V/m),           Re{E_z[4]} (V/m),           Im{E_z[4]} (V/m)
 2.40000000e+00,        -9.519455087222e-01,        +8.744175134754e-01,        -5.261694066184e-01,        +4.551885943836e-01,        -2.309613593931e-03,        +1.164720552812e-03,        -1.128579681675e+00,        +9.624273877580e-01,        -2.413290740065e+00,        +2.216429008318e+00,        -6.925528472884e-03,        +4.863807332858e-03,        -1.338557041503e+00,        +1.151232905553e+00,        -5.901548749024e+00,        +5.369408604985e+00,        -1.665105893123e-02,        +1.276838900233e-02,        -1.150762325879e-01,        +9.757568439781e-02,        -1.767589528576e+01,        +1.588479939444e+01,        -4.158211043665e-02,        +3.665464504816e-02
 2.40002500e+00,        -9.521831414393e-01,        +8.746549022205e-01,        -5.270124590128e-01,        +4.559551628766e-01,        -2.312120619227e-03,        +1.166801065388e-03,        -1.128816654132e+00,        +9.626524743445e-01,        -2.415484512670e+00,        +2.218467338491e+00,        -6.929444089827e-03,        +4.867152902910e-03,        -1.338760486308e+00,        +1.151433594869e+00,        -5.906212455892e+00,        +5.373742193617e+00,        -1.665795207389e-02,        +1.277443314136e-02,        -1.142177292812e-01,        +9.681195696577e-02,        -1.768936026166e+01,        +1.589725575006e+01,        -4.163478377522e-02,        +3.670260988273e-02
 2.40005000e+00,        -9.524205316574e-01,        +8.748920854318e-01,        -5.278573649663e-01,        +4.567234487897e-01,        -2.314625832874e-03,        +1.168880478952e-03,        -1.129053384722e+00,        +9.628773645003e-01,        -2.417681894576e+00,        +2.220509033247e+00,        -6.933357031176e-03,        +4.870496713573e-03,        -1.338963701991e+00,        +1.151634097847e+00,        -5.910882959000e+00,        +5.378082137241e+00,        -1.666484162904e-02,        +1.278047490281e-02,        -1.133590689586e-01,        +9.604806181633e-02,        -1.770284316008e+01,        +1.590972888836e+01,        -4.168751083369e-02,        +3.675062559665e-02
 2.40007500e+00,        -9.526576798121e-01,        +8.751290634816e-01,        -5.287041268071e-01,        +4.574934543984e-01,        -2.317129246238e-03,        +1.170958802549e-03,        -1.129289873894e+00,        +9.631020586021e-01,        -2.419882891473e+00,        +2.222554098071e+00,        -6.937267310551e-03,        +4.873838775783e-03,        -1.339166688978e+00,        +1.151834414847e+00,        -5.915560270179e+00,        +5.382428447161e+00,        -1.667172761533e-02,        +1.278651430197e-02,        -1.125002516250e-01,        +9.528399892687e-02,        -1.771634401484e+01,        +1.592221884140e+01,        -4.174029173435e-02,        +3.679869230470e-02
 2.40010000e+00,        -9.528945863379e-01,        +8.753658367413e-01,        -5.295527468725e-01,        +4.582651819870e-01,        -2.319630870675e-03,        +1.173036045223e-03,        -1.129526122097e+00,        +9.633265570260e-01,        -2.422087509071e+00,        +2.224602538466e+00,        -6.941174941558e-03,        +4.877179100473e-03,        -1.339369447697e+00,        +1.152034546229e+00,        -5.920244401293e+00,        +5.386781134717e+00,        -1.667861005137e-02,        +1.279255135410e-02,        -1.116412772851e-01,        +9.451976827465e-02,        -1.772986285984e+01,        +1.593472564129e+01,        -4.179312659978e-02,        +3.684681012194e-02
 2.40012500e+00,        -9.531312516684e-01,        +8.756024055813e-01,        -5.304032275082e-01,        +4.590386338483e-01,        -2.322130717520e-03,        +1.175112216012e-03,        -1.129762129779e+00,        +9.635508601471e-01,        -2.424295753096e+00,        +2.226654359948e+00,        -6.945079937778e-03,        +4.880517698568e-03,        -1.339571978574e+00,        +1.152234492350e+00,        -5.924935364239e+00,        +5.391140211277e+00,        -1.668548895577e-02,        +1.279858607449e-02,        -1.107821459437e-01,        +9.375536983702e-02,        -1.774339972906e+01,        +1.594724932026e+01,        -4.184601555282e-02,        +3.689497916369e-02
 2.40015000e+00,        -9.533676762357e-01,        +8.758387703712e-01,        -5.312555710698e-01,        +4.598138122832e-01,        -2.324628798104e-03,        +1.177187323943e-03,        -1.129997897385e+00,        +9.637749683396e-01,        -2.426507629293e+00,        +2.228709568054e+00,        -6.948982312783e-03,        +4.883854580976e-03,        -1.339774282035e+00,        +1.152434253570e+00,        -5.929633170950e+00,        +5.395505688244e+00,        -1.669236434710e-02,        +1.280461847838e-02,        -1.099228576051e-01,        +9.299080359096e-02,        -1.775695465660e+01,        +1.595978991060e+01,        -4.189895871657e-02,        +3.694319954554e-02
 2.40017500e+00,        -9.536038604713e-01,        +8.760749314800e-01,        -5.321097799214e-01,        +4.605907196015e-01,        -2.327125123741e-03,        +1.179261378048e-03,        -1.130233425361e+00,        +9.639988819771e-01,        -2.428723143422e+00,        +2.230768168335e+00,        -6.952882080127e-03,        +4.887189758612e-03,        -1.339976358503e+00,        +1.152633830244e+00,        -5.934337833391e+00,        +5.399877577053e+00,        -1.669923624392e-02,        +1.281064858103e-02,        -1.090634122737e-01,        +9.222606951363e-02,        -1.777052767663e+01,        +1.597234744470e+01,        -4.195195621443e-02,        +3.699147138334e-02
 2.40020000e+00,        -9.538398048053e-01,        +8.763108892755e-01,        -5.329658564366e-01,        +4.613693581214e-01,        -2.329619705733e-03,        +1.181334387344e-03,        -1.130468714152e+00,        +9.642226014321e-01,        -2.430942301265e+00,        +2.232830166362e+00,        -6.956779253344e-03,        +4.890523242366e-03,        -1.340178208402e+00,        +1.152833222730e+00,        -5.939049363562e+00,        +5.404255889171e+00,        -1.670610466478e-02,        +1.281667639765e-02,        -1.082038099538e-01,        +9.146116758192e-02,        -1.778411882340e+01,        +1.598492195503e+01,        -4.200500817006e-02,        +3.703979479320e-02
 2.40022500e+00,        -9.540755096669e-01,        +8.765466441247e-01,        -5.338238029979e-01,        +4.621497301697e-01,        -2.332112555374e-03,        +1.183406360839e-03,        -1.130703764200e+00,        +9.644461270763e-01,        -2.433165108620e+00,        +2.234895567719e+00,        -6.960673845958e-03,        +4.893855043123e-03,        -1.340379832153e+00,        +1.153032431382e+00,        -5.943767773496e+00,        +5.408640636097e+00,        -1.671296962819e-02,        +1.282270194346e-02,        -1.073440506495e-01,        +9.069609777269e-02,        -1.779772813127e+01,        +1.599751347414e+01,        -4.205811470741e-02,        +3.708816989149e-02
