        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.184680841382e+01,        -2.598716528343e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.184674165963e+01,        -2.598741642283e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.184667489576e+01,        -2.598766756142e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.184660812219e+01,        -2.598791869921e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.184654133891e+01,        -2.598816983622e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.184647454590e+01,        -2.598842097245e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.184640774315e+01,        -2.598867210792e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.184634093065e+01,        -2.598892324264e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.184627410838e+01,        -2.598917437661e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.184620727632e+01,        -2.598942550984e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.184614043447e+01,        -2.598967664236e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.184607358280e+01,        -2.598992777416e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.184600672130e+01,        -2.599017890525e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.184593984997e+01,        -2.599043003566e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.184587296877e+01,        -2.599068116538e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.184580607771e+01,        -2.599093229443e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.184573917676e+01,        -2.599118342282e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.184567226591e+01,        -2.599143455056e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.184560534514e+01,        -2.599168567765e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.184553841445e+01,        -2.599193680412e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.184547147381e+01,        -2.599218792997e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.184540452321e+01,        -2.599243905521e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.184533756264e+01,        -2.599269017986e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.184527059208e+01,        -2.599294130391e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.184520361151e+01,        -2.599319242739e+00
 2.40062500e+00,        +7.071067811865e+00,        +1.184513662093e+01,        -2.599344355030e+00
 2.40065000e+00,        +7.071067811865e+00,        +1.184506962031e+01,        -2.599369467266e+00
 2.40067500e+00,        +7.071067811865e+00,        +1.184500260964e+01,        -2.599394579448e+00
 2.40070000e+00,        +7.071067811865e+00,        +1.184493558891e+01,        -2.599419691576e+00
 2.40072500e+00,        +7.071067811865e+00,        +1.184486855809e+01,        -2.599444803652e+00
 2.40075000e+00,        +7.071067811865e+00,        +1.184480151719e+01,        -2.599469915677e+00
 2.40077500e+00,        +7.071067811865e+00,        +1.184473446617e+01,        -2.599495027652e+00
 2.40080000e+00,        +7.071067811865e+00,        +1.184466740503e+01,        -2.599520139577e+00
 2.40082500e+00,        +7.071067811865e+00,        +1.184460033375e+01,        -2.599545251455e+00
 2.40085000e+00,        +7.071067811865e+00,        +1.184453325231e+01,        -2.599570363286e+00
 2.40087500e+00,        +7.071067811865e+00,        +1.184446616070e+01,        -2.599595475072e+00
 2.40090000e+00,        +7.071067811865e+00,        +1.184439905891e+01,        -2.599620586813e+00
 2.40092500e+00,        +7.071067811865e+00,        +1.184433194691e+01,        -2.599645698510e+00
 2.40095000e+00,        +7.071067811865e+00,        +1.184426482470e+01,        -2.599670810166e+00
 2.40097500e+00,        +7.071067811865e+00,        +1.184419769225e+01,        -2.599695921779e+00
 2.40100000e+00,        +7.071067811865e+00,        +1.184413054955e+01,        -2.599721033353e+00
 2.40102500e+00,        +7.071067811865e+00,        +1.184406339659e+01,        -2.599746144888e+00
 2.40105000e+00,        +7.071067811865e+00,        +1.184399623335e+01,        -2.599771256385e+00
 2.40107500e+00,        +7.071067811865e+00,        +1.184392905982e+01,        -2.599796367845e+00
 2.40110000e+00,        +7.071067811865e+00,        +1.184386187597e+01,        -2.599821479270e+00
 2.40112500e+00,        +7.071067811865e+00,        +1.184379468180e+01,        -2.599846590660e+00
 2.40115000e+00,        +7.071067811865e+00,        +1.184372747728e+01,        -2.599871702017e+00
 2.40117500e+00,        +7.071067811865e+00,        +1.184366026241e+01,        -2.599896813342e+00
 2.40120000e+00,        +7.071067811865e+00,        +1.184359303716e+01,        -2.599921924636e+00
 2.40122500e+00,        +7.071067811865e+00,        +1.184352580152e+01,        -2.599947035900e+00
 2.40125000e+00,        +7.071067811865e+00,        +1.184345855547e+01,        -2.599972147135e+00
 2.40127500e+00,        +7.071067811865e+00,        +1.184339129900e+01,        -2.599997258342e+00
 2.40130000e+00,        +7.071067811865e+00,        +1.184332403209e+01,        -2.600022369523e+00
 2.40132500e+00,        +7.071067811865e+00,        +1.184325675473e+01,        -2.600047480679e+00
 2.40135000e+00,        +7.071067811865e+00,        +1.184318946689e+01,        -2.600072591811e+00
 2.40137500e+00,        +7.071067811865e+00,        +1.184312216857e+01,        -2.600097702919e+00
 2.40140000e+00,        +7.071067811865e+00,        +1.184305485975e+01,        -2.600122814006e+00
 2.40142500e+00,        +7.071067811865e+00,        +1.184298754040e+01,        -2.600147925073e+00
 2.40145000e+00,        +7.071067811865e+00,        +1.184292021052e+01,        -2.600173036119e+00
 2.40147500e+00,        +7.071067811865e+00,        +1.184285287009e+01,        -2.600198147148e+00
 2.40150000e+00,        +7.071067811865e+00,        +1.184278551909e+01,        -2.600223258160e+00
 2.40152500e+00,        +7.071067811865e+00,        +1.184271815750e+01,        -2.600248369155e+00
 2.40155000e+00,        +7.071067811865e+00,        +1.184265078531e+01,        -2.600273480136e+00
 2.40157500e+00,        +7.071067811865e+00,        +1.184258340250e+01,        -2.600298591104e+00
 2.40160000e+00,        +7.071067811865e+00,        +1.184251600906e+01,        -2.600323702059e+00
 2.40162500e+00,        +7.071067811865e+00,        +1.184244860497e+01,        -2.600348813003e+00
 2.40165000e+00,        +7.071067811865e+00,        +1.184238119020e+01,        -2.600373923937e+00
 2.40167500e+00,        +7.071067811865e+00,        +1.184231376476e+01,        -2.600399034862e+00
 2.40170000e+00,        +7.071067811865e+00,        +1.184224632861e+01,        -2.600424145780e+00
 2.40172500e+00,        +7.071067811865e+00,        +1.184217888174e+01,        -2.600449256692e+00
 2.40175000e+00,        +7.071067811865e+00,        +1.184211142414e+01,        -2.600474367598e+00
 2.40177500e+00,        +7.071067811865e+00,        +1.184204395578e+01,        -2.600499478501e+00
 2.40180000e+00,        +7.071067811865e+00,        +1.184197647666e+01,        -2.600524589401e+00
 2.40182500e+00,        +7.071067811865e+00,        +1.184190898675e+01,        -2.600549700300e+00
 2.40185000e+00,        +7.071067811865e+00,        +1.184184148604e+01,        -2.600574811198e+00
 2.40187500e+00,        +7.071067811865e+00,        +1.184177397450e+01,        -2.600599922098e+00
 2.40190000e+00,        +7.071067811865e+00,        +1.184170645213e+01,        -2.600625033000e+00
 2.40192500e+00,        +7.071067811865e+00,        +1.184163891890e+01,        -2.600650143905e+00
 2.40195000e+00,        +7.071067811865e+00,        +1.184157137481e+01,        -2.600675254815e+00
 2.40197500e+00,        +7.071067811865e+00,        +1.184150381982e+01,        -2.600700365731e+00
 2.40200000e+00,        +7.071067811865e+00,        +1.184143625393e+01,        -2.600725476654e+00
