        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.43500000e+00,        +3.102682956463e-10,        +2.858633629703e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.302678957019e-15,        +1.064459051525e-05,        +7.915954884443e-13,        +2.769139354618e-03,        +1.005256547580e-10,        +3.239958969982e-01,        +7.345494760465e-11,        +2.569582434119e-01,        +5.158040276037e-11,        +1.662445163884e-01,        +4.816958827620e-11,        +1.685056377134e-01,        +5.153720000603e-11,        +1.661052731755e-01,        +4.816689761362e-11,        +1.684962253055e-01,        +5.153631024984e-11,        +1.661024054762e-01,        +4.816556487606e-11,        +1.684915631566e-01,        +5.156782416732e-11,        +1.662039753688e-01,        +4.815564244074e-11,        +1.684568527438e-01
 2.43500500e+00,        +3.109713742553e-10,        +2.865663851551e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.311477639601e-15,        +1.064881823136e-05,        +7.937131293114e-13,        +2.769735636934e-03,        +1.006690161167e-10,        +3.237243825345e-01,        +7.359040976696e-11,        +2.568005655204e-01,        +5.171798337220e-11,        +1.663110744391e-01,        +4.829825777675e-11,        +1.685412535410e-01,        +5.167478036408e-11,        +1.661721452266e-01,        +4.829561276784e-11,        +1.685320235369e-01,        +5.167388761053e-11,        +1.661692743722e-01,        +4.829427579530e-11,        +1.685273580471e-01,        +5.170537237091e-11,        +1.662705208630e-01,        +4.828427635799e-11,        +1.684924640825e-01
 2.43501000e+00,        +3.116772556220e-10,        +2.872722099811e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.320311510972e-15,        +1.065304397764e-05,        +7.958392355136e-13,        +2.770331441270e-03,        +1.008129424770e-10,        +3.234529971581e-01,        +7.372640439436e-11,        +2.566430090792e-01,        +5.185611403090e-11,        +1.663776008532e-01,        +4.842744200726e-11,        +1.685768421890e-01,        +5.181291076429e-11,        +1.662389854559e-01,        +4.842484276730e-11,        +1.685677941855e-01,        +5.181201500057e-11,        +1.662361114454e-01,        +4.842350154198e-11,        +1.685631253548e-01,        +5.184347049354e-11,        +1.663370347319e-01,        +4.841342486534e-11,        +1.685280482527e-01
 2.43501500e+00,        +3.123859546647e-10,        +2.879808523662e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.329180758717e-15,        +1.065726774525e-05,        +7.979738521653e-13,        +2.770926766862e-03,        +1.009574368305e-10,        +3.231817414418e-01,        +7.386293430262e-11,        +2.564855742864e-01,        +5.199479766807e-11,        +1.664440954904e-01,        +4.855714371195e-11,        +1.686124036129e-01,        +5.195159413825e-11,        +1.663057937224e-01,        +4.855459035668e-11,        +1.686035372065e-01,        +5.195069535147e-11,        +1.663029165547e-01,        +4.855324486066e-11,        +1.685988650347e-01,        +5.198212146615e-11,        +1.664035168352e-01,        +4.854309070626e-11,        +1.685636052099e-01
 2.43502000e+00,        +3.130974864015e-10,        +2.886923273283e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.338085571672e-15,        +1.066148952531e-05,        +8.001170246823e-13,        +2.771521612947e-03,        +1.011025021889e-10,        +3.229106159583e-01,        +7.400000232625e-11,        +2.563282613400e-01,        +5.213403723491e-11,        +1.665105582102e-01,        +4.868736565337e-11,        +1.686479377680e-01,        +5.209083343711e-11,        +1.663725698849e-01,        +4.868485829895e-11,        +1.686392525548e-01,        +5.208993161432e-11,        +1.663696895590e-01,        +4.868350851425e-11,        +1.686345770419e-01,        +5.212132823926e-11,        +1.664699670326e-01,        +4.867327664257e-11,        +1.685991349095e-01
 2.43502500e+00,        +3.138118659503e-10,        +2.894066499850e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.347026139932e-15,        +1.066570930897e-05,        +8.022687987828e-13,        +2.772115978760e-03,        +1.012481415838e-10,        +3.226396212814e-01,        +7.413761131853e-11,        +2.561710704380e-01,        +5.227383570229e-11,        +1.665769888720e-01,        +4.881811061248e-11,        +1.686834446099e-01,        +5.223063163169e-11,        +1.664393138020e-01,        +4.881564937553e-11,        +1.686749401856e-01,        +5.222972675986e-11,        +1.664364303169e-01,        +4.881429528403e-11,        +1.686702613315e-01,        +5.226109378304e-11,        +1.665363851835e-01,        +4.880398545447e-11,        +1.686346373071e-01
 2.43503000e+00,        +3.145291085302e-10,        +2.901238355552e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.356002654867e-15,        +1.066992708735e-05,        +8.044292204916e-13,        +2.772709863538e-03,        +1.013943580670e-10,        +3.223687579849e-01,        +7.427576415179e-11,        +2.560140017784e-01,        +5.241419606097e-11,        +1.666433873351e-01,        +4.894938138890e-11,        +1.687189240940e-01,        +5.237099171274e-11,        +1.665060253325e-01,        +4.894696638648e-11,        +1.687106000539e-01,        +5.237008377877e-11,        +1.665031386872e-01,        +4.894560796998e-11,        +1.687059178585e-01,        +5.240142108758e-11,        +1.666027711472e-01,        +4.893521994083e-11,        +1.686701123580e-01
 2.43503500e+00,        +3.152492294620e-10,        +2.908438993594e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.365015309124e-15,        +1.067414285157e-05,        +8.065983361403e-13,        +2.773303266518e-03,        +1.015411547106e-10,        +3.220980266435e-01,        +7.441446371745e-11,        +2.558570555591e-01,        +5.255512132169e-11,        +1.667097534588e-01,        +4.908118080091e-11,        +1.687543761757e-01,        +5.251191669093e-11,        +1.665727043347e-01,        +4.907881215051e-11,        +1.687462321149e-01,        +5.251100568165e-11,        +1.665698145282e-01,        +4.907744939071e-11,        +1.687415465781e-01,        +5.254231316292e-11,        +1.666691247829e-01,        +4.906698291917e-11,        +1.687055600177e-01
 2.43504000e+00,        +3.159722441692e-10,        +2.915668568208e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.374064296643e-15,        +1.067835659273e-05,        +8.087761923719e-13,        +2.773896186935e-03,        +1.016885346073e-10,        +3.218274278320e-01,        +7.455371292622e-11,        +2.557002319782e-01,        +5.269661451539e-11,        +1.667760871020e-01,        +4.921351168572e-11,        +1.687898008105e-01,        +5.265340959718e-11,        +1.666393506671e-01,        +4.921118950530e-11,        +1.687818363236e-01,        +5.265249549934e-11,        +1.666364576983e-01,        +4.920982238381e-11,        +1.687771474453e-01,        +5.268377303929e-11,        +1.667354459497e-01,        +4.919927722594e-11,        +1.687409802417e-01
 2.43504500e+00,        +3.166981681785e-10,        +2.922927234658e-10,        +0.000000000000e+00,        +0.000000000000e+00,        +3.383149812664e-15,        +1.068256830193e-05,        +8.109628361418e-13,        +2.774488624027e-03,        +1.018365008703e-10,        +3.215569621260e-01,        +7.469351470826e-11,        +2.555435312333e-01,        +5.283867869333e-11,        +1.668423881238e-01,        +4.934637689959e-11,        +1.688251979539e-01,        +5.279547348270e-11,        +1.667059641878e-01,        +4.934410130754e-11,        +1.688174126350e-01,        +5.279455628299e-11,        +1.667030680558e-01,        +4.934272980585e-11,        +1.688127204153e-01,        +5.282580376726e-11,        +1.668017345067e-01,        +4.933210571663e-11,        +1.687763729855e-01
