        f (GHz),               I_inc[1] (A),               Re{I[1]} (A),               Im{I[1]} (A)
 2.40000000e+00,        +1.414213562373e-01,        +2.072356006420e-01,        -6.482486489287e-02
 2.40002500e+00,        +1.414213562373e-01,        +2.072331424733e-01,        -6.482495316565e-02
 2.40005000e+00,        +1.414213562373e-01,        +2.072306840746e-01,        -6.482504133104e-02
 2.40007500e+00,        +1.414213562373e-01,        +2.072282254457e-01,        -6.482512938901e-02
 2.40010000e+00,        +1.414213562373e-01,        +2.072257665862e-01,        -6.482521733948e-02
 2.40012500e+00,        +1.414213562373e-01,        +2.072233074960e-01,        -6.482530518240e-02
 2.40015000e+00,        +1.414213562373e-01,        +2.072208481749e-01,        -6.482539291770e-02
 2.40017500e+00,        +1.414213562373e-01,        +2.072183886226e-01,        -6.482548054534e-02
 2.40020000e+00,        +1.414213562373e-01,        +2.072159288390e-01,        -6.482556806525e-02
 2.40022500e+00,        +1.414213562373e-01,        +2.072134688238e-01,        -6.482565547737e-02
 2.40025000e+00,        +1.414213562373e-01,        +2.072110085768e-01,        -6.482574278165e-02
 2.40027500e+00,        +1.414213562373e-01,        +2.072085480977e-01,        -6.482582997802e-02
 2.40030000e+00,        +1.414213562373e-01,        +2.072060873864e-01,        -6.482591706643e-02
 2.40032500e+00,        +1.414213562373e-01,        +2.072036264426e-01,        -6.482600404682e-02
 2.40035000e+00,        +1.414213562373e-01,        +2.072011652662e-01,        -6.482609091912e-02
 2.40037500e+00,        +1.414213562373e-01,        +2.071987038568e-01,        -6.482617768328e-02
 2.40040000e+00,        +1.414213562373e-01,        +2.071962422143e-01,        -6.482626433924e-02
 2.40042500e+00,        +1.414213562373e-01,        +2.071937803384e-01,        -6.482635088693e-02
 2.40045000e+00,        +1.414213562373e-01,        +2.071913182289e-01,        -6.482643732631e-02
 2.40047500e+00,        +1.414213562373e-01,        +2.071888558857e-01,        -6.482652365730e-02
 2.40050000e+00,        +1.414213562373e-01,        +2.071863933084e-01,        -6.482660987985e-02
