        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.40000000e+00,        -3.698886612119e+00,        -4.456608563148e+01
 2.40002500e+00,        -3.699045453908e+00,        -4.456719453628e+01
 2.40005000e+00,        -3.699204317844e+00,        -4.456830353432e+01
 2.40007500e+00,        -3.699363203947e+00,        -4.456941262570e+01
 2.40010000e+00,        -3.699522112235e+00,        -4.457052181048e+01
 2.40012500e+00,        -3.699681042727e+00,        -4.457163108876e+01
 2.40015000e+00,        -3.699839995442e+00,        -4.457274046062e+01
 2.40017500e+00,        -3.699998970400e+00,        -4.457384992613e+01
 2.40020000e+00,        -3.700157967619e+00,        -4.457495948539e+01
 2.40022500e+00,        -3.700316987119e+00,        -4.457606913847e+01
 2.40025000e+00,        -3.700476028919e+00,        -4.457717888545e+01
 2.40027500e+00,        -3.700635093037e+00,        -4.457828872643e+01
 2.40030000e+00,        -3.700794179493e+00,        -4.457939866147e+01
 2.40032500e+00,        -3.700953288307e+00,        -4.458050869067e+01
 2.40035000e+00,        -3.701112419498e+00,        -4.458161881411e+01
 2.40037500e+00,        -3.701271573085e+00,        -4.458272903187e+01
 2.40040000e+00,        -3.701430749087e+00,        -4.458383934404e+01
 2.40042500e+00,        -3.701589947524e+00,        -4.458494975070e+01
 2.40045000e+00,        -3.701749168415e+00,        -4.458606025193e+01
 2.40047500e+00,        -3.701908411779e+00,        -4.458717084782e+01
 2.40050000e+00,        -3.702067677637e+00,        -4.458828153844e+01
 2.40052500e+00,        -3.702226966008e+00,        -4.458939232390e+01
 2.40055000e+00,        -3.702386276911e+00,        -4.459050320427e+01
 2.40057500e+00,        -3.702545610366e+00,        -4.459161417963e+01
 2.40060000e+00,        -3.702704966392e+00,        -4.459272525007e+01
 2.40062500e+00,        -3.702864345010e+00,        -4.459383641568e+01
 2.40065000e+00,        -3.703023746239e+00,        -4.459494767653e+01
 2.40067500e+00,        -3.703183170098e+00,        -4.459605903273e+01
 2.40070000e+00,        -3.703342616608e+00,        -4.459717048434e+01
 2.40072500e+00,        -3.703502085788e+00,        -4.459828203146e+01
 2.40075000e+00,        -3.703661577659e+00,        -4.459939367418e+01
 2.40077500e+00,        -3.703821092239e+00,        -4.460050541257e+01
 2.40080000e+00,        -3.703980629550e+00,        -4.460161724673e+01
 2.40082500e+00,        -3.704140189610e+00,        -4.460272917674e+01
 2.40085000e+00,        -3.704299772441e+00,        -4.460384120268e+01
 2.40087500e+00,        -3.704459378061e+00,        -4.460495332465e+01
 2.40090000e+00,        -3.704619006492e+00,        -4.460606554274e+01
 2.40092500e+00,        -3.704778657753e+00,        -4.460717785701e+01
 2.40095000e+00,        -3.704938331865e+00,        -4.460829026758e+01
 2.40097500e+00,        -3.705098028847e+00,        -4.460940277452e+01
 2.40100000e+00,        -3.705257748719e+00,        -4.461051537791e+01
 2.40102500e+00,        -3.705417491503e+00,        -4.461162807785e+01
 2.40105000e+00,        -3.705577257218e+00,        -4.461274087443e+01
 2.40107500e+00,        -3.705737045885e+00,        -4.461385376773e+01
 2.40110000e+00,        -3.705896857525e+00,        -4.461496675784e+01
 2.40112500e+00,        -3.706056692156e+00,        -4.461607984485e+01
 2.40115000e+00,        -3.706216549801e+00,        -4.461719302885e+01
 2.40117500e+00,        -3.706376430479e+00,        -4.461830630992e+01
 2.40120000e+00,        -3.706536334211e+00,        -4.461941968816e+01
 2.40122500e+00,        -3.706696261018e+00,        -4.462053316365e+01
 2.40125000e+00,        -3.706856210920e+00,        -4.462164673649e+01
 2.40127500e+00,        -3.707016183937e+00,        -4.462276040675e+01
 2.40130000e+00,        -3.707176180091e+00,        -4.462387417454e+01
 2.40132500e+00,        -3.707336199403e+00,        -4.462498803994e+01
 2.40135000e+00,        -3.707496241892e+00,        -4.462610200303e+01
 2.40137500e+00,        -3.707656307580e+00,        -4.462721606392e+01
 2.40140000e+00,        -3.707816396488e+00,        -4.462833022269e+01
 2.40142500e+00,        -3.707976508636e+00,        -4.462944447943e+01
 2.40145000e+00,        -3.708136644046e+00,        -4.463055883423e+01
 2.40147500e+00,        -3.708296802738e+00,        -4.463167328718e+01
 2.40150000e+00,        -3.708456984734e+00,        -4.463278783837e+01
 2.40152500e+00,        -3.708617190054e+00,        -4.463390248790e+01
 2.40155000e+00,        -3.708777418719e+00,        -4.463501723585e+01
 2.40157500e+00,        -3.708937670751e+00,        -4.463613208232e+01
 2.40160000e+00,        -3.709097946171e+00,        -4.463724702739e+01
 2.40162500e+00,        -3.709258244999e+00,        -4.463836207116e+01
 2.40165000e+00,        -3.709418567258e+00,        -4.463947721373e+01
 2.40167500e+00,        -3.709578912968e+00,        -4.464059245517e+01
 2.40170000e+00,        -3.709739282151e+00,        -4.464170779559e+01
 2.40172500e+00,        -3.709899674828e+00,        -4.464282323508e+01
 2.40175000e+00,        -3.710060091021e+00,        -4.464393877372e+01
 2.40177500e+00,        -3.710220530750e+00,        -4.464505441162e+01
 2.40180000e+00,        -3.710380994038e+00,        -4.464617014886e+01
 2.40182500e+00,        -3.710541480906e+00,        -4.464728598554e+01
 2.40185000e+00,        -3.710701991375e+00,        -4.464840192175e+01
 2.40187500e+00,        -3.710862525467e+00,        -4.464951795758e+01
 2.40190000e+00,        -3.711023083204e+00,        -4.465063409313e+01
 2.40192500e+00,        -3.711183664608e+00,        -4.465175032849e+01
 2.40195000e+00,        -3.711344269699e+00,        -4.465286666376e+01
 2.40197500e+00,        -3.711504898501e+00,        -4.465398309903e+01
 2.40200000e+00,        -3.711665551034e+00,        -4.465509963439e+01
 2.40202500e+00,        -3.711826227320e+00,        -4.465621626994e+01
 2.40205000e+00,        -3.711986927382e+00,        -4.465733300577e+01
 2.40207500e+00,        -3.712147651241e+00,        -4.465844984198e+01
 2.40210000e+00,        -3.712308398920e+00,        -4.465956677866e+01
 2.40212500e+00,        -3.712469170440e+00,        -4.466068381591e+01
 2.40215000e+00,        -3.712629965823e+00,        -4.466180095383e+01
 2.40217500e+00,        -3.712790785092e+00,        -4.466291819250e+01
 2.40220000e+00,        -3.712951628268e+00,        -4.466403553202e+01
 2.40222500e+00,        -3.713112495374e+00,        -4.466515297250e+01
 2.40225000e+00,        -3.713273386432e+00,        -4.466627051402e+01
 2.40227500e+00,        -3.713434301465e+00,        -4.466738815669e+01
 2.40230000e+00,        -3.713595240494e+00,        -4.466850590059e+01
 2.40232500e+00,        -3.713756203541e+00,        -4.466962374583e+01
 2.40235000e+00,        -3.713917190631e+00,        -4.467074169250e+01
 2.40237500e+00,        -3.714078201783e+00,        -4.467185974070e+01
 2.40240000e+00,        -3.714239237023e+00,        -4.467297789053e+01
 2.40242500e+00,        -3.714400296371e+00,        -4.467409614208e+01
 2.40245000e+00,        -3.714561379850e+00,        -4.467521449546e+01
 2.40247500e+00,        -3.714722487483e+00,        -4.467633295075e+01
 2.40250000e+00,        -3.714883619293e+00,        -4.467745150806e+01
 2.40252500e+00,        -3.715044775302e+00,        -4.467857016749e+01
 2.40255000e+00,        -3.715205955533e+00,        -4.467968892913e+01
 2.40257500e+00,        -3.715367160009e+00,        -4.468080779309e+01
 2.40260000e+00,        -3.715528388753e+00,        -4.468192675945e+01
 2.40262500e+00,        -3.715689641787e+00,        -4.468304582833e+01
 2.40265000e+00,        -3.715850919135e+00,        -4.468416499981e+01
 2.40267500e+00,        -3.716012220819e+00,        -4.468528427401e+01
 2.40270000e+00,        -3.716173546863e+00,        -4.468640365101e+01
 2.40272500e+00,        -3.716334897289e+00,        -4.468752313092e+01
 2.40275000e+00,        -3.716496272121e+00,        -4.468864271384e+01
 2.40277500e+00,        -3.716657671381e+00,        -4.468976239987e+01
 2.40280000e+00,        -3.716819095094e+00,        -4.469088218910e+01
 2.40282500e+00,        -3.716980543282e+00,        -4.469200208165e+01
