        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.40000000e+00,        +7.071067811865e+00,        +1.036178003210e+01,        -3.241243244644e+00
 2.40002500e+00,        +7.071067811865e+00,        +1.036165712367e+01,        -3.241247658282e+00
 2.40005000e+00,        +7.071067811865e+00,        +1.036153420373e+01,        -3.241252066552e+00
 2.40007500e+00,        +7.071067811865e+00,        +1.036141127228e+01,        -3.241256469450e+00
 2.40010000e+00,        +7.071067811865e+00,        +1.036128832931e+01,        -3.241260866974e+00
 2.40012500e+00,        +7.071067811865e+00,        +1.036116537480e+01,        -3.241265259120e+00
 2.40015000e+00,        +7.071067811865e+00,        +1.036104240875e+01,        -3.241269645885e+00
 2.40017500e+00,        +7.071067811865e+00,        +1.036091943113e+01,        -3.241274027267e+00
 2.40020000e+00,        +7.071067811865e+00,        +1.036079644195e+01,        -3.241278403263e+00
 2.40022500e+00,        +7.071067811865e+00,        +1.036067344119e+01,        -3.241282773869e+00
 2.40025000e+00,        +7.071067811865e+00,        +1.036055042884e+01,        -3.241287139083e+00
 2.40027500e+00,        +7.071067811865e+00,        +1.036042740489e+01,        -3.241291498901e+00
 2.40030000e+00,        +7.071067811865e+00,        +1.036030436932e+01,        -3.241295853322e+00
 2.40032500e+00,        +7.071067811865e+00,        +1.036018132213e+01,        -3.241300202341e+00
 2.40035000e+00,        +7.071067811865e+00,        +1.036005826331e+01,        -3.241304545956e+00
 2.40037500e+00,        +7.071067811865e+00,        +1.035993519284e+01,        -3.241308884164e+00
 2.40040000e+00,        +7.071067811865e+00,        +1.035981211071e+01,        -3.241313216962e+00
 2.40042500e+00,        +7.071067811865e+00,        +1.035968901692e+01,        -3.241317544347e+00
 2.40045000e+00,        +7.071067811865e+00,        +1.035956591145e+01,        -3.241321866315e+00
 2.40047500e+00,        +7.071067811865e+00,        +1.035944279428e+01,        -3.241326182865e+00
 2.40050000e+00,        +7.071067811865e+00,        +1.035931966542e+01,        -3.241330493993e+00
 2.40052500e+00,        +7.071067811865e+00,        +1.035919652484e+01,        -3.241334799695e+00
 2.40055000e+00,        +7.071067811865e+00,        +1.035907337254e+01,        -3.241339099970e+00
 2.40057500e+00,        +7.071067811865e+00,        +1.035895020850e+01,        -3.241343394813e+00
 2.40060000e+00,        +7.071067811865e+00,        +1.035882703272e+01,        -3.241347684222e+00
 2.40062500e+00,        +7.071067811865e+00,        +1.035870384518e+01,        -3.241351968194e+00
 2.40065000e+00,        +7.071067811865e+00,        +1.035858064587e+01,        -3.241356246726e+00
 2.40067500e+00,        +7.071067811865e+00,        +1.035845743478e+01,        -3.241360519815e+00
 2.40070000e+00,        +7.071067811865e+00,        +1.035833421189e+01,        -3.241364787457e+00
 2.40072500e+00,        +7.071067811865e+00,        +1.035821097721e+01,        -3.241369049651e+00
 2.40075000e+00,        +7.071067811865e+00,        +1.035808773070e+01,        -3.241373306391e+00
 2.40077500e+00,        +7.071067811865e+00,        +1.035796447238e+01,        -3.241377557677e+00
 2.40080000e+00,        +7.071067811865e+00,        +1.035784120221e+01,        -3.241381803504e+00
 2.40082500e+00,        +7.071067811865e+00,        +1.035771792020e+01,        -3.241386043869e+00
 2.40085000e+00,        +7.071067811865e+00,        +1.035759462632e+01,        -3.241390278770e+00
 2.40087500e+00,        +7.071067811865e+00,        +1.035747132057e+01,        -3.241394508203e+00
 2.40090000e+00,        +7.071067811865e+00,        +1.035734800294e+01,        -3.241398732165e+00
 2.40092500e+00,        +7.071067811865e+00,        +1.035722467342e+01,        -3.241402950654e+00
 2.40095000e+00,        +7.071067811865e+00,        +1.035710133198e+01,        -3.241407163666e+00
 2.40097500e+00,        +7.071067811865e+00,        +1.035697797863e+01,        -3.241411371197e+00
 2.40100000e+00,        +7.071067811865e+00,        +1.035685461335e+01,        -3.241415573245e+00
 2.40102500e+00,        +7.071067811865e+00,        +1.035673123613e+01,        -3.241419769808e+00
 2.40105000e+00,        +7.071067811865e+00,        +1.035660784695e+01,        -3.241423960880e+00
 2.40107500e+00,        +7.071067811865e+00,        +1.035648444581e+01,        -3.241428146461e+00
 2.40110000e+00,        +7.071067811865e+00,        +1.035636103269e+01,        -3.241432326545e+00
 2.40112500e+00,        +7.071067811865e+00,        +1.035623760758e+01,        -3.241436501131e+00
 2.40115000e+00,        +7.071067811865e+00,        +1.035611417047e+01,        -3.241440670215e+00
 2.40117500e+00,        +7.071067811865e+00,        +1.035599072135e+01,        -3.241444833794e+00
 2.40120000e+00,        +7.071067811865e+00,        +1.035586726021e+01,        -3.241448991865e+00
 2.40122500e+00,        +7.071067811865e+00,        +1.035574378702e+01,        -3.241453144424e+00
 2.40125000e+00,        +7.071067811865e+00,        +1.035562030180e+01,        -3.241457291469e+00
 2.40127500e+00,        +7.071067811865e+00,        +1.035549680451e+01,        -3.241461432996e+00
 2.40130000e+00,        +7.071067811865e+00,        +1.035537329515e+01,        -3.241465569003e+00
