        f (GHz),               V_inc[1] (V),               Re{V[1]} (V),               Im{V[1]} (V)
 2.30000000e+00,        +7.071067811865e+00,        +1.080103516052e+01,        -3.193422928794e+00
 2.30020000e+00,        +7.071067811865e+00,        +1.080023124521e+01,        -3.193565731018e+00
 2.30040000e+00,        +7.071067811865e+00,        +1.079942708230e+01,        -3.193708376983e+00
 2.30060000e+00,        +7.071067811865e+00,        +1.079862267163e+01,        -3.193850866541e+00
 2.30080000e+00,        +7.071067811865e+00,        +1.079781801301e+01,        -3.193993199543e+00
 2.30100000e+00,        +7.071067811865e+00,        +1.079701310627e+01,        -3.194135375841e+00
 2.30120000e+00,        +7.071067811865e+00,        +1.079620795125e+01,        -3.194277395285e+00
 2.30140000e+00,        +7.071067811865e+00,        +1.079540254775e+01,        -3.194419257727e+00
 2.30160000e+00,        +7.071067811865e+00,        +1.079459689561e+01,        -3.194560963017e+00
 2.30180000e+00,        +7.071067811865e+00,        +1.079379099465e+01,        -3.194702511005e+00
 2.30200000e+00,        +7.071067811865e+00,        +1.079298484470e+01,        -3.194843901542e+00
 2.30220000e+00,        +7.071067811865e+00,        +1.079217844557e+01,        -3.194985134478e+00
 2.30240000e+00,        +7.071067811865e+00,        +1.079137179710e+01,        -3.195126209662e+00
 2.30260000e+00,        +7.071067811865e+00,        +1.079056489910e+01,        -3.195267126944e+00
 2.30280000e+00,        +7.071067811865e+00,        +1.078975775139e+01,        -3.195407886173e+00
 2.30300000e+00,        +7.071067811865e+00,        +1.078895035381e+01,        -3.195548487198e+00
 2.30320000e+00,        +7.071067811865e+00,        +1.078814270616e+01,        -3.195688929868e+00
 2.30340000e+00,        +7.071067811865e+00,        +1.078733480828e+01,        -3.195829214032e+00
 2.30360000e+00,        +7.071067811865e+00,        +1.078652665998e+01,        -3.195969339538e+00
 2.30380000e+00,        +7.071067811865e+00,        +1.078571826108e+01,        -3.196109306235e+00
 2.30400000e+00,        +7.071067811865e+00,        +1.078490961140e+01,        -3.196249113969e+00
 2.30420000e+00,        +7.071067811865e+00,        +1.078410071076e+01,        -3.196388762589e+00
 2.30440000e+00,        +7.071067811865e+00,        +1.078329155899e+01,        -3.196528251943e+00
 2.30460000e+00,        +7.071067811865e+00,        +1.078248215589e+01,        -3.196667581876e+00
 2.30480000e+00,        +7.071067811865e+00,        +1.078167250130e+01,        -3.196806752238e+00
 2.30500000e+00,        +7.071067811865e+00,        +1.078086259502e+01,        -3.196945762873e+00
 2.30520000e+00,        +7.071067811865e+00,        +1.078005243687e+01,        -3.197084613629e+00
 2.30540000e+00,        +7.071067811865e+00,        +1.077924202668e+01,        -3.197223304352e+00
 2.30560000e+00,        +7.071067811865e+00,        +1.077843136426e+01,        -3.197361834888e+00
 2.30580000e+00,        +7.071067811865e+00,        +1.077762044942e+01,        -3.197500205083e+00
 2.30600000e+00,        +7.071067811865e+00,        +1.077680928198e+01,        -3.197638414782e+00
 2.30620000e+00,        +7.071067811865e+00,        +1.077599786175e+01,        -3.197776463831e+00
 2.30640000e+00,        +7.071067811865e+00,        +1.077518618856e+01,        -3.197914352074e+00
 2.30660000e+00,        +7.071067811865e+00,        +1.077437426222e+01,        -3.198052079357e+00
 2.30680000e+00,        +7.071067811865e+00,        +1.077356208253e+01,        -3.198189645525e+00
 2.30700000e+00,        +7.071067811865e+00,        +1.077274964932e+01,        -3.198327050421e+00
