        f (GHz),             |S[1][1]| (dB),        arg(S[1][1]) (deg.)
 2.30000000e+00,        -3.167703959198e+00,        -4.056794769053e+01
 2.30020000e+00,        -3.168619916591e+00,        -4.057531434472e+01
 2.30040000e+00,        -3.169536339523e+00,        -4.058268304573e+01
 2.30060000e+00,        -3.170453228458e+00,        -4.059005379526e+01
 2.30080000e+00,        -3.171370583864e+00,        -4.059742659503e+01
 2.30100000e+00,        -3.172288406210e+00,        -4.060480144674e+01
 2.30120000e+00,        -3.173206695964e+00,        -4.061217835212e+01
 2.30140000e+00,        -3.174125453596e+00,        -4.061955731288e+01
 2.30160000e+00,        -3.175044679577e+00,        -4.062693833075e+01
 2.30180000e+00,        -3.175964374379e+00,        -4.063432140746e+01
 2.30200000e+00,        -3.176884538474e+00,        -4.064170654474e+01
 2.30220000e+00,        -3.177805172336e+00,        -4.064909374432e+01
 2.30240000e+00,        -3.178726276438e+00,        -4.065648300793e+01
 2.30260000e+00,        -3.179647851257e+00,        -4.066387433732e+01
 2.30280000e+00,        -3.180569897268e+00,        -4.067126773423e+01
 2.30300000e+00,        -3.181492414949e+00,        -4.067866320041e+01
 2.30320000e+00,        -3.182415404777e+00,        -4.068606073761e+01
 2.30340000e+00,        -3.183338867232e+00,        -4.069346034758e+01
 2.30360000e+00,        -3.184262802794e+00,        -4.070086203209e+01
 2.30380000e+00,        -3.185187211943e+00,        -4.070826579288e+01
 2.30400000e+00,        -3.186112095161e+00,        -4.071567163172e+01
 2.30420000e+00,        -3.187037452932e+00,        -4.072307955039e+01
 2.30440000e+00,        -3.187963285738e+00,        -4.073048955065e+01
 2.30460000e+00,        -3.188889594064e+00,        -4.073790163427e+01
 2.30480000e+00,        -3.189816378397e+00,        -4.074531580305e+01
 2.30500000e+00,        -3.190743639223e+00,        -4.075273205875e+01
 2.30520000e+00,        -3.191671377030e+00,        -4.076015040317e+01
 2.30540000e+00,        -3.192599592305e+00,        -4.076757083809e+01
 2.30560000e+00,        -3.193528285540e+00,        -4.077499336530e+01
 2.30580000e+00,        -3.194457457225e+00,        -4.078241798661e+01
 2.30600000e+00,        -3.195387107850e+00,        -4.078984470381e+01
 2.30620000e+00,        -3.196317237910e+00,        -4.079727351871e+01
 2.30640000e+00,        -3.197247847897e+00,        -4.080470443312e+01
 2.30660000e+00,        -3.198178938307e+00,        -4.081213744884e+01
 2.30680000e+00,        -3.199110509636e+00,        -4.081957256770e+01
