        f (GHz),                 E_elec (J),                  E_mag (J),                  E_cap (J),                  E_ind (J),              E_elec[1] (J),                  p_elec[1],               E_mag[1] (J),                   p_mag[1],              E_elec[2] (J),                  p_elec[2],               E_mag[2] (J),                   p_mag[2],              E_elec[3] (J),                  p_elec[3],               E_mag[3] (J),                   p_mag[3],              E_elec[4] (J),                  p_elec[4],               E_mag[4] (J),                   p_mag[4],              E_elec[5] (J),                  p_elec[5],               E_mag[5] (J),                   p_mag[5],              E_elec[6] (J),                  p_elec[6],               E_mag[6] (J),                   p_mag[6]
 2.30000000e+00,        +6.452222255096e-11,        +3.324664884683e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.111972211058e-17,        +1.102251585559e-06,        +6.819825083187e-16,        +2.051281954644e-05,        +6.364801632822e-11,        +9.864510832364e-01,        +3.242389578739e-11,        +9.752530529250e-01,        +2.227894783737e-13,        +3.452910788957e-03,        +2.028915913806e-13,        +6.102617810154e-03,        +2.133764379248e-13,        +3.307022441087e-03,        +2.026178128365e-13,        +6.094383039024e-03,        +2.130131699487e-13,        +3.301392319220e-03,        +2.023191402370e-13,        +6.085399499033e-03,        +2.227362216983e-13,        +3.452085388447e-03,        +2.027644450960e-13,        +6.098793476304e-03
 2.30020000e+00,        +6.453441730721e-11,        +3.326016196499e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.132401645322e-17,        +1.105208963361e-06,        +6.840792266671e-16,        +2.056752541936e-05,        +6.365973944927e-11,        +9.864463352357e-01,        +3.243687577917e-11,        +9.752470782709e-01,        +2.228715773086e-13,        +3.453530482000e-03,        +2.029694014152e-13,        +6.102477842076e-03,        +2.135287638045e-13,        +3.308757911116e-03,        +2.027879507748e-13,        +6.097022347282e-03,        +2.131640386787e-13,        +3.303106273727e-03,        +2.024883861029e-13,        +6.088015636125e-03,        +2.228189812209e-13,        +3.452715473670e-03,        +2.028427448751e-13,        +6.098669786654e-03
 2.30040000e+00,        +6.454662267896e-11,        +3.327368702867e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.152968884813e-17,        +1.108186391160e-06,        +6.861882461072e-16,        +2.062254914870e-05,        +6.367146821511e-11,        +9.864415142493e-01,        +3.244986290004e-11,        +9.752409726062e-01,        +2.229547092124e-13,        +3.454165376263e-03,        +2.030481335375e-13,        +6.102363509115e-03,        +2.136825321271e-13,        +3.310514528233e-03,        +2.029594850447e-13,        +6.099699287002e-03,        +2.133163377224e-13,        +3.304841196470e-03,        +2.026590211268e-13,        +6.090669211144e-03,        +2.229027828408e-13,        +3.453360897742e-03,        +2.029219729426e-13,        +6.098571906617e-03
 2.30060000e+00,        +6.455883869261e-11,        +3.328722406560e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.173675344788e-17,        +1.111184074878e-06,        +6.883096757734e-16,        +2.067789354910e-05,        +6.368320263371e-11,        +9.864366200410e-01,        +3.246285715969e-11,        +9.752347355764e-01,        +2.230388770463e-13,        +3.454815507266e-03,        +2.031277897235e-13,        +6.102274834428e-03,        +2.138377490498e-13,        +3.312292373597e-03,        +2.031324220632e-13,        +6.102413997119e-03,        +2.134700730993e-13,        +3.306597166589e-03,        +2.028310516525e-13,        +6.093360361104e-03,        +2.229876296323e-13,        +3.454021697851e-03,        +2.030021313545e-13,        +6.098499861521e-03
 2.30080000e+00,        +6.457106537484e-11,        +3.330077310381e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.194522459792e-17,        +1.114202223245e-06,        +6.904436261604e-16,        +2.073356147042e-05,        +6.369494271308e-11,        +9.864316523714e-01,        +3.247585856790e-11,        +9.752283668208e-01,        +2.231240838182e-13,        +3.455480911194e-03,        +2.032083719832e-13,        +6.102211842040e-03,        +2.139944208059e-13,        +3.314091529444e-03,        +2.033067683247e-13,        +6.105166618530e-03,        +2.136252509030e-13,        +3.308374264276e-03,        +2.030044841007e-13,        +6.096089224951e-03,        +2.230735247181e-13,        +3.454697911876e-03,        +2.030832222015e-13,        +6.098453677588e-03
 2.30100000e+00,        +6.458330275259e-11,        +3.331433417162e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.215511683991e-17,        +1.117241047834e-06,        +6.925902091447e-16,        +2.078955579832e-05,        +6.370668846127e-11,        +9.864266109975e-01,        +3.248886713449e-11,        +9.752218659727e-01,        +2.232103325836e-13,        +3.456161624912e-03,        +2.032898823606e-13,        +6.102174556855e-03,        +2.141525537059e-13,        +3.315912079106e-03,        +2.034825304021e-13,        +6.107957294112e-03,        +2.137818773023e-13,        +3.310172570784e-03,        +2.031793249692e-13,        +6.098855943586e-03,        +2.231604712700e-13,        +3.455389578400e-03,        +2.031652476097e-13,        +6.098433381952e-03
 2.30120000e+00,        +6.459555085312e-11,        +3.332790729763e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.236644491491e-17,        +1.120300763120e-06,        +6.947495380069e-16,        +2.084587945479e-05,        +6.371843988633e-11,        +9.864214956726e-01,        +3.250188286930e-11,        +9.752152326592e-01,        +2.232976264459e-13,        +3.456857685968e-03,        +2.033723229345e-13,        +6.102163004664e-03,        +2.143121541381e-13,        +3.317754107019e-03,        +2.036597149476e-13,        +6.110786168746e-03,        +2.139399585418e-13,        +3.311992168443e-03,        +2.033555808343e-13,        +6.101660659888e-03,        +2.232484725099e-13,        +3.456096736717e-03,        +2.032482097411e-13,        +6.098439002667e-03
 2.30140000e+00,        +6.460780970396e-11,        +3.334149251073e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.257922376682e-17,        +1.123381586520e-06,        +6.969217274544e-16,        +2.090253539880e-05,        +6.373019699638e-11,        +9.864163061463e-01,        +3.251490578226e-11,        +9.752084665014e-01,        +2.233859685577e-13,        +3.457569132606e-03,        +2.034556958184e-13,        +6.102177212161e-03,        +2.144732285700e-13,        +3.319617698738e-03,        +2.038383286940e-13,        +6.113653389343e-03,        +2.140995009431e-13,        +3.313833140670e-03,        +2.035332583518e-13,        +6.104503518738e-03,        +2.233375317103e-13,        +3.456819426842e-03,        +2.033321107939e-13,        +6.098470568719e-03
 2.30160000e+00,        +6.462007933292e-11,        +3.335508984013e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.279346854570e-17,        +1.126483738447e-06,        +6.991068936444e-16,        +2.095952662683e-05,        +6.374195979955e-11,        +9.864110421646e-01,        +3.252793588332e-11,        +9.752015671140e-01,        +2.234753621208e-13,        +3.458296003776e-03,        +2.035400031617e-13,        +6.102217206947e-03,        +2.146357835486e-13,        +3.321502940949e-03,        +2.040183784554e-13,        +6.116559104869e-03,        +2.142605109053e-13,        +3.315695571982e-03,        +2.037123642575e-13,        +6.107384667044e-03,        +2.234276521950e-13,        +3.457557689521e-03,        +2.034169530028e-13,        +6.098528110037e-03
 2.30180000e+00,        +6.463235976815e-11,        +3.336869931532e-11,        +0.000000000000e+00,        +0.000000000000e+00,        +7.300919461136e-17,        +1.129607442360e-06,        +7.013051542074e-16,        +2.101685617352e-05,        +6.375372830400e-11,        +9.864057034696e-01,        +3.254097318251e-11,        +9.751945341056e-01,        +2.235658103873e-13,        +3.459038339143e-03,        +2.036252471496e-13,        +6.102283017550e-03,        +2.147998257023e-13,        +3.323409921483e-03,        +2.041998711282e-13,        +6.119503466366e-03,        +2.144229949065e-13,        +3.317579548012e-03,        +2.038929053689e-13,        +6.110304253762e-03,        +2.235188373399e-13,        +3.458311566245e-03,        +2.035027386401e-13,        +6.098611657503e-03
